A Goblin standard;Uno standard dei Goblin
Crystal cluster;Grappolo di cristallo
Crystal dispenser;Dosatore di cristalli
Coral;Corallo
Corkscrew lever;Leva del cavatappi
Corpse cart;Carro di cadaveri
Crater;Cratere
Crates;Casse
Crystal;Cristallo
Crystal Deposit (Depleted);Deposito di cristalli (esaurito)
Crystal Singing Recipes;Ricette di canto di cristallo
Cooking range;Gamma di cottura
Crane;Gru
Crate;Cassa
Daisies;Margherite
Darklight;Luce oscura
Dead Magic Tree;Albero magico morto
Dead Maple;Acero morto
Dead dwellberry bush;Cespuglio di mirtilli morti
Curtains;Tende
Damaged Table;Tavolo danneggiato
Dark hole;Buco buio
Dead limpwurt plant;Pianta morta di limpwurt
Cutting Table;Tavolo da taglio
Dagannoth;Dagannoth
Damaged Mast;Albero danneggiato
Damaged armour;Armatura danneggiata
Dartboard;Bersaglio
Dead Body;Cadavere
Dead Teak;Teak morto
Dead Yew;Tasso morto
Dead bat;Pipistrello morto
Damaged totem pole;Totem danneggiato
Dawn;Alba
Dead Barley;Orzo morto
Dead Oak;Quercia morta
Dead Spirit Tree;L'albero dello spirito morto
Dead White lily;Giglio bianco morto
Dead curry tree;Albero di curry morto
Dead hardy goutweed;Goutweed morto e resistente
Dead marigold;Calendula morta
Dead onions;Cipolle morte
Dead orange tree;Arancio morto
Curved bone;Osso curvo
Damaged Earth;Terra danneggiata
Dead Krandorian Hops;Luppolo Krandoriano morto
Dead potatoes;Patate morte
Curry tree stump;Ceppo di albero di curry
Daconia rocks;Rocce della Daconia
Dairy Cow;Mucca da latte
Danger Sign;Segnale di pericolo
Danger sign;Segnale di pericolo
David's barrel;La botte di David
Dead Bittercap Mushrooms;Funghi amaro morti
Dead Elf;Elfo morto
Dead Yommi sapling;Alberello Yommi morto
Dead apple tree;Melo morto
Dead goutweed;Erba di gotta morta
Dead jangerberry bush;Cespuglio di jangerberry morto
Curtain space;Spazio per tende
Dairy cow;Mucca da latte
Dead Snape grass;Erba morta di Piton
Dead nasturtium;Nasturzio morto
Dead papaya tree;Albero di papaia morto
Dead Explorer;Esploratore morto
Dead dragonfruit plant;Pianta morta del frutto del drago
Daeyalt Essence;Essenza di Daeyalt
Dead Mahogany;Mogano morto
Dead celastrus tree;Albero di celastro morto
Daeyalt rocks;Daeyalt oscilla
Dead Calquat;Calquat morto
Dead Potato cactus;Cactus della patata morta
Dead Tree;Albero morto
Dead cabbages;Cavoli morti
Dead cactus;Cactus morto
Dead palm tree;Palma morta
Dead Hammerstone Hops;Luppolo di Hammerstone morto
Cursed Altar;Altare maledetto
Curtain;Tenda
Dead Belladonna;Belladonna morta
Dead Yommi;Morto Yommi
Dead mushroom ring;Anello di funghi morti
Cyan Crystal;Cristallo ciano
Damaged mast;Albero danneggiato
Damaged wall;Muro danneggiato
Dark Chest;Petto scuro
Dark tunnel;Tunnel oscuro
Dead Asgarnian Hops;Luppolo Asgarniano morto
Dead Iasor plant;Pianta morta di Iasor
Dead Kronos plant;Pianta morta di Kronos
Dead Redwood tree;Albero di sequoia morto
Dead Wildblood Hops;Luppolo Sangueselvaggio Morto
Dead Yanillian Hops;Luppolo Yanillian morto
Dead pineapple plant;Pianta di ananas morta
Curry tree;Albero di curry
Cyan crystal;Cristallo ciano
Dark Altar;Altare Oscuro
Dart trap;Trappola per dardi
Dead banana tree;Banano morto
Dead cadavaberry bush;Cespuglio morto di cadavaberry
Dead calquat;Calquat morto
Current;Attuale
Cylinder Pile;Pila di cilindri
Daffodils;Narcisi
Dagger stall;Stallo del pugnale
Damaged cart;Carrello danneggiato
Dead Attas plant;Pianta Attas morta
Dead Jute;Iuta morta
Dead Poison Ivy bush;Cespuglio morto di edera velenosa
Dairy churn;Zangola da latte
Damaged Vent;Sfiato danneggiato
Dark crystal;Cristallo scuro
Dead Willow;Salice morto
Dead herbs;Erbe morte
Dead woad plant;Pianta di guado morta
Decorated limestone fireplace;Camino in pietra calcarea decorata
Decoration;Decorazione
Delphiniums;Delphinium
Dense runestone;Pietra runica densa
Diseased palm tree;Palma malata
Dead sweetcorn plant;Pianta di mais dolce morta
Dead tree;Albero morto
Dead tree stump;Ceppo di albero morto
Death rift;Spaccatura mortale
Diseased Jute;Iuta malata
Diseased Teak;Teak malato
Diseased apple tree;Melo malato
Dead redberry bush;Cespuglio di mirtilli rossi morto
Dead whiteberry bush;Cespuglio di mirtilli morti
Deadman Supply Chest;Cassa di rifornimenti dell'uomo morto
Deadman display;Visualizzazione dell'uomo morto
Death's domain;Dominio della morte
Decoration space;Spazio decorativo
Demonic Symbol;Simbolo demoniaco
Depleted runestone;Pietra runica esaurita
Depleted vein;Vena impoverita
Dim crystal;Cristallo scuro
Diseased Krandorian Hops;Luppolo Krandoriano malato
Diseased Yanillian Hops;Luppolo Yanillian malato
Diseased banana tree;Banano malato
Dead vine;Vite morta
Decaying trunk;Tronco in decomposizione
Diseased Oak;Quercia malata
Diseased Spirit Tree;Albero dello spirito malato
Diseased White lily;Giglio bianco malato
Diseased orange tree;Arancio malato
Diseased cabbages;Cavoli malati
Diseased cactus;Cactus malato
Diseased hardy goutweed;Goutweed resistente e malato
Destroyed bird hide;Pelle di uccello distrutta
Device;Dispositivo
Deadman chest;Petto morto
Decorated marble fireplace;Camino in marmo decorato
Delphinium patch;Cerotto Delphinium
Dig Site specimen rocks;Scavare rocce campione del sito
Diseased Grapevines;Vite malata
Diseased goutweed;Gottagotta malata
Diseased marigold;Calendula malata
Dead seaweed;Alghe morte
Dead watermelons;Angurie morte
Debris;Detriti
Dense Jungle;Giungla fitta
Desk;Scrivania
Diseased Asgarnian Hops;Luppolo Asgarniano Malato
Diseased Willow;Salice malato
Diseased dwellberry bush;Cespuglio di mirtillo malato
Diseased herbs;Erbe malate
Diseased jangerberry bush;Cespuglio malato di jangerberry
Depleted Rock;Roccia impoverita
Diseased Belladonna;Belladonna malata
Diseased limpwurt plant;Pianta malata di limpwurt
Dead sourhog;Porco morto
Dead tomato plant;Pianta di pomodoro morta
Death's Coffer;Forziere della morte
Death's Domain;Il dominio della morte
Defender item machine;Macchina per oggetti difensore
Diseased dragonfruit plant;Pianta malata del frutto del drago
Deckchair;Sdraio
Desert painting;Pittura del deserto
Digsite Pendant;Ciondolo Digsite
Diseased Hammerstone Hops;Luppolo Hammerstone malato
Diseased calquat;Calquat malato
Diseased celastrus tree;Albero di celastro malato
Diseased nasturtium;Nasturzio malato
Diseased pineapple plant;Pianta di ananas malata
Dead rosemary;Rosmarino morto
Deposit Box;Cassetta di deposito
Dial;Comporre
Dice;Dadi
Dirt;Sporco
Diseased Magic Tree;Albero magico malato
Diseased Poison Ivy bush;Cespuglio malato di edera velenosa
Diseased Potato cactus;Cactus di patata malato
Diseased Wildblood Hops;Luppolo Sangue Selvaggio Malato
Dead strawberry plant;Pianta di fragole morta
Decorated wall;Parete decorata
Diseased Barley;Orzo malato
Diseased Bittercap Mushrooms;Funghi amaro malati
Diseased onions;Cipolle malate
Decorative window;Finestra decorativa
Diseased Mahogany;Mogano malato
Diseased Yew;Tasso malato
Diseased papaya tree;Albero di papaia malato
Deadfall;Caduta mortale
Desecrated house;Casa profanata
Destroyed furniture;Mobili distrutti
Diseased Redwood tree;Albero di sequoia malato
Diseased curry tree;Albero di curry malato
Demon;Demone
Dense forest;Foresta fitta
Diseased Calquat;Calquat malato
Diseased Maple;Acero malato
Diseased Snape grass;Erba di Piton malata
Diseased cadavaberry bush;Cespuglio malato di cadavaberry
Dodgy ground;Terreno instabile
Dolphin;Delfino
Door hotspot;Hotspot della porta
Dragonfire;Fuoco del Drago
Draynor Manor Portal;Portale del maniero Draynor
Dream puff;Soffio da sogno
Dwarf multicannon;Multicannone nano
Dwarven Consortium Table;Tavolo del Consorzio Nanico
Eagle lever;Leva dell'Aquila
Dragon bitter;Drago amaro
Drift net (full);Rete derivante (completa)
Dyed fabric;Tessuto tinto
Earth rift;Spaccatura della terra
Diseased strawberry plant;Pianta di fragole malata
Dominic's coffer;Il forziere di Domenico
Dwarf bath;Bagno dei nani
Dwarven Stout;Nano robusto
Dwarven machinery;Macchinari nanici
Display board;Tabellone espositivo
Dream Tree stump;Ceppo di albero da sogno
Dresser space;Spazio comò
Drips;Gocciola
Drive belt;Cinghia di trasmissione
Drying line;Linea di asciugatura
Dummy;Manichino
Dungeon entrance;Ingresso della prigione
Display case;Vetrina
Dock Leaf;Foglia di bacino
Dolmen;Dolmen
Dragon's head;Testa di drago
Dramen tree;Albero Dramen
Drift net anchors;Ancore per reti derivanti
Drill;Trapano
Dripping tendrils;Viticci gocciolanti
Dying tree;Albero morente
Display Case;Vetrina
Doric's Whetstone;La pietra per affilare di Doric
Dragonfly;Libellula
Dragonfruit tree;Albero del frutto del drago
Drain Pipe;Tubo di scarico
Dripping vine;Vite gocciolante
Dying tree Stump;Ceppo di albero morente
Dragon egg;Uovo di drago
Dragon statue;Statua del drago
Dry patch;Zona asciutta
Dwarf MultiCannon;Multicannone nano
Diseased redberry bush;Cespuglio di mirtilli rossi malato
Dock leaf plant;Pianta a foglia di bacino
Door;Porta
Doors of Dinh;Porte di Dinh
Dresser;Comò
Drip;Gocciolare
Diseased tomato plant;Pianta di pomodoro malata
Diseased whiteberry bush;Cespuglio malato di mirtilli bianchi
Display space;Spazio espositivo
Double bed;Letto matrimoniale
Drilling machine;Perforatrice
Diseased potatoes;Patate malate
Diseased sweetcorn plant;Pianta di mais dolce malata
Dwarf;Nano
Dwarf remains;Resti nani
Dwarf statue;Statua nana
Earth Mound;Tumulo di terra
Diseased woad plant;Pianta di guado malata
Domination marker;Indicatore di dominazione
Dragon Bitter;Drago Amaro
Dragon corpse;Cadavere del drago
Dwarf Flag;Bandiera dei Nani
Dye Pots;Vasi di tintura
Display table;Tabella di visualizzazione
Disturbed sand;Sabbia disturbata
Door space;Spazio sulla porta
Doorway;Porta
Dragonhide Leather;Pelle di pelle di drago
Dungeon door;Porta della prigione
Dwarf mirror;Specchio nano
Diseased rosemary;Rosmarino malato
Diseased seaweed;Alghe malate
Dragon head;Testa di drago
Dragon trophy display;Esposizione del trofeo del drago
Drain;Drenare
Dream List;Lista dei sogni
Druid's robes;Vesti del druido
Dolls and balls;Bambole e palline
Doors;Porte
Driftwood;Legni alla deriva
Dry stone wall;Muretto a secco
Dwellberry bush;Cespuglio di Dwellberry
Diseased watermelons;Angurie malate
Dishes;Piatti
Dragonfruit tree stump;Ceppo di albero del frutto del drago
Drained Crystal;Cristallo drenato
Drapes;Tende
Drawer space;Spazio nei cassetti
Drawers;Cassetti
Dream tree;Albero da sogno
Drunken Dwarf;Nano ubriaco
Dug hole;Buco scavato
Dung;Letame
Dusk;Crepuscolo
Eight;Otto
Empty basket;Cesto vuoto
Experiment cabinet;Gabinetto degli esperimenti
Fabric rack;Porta tessuti
Edge;Bordo
Egg;Uovo
Empty pedestal;Piedistallo vuoto
Empty pool;Piscina vuota
Enchanters Teleport;Teletrasporto degli incantatori
Evil claw;Artiglio malvagio
Extractor gun;Pistola estrattore
Fabric;Tessuto
Fairy ring;Anello fata
Egg sac;Sacco di uova
Embers;Brace
Equipment table;Tabella delle attrezzature
Exit door;Porta d'uscita
Egg hopper;Tramoggia per uova
Elemental balance;Equilibrio elementare
Elite clue scroll display;Visualizzazione dello scorrimento degli indizi d'élite
Elven Crystal Chest;Forziere di cristallo elfico
Empty wall;Muro vuoto
Fairy bank;Banca delle fate
Fairy market stall;Bancarella del mercato delle fate
Efh salt;Efh sale
Electrified harpoonfish cannon;Cannone arpione elettrificato
Energy Barrier;Barriera energetica
Energy well;Energia bene
Engine Platform;Piattaforma motore
Entrance;Entrata
Evergreen;Sempreverde
Excalibur;Excalibur
Exit Sign;Segnale di uscita
Empty Stall;Stallo vuoto
Empty ash pile;Mucchio di cenere vuoto
Empty chest;Petto vuoto
Experiment booth;Stand per esperimenti
Fairy house;Casa delle fate
Fairy workbench;Banco da lavoro delle fate
Falador Portal;Portale Falador
Empty Sack;Sacco vuoto
Empty sack;Sacco vuoto
Exit;Uscita
Exit Teleport;Esci da Teletrasporto
Explosive potion table;Tavolo per pozioni esplosive
Eerie statue;Statua inquietante
Elf Flag;Bandiera degli Elfi
Exercise mat;Tappetino per esercizi
Experiment tube;Tubo per esperimenti
Extra anchor;Ancoraggio extra
Extractor hat-top;Cappello aspirante
Easel;Cavalletto
Elemental sphere;Sfera elementare
End of bridge;Fine del ponte
Eric;Eric
Exit path;Percorso d'uscita
Explosion;Esplosione
Fairly dark crystal;Cristallo abbastanza scuro
Fairy fountain;Fontana delle fate
Ectofuntus;Ectofuntus
Elevator controls;Comandi dell'ascensore
Empty rack;Scaffale vuoto
Energy Sphere;Sfera energetica
Fairy Queen;Regina delle fate
Energy Pylon;Pilone energetico
Experiment table;Tabella degli esperimenti
Fallen Wall;Muro caduto
Escape rope;Corda di fuga
Extractor hat;Cappello estrattore
Fallen statue;Statua caduta
Egg Sac;Sacco per uova
Elizabeth's barrel;La botte di Elisabetta
Empty Sarcophagus;Sarcofago vuoto
Empty lamp;Lampada vuota
Exit cavern;Uscite dalla caverna
Eye;Occhio
Eyes;Occhi
Eggs;Uova
Elemental balance space;Spazio di equilibrio elementare
Empty sac;Sacco vuoto
Evil Dave;Il malvagio Dave
Fallen soldier;Soldato caduto
Egg launcher;Lanciatore di uova
Egniol Potions;Pozioni di Egniol
Elaborate lockbox;Cassetta di sicurezza elaborata
Elevator;Ascensore
Elidinis Statuette;Statuetta Elidinis
Empty desk;Scrivania vuota
Evil eye decoration;Decorazione del malocchio
Exhumed;Riesumato
Fairy Queen throne;Trono della regina delle fate
Fallen Tree;Albero caduto
Elven lamp;Lampada elfica
Embalming tube;Tubo per imbalsamazione
Empty barrel;Barile vuoto
Empty clothes;Vestiti vuoti
Equipment;Attrezzatura
Exit portal;Portale d'uscita
Extra chain;Catena aggiuntiva
Fallen tree;Albero caduto
Fencing;Scherma
Fire of Eternal Light;Fuoco della Luce Eterna
Fireplace surround;Rivestimento del camino
Fish stall;Bancarella del pesce
Flames;Fiamme
Flour bin;Contenitore per farina
Fertile Soil;Terreno fertile
Firepit with pot;Braciere con pentola
Fixed bridge;Ponte fisso
Floor spikes;Punte del pavimento
Fancy range;Gamma fantasia
Fire of Dehumidification;Fuoco di Deumidificazione
Fire rift;Spaccatura del fuoco
Fish basket;Cesto di pesce
Flagpole;Pennone
Floor below;Piano sottostante
Flour;Farina
Fence end;Fine del recinto
Fern;Felce
Fire pit;Pozzo del fuoco
Fishing weights;Pesi da pesca
Flag;Bandiera
Fire of Domination;Fuoco del dominio
Fishing net;Rete da pesca
Flashing landing light;Luce di atterraggio lampeggiante
Floor space corner;Angolo dello spazio sul pavimento
Flower Patch;Toppa floreale
Fence;Recinzione
Fence mid;Recinzione a metà
Fire;Fuoco
Fishing trophy space;Spazio per i trofei di pesca
Fissure;Fessura
Flat stone;Pietra piatta
Flower;Fiore
Falling rock;Roccia che cade
Fence corner;Angolo della recinzione
Ferry;Traghetto
Fire of Nourishment;Fuoco del Nutrimento
Fireplace space;Spazio camino
Fish bowl;Ciotola di pesce
Five;Cinque
Flax;Lino
Floor space;Spazio sul pavimento
Fly trap;Trappola per mosche
Fan blade;Pala del ventilatore
Fire altar;Altare del fuoco
Fishing Contest Banner;Banner del concorso di pesca
Flat rock;Roccia piatta
Floor;Pavimento
Flowering fern;Felce fiorita
Fancy dress box space;Spazio nella scatola dei costumi
Farm door;Porta della fattoria
Felled Yommi tree;Albero Yommi abbattuto
Floor decoration;Decorazione del pavimento
Fancy dress box;Scatola per travestimenti
Farming patch;Zona agricola
Feathers;Piume
Fencing ring;Anello di scherma
Fenkenstrain's Castle Portal;Portale del castello di Fenkenstrain
Fire of Unseasonal Warmth;Fuoco del calore fuori stagione
Fishing spot;Luogo di pesca
Flaming Fire altar;Altare del fuoco fiammeggiante
Floating Book;Libro galleggiante
Floor space mid;Superficie utile media
Fence t-piece;Pezzo a T per recinzione
Fermenting Vat;Tino di fermentazione
Firepit;Braciere
Fireplace;Camino
Fishing Spot;Punto di pesca
Floorboards;Assi del pavimento
Fancy pool of Rejuvenation;Fantastica piscina di ringiovanimento
Figurehead;Polena
First aid box;Cassetta di pronto soccorso
Fish;Pescare
Floor space side;Lato spazio calpestabile
Floor tile;Piastrella per pavimento
Flowers;Fiori
Fog marker;Indicatore di nebbia
Fence space;Spazio recinto
Fire Wall;Muro di fuoco
Fire remains;Resta il fuoco
Firebox;Focolare
Firepit with hook;Braciere con gancio
Fishing Crane;Gru da pesca
Floats;Galleggia
Fly paper;Carta volante
Final Pillar;Ultimo pilastro
Firm snow patch;Zona di neve compatta
Fish bits;Pezzi di pesce
Fishing Guild Portal;Portale della Gilda dei Pescatori
Fishing rod;Canna da pesca
Flowerbed;Aiuola
Flute;Flauto
Fence bits;Pezzi di recinzione
Fire trap;Trappola antincendio
Falling door;Porta che cade
Fancy Jewellery Box;Portagioie fantasia
Filled Recess;Recesso riempito
Fishing Spot (Depleted);Punto di pesca (esaurito)
Flat ground;Terreno pianeggiante
Footprints;Impronte
Fossil cleaning bench;Banco per la pulizia dei fossili
Fossil fuel;Combustibile fossile
Furnace Coolant;Refrigerante del forno
Gear box;Scatola ingranaggi
Font;Font
Frozen door;Porta congelata
Frozen orc;Orco congelato
Funeral Pyre;Pira funebre
Gas hole;Foro del gas
Ghorrock Portal;Portale Ghorrock
Fractionalising still;Ancora frazionando
Frozen ornate pool of Rejuvenation;Piscina decorata e congelata del ringiovanimento
Frozen table;Tavola congelata
Fungi on log;Funghi sul registro
Fur stall;Bancarella di pellicce
Furnace;Forno
Gap;Spacco
Gates;Cancelli
Gem Rock;Gemma Roccia
Frog spit;Spiedo di rana
Garden fence;Recinzione del giardino
Gem Stall;Bancarella di gemme
Food chute;Scivolo per alimenti
Forest Mushrooms;Funghi di bosco
Forest floor;Suolo della foresta
Fortified gate;Porta fortificata
Fountain of Heroes;Fontana degli Eroi
Fountain of Rune;Fontana delle Rune
Fruit Tree Patch;Toppa per alberi da frutto
Fruit cart;Carrello della frutta
Fungus doormat;Zerbino con funghi
Geyser;Geyser
Giant Boulder;Masso gigante
Giant feathers;Piume giganti
Gilded Adventure Log;Registro delle avventure dorato
Fox;Volpe
Fremennik Boat;Barca Fremennik
Fremennik boat;Barca Fremennik
Game space;Spazio di gioco
Gift of Peace;Dono di pace
Gilded bench;Panca dorata
Four;Quattro
Fragment of Seren;Frammento di Seren
Frozen Pool of Restoration;Piscina ghiacciata della restaurazione
Fungus covered Cavern wall;Parete della caverna ricoperta di funghi
Giant vial;Fiala gigante
Gilded cape rack;Portamantello dorato
Fruit Stall;Bancarella di frutta
Fungus;Fungo
Fungus pattern;Modello di fungo
Fuse;Fusibile
General Bentnoze;Generale Bentnoze
General Stall;Stallo generale
Giant Anvil;Incudine gigante
Giant Dwarf;Nano gigante
Giant crystal;Cristallo gigante
Gibbet;Forca
Formidable passage;Passaggio formidabile
Fungus seat;Sede del fungo
Gallows;Forca
Gas bubble;Bolla di gas
Gate of War;Porta della Guerra
Gilded stand;Supporto dorato
Fossil Island display case;Vetrina Fossil Island
Frank's barrel;La botte di Frank
Free-for-all portal;Portale gratuito per tutti
Gabion defence;Difesa del gabbione
Gangplank;Passerella
Fountain of Uhld;Fontana di Uhld
General Graardor display;Visualizzazione generale di Graardor
General Wartface;Generale Wartface
Glarial's Tomb;Tomba di Glarial
Frog;Rana
Full fishing net;Rete da pesca completa
Gem stall;Bancarella di gemme
Generator;Generatore
Food Trough;Trogolo di cibo
Food trough;Trogolo per il cibo
Fossil Storage;Deposito fossile
Frame;Telaio
Frozen warrior;Guerriero congelato
Gigantic penguin;Pinguino gigantesco
Glarial's Tombstone;Lapide di Glarial
Frozen Pool of Revitalisation;Piscina ghiacciata di rivitalizzazione
G.A.G. banner;BAVAGLIO. bandiera
Gas cylinder;Bombola di gas
Gate;Cancello
Gazebo;Gazebo
Giant anvil;Incudine gigante
Gilded wardrobe;Armadio dorato
Food Stall;Bancarella di cibo
Food cupboard;Armadio per alimenti
Foot lockers;Armadietti per i piedi
Fountain;Fontana
Frozen Pool of Rejuvenation;Piscina ghiacciata di ringiovanimento
Frozen demon;Demone congelato
Frozen fancy pool of Rejuvenation;Piscina ghiacciata di ringiovanimento
Fungi;Funghi
Gauntlet Portal;Portale del guanto di sfida
Globe space;Spazio del globo
Goal;Obiettivo
Grassland;Prateria
Gnome bench;Panca dello gnomo
Gnome crates;Casse degli gnomi
Gold Castlewars armour;Armatura d'oro di Castlewars
Grave;Grave
Graveyard Teleport;Teletrasporto del cimitero
Gloves and duster;Guanti e spolverino
Glowing Orb;Sfera luminosa
Gnome cabinet;Gabinetto degli gnomi
Gnome landing light;Luce di atterraggio dello gnomo
Gnome skeleton;Scheletro di gnomo
Goat poo;Cacca di capra
Grain;Grano
Granary wall;Muro del granaio
Great Olmic Statue;Grande statua olmica
Greenman's ale;La birra di Greenman
Glowing Fungus;Fungo incandescente
Gnome barrel;Barile di gnomo
Gnome cooker;Fornello per gnomi
Gnome crowd;Folla di gnomi
Gobln Merfsh;Gobln Merfsh
Golden Gnome;Gnomo d'oro
Goo covered vine;Vite ricoperta di sostanza appiccicosa
Grass;Erba
Globe;Globo
Glove Rack;Porta guanti
Glyphs;Glifi
Gnome chair;Sedia dello gnomo
Gnome table;Tavolo da gnomo
Golem rubble;Macerie del Golem
Grand Exchange Portal;Portale del Grande Scambio
Gnome barrels;Botti di gnomi
Gnome goal;Obiettivo dello gnomo
Golem arm;Braccio del golem
Gramophone;Grammofono
Granary roof;Tetto del granaio
Globe of Gielinor;Globo di Gielinor
Grand Gold Chest;Grande baule d'oro
Grate;Grattugiare
Grave of Scorpius;Tomba di Scorpione
Glouphrie statue;Statua di Glouphrie
Glowing Carving;Scultura luminosa
Glowing crystal;Cristallo luminoso
Godfather throne;Trono del Padrino
Goutweed Crate;Cassa di erba gotta
Grand bookshelf;Grande libreria
Greater magic circle;Cerchio magico maggiore
Golden lantern;Lanterna dorata
Gout Tuber Plant;Pianta del tubero di gotta
Goutweed;Goutweed
Grain sacks;Sacchi di grano
Grand Exchange booth;Stand del Grande Scambio
Grape arbor;Pergolato d'uva
Green chemical;Chimica verde
Greenmans Ale;Greenman's Ale
Gnome crate;Cassa dello gnomo
Golden pear bush;Cespuglio di pera dorata
Golovanova seedling;Piantina di Golovanova
Gravestone;Lapide
Greater teleport focus;Maggiore concentrazione sul teletrasporto
Green door;Porta verde
Goat;Capra
Goblin stove;Stufa Goblin
Gold;Oro
Golden cage;Gabbia dorata
Golem foot;Piede del Golem
Golem head;Testa del Golem
Grandfather clock;Orologio a pendolo
Green tears;Lacrime verdi
Glass table;Tavolo in vetro
Gold Chest;Cassa d'oro
Green banner;Bandiera verde
Glass door;Porta in vetro
Gnome Glider;Gnomo Aliante
Golden tree;Albero d'oro
Golem body;Corpo del Golem
Gourd tree;Albero di zucca
Grand Exchange display;Esposizione del Grande Scambio
Glowing carving;Scultura luminosa
Golf-cart;Carrello da golf
Golovanova plant;Pianta Golovanova
Gorilla Statue;Statua del gorilla
Grape vine;Vite d'uva
Grapevine;Vite
Grave marker;Lapide tombale
Grill;Griglia
Gnome Flag;Bandiera dello Gnomo
Goblin crowd;Folla di goblin
Grain of Plenty;Grano dell'abbondanza
Grandiose Doors;Porte grandiose
Grapevines;Viti
Glowing fungus;Fungo incandescente
Gnome glider;Aliante dello gnomo
Gnome statue;Statua dello gnomo
Gold Screen;Schermo d'oro
Gold cannonball;Palla di cannone d'oro
Grandfather Clock;Orologio a pendolo
Great Olm display;Ottimo display Olm
Hanging meat;Carne appesa
Hespori;Hespori
Grinder;Smerigliatrice
Guild door;Porta della gilda
Guthix Portal;Portale Guthix
Heap of bricks;Mucchio di mattoni
Heather;Erica
Herb Stall;Bancarella delle erbe
Grotto;Grotta
Habitat space;Spazio abitativo
Hanging log;Tronco sospeso
Hardcore Ironman;Ironman hardcore
Hazeel's coffin;La bara di Hazeel
Heavy door;Porta pesante
Hidden trapdoor;Botola nascosta
Grim lilly;Lilly triste
Guard dog;Cane da guardia
Harpoonfish cannon;Cannone per pesci arpione
Healer item machine;Macchina per oggetti guaritori
Hearth;Focolare
Growing vine;Vite in crescita
Handholds;Maniglie
Hay bales;Balle di fieno
Hefin Banner;Stendardo Hefin
Hespori patch;Cerotto Hespori
Guard;Guardia
Guide rope;Corda guida
Hanging banner;Striscione appeso
Hanging pirate;Pirata impiccato
Hat rack;Cappelliera
Hazelmere statue;Statua di Hazelmere
Hellhound;Segugio infernale
Heraldry space;Spazio araldico
Heroic statue;Statua eroica
Guard space;Spazio di guardia
Guild trophy space;Spazio per i trofei della gilda
Half-built Loom;Telaio costruito a metà
Hammock;Amaca
Hand holds;La mano tiene
Hanger;Appendiabiti
Hank (ghastly!);Hank (orribile!)
Hank (sick);Hank (malato)
Hay Bales;Balle di fieno
Herbs;Erbe
Hanging;Sospeso
Hanging tapestry;Arazzo sospeso
Harpoons;Arpioni
Healer spring;Primavera guaritrice
Healthorg statue;Statua dell'Healthorg
Hedge;Siepe
Herman's desk;La scrivania di Herman
Grimgnash;Grimgnash
Grubby Door;Porta sporca
Haar-Tok;Haar-Tok
Hammerstone Hops;Luppolo Hammerstone
Handle;Maniglia
Handy portal;Portale pratico
Hangman game;Gioco dell'impiccato
Harp;Arpa
Hat stand;Supporto per cappelli
Head trophy space;Spazio per i trofei in testa
Growing wheat;Coltivare il grano
Guild Door;Porta della Gilda
Hanging hand;Mano appesa
Herb;Erba
High Stakes;La posta in gioco è alta
Grym Root;Grym Radice
Gun Locker;Armadietto per armi
Harvested Celastrus tree;Albero di Celastrus raccolto
Heat;Calore
Helmet pluming stand;Supporto per piumaggio del casco
Grubby Chest;Petto sporco
Grym Root (Depleted);Radice Grym (esaurita)
Hanging cape;Mantello appeso
Hanging flag;Bandiera appesa
Hanging wheel;Ruota sospesa
Harmony Island Portal;Portale dell'Isola dell'Armonia
Hatch;Schiudere
Healing certificate;Certificato di guarigione
Hedging;Copertura
Henge;Henge
Herb patch;Patch di erbe
Hillside entrance;Ingresso in collina
Grotesque Guardians' display;Esposizione dei guardiani grotteschi
Hammers;Martelli
Hank (very sick);Hank (molto malato)
Hardwood Grove Doors;Porte Grove in legno duro
Hardy goutweed;Erba di gotta resistente
Haystack;Pagliaio
Hidden Statue;Statua nascosta
Hill;Collina
Hammer;Martello
Hank (Well);Hank (beh)
Guitar;Chitarra
Hanging dye;Tintura appesa
Grotto tree;Albero della grotta
Hard rock;Roccia dura
Hay bale;Balla di fieno
Headless statue;Statua senza testa
Heater;Stufa
Hollowed rock;Roccia scavata
Hoop Snake;Serpente a cerchio
Hutch;Capanna
Iban's Throne;Trono di Iban
Ice Light;Luce di ghiaccio
Ice crystal;Cristallo di ghiaccio
Icon of Zamorak;Icona di Zamorak
Imposing Doors;Porte imponenti
Incinerator;Inceneritore
Hoisted sail;Vela issata
Hole in wall;Buco nel muro
Huge Gate;Porta enorme
Icon of Gnome Child;Icona del Bambino Gnomo
Hobgoblin;Hobgoblin
Hole;Buco
Hole in the wall;Buco nel muro
Hollow Log;Registro cavo
Howling Snow Storm;Tempesta di neve ululante
Ice ledge;Sporgenza di ghiaccio
Icosahedron Pile;Pila di icosaedro
Illuminated Symbol;Simbolo illuminato
Inconspicuous bush (hard);Cespuglio poco appariscente (duro)
Inconspicuous hole (elite);Buco poco appariscente (elite)
Inconspicuous hole (master);Foro poco appariscente (master)
Inconspicuous hole (medium);Foro poco appariscente (medio)
Infernal chart;Carta infernale
Holy barrier;Sacra barriera
Ice steps;Gradini di ghiaccio
Icy rocks;Rocce ghiacciate
Inconspicuous crate (easy);Cassa poco appariscente (facile)
Inconspicuous hole (hard);Foro poco appariscente (difficile)
