 Sneaky undead fowl;Uccelli non morti subdoli
Ducklings;Anatroccoli
Dugopul;Dugopul
Duke;Duca
Duke Horacio;Duca Orazio
Dummy;Manichino
Dumpy;Sporco
Dunce;Somaro
Dung;Letame
Dungeon rat;Ratto della prigione
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Crepuscolo
Dust devil;Diavolo della polvere
Dusty Aliv;Aliv polveroso
Dusuri;Dusuri
Dwarf;Nano
Dwarf gang member;Membro di una banda di nani
Dwarven Boatman;Barcaiolo nanico
Dwarven Engineer;Ingegnere nanico
Dwarven Ferryman;Traghettatore nanico
Dwarven Miner;Minatore nanico
Eadburg;Edburg
Eadgar;Eadgar
Eagle;Aquila
Earth Warrior Champion;Campione Guerriero della Terra
Earth elemental;Elementale della terra
Earth impling;Implicamento della Terra
Earth warrior;Guerriero della Terra
Earth wizard;Mago della Terra
Earwen;Earwen
Eblis;Eblis
Echned Zekin;Echned Zekin
Eclectic impling;Implicazione eclettica
Ed;Ed
Ed Wood;Ed Wood
Edmond;Edmond
Edrahil;Edrahil
Eduard;Edoardo
Edward;Edoardo
Eebel;Eebel
Eek;Eeeek!!!
Efa;Efa
Effigy;Effigie
Egg;Uovo
Egg launcher;Lanciatore di uova
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ektheme
Eldalote;Eldalote
Elder Chaos druid;Druido anziano del Caos
Elder Gnome child;Anziano Gnomo bambino
Elder Guard;Guardia Anziana
Elderly Elf;Elfo anziano
Eldgrim;Eldgrim
Elemental balance;Equilibrio elementare
Elemental rock;Roccia elementare
Elena;Elena
Elena Hosidius;Elena Osidio
Elenwe;Elewe
Elf Archer;Elfo Arciere
Elf Hermit;Elfo Eremita
Elf Tracker;Elfo inseguitore
Elf Warrior;Elfo Guerriero
Elfinlocks;Elfinlocks
Elgan;Elgan
Elijah;Elia
Elisabeta;Elisabetta
Elise;Elisa
Elissa;Elissa
Elite Void Knight;Cavaliere del Vuoto d'élite
Elizabeth;Elisabetta
Elkoy;Elkoy
Elladan;Elladan
Ellen;Elena
Ellena;Elena
Ellie;Ellie
Ellis;Ellis
Elly the Camel;Elly il cammello
Elnock Inquisitor;Inquisitore Elnock
Elsie;Elsie
Elstan;Elstan
Eluned;Eluned
Elvarg;Elvarg
Elvarg (hard);Elvarg (difficile)
Elven Scout;Esploratore elfico
Embalmer;Imbalsamatore
Emblem Trader;Commerciante di emblemi
Emerald Benedict;Benedetto Smeraldo
Emilia;Emilia
Emily;Emily
Enakhra;Enakhra
Enchanted Broom;Scopa Incantata
Enchanted Bucket;Secchio Incantato
Enchantment Guardian;Guardiano degli incantesimi
Enclave guard;Guardia dell'enclave
Enel;Enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Focalizzazione energetica (blu)
Energy focus (green);Focus energetico (verde)
Energy focus (red);Focalizzazione energetica (rosso)
Energy focus (white);Focalizzazione energetica (bianco)
Energy sprite;Spirito energetico
Engineer;Ingegnere
Engineering assistant;Assistente di ingegneria
Enilly;Enilly
Eniola;Eniola
Enoch;Enoch
Enormous Tentacle;Tentacolo enorme
Enraged Tektiny;Tektiny infuriato
Enraged barbarian spirit;Spirito barbaro infuriato
Ent;Ent
Entomologist;Entomologo
Entrana firebird;Entrana uccello di fuoco
Entrance Guardian;Guardiano dell'ingresso
Eodan;Eodan
Eohric;Eohric
Eoin;Eoin
Episcula Helsing;Episcula Helsing
Erdan;Erdan
Erestor;Erestore
Eric;Eric
Ermin;Erminio
Ernest;Ernesto
Erodoeht;Erodoeht
Escaping slave;Schiavo in fuga
Essence impling;Implicazione dell'essenza
Essyllt;Essenzialmente
Essyllt (hard);Essellt (difficile)
Estate agent;Agente immobiliare
Esther;Ester
Ethereal Expert;Esperto Etereo
Ethereal Fluke;Fluke etereo
Ethereal Guide;Guida eterea
Ethereal Lady;Signora eterea
Ethereal Man;L'uomo etereo
Ethereal Mimic;Mimica Eterea
Ethereal Numerator;Numeratore etereo
Ethereal Perceptive;Etereo Percettivo
Eudav;Eudav
Eve;Vigilia
Evil Bob;Il cattivo Bob
Evil Chicken;Pollo malvagio
Evil Chicken (hard);Pollo malvagio (difficile)
Evil Dave;Il malvagio Dave
Evil creature;Creatura malvagia
Evil spirit;Spirito maligno
Ewesey;Ewesey
Examiner;Esaminatore
Executioner;Boia
Experiment;Sperimentare
Experiment No.2;Esperimento n.2
Ezekial Lovecraft;Ezechiele Lovecraft
Factory Manager;Direttore di fabbrica
Factory Worker;Operaio di fabbrica
Fadli;Fadli
Fairy;Fata
Fairy Aeryka;Fata Aeryka
Fairy Fixit;Fata Aggiusta
Fairy Godfather;Fata Padrino
Fairy Nuff;Fata Basta
Fairy Queen;Regina delle fate
Fairy Very Wise;Fata molto saggia
Fairy chef;Cuoco delle fate
Fairy shop assistant;Commessa del negozio di fate
Fairy shop keeper;Negoziante delle fate
Fake Man;Uomo falso
Fallen Man;Uomo caduto
Falo the Bard;Falo il Bardo
Fancy Dan;Fantasia Dan
Fanellaman;Fanellaman
Fareed;Fatto
Fareed (hard);Fareed (difficile)
Farid Morrisane (ores and bars);Farid Morrisane (minerali e lingotti)
Farmer;Contadino
Farmer Brumty;Il contadino Brumty
Farmer Fromund;Contadino Fromund
Farmer Gricoller;Agricoltore Gricoller
Farmer Hayfield;Il contadino Hayfield
Farmer's wife;La moglie del contadino
Farolt;Farolt
Fat Rocco;Rocco Grasso
Fat Tony;Tony grasso
Father Aereck;Padre Aereck
Father Badden;Padre Badden
Father Eysseric;Padre Eysseric
Father Jean;Padre Jean
Father Lawrence;Padre Lorenzo
Father Reen;Padre Reen
Father Urhney;Padre Urhney
Fayeth;Fayeth
Feanor;Fëanor
Fear reaper;Mietitore di paura
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Schiava
Femi;Femi
Fenkenstrain's Monster;Il mostro di Fenkenstrain
Feral Vampyre;Vampiro Feroce
Ferd;Ferd
Fernahei;Fernahei
Ferocious barbarian spirit;Feroce spirito barbaro
Ferox;Ferox
Ferret;Furetto
Ferryman Nathwood;Traghettatore Nathwood
Ferryman Sathwood;Traghettatore Sathwood
Fever spider;Ragno della febbre
Ffoni;Ffoni
Fidelio;Fedelio
Fightslave;Combatti schiavo
Filamina;Filamina
Filliman Tarlock;Filiman Tarlock
Financial Seer;Veggente finanziario
Financial Wizard;Mago finanziario
Finarfin;Finarfin
Findis;Trova
Finduilas;Finduilas
Fingolfin;Fingolfin
Fingon;Fingon
Finn;finlandese
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Guerriero del fuoco di Lesarkus
Fire elemental;Elementale del fuoco
Fire giant;Gigante del fuoco
Fire wizard;Mago del fuoco
First Mate Deri;Primo ufficiale Deri
First Mate Peri;Primo Ufficiale Peri
First mate 'Davey-boy';Primo ufficiale 'Davey-boy'
Fish;Pescare
Fish monger;Pescivendolo
Fish shoal;Banco di pesci
Fishbowl;Acquario
Fisherman;Pescatore
Fisherman Frodi;Pescatore Frodi
Fishing spot;Luogo di pesca
Fishing tutor;Tutor di pesca
Fishmonger;Pescivendolo
Fiyr Shade;Fiyr Ombra
Fiyr Shadow;Fiyr Ombra
Flambeed;Flambé
Flambeed (hard);Flambeed (difficile)
Flaming pyrelord;Signore del Piro Fiammeggiante
Flawed Golem;Golem imperfetto
Flax keeper;Custode del lino
Flaygian Screwte;Flaygian Screwte
Flesh Crawler;Strisciatore di carne
Flies;Mosche
Flight Kilisa;Volo Kilisa
Flippa;Flippa
Flockleader Geerin;Capo Stormo Geerin
Floki;Floki
Florin;Fiorino
Flosi Dalksson;Flosi Dalksson
Flower;Fiore
Flower Girl;Ragazza dei fiori
Fly trap;Trappola per mosche
Flying Book;Libro volante
Flying Vespina;Vespina volante
Flying female vampire;Vampiro volante
Flynn;Flynn
Foreman;Caposquadra
Forester;Guardaboschi
Forester (hard);Forester (difficile)
Forgotten Soul;Anima dimenticata
Former Vampyre;Ex vampiro
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Guardia della fortezza
Fortunato;Fortunato
Fossegrimen;Fossegrimen
Fossil Collector;Collezionista di fossili
Fossil Rock;Roccia fossile
Fox;Volpe
Fragment of Seren;Frammento di Seren
Francis;Francesco
Francois;François
Frank;Franco
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Strano guardaboschi
Freald;Freddo
Fred the Farmer;Fred il contadino
Freidir;Freidir
Freja;Freja
Fremennik Warrior;Guerriero Fremennik
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Frigorir
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frincos
Fritz the Glassblower;Fritz il soffiatore di vetro
Frizzy Skernip;Skernip crespo
Frog;Rana
Frog prince;Principe ranocchio
Frog princess;Principessa rana
Frogeel;Frogeel
Froono;Frono
Fuggy;Fuggito
Fullangr;Fullangr
Fungi;Funghi
Fur trader;Commerciante di pellicce
Furnace grate;Griglia del forno
Fycie;Per tua informazione
Fyiona Fray (easy);Fyiona Fray (facile)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;Dipendente GPDT
Gabooty;Gabooty
Gabriela;Gabriela
Gadderanks;Gadderranks
Gadrin;Gadrin
Gaius;Gaio
Galahad;Galahad
Galana;Galana
Galathil;Galathil
Galina;Galina
Gallow;Forca
Galvek;Galvek
Gamer;Giocatore
Gamfred;Gamfred
Gang boss;Capo della banda
Gangster;Gangster
Garai;Garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Fornitore di giardini
Gardener;Giardiniere
Gardener Ghost;Fantasma del giardiniere
Gardener Gunnhild;Il giardiniere Gunnhild
Gardener Jay Jr.;Il giardiniere Jay Jr.
Gargh;Gargh
Gargoyle;Gargoyle
Garkor;Garkor
Garl;Garl
Garth;Gart
Garv;Garv
Gate of War;Porta della Guerra
Gatekeeper;Guardiano
Gauss;Gauss
Gee;Cavolo
Gelatinnoth Mother;Madre Gelatinnoth
Gelatinnoth Mother (hard);Gelatinnoth Madre (difficile)
Gelin;Gelino
Gelmir;Gelmir
Gem;Gemma
Gem merchant;Mercante di gemme
Gem trader;Commerciante di gemme
Gene;Gene
General Babacus;Generale Babaco
General Bentnoze;Generale Bentnoze
General Graardor;Generale Graardor
General Graardor Jr.;Generale Graardor Jr.
General Hining;Generale Hining
General Khazard;Generale Khazard
General Kilian;Generale Kilian
General Salara;Generale Salara
General Vir;Generale Vir
General Wartface;Generale Wartface
Generic Diplomat;Diplomatico generico
Genie;Genio
George Laxmeister;George Laxmeister
Georgy;Georgy
Gerald;Gerardo
Gerrant;Gerrante
Gertrude;Gertrude
Gertrude's cat;Il gatto di Gertrude
Gethin;Gethin
Ghaslor the Elder;Ghaslor il Vecchio
Ghast;Orribile
Ghommal;Ghommal
Ghost;Fantasma
Ghost (?);Fantasma (?)
Ghost banker;Banchiere fantasma
Ghost captain;Capitano fantasma
Ghost disciple;Discepolo fantasma
Ghost farmer;Coltivatore fantasma
Ghost guard;Guardia fantasma
Ghost innkeeper;Locandiere fantasma
Ghost sailor;Marinaio fantasma
Ghost shopkeeper;Negoziante fantasma
Ghost villager;Abitante del villaggio fantasma
Ghoul;Ghoul
Ghoul Champion;Campione dei Ghoul
Gianne jnr.;Gianne jr.
Giant;Gigante
Giant Champion;Campione gigante
Giant Lobster;Aragosta gigante
Giant Mole;Talpa gigante
Giant Roc;Rocco gigante
Giant Roc (hard);Roc Gigante (difficile)
Giant Rock Crab;Granchio gigante della roccia
Giant Sea Snake;Serpente marino gigante
Giant Squirrel;Scoiattolo gigante
Giant bat;Pipistrello gigante
Giant crypt rat;Ratto gigante della cripta
Giant crypt spider;Ragno gigante della cripta
Giant frog;Rana gigante
Giant lobster;Aragosta gigante
Giant mosquito;Zanzara gigante
Giant rat;Ratto gigante
Giant rockslug;Lumaca gigante
Giant scarab;Scarabeo gigante
Giant scarab (hard);Scarabeo gigante (difficile)
Giant skeleton;Scheletro gigante
Giant snail;Lumaca gigante
Giant spider;Ragno gigante
Gielinor Guide;Guida Gielinor
Giles;Giles
Gileth;Gileth
Gillie Groats;Gillie Groats
Giral bat;Pipistrello girale
Gita Prymes;Gita Prymes
Gladiator;Gladiatore
Glenda;Glenda
Glod;Dio
Glod (hard);Glod (difficile)
Glorfindel;Glorfindel
Glough;Glough
Glouphrie the Untrusted;Glouphrie l'Inaffidabile
Gnocci the Cook;Gnocci il cuoco
Gnome;Gnomo
Gnome Archer;Gnomo Arciere
Gnome Coach;Gnomo Allenatore
Gnome Driver;Gnomo Driver
Gnome Mage;Gnomo Mago
Gnome Waiter;Gnomo cameriere
Gnome ball referee;Arbitro di palla gnomo
Gnome baller;Gnomo ballerino
Gnome banker;Gnomo banchiere
Gnome child;Bambino gnomo
Gnome companion;Compagno gnomo
Gnome emissary;Emissario degli Gnomi
Gnome guard;Gnomo guardiano
Gnome shop keeper;Gnomo negoziante
Gnome soldier;Gnomo soldato
Gnome trainer;Addestratore di gnomi
Gnome traveller;Gnomo viaggiatore
Gnome troop;Truppa di gnomi
Gnome winger;Ala gnomica
Gnome woman;Gnoma donna
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Capra
Goat Poo;Cacca di capra
Goblin;Goblin
Goblin Champion;Campione Goblin
Goblin Cook;Cuoco Goblin
Goblin fish;Pesce goblin
Goblin guard;Guardia goblin
Goblin scribe;Scriba goblin
Godric;Godric
Gold ore;Minerale d'oro
Golden sheep;Pecora d'oro
Golden warbler;Beccaccia dorata
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorilla
Gossip;Pettegolezzo
Gourmet;Buongustaio
Gourmet impling;Impieghi gourmet
Grace;Adornare
Grail Maiden;Fanciulla del Graal
Grand Exchange Clerk;Impiegato del Grande Cambio
Grandpa Jack;Nonno Jack
Grave;Grave
Grave digger;Scavatore di tombe
Grave scorpion;Scorpione grave
Graveyard Guardian;Guardiano del cimitero
Gravingas;Gravingas
Greasycheeks;Guance unte
Great Olm;Grande Olm
Great Olm (Left claw);Olmo Grande (artiglio sinistro)
Great Olm (Right claw);Olmo Grande (artiglio destro)
Great blue heron;Airone blu maggiore
Greater Nechryael;Necriael Maggiore
Greater Skeleton Hellhound;Scheletro Maggiore del Segugio Infernale
Greater abyssal demon;Demone abissale maggiore
Greater demon;Demone maggiore
Greater ghostly thrall;Maggiore schiavitù spettrale
Greater skeletal thrall;Maggiore schiavitù scheletrica
Greater zombified thrall;Schiavitù zombificata maggiore
Green Gemstone Director;Direttore della Gemma Verde
Green Gemstone Secretary;Segretario della pietra preziosa verde
Green Sheep;Pecora Verde
Green dragon;Drago verde
Green fireflies;Lucciole verdi
Greengrocer;Fruttivendolo
Greldo;Greldo
Grew;Cresciuto
Grey golem;Golem grigio
Grigor Rasputin;Grigor Rasputin
Grigore;Gregorio
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Presa
Grish;Grish
Grizzly bear;Orso grizzly
Grizzly bear cub;Cucciolo di orso grizzly
Growler;Growler
Growthling;Crescente
Grubfoot;Grubfoot
Grubor;Grubor
Gruff McScruff;Il burbero McScruff
Grug;Grug
Gruh;Gruh
Grum;Grum
Grundt;Grundt
Grunsh;Grunsh
Gruva Patrull;Gruva Patrull
Guanic bat;Pipistrello guanico
Guard;Guardia
Guard Bandit;Bandito della guardia
Guard Captain;Capitano della Guardia
Guard Recruiter;Reclutatore della guardia
Guard Vemmeldo;Guardia Vemmeldo
Guard dog;Cane da guardia
Guardian Drake;Guardiano Drake
Guardian mummy;Mummia guardiana
Guardian of Armadyl;Guardiano di Armadyl
Guidor;Guidor
Guildmaster;Maestro della gilda
Guildmaster Jane;Il maestro della gilda Jane
Guildmaster Lars;Il maestro della gilda Lars
Guilin;Guilin
Guinevere;Ginevra
Gujuo;Gujuo
Gull;Gabbiano
Gulldamar;Gulldamar
Gulluck;Gulluck
Gundai;Gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdstrom
Gunnjorn;Gunnjorn
Gunslik;Gunslik
Gunthor the brave;Gunthor il coraggioso
Guthan the Infested;Guthan l'Infestato
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;Zingaro
Gypsy Aris;Aris zingaro
Gyr Falcon;Gyr Falcon
H.A.M. Archer;PROSCIUTTO. Arciere
H.A.M. Deacon;PROSCIUTTO. Diacono
H.A.M. Guard;PROSCIUTTO. Guardia
H.A.M. Mage;PROSCIUTTO. Mago
H.A.M. Member;PROSCIUTTO. Membro
HAM member;Membro dell'HAM
HRH Hrafn;HRH Hrafn
Habibah;Habibah
Hadley;Hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Parrucchiere
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Mezzo zombie
Half-soulless;Mezza senz'anima
Halla;Ciao
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hamal il capo
Hameln the Jester;Hameln il giullare
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Barbaforte Hammerspike
Hanchen the Hound;Hanchen il Mastino
Hangman game;Gioco dell'impiccato
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Harold
Harold Evans;Harold Evans
Harpert;Harpert
Harpie Bug Swarm;Sciame di insetti arpie
Harrallak Menarous;Harrallak Menaroso
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hazio Cosainto
Haze;Foschia
Hazeel;Hazeel
Hazeel Cultist;Cultista di Hazeel
Hazelmere;Hazelmere
Head;Testa
Head Guard;Capo Guardia
Head Mourner;Capo in lutto
Head Thief;Capo ladro
Head chef;Capocuoco
Headless Beast;Bestia senza testa
Headless Beast (hard);Bestia senza testa (difficile)
Healthorg and tortoise;Healthorg e tartaruga
Heckel Funch;Heckel Funch
Hegir;Hegir
Helemos;Helemos
Helena;Elena
Helga;Helga
Hell-Rat;Ratto infernale
Hell-Rat Behemoth;Behemoth Ratto Infernale
Hell-kitten;Gattino infernale
Hellcat;Gatto infernale
Hellhound;Segugio infernale
Hellpuppy;Hellpuppy
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;Herbi
Herbiboar;Cinghiale erbaceo
Herman Caranos;Herman Caranos
Hero;Eroe
Heron;Airone
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Hespori
Het;Ehi
Hetty;Hetty
Hewey;Ehi
Hickton;Hickton
Hieve;Alveare
High Priest;Sommo Sacerdote
High Priestess Zul-Harcinqa;Alta Sacerdotessa Zul-Harcinqa
Highwayman;Bandito
Hild;Hild
Hill Giant;Gigante della collina
Hirko;Hirko
Historian Duffy;Lo storico Duffy
Historian Minas;Lo storico Minas
Hiylik Myna;Hiylik Myna
Hobbes;Hobbes
Hobgoblin;Hobgoblin
Hobgoblin Champion;Campione Hobgoblin
Hofuthand (weapons and armour);Hofuthand (armi e armature)
Hole in the wall;Buco nel muro
Holgart;Holgart
Holoy;Santo cielo
Holthion;Holtion
Homunculus;Omuncolo
Honest Jimmy;Onesto Jimmy
Honour guard;Guardia d'onore
Hooded Figure;Figura incappucciata
Hooknosed Jack;Jack dal naso adunco
Hoop Snake;Serpente a cerchio
Hopeless beast;Bestia senza speranza
Hopeless creature;Creatura senza speranza
Hopleez;Hopleez
Hops;Luppolo
Horace;Orazio
Horacio;Orazio
Horned graahk;Graahk cornuto
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Casa
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudon
Huge spider;Ragno enorme
Hugor;Ugor
Hunding;Hunding
Hunting expert;Esperto di caccia
Hura;Hura
Husk;Buccia
Hydra;Idra
Hygd;Hygd
Ian;Ian
Iban;Iban
Ice Queen;Regina dei ghiacci
Ice Troll;Troll dei ghiacci
Ice Troll King;Re dei Troll dei Ghiacci
Ice Troll King (hard);Re dei Troll di Ghiaccio (difficile)
Ice block;Blocco di ghiaccio
Ice demon;Demone del ghiaccio
Ice giant;Gigante del ghiaccio
Ice spider;Ragno di ghiaccio
Ice troll;Troll del ghiaccio
Ice troll female;Femmina di troll dei ghiacci
Ice troll grunt;Grugnito del troll dei ghiacci
Ice troll male;Troll dei ghiacci maschio
Ice troll runt;Un troll dei ghiacci
Ice warrior;Guerriero del ghiaccio
Ice wolf;Lupo di ghiaccio
Iceberg;Iceberg
Icefiend;Demone del ghiaccio
Icelord;Signore del ghiaccio
Icicle;Ghiacciolo
Icthlarin;Ictlarin
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Ignazio Vulcano
Ignisia;Ignisia
Ikkle Hydra;Niente Idra
Ileana;Ileana
Ilfeen;Ilfeen
Ima;Sono
Imerominia;Imerominia
Imiago;Imiago
Imin;Imin
Iminye;Iminye
Immenizz;Immenizz
Imp;Imp
Imp Champion;Campione Imp
Imp defender;Difensore Imp
Imre;Imre
Incapacitated Pyromancer;Piromante incapace
Indis;Indis
Infernal Mage;Mago Infernale
Infernal pyrelord;Signore dei Pire infernali
Information clerk;Addetto alle informazioni
Inga;Inga
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Guardiano della locanda
Innocent-looking key;Chiave dall'aspetto innocente
Insatiable Bloodveld;L'insaziabile Bloodveld
Insatiable mutated Bloodveld;L'insaziabile mutante Bloodveld
Invrigar the Necromancer;Invrigar il Negromante
Iona;Iona
Iorwerth Archer;Iorwerth Arciere
Iorwerth Warrior;Guerriero Iorwerth
Irena;Irena
Irene;Irene
Irina;Irina
Irksol;Irksol
Iron Man tutor;Tutore di Iron Man
Iron dragon;Drago di ferro
Iron ore;Minerale di ferro
Iron pickaxe;Piccone di ferro
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ish il Navigatore
Ishmael;Ismaele
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi il Navigatore
Ivan;Ivan
Ivan Strom;Ivan Strom
Iwan;Ivan
Iwazaru;Iwazaru
Jack;Jack
Jack Sails;Jack Vele
Jack Seagull;Jack Gabbiano
Jackal;Sciacallo
Jacky Jester;Jacky Giullare
Jade;Giada
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Guardia carceraria
Jailer;Carceriere
Jake;Jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;Giacomo
Jamila;Jamila
Jaraah;Jaraah
Jardric;Jardric
Jari;Jari
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (media)
Jeb;Jeb
Jeed;Cavolo
Jeff;Jeff
Jelly;Gelatina
Jennella;Jennella
Jennifer;Jennifer
Jenny Blade;Jenny Lama
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jerico
Jess;Jess
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Granchio ingioiellato
Jewelled Crab (blue);Granchio ingioiellato (blu)
Jewelled Crab (green);Granchio ingioiellato (verde)
Jewelled Crab (red);Granchio ingioiellato (rosso)
Jex;Jex
Jig cart;Carrello per maschere
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Abbagliante
Jimmy the Chisel;Jimmy lo scalpello
Joe;Joe
Jofridr Mordstatter;Jofridr Mordstatter
Jogre;Jogre
Jogre Champion;Campione Jogre
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;Giovanni
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jonathan
Jonny the beard;Jonny la barba
Jorra;Jorra
Jorral;Jorral
Jorzik;Jorzik
Joseph;Giuseppe
Joshua;Giosuè
Jossik;Jossik
Jubbly bird;Uccello giubbo
Jubster;Jubster
Judge of Yama;Giudice di Yama
Jukat;Jukat
Julie;Giulia
Juliet;Giulietta
Jumaane;Jumaane
Juna;Juna
Jungle Demon;Demone della giungla
Jungle Demon (hard);Demone della giungla (difficile)
Jungle Wolf;Lupo della giungla
Jungle eagle;Aquila della giungla
Jungle forester;Guardaboschi della giungla
Jungle horror;Orrore nella giungla
Jungle savage;Selvaggio della giungla
Jungle spider;Ragno della giungla
Junior Navigator;Navigatore Junior
Jury;Giuria
Justiciar Zachariah;Il giudice Zaccaria
Justin Servil;Giustino Servil
Justine;Giustina
Jyn;Jyn
K'klik;K'klik
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;Agente del KGP
KGP Guard;Guardia del KGP
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Guardiano Kalfita
Kalphite Larva;Larva Kalfitica
Kalphite Princess;Principessa Kalfita
Kalphite Queen;Regina Kalfita
Kalphite Soldier;Soldato Kalfita
Kalphite Worker;Operaio Kalfita
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfreena
Kamil;Kamil
Kamil (hard);Kamil (difficile)
Kanel;Kanel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;Karamel
Karamel (hard);Karamel (difficile)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil il corrotto
Karim;Karim
Karl;Carlo
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Katrina
Kaylee;Kaylee
Kazemde;Kazemde
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;Keith
Kelvin;Kelvin
Kelyn;Kelly
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ketsal K'uk
Ket-Zek;Ket-Zek
Key Master;Maestro delle chiavi
Kharid Scorpion;Scorpione Kharid
Khazard Guard;Guardia Khazard
Khazard Ogre;Khazard Orco
Khazard Scorpion;Scorpione Khazard
Khazard barman;Barista Khazard
Khazard commander;Comandante Khazard
Khazard trooper;Soldato Khazard
Khazard warlord;Signore della guerra Khazard
Khazard warlord (hard);Signore della guerra Khazard (difficile)
Khorvak, a dwarven engineer;Khorvak, un ingegnere nanico
Kikazaru;Kikazaru
Killer;Killer
Killerwatt;Killerwatt
Kilron;Kilron
Kineer;Kiner
King Arthur;Re Artù
King Artur Hosidius;Re Arturo Osidio
King Awowogei;Re Awowogei
King Black Dragon;Re Drago Nero
King Bolren;Re Bolren
King Gjuki Sorvott IV;Re Gjuki Sorvott IV
King Healthorg;Re Healthorg
King Kandur Hosidius;Re Kandur Osidio
King Lathas;Re Lathas
King Narnode Shareen;Re Narnode Shareen
King Percival;Re Percival
King Roald;Re Roald
King Roald (hard);Re Roald (difficile)
King Sand Crab;Granchio reale della sabbia
