 Sneaky undead fowl;Stiekeme ondode kip
Duke;Hertog
Duke Horacio;Hertog Horacio
Dummy;Dummie
Dumpy;Dumpig
Dunce;Dom
Dung;Mest
Dungeon rat;Kerker rat
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Schemering
Dust devil;Stof duivel
Dusty Aliv;Stoffige Aliv
Dusuri;Dusuri
Dwarf;Dwerg
Dwarf gang member;Lid van de dwergbende
Dwarven Boatman;Dwerg Bootsman
Dwarven Engineer;Dwergen Ingenieur
Dwarven Ferryman;Dwerg Veerman
Dwarven Miner;Dwerg Mijnwerker
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Adelaar
Earth Warrior Champion;Kampioen van de Aardekrijger
Earth elemental;Aarde elementair
Earth impling;Aarde impliciet
Earth warrior;Aarde krijger
Earth wizard;Aarde tovenaar
Earwen;Oorwen
Eblis;Eblis
Echned Zekin;Echned Zekin
Eclectic impling;Eclectische implementatie
Ed;Ed
Ed Wood;Ed Hout
Edmond;Edmond
Edrahil;Edrahil
Eduard;Eduard
Edward;Eduard
Eebel;Eebel
Eek;Eek
Efa;Efa
Effigy;Beeltenis
Egg;Ei
Egg launcher;Eierwerper
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ekthema
Eldalote;Eldalote
Elder Chaos druid;Oudere Chaos-druïde
Elder Gnome child;Ouderling Kabouterkind
Elder Guard;Oudere Garde
Elderly Elf;Oudere elf
Eldgrim;Eldgrim
Elemental balance;Elementaire balans
Elemental rock;Elementaire rots
Elena;Elena
Elena Hosidius;Elena Hosidius
Elenwe;Elenwe
Elf Archer;Elf Boogschutter
Elf Hermit;Elf kluizenaar
Elf Tracker;Elf-tracker
Elf Warrior;Elfenkrijger
Elfinlocks;Elfenlokjes
Elgan;Elgan
Elijah;Elia
Elisabeta;Elisabeth
Elise;Elise
Elissa;Elissa
Elite Void Knight;Elite Void-ridder
Elizabeth;Elisabeth
Elkoy;Elkoy
Elladan;Elladan
Ellen;Ellen
Ellena;Ellena
Ellie;Ellie
Ellis;Ellis
Elly the Camel;Elly de Kameel
Elnock Inquisitor;Elnock-inquisiteur
Elsie;Elsie
Elstan;Elstan
Eluned;geëlueerd
Elvarg;Elvarg
Elvarg (hard);Elvarg (moeilijk)
Elven Scout;Elfenverkenner
Embalmer;Balsemer
Emblem Trader;Emblem-handelaar
Emerald Benedict;Smaragdgroene Benedictus
Emilia;Emilia
Emily;Emily
Enakhra;Enakhra
Enchanted Broom;Betoverde bezem
Enchanted Bucket;Betoverde emmer
Enchantment Guardian;Betoverde bewaker
Enclave guard;Enclave-bewaker
Enel;Enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Energiefocus (blauw)
Energy focus (green);Energiefocus (groen)
Energy focus (red);Energiefocus (rood)
Energy focus (white);Energiefocus (wit)
Energy sprite;Energiegeest
Engineer;Ingenieur
Engineering assistant;Technische assistent
Enilly;Enilly
Eniola;Eniola
Enoch;Enoch
Enormous Tentacle;Enorme tentakel
Enraged Tektiny;Woedende Tektiny
Enraged barbarian spirit;Woedende barbaarse geest
Ent;Ent
Entomologist;Entomoloog
Entrana firebird;Entrana vuurvogel
Entrance Guardian;Ingangsbewaker
Eodan;Eodan
Eohric;Eohrisch
Eoin;Eoïne
Episcula Helsing;Episcula Helsing
Erdan;Erdan
Erestor;Erestor
Eric;Erik
Ermin;Ermin
Ernest;Ernst
Erodoeht;Erodoeht
Escaping slave;Ontsnappende slaaf
Essence impling;Essentie impliceert
Essyllt;Essyllt
Essyllt (hard);Essylt (hard)
Estate agent;Makelaar
Esther;Ester
Ethereal Expert;Etherische deskundige
Ethereal Fluke;Etherische Fluke
Ethereal Guide;Etherische gids
Ethereal Lady;Etherische dame
Ethereal Man;Etherische mens
Ethereal Mimic;Etherische nabootsing
Ethereal Numerator;Etherische teller
Ethereal Perceptive;Etherisch opmerkzaam
Eudav;Eudav
Eve;Vooravond
Evil Bob;Slechte bob
Evil Chicken;Boze kip
Evil Chicken (hard);Kwade Kip (hard)
Evil Dave;Slechte Dave
Evil creature;Kwaadaardig wezen
Evil spirit;Boze geest
Ewesey;Ewesey
Examiner;Examinator
Executioner;Beul
Experiment;Experiment
Experiment No.2;Experiment nr.2
Ezekial Lovecraft;Ezechiële Lovecraft
Factory Manager;Fabrieksmanager
Factory Worker;Fabrieksarbeider
Fadli;Fadli
Fairy;Fee
Fairy Aeryka;Fee Aeryka
Fairy Fixit;Fee Fixit
Fairy Godfather;Fee peetvader
Fairy Nuff;Fee Nuff
Fairy Queen;Fee Koningin
Fairy Very Wise;Fee heel wijs
Fairy chef;Fee chef-kok
Fairy shop assistant;Fee winkelbediende
Fairy shop keeper;Winkelier van sprookjes
Fake Man;Valse mens
Fallen Man;Gevallen mens
Falo the Bard;Falo de Bard
Fancy Dan;Fancy Daan
Fanellaman;Fanellaman
Fareed;Fareed
Fareed (hard);Tarief (moeilijk)
Farid Morrisane (ores and bars);Farid Morrisane (ertsen en repen)
Farmer;Boer
Farmer Brumty;Boer Brumty
Farmer Fromund;Boer Fromund
Farmer Gricoller;Boer Gricoller
Farmer Hayfield;Boer Hayfield
Farmer's wife;Boerin
Farolt;Farolt
Fat Rocco;Dikke Rocco
Fat Tony;Dikke Ton
Father Aereck;Pater Aereck
Father Badden;Pater Badden
Father Eysseric;Pater Eysserik
Father Jean;Pater Jean
Father Lawrence;Pater Laurens
Father Reen;Vader Reen
Father Urhney;Pater Urney
Fayeth;Fayeth
Feanor;Feanor
Fear reaper;Angst reaper
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Slavin
Femi;Femi
Fenkenstrain's Monster;Het monster van Fenkenstrain
Feral Vampyre;Wilde vampier
Ferd;Ferd
Fernahei;Fernahei
Ferocious barbarian spirit;Woeste barbaarse geest
Ferox;Ferox
Ferret;Fret
Ferryman Nathwood;Veerman Nathwood
Ferryman Sathwood;Veerman Sathwood
Fever spider;Koorts spin
Ffoni;Ffoni
Fidelio;Fidelio
Fightslave;Vechtslaaf
Filamina;Filamina
Filliman Tarlock;Filliman Tarlock
Financial Seer;Financiële ziener
Financial Wizard;Financiële tovenaar
Finarfin;Finarfin
Findis;Vindis
Finduilas;Vinduilas
Fingolfin;Fingolfin
Fingon;Fingon
Finn;Finn
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Vuurkrijger van Lesarkus
Fire elemental;Elementair vuur
Fire giant;Vuur reus
Fire wizard;Vuur tovenaar
First Mate Deri;Eerste stuurman Deri
First Mate Peri;Eerste stuurman Peri
First mate 'Davey-boy';Eerste stuurman 'Davey-boy'
Fish;Vis
Fish monger;Visboer
Fish shoal;Visschool
Fishbowl;Vissenkom
Fisherman;Visser
Fisherman Frodi;Visser Frodi
Fishing spot;Visplek
Fishing tutor;Docent vissen
Fishmonger;Visboer
Fiyr Shade;Fiyr schaduw
Fiyr Shadow;Fiyr-schaduw
Flambeed;Geflambeerd
Flambeed (hard);Geflambeerd (hard)
Flaming pyrelord;Vlammende pyrelord
Flawed Golem;Gebrekkige Golem
Flax keeper;Vlasbewaarder
Flaygian Screwte;Flaygische Screwte
Flesh Crawler;Vleeskruiper
Flies;Vliegen
Flight Kilisa;Vlucht Kilisa
Flippa;Flippa
Flockleader Geerin;Vlekleider Geerin
Floki;Floki
Florin;Florin
Flosi Dalksson;Flosi Dalksson
Flower;Bloem
Flower Girl;Bloemenmeisje
Fly trap;Vliegenval
Flying Book;Vliegend boek
Flying Vespina;Vliegende Vespina
Flying female vampire;Vliegende vrouwelijke vampier
Flynn;Vliegen
Foreman;Voorman
Forester;Boswachter
Forester (hard);Boswachter (hard)
Forgotten Soul;Vergeten ziel
Former Vampyre;Voormalig vampier
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Vestingwacht
Fortunato;Gelukkig
Fossegrimen;Fossegrimen
Fossil Collector;Fossielenverzamelaar
Fossil Rock;Fossiele rots
Fox;Vos
Fragment of Seren;Fragment van Seren
Francis;Franciscus
Francois;François
Frank;Frank
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Vreemde boswachter
Freald;Freald
Fred the Farmer;Fred de Boer
Freidir;Freidir
Freja;Freja
Fremennik Warrior;Fremennik-krijger
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Koelkastir
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frinco's
Fritz the Glassblower;Fritz de Glasblazer
Frizzy Skernip;Frizzy Skernip
Frog;Kikker
Frog prince;Kikker prins
Frog princess;Kikker prinses
Frogeel;Kikkereel
Froono;Froono
Fuggy;Fuggy
Fullangr;Fullangr
Fungi;Schimmels
Fur trader;Bonthandelaar
Furnace grate;Ovenrooster
Fycie;Fycie
Fyiona Fray (easy);Fyiona Fray (makkelijk)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;GPDT-medewerker
Gabooty;Gabooty
Gabriela;Gabriëla
Gadderanks;Gadderanks
Gadrin;Gadrin
Gaius;Gaius
Galahad;Galahad
Galana;Galana
Galathil;Galathil
Galina;Galina
Gallow;Galg
Galvek;Galvek
Gamer;Gamer
Gamfred;Gamfred
Gang boss;Bende baas
Gangster;Gangster
Garai;Garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Tuin leverancier
Gardener;Tuinman
Gardener Ghost;Tuinman geest
Gardener Gunnhild;Tuinman Gunnhild
Gardener Jay Jr.;Tuinman Jay jr.
Gargh;Garg
Gargoyle;Waterspuwer
Garkor;Garkor
Garl;Garl
Garth;Garth
Garv;Garv
Gate of War;Poort van oorlog
Gatekeeper;Poortwachter
Gauss;Gauss
Gee;Goh
Gelatinnoth Mother;Gelatinnoth Moeder
Gelatinnoth Mother (hard);Gelatinnoth Moeder (hard)
Gelin;Gelijn
Gelmir;Gelmir
Gem;Gem
Gem merchant;Edelsteenhandelaar
Gem trader;Edelstenenhandelaar
Gene;Gen
General Babacus;Generaal Babacus
General Bentnoze;Generaal Bentnoze
General Graardor;Generaal Graardor
General Graardor Jr.;Generaal Graardor jr.
General Hining;Generaal Hining
General Khazard;Generaal Khazard
General Kilian;Generaal Kilian
General Salara;Generaal Salara
General Vir;Generaal Vir
General Wartface;Algemeen Wartface
Generic Diplomat;Generieke diplomaat
Genie;Geest
George Laxmeister;George Laxmeister
Georgy;Georgie
Gerald;Gerald
Gerrant;Gerrant
Gertrude;Gertrude
Gertrude's cat;De kat van Gertrude
Gethin;Gethin
Ghaslor the Elder;Ghaslor de Oudere
Ghast;Afschuw
Ghommal;Ghommal
Ghost;Spook
Ghost (?);Spook (?)
Ghost banker;Spookbankier
Ghost captain;Spook kapitein
Ghost disciple;Geest discipel
Ghost farmer;Spookboer
Ghost guard;Spookbewaker
Ghost innkeeper;Spookherbergier
Ghost sailor;Spook matroos
Ghost shopkeeper;Spookwinkelier
Ghost villager;Spookdorpeling
Ghoul;Ghoul
Ghoul Champion;Ghoul-kampioen
Gianne jnr.;Gianne jr.
Giant;Reus
Giant Champion;Gigantische kampioen
Giant Lobster;Reuze Kreeft
Giant Mole;Gigantische mol
Giant Roc;Gigantische Roc
Giant Roc (hard);Giant Roc (hard)
Giant Rock Crab;Reuze rotskrab
Giant Sea Snake;Gigantische zeeslang
Giant Squirrel;Reuze Eekhoorn
Giant bat;Gigantische vleermuis
Giant crypt rat;Reuze crypte rat
Giant crypt spider;Gigantische crypte-spin
Giant frog;Gigantische kikker
Giant lobster;Gigantische kreeft
Giant mosquito;Gigantische mug
Giant rat;Reuze rat
Giant rockslug;Gigantische rotsslak
Giant scarab;Reuze scarabee
Giant scarab (hard);Reuzescarabee (hard)
Giant skeleton;Gigantisch skelet
Giant snail;Reuze slak
Giant spider;Gigantische spin
Gielinor Guide;Gielinor-gids
Giles;Giles
Gileth;Gileth
Gillie Groats;Gillie Groats
Giral bat;Girale vleermuis
Gita Prymes;Gita Prymes
Gladiator;Gladiator
Glenda;Glenda
Glod;Glorie
Glod (hard);Glorie (hard)
Glorfindel;Glorfindel
Glough;Gloed
Glouphrie the Untrusted;Glouphrie de onbetrouwbare
Gnocci the Cook;Gnocci de kok
Gnome;Kabouter
Gnome Archer;Kabouter Boogschutter
Gnome Coach;Kabouter Coach
Gnome Driver;Gnome-stuurprogramma
Gnome Mage;Kabouter Magiër
Gnome ball referee;Kabouterbal scheidsrechter
Gnome baller;Kabouterballer
Gnome banker;Gnoom bankier
Gnome child;Kabouter kind
Gnome companion;Gnoom metgezel
Gnome emissary;Afgezant van de kabouter
Gnome guard;Gnoom bewaker
Gnome shop keeper;Kabouterwinkelier
Gnome soldier;Kabouter soldaat
Gnome trainer;Gnome-trainer
Gnome traveller;Kabouter reiziger
Gnome troop;Kaboutertroep
Gnome winger;Gnoom vleugelspeler
Gnome woman;Kabouter vrouw
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Geit
Goat Poo;Geitenpoep
Goblin;Goblin
Goblin Champion;Goblin-kampioen
Goblin Cook;Goblin Kok
Goblin fish;Kobold vis
Goblin guard;Goblin-bewaker
Goblin scribe;Goblin-schrijver
Godric;Godric
Gold ore;Goud erts
Golden sheep;Gouden schapen
Golden warbler;Gouden grasmus
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorilla
Gossip;Geroddel
Gourmet;Gastronomisch
Gourmet impling;Gastronomische impling
Grace;Elegantie
Grail Maiden;Graal Maagd
Grand Exchange Clerk;Grote Beursbediende
Grandpa Jack;Opa Jac
Grave;Graf
Grave digger;Grafdelver
Grave scorpion;Ernstige schorpioen
Graveyard Guardian;Bewaker van het kerkhof
Gravingas;Gravingas
Greasycheeks;Vette wangen
Great Olm;Grote Olm
Great Olm (Left claw);Grote Olm (linkerklauw)
Great Olm (Right claw);Grote Olm (rechterklauw)
Great blue heron;Grote blauwe reiger
Greater Nechryael;Grote Nechryaël
Greater Skeleton Hellhound;Grotere skelethellehond
Greater abyssal demon;Grotere afgronddemon
Greater demon;Grotere demon
Greater ghostly thrall;Grotere spookachtige slavernij
Greater skeletal thrall;Grotere skeletachtige slavernij
Greater zombified thrall;Grotere zombified slaaf
Green Gemstone Director;Directeur Groene Edelsteen
Green Gemstone Secretary;Groene edelsteen secretaris
Green Sheep;Groene schapen
Green dragon;Groene draak
Green fireflies;Groene vuurvliegjes
Greengrocer;Groenteboer
Greldo;Greldo
Grew;Groeide
Grey golem;Grijze golem
Grigor Rasputin;Grigor Raspoetin
Grigore;Grigor
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Greep
Grish;Gris
Grizzly bear;Grizzlybeer
Grizzly bear cub;Grizzlybeerwelp
Growler;Growler
Growthling;Groeiend
Grubfoot;Grubfoot
Grubor;Grubor
Gruff McScruff;Norse McScruff
Grug;Grug
Gruh;Gruh
Grum;Grom
Grundt;Grundt
Grunsh;Grunsh
Gruva Patrull;Gruva Patrull
Guanic bat;Guanische vleermuis
Guard;Bewaker
Guard Bandit;Bewaker bandiet
Guard Captain;Kapitein van de wacht
Guard Recruiter;Bewaker rekruteerder
Guard Vemmeldo;Bewaker Vemmeldo
Guard dog;Waakhond
Guardian Drake;Beschermer Drake
Guardian mummy;Beschermende mummie
Guardian of Armadyl;Bewaker van Armadyl
Guidor;Guidor
Guildmaster;Gildemeester
Guildmaster Jane;Gildemeester Jane
Guildmaster Lars;Gildemeester Lars
Guilin;Guilin
Guinevere;Guinevere
Gujuo;Gujuo
Gull;Meeuw
Gulldamar;Gulldamar
Gulluck;Gulluk
Gundai;Gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdström
Gunnjorn;Gunnjorn
Gunslik;Gunslik
Gunthor the brave;Gunthor de dappere
Guthan the Infested;Guthan de besmette
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;Zigeuner
Gypsy Aris;Zigeuner Aris
Gyr Falcon;Gyr Valk
H.A.M. Archer;HAM. Boogschutter
H.A.M. Deacon;HAM. Diaken
H.A.M. Guard;HAM. Bewaker
H.A.M. Mage;HAM. Magiër
H.A.M. Member;HAM. Lid
HAM member;HAM-lid
HRH Hrafn;ZKH Hrafn
Habibah;Habiba
Hadley;Hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Kapper
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Halfzombie
Half-soulless;Half zielloos
Halla;Hallo
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hamal de hoofdman
Hameln the Jester;Hameln de Nar
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Hamerspies Stoutbaard
Hanchen the Hound;Hanchen de Hond
Hangman game;Hangman-spel
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Harold
Harold Evans;Harold Evans
Harpert;Harpert
Harpie Bug Swarm;Harpie Insectenzwerm
Harrallak Menarous;Harrallak Menarous
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosaintus
Haze;Nevel
Hazeel;Hazel
Hazeel Cultist;Hazeel-cultist
Hazelmere;Hazelmere
Head;Hoofd
Head Guard;Hoofdwacht
Head Mourner;Hoofd rouwer
Head Thief;Hoofd dief
Head chef;Chef-kok
Headless Beast;Hoofdloos beest
Headless Beast (hard);Beest zonder hoofd (hard)
Healthorg and tortoise;Healthorg en schildpad
Heckel Funch;Heckel Funch
Hegir;Hegir
Helemos;Helemos
Helena;Helena
Helga;Helga
Hell-Rat;Hel-Rat
Hell-Rat Behemoth;Hell-Rat Behemoth
Hell-kitten;Hel-kitten
Hellcat;Hellcat
Hellhound;Hellehond
Hellpuppy;Hellpuppy
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;Herbi
Herbiboar;Herbiboar
Herman Caranos;Herman Caranos
Hero;Held
Heron;Reiger
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Hespori
Het;Het
Hetty;Hetty
Hewey;Heey
Hickton;Hickton
Hieve;Hief
High Priest;Hogepriester
High Priestess Zul-Harcinqa;Hogepriesteres Zul-Harcinqa
Highwayman;Struikrover
Hild;Hild
Hill Giant;Heuvel reus
Hirko;Hirko
Historian Duffy;Historicus Duffy
Historian Minas;Historicus Minas
Hiylik Myna;Hallolik Myna
Hobbes;Hobbes
Hobgoblin;Kobold
Hobgoblin Champion;Hobgoblin-kampioen
Hofuthand (weapons and armour);Hofuthand (wapens en pantser)
Hole in the wall;Gat in de muur
Holgart;Holgart
Holoy;Hallo
Holthion;Holthion
Homunculus;Homonculus
Honest Jimmy;Eerlijk Jimmy
Honour guard;Erewacht
Hooded Figure;Figuur met capuchon
Hooknosed Jack;Gehaakte Jack
Hoop Snake;Hoepel slang
Hopeless beast;Hopeloos beest
Hopeless creature;Hopeloos wezen
Hopleez;Hopleez
Hops;Hop
Horace;Horatius
Horacio;Horacio
Horned graahk;Gehoornde graaf
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Huis
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudon
Huge spider;Enorme spin
Hugor;Hugor
Hunding;Hunding
Hunting expert;Jachtdeskundige
Hura;Hoera
Husk;Schil
Hydra;Hydra
Hygd;Hyg
Ian;Ian
Iban;Iban
Ice Queen;IJskoningin
Ice Troll;IJs trol
Ice Troll King;IJstrollenkoning
Ice Troll King (hard);IJstrollenkoning (hard)
Ice block;Ijs blok
Ice demon;IJs-demon
Ice giant;IJs reus
Ice spider;IJs spin
Ice troll;Ijs trol
Ice troll female;IJstrol vrouwtje
Ice troll grunt;IJstrol gromt
Ice troll male;IJstrol mannetje
Ice troll runt;Ijstrol runt
Ice warrior;IJs strijder
Ice wolf;IJswolf
Iceberg;Ijsberg
Icefiend;IJsheld
Icelord;IJsheer
Icicle;Ijskegel
Icthlarin;Ictlarin
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Ignatius Vulcanus
Ignisia;Ignisia
Ikkle Hydra;Ikkle Hydra
Ileana;Ileana
Ilfeen;Ilfeen
Ima;Ik ben
Imerominia;Imerominia
Imiago;Imiago
Imin;Ik ben
Iminye;Iminye
Immenizz;Immenisch
Imp;Imp
Imp Champion;Imp-kampioen
Imp defender;Imp-verdediger
Imre;Ik ben
Incapacitated Pyromancer;Arbeidsongeschikte Pyromancer
Indis;Indi's
Infernal Mage;Helse magiër
Infernal pyrelord;Helse pyrelord
Information clerk;Informatiemedewerker
Inga;Inge
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Inge
Ingwion;Ingwion
Inn Keeper;Herbergier
Innocent-looking key;Onschuldig ogende sleutel
Insatiable Bloodveld;Onverzadigbaar Bloedveld
Insatiable mutated Bloodveld;Onverzadigbare gemuteerde Bloedveld
Invrigar the Necromancer;Invrigar de Necromancer
Iona;Iona
Iorwerth Archer;Iorwerth Boogschutter
Iorwerth Warrior;Iorwerth-krijger
Irena;Irene
Irene;Irene
Irina;Irina
Irksol;Irksol
Iron Man tutor;Iron Man-leraar
Iron dragon;Ijzeren draak
Iron ore;Ijzererts
Iron pickaxe;Ijzeren houweel
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ish de Navigator
Ishmael;Ismaël
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi de Navigator
Ivan;Iwan
Ivan Strom;Ivan Strom
Iwan;Iwan
Iwazaru;Iwazaru
Jack;Jac
Jack Sails;Jack Sails
Jack Seagull;Jack Zeemeeuw
Jackal;Jakhals
Jacky Jester;Jacky Jester
Jade;Jade
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Gevangenisbewaker
Jailer;Gevangenbewaarder
Jake;Jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;Jakobus
Jamila;Jamila
Jaraah;Jaraah
Jardric;Jardric
Jari;Jari
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (medium)
Jeb;Jeb
Jeed;Jeed
Jeff;Jef
Jelly;Gelei
Jennella;Jenella
Jennifer;Jennifer
Jenny Blade;Jenny Blad
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jerico
Jess;Jess
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Met juwelen versierde krab
Jewelled Crab (blue);Krab met juwelen (blauw)
Jewelled Crab (green);Krab met juwelen (groen)
Jewelled Crab (red);Krab met juwelen (rood)
Jex;Jex
Jig cart;Jig-kar
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Jimmy de Beitel
Joe;Joe
Jofridr Mordstatter;Jofridr Mordstatter
Jogre;Jogre
Jogre Champion;Jogre-kampioen
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jonathan
Jonny the beard;Jonny de baard
Jorra;Jorra
Jorral;Jorral
Jorzik;Jorzik
Joseph;Jozef
Joshua;Jozua
Jossik;Jossik
Jubbly bird;Jubbele vogel
Jubster;Jubster
Judge of Yama;Rechter van Yama
Jukat;Jukat
Julie;Julia
Juliet;Julia
Jumaane;Jumaane
Juna;Juna
Jungle Demon;Jungle-demon
Jungle Demon (hard);Jungle Demon (moeilijk)
Jungle Wolf;Junglewolf
Jungle eagle;Jungle-adelaar
Jungle forester;Boswachter in de jungle
Jungle horror;Jungle-horror
Jungle savage;Jungle wilde
Jungle spider;Jungle spin
Junior Navigator;Junior navigator
Jury;Jury
Justiciar Zachariah;Rechter Zacharias
Justin Servil;Justin Servil
Justine;Justine
Jyn;Jyn
K'klik;K'klik
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;KGP-agent
KGP Guard;KGP-bewaker
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Kalphite Guardian
Kalphite Larva;Kalphite Larve
Kalphite Princess;Kalfitische prinses
Kalphite Queen;Kalphitische koningin
Kalphite Soldier;Kalphitische soldaat
Kalphite Worker;Kalphitische arbeider
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfreena
Kamil;Kamil
Kamil (hard);Kamil (hard)
Kanel;Kaneel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;Karamel
Karamel (hard);Karamel (hard)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil de Verdorvene
Karim;Karim
Karl;Karel
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Katrine
Kaylee;Kaylee
Kazemde;Kazemde
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Houd
Keepa Kettilon;Keepa Kettilon
Keith;Keet
Kelvin;Kelvin
Kelyn;Kelijn
Kendall;Kendal
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket-Zek
Key Master;Sleutelmeester
Kharid Scorpion;Kharid Schorpioen
Khazard Guard;Khazard-wacht
Khazard Ogre;Khazard Oger
Khazard Scorpion;Khazard Schorpioen
Khazard barman;Khazard-barman
Khazard commander;Khazard-commandant
Khazard trooper;Khazard-trooper
Khazard warlord;Khazard-krijgsheer
Khazard warlord (hard);Khazard krijgsheer (hard)
Khorvak, a dwarven engineer;Khorvak, een dwergeningenieur
Kikazaru;Kikazaru
Killer;Moordenaar
Killerwatt;Killerwatt
Kilron;Kilron
Kineer;Kineer
King Arthur;Koning Arthur
King Artur Hosidius;Koning Arthur Hosidius
King Awowogei;Koning Awowogei
King Black Dragon;Koning Zwarte Draak
King Bolren;Koning Bolren
King Gjuki Sorvott IV;Koning Gjuki Sorvott IV
King Healthorg;Koning Gezondheidorg
King Kandur Hosidius;Koning Kandur Hosidius
King Lathas;Koning Lathas
King Narnode Shareen;Koning Narnode Shareen
King Percival;Koning Percival
King Roald;Koning Roald
King Roald (hard);Koning Roald (hard)
King Sand Crab;Koningszandkrab
King Scorpion;Koning Schorpioen
King Thoros;Koning Thoros
King Vargas;Koning Vargas
King kurask;Koning Kurask
King rat;Koning rat
King's Messenger;Konings boodschapper
Kitten;Katje
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Ridder
Knight of Ardougne;Ridder van Ardougne
Knight of Saradomin;Ridder van Saradomin
Knight of Varlamore;Ridder van Varlamore
Knight of the Lion;Ridder van de Leeuw
Knight of the Owl;Ridder van de Uil
Knight of the Unicorn;Ridder van de Eenhoorn
Knight of the Wolf;Ridder van de Wolf
Koanee;Koanee
Kob;Kob
Koftik;Koftik
