 Sneaky undead fowl;Aves no muertas furtivas
Edward;Eduardo
Eebel;Eebel
Eek;Eek
Efa;Efá
Effigy;Efigie
Egg;Huevo
Egg launcher;lanzador de huevos
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ektema
Eldalote;Eldalote
Elder Chaos druid;Druida anciano del Caos
Elder Gnome child;Niño gnomo mayor
Elder Guard;Guardia mayor
Elderly Elf;Elfo anciano
Eldgrim;Eldgrim
Elemental balance;equilibrio elemental
Elemental rock;roca elemental
Elena;elena
Elena Hosidius;Elena Hosidio
Elenwe;Elenwé
Elf Archer;Arquero elfo
Elf Hermit;Ermitaño elfo
Elf Tracker;Rastreador de elfos
Elf Warrior;guerrero elfo
Elfinlocks;Elfinlocks
Elgan;Elgan
Elijah;Elías
Elisabeta;elisabeta
Elise;Elise
Elissa;elisa
Elite Void Knight;Caballero del vacío de élite
Elizabeth;Isabel
Elkoy;elkoy
Elladan;Elladan
Ellen;Elena
Ellena;Elena
Ellie;ellie
Ellis;ellis
Elly the Camel;Elly el camello
Elnock Inquisitor;Inquisidor de Elnock
Elsie;elsie
Elstan;elstan
Eluned;Eluned
Elvarg;Elvarg
Elvarg (hard);Elvarg (duro)
Elven Scout;Explorador élfico
Embalmer;embalsamador
Emblem Trader;Comerciante de emblemas
Emerald Benedict;Esmeralda Benedicto
Emilia;emilia
Emily;emily
Enakhra;Enakhra
Enchanted Broom;Escoba encantada
Enchanted Bucket;Cubo encantado
Enchantment Guardian;Guardián del encantamiento
Enclave guard;guardia del enclave
Enel;enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Enfoque energético (azul)
Energy focus (green);Enfoque energético (verde)
Energy focus (red);Foco energético (rojo)
Energy focus (white);Enfoque energético (blanco)
Engineer;Ingeniero
Engineering assistant;asistente de ingenieria
Enilly;Enilly
Eniola;Eniola
Enoch;Enoc
Enormous Tentacle;Tentáculo enorme
Enraged Tektiny;Tektiny enfurecido
Enraged barbarian spirit;Espíritu bárbaro enfurecido
Ent;ent
Entomologist;Entomólogo
Entrana firebird;pájaro de fuego entrana
Entrance Guardian;Guardián de entrada
Eodan;Eodan
Eohric;Eohrico
Eoin;Eoin
Episcula Helsing;Episcula Helsing
Erdan;erdan
Erestor;Erestor
Eric;eric
Ermin;armiño
Ernest;Ernesto
Erodoeht;Erodoeht
Escaping slave;Esclavo escapando
Essence impling;esencia implicada
Essyllt;Essyllt
Essyllt (hard);Essyllt (duro)
Estate agent;Agente inmobiliario
Esther;Ester
Ethereal Expert;Experto etéreo
Ethereal Fluke;casualidad etérea
Ethereal Guide;Guía etérea
Ethereal Lady;dama etérea
Ethereal Man;Hombre etéreo
Ethereal Mimic;Mímica etérea
Ethereal Numerator;Numerador etéreo
Ethereal Perceptive;Perceptivo etéreo
Eudav;eudav
Eve;Víspera
Evil Bob;Bob malvado
Evil Chicken;Pollo Malvado
Evil Chicken (hard);Pollo malvado (duro)
Evil Dave;Dave malvado
Evil creature;criatura malvada
Evil spirit;Espíritu maligno
Ewesey;Ewesey
Examiner;Examinador
Executioner;Verdugo
Experiment;Experimento
Experiment No.2;Experimento No.2
Ezekial Lovecraft;Ezequiel Lovecraft
Factory Manager;Gerente de fábrica
Factory Worker;Trabajador de fábrica
Fadli;Fadli
Fairy;Hada
Fairy Aeryka;Hada Aeryka
Fairy Fixit;Arreglo de hadas
Fairy Godfather;Hada Padrino
Fairy Nuff;Hada Nuff
Fairy Queen;reina de las hadas
Fairy Very Wise;Hada muy sabia
Fairy chef;Cocinero de hadas
Fairy shop assistant;Asistente de tienda de hadas
Fairy shop keeper;Tendero de hadas
Fake Man;hombre falso
Fallen Man;hombre caido
Falo the Bard;falo el bardo
Fancy Dan;Dan elegante
Fanellaman;Fanellaman
Fareed;Fareed
Fareed (hard);Fareed (difícil)
Farid Morrisane (ores and bars);Farid Morrisane (minerales y barras)
Farmer;Agricultor
Farmer Brumty;granjero brumty
Farmer Fromund;Granjero Fromund
Farmer Gricoller;Agricultor Gricoller
Farmer Hayfield;Granjero Hayfield
Farmer's wife;esposa del granjero
Farolt;farolt
Fat Rocco;Rocco gordo
Fat Tony;tony gordo
Father Aereck;Padre Aereck
Father Badden;Padre Badden
Father Eysseric;Padre Eysseric
Father Jean;padre jean
Father Lawrence;Padre Lorenzo
Father Reen;padre reen
Father Urhney;Padre Urhney
Fayeth;Fayeth
Feanor;Feanor
Fear reaper;segador de miedo
Felfiz Yaryus;Felifiz Yaryus
Felkrash;Felkrash
Female slave;esclava
Femi;Femi
Fenkenstrain's Monster;El monstruo de Fenkenstrain
Feral Vampyre;Vampiro salvaje
Ferd;Ferd
Fernahei;Fernahei
Ferocious barbarian spirit;Espíritu bárbaro feroz
Ferox;Ferox
Ferret;Hurón
Ferryman Nathwood;Barquero Nathwood
Ferryman Sathwood;Barquero Sathwood
Fever spider;Araña fiebre
Ffoni;Ffoni
Fidelio;Fidelio
Fightslave;esclavo de lucha
Filamina;filamina
Filliman Tarlock;Filiman Tarlock
Financial Seer;Vidente financiero
Financial Wizard;Asistente financiero
Finarfin;Finarfin
Findis;encontrar
Finduilas;Finduilas
Fingolfin;fingolfin
Fingon;Fingón
Finn;finlandés
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Guerrero del Fuego de Lesarkus
Fire elemental;elemental de fuego
Fire giant;gigante de fuego
Fire wizard;mago de fuego
First Mate Deri;Primer oficial Deri
First Mate Peri;Primer oficial Peri
First mate 'Davey-boy';Primer oficial 'Davey-boy'
Fish;Pez
Fish monger;pescadero
Fish shoal;banco de peces
Fishbowl;pecera
Fisherman;Pescador
Fisherman Frodi;Pescador Frodi
Fishing spot;Lugar de pesca
Fishing tutor;Profesor de pesca
Fishmonger;Pescadero
Fiyr Shade;Sombra Fiyr
Fiyr Shadow;Sombra de Fiyr
Flambeed;flambeado
Flambeed (hard);Flambeado (duro)
Flaming pyrelord;Señor del piro llameante
Flawed Golem;Golem defectuoso
Flax keeper;guardián del lino
Flaygian Screwte;Screwte Flaygio
Flesh Crawler;Reptador de carne
Flies;moscas
Flight Kilisa;Vuelo Kilisa
Flippa;flippa
Flockleader Geerin;Líder de rebaño Geerin
Floki;floki
Florin;Florín
Flosi Dalksson;Flosi Dalksson
Flower;Flor
Flower Girl;niña de las flores
Fly trap;trampa para moscas
Flying Book;Libro volador
Flying Vespina;Vespina voladora
Flying female vampire;Vampiro femenino volador
Flynn;Flynn
Foreman;Capataz
Forester;Guardabosque
Forester (hard);Forestal (difícil)
Forgotten Soul;alma olvidada
Former Vampyre;Ex vampiro
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Guardia de la Fortaleza
Fortunato;Fortunato
Fossegrimen;Fossegrimen
Fossil Collector;Coleccionista de fósiles
Fossil Rock;Roca fósil
Fox;Zorro
Fragment of Seren;Fragmento de Seren
Francis;Francisco
Francois;francisco
Frank;Franco
Frankie;Franky
Franklin Caranos;Franklin Caranos
Freaky Forester;guardabosques extraño
Freald;frealdo
Fred the Farmer;Fred el granjero
Freja;freja
Fremennik Warrior;Guerrero Fremennik
Frenita;Frenita
Freygerd;freygerd
Fridgeir;Nevera
Fridleif Shieldson;Fridleif Shieldson
Frincos;frincos
Fritz the Glassblower;Fritz el soplador de vidrio
Frizzy Skernip;Skernip rizado
Frog;Rana
Frog prince;príncipe rana
Frog princess;princesa rana
Frogeel;rana
Froono;froono
Fuggy;Viciado
Fullangr;Fullangr
Fungi;Hongos
Fur trader;comerciante de pieles
Furnace grate;parrilla del horno
Fycie;Fycie
Fyiona Fray (easy);Fyiona Fray (fácil)
G.L.O. Caranock;G.L.O. caranock
GPDT employee;Empleado de GPDT
Gabooty;gaboty
Gabriela;gabriela
Gadderanks;Gadderanks
Gadrin;Gadrin
Gaius;Cayo
Galahad;Galahad
Galana;galana
Galathil;galatil
Galina;Galina
Gallow;horca
Galvek;Gálvek
Gamer;jugador
Gamfred;Gamfred
Gang boss;jefe de pandilla
Gangster;Gángster
Garai;garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Proveedor de jardín
Gardener;Jardinero
Gardener Ghost;Fantasma del jardinero
Gardener Gunnhild;Jardinero Gunnhild
Gardener Jay Jr.;Jardinero Jay Jr.
Gargh;gargh
Gargoyle;Gárgola
Garkor;garkor
Garl;ajo
Garth;garth
Garv;garv
Gate of War;Puerta de guerra
Gatekeeper;Portero
Gauss;Gauss
Gee;Caramba
Gelatinnoth Mother;Madre de gelatinnoth
Gelatinnoth Mother (hard);Madre Gelatinnoth (dura)
Gelin;Gelín
Gelmir;Gelmir
Gem;Joya
Gem merchant;comerciante de gemas
Gem trader;comerciante de gemas
Gene;Gene
General Babacus;General Bábaco
General Bentnoze;General Bentnoze
General Graardor;Graardor General
General Graardor Jr.;General Graardor Jr.
General Hining;Hining general
General Khazard;general jázard
General Kilian;General Kilian
General Salara;General Salara
General Vir;General Vir
General Wartface;cara de verruga general
Generic Diplomat;Diplomático genérico
Genie;Genio
George Laxmeister;George Laxmeister
Georgy;georgia
Gerald;gerald
Gerrant;Gerrante
Gertrude;gertrudis
Gertrude's cat;El gato de Gertrudis
Gethin;Gethin
Ghaslor the Elder;Ghaslor el Viejo
Ghast;fantasmal
Ghommal;Ghommal
Ghost;Fantasma
Ghost (?);Fantasma (?)
Ghost banker;banquero fantasma
Ghost captain;Capitán fantasma
Ghost disciple;discípulo fantasma
Ghost farmer;granjero fantasma
Ghost guard;guardia fantasma
Ghost innkeeper;Posadero fantasma
Ghost sailor;Marinero fantasma
Ghost shopkeeper;comerciante fantasma
Ghost villager;Aldeano fantasma
Ghoul;Demonio necrófago
Ghoul Champion;Campeón necrófago
Gianne jnr.;Gianne jn.
Giant;Gigante
Giant Champion;Campeón gigante
Giant Lobster;Langosta Gigante
Giant Mole;Topo gigante
Giant Roc;Roc gigante
Giant Roc (hard);Roc gigante (difícil)
Giant Rock Crab;Cangrejo de roca gigante
Giant Sea Snake;Serpiente marina gigante
Giant Squirrel;Ardilla gigante
Giant bat;Murciélago gigante
Giant crypt rat;Rata de cripta gigante
Giant crypt spider;Araña de cripta gigante
Giant frog;rana gigante
Giant lobster;langosta gigante
Giant mosquito;mosquito gigante
Giant rat;rata gigante
Giant rockslug;Babosa de roca gigante
Giant scarab;escarabajo gigante
Giant scarab (hard);Escarabajo gigante (duro)
Giant skeleton;esqueleto gigante
Giant snail;caracol gigante
Giant spider;araña gigante
Gielinor Guide;Guía de Gielinor
Giles;Giles
Gileth;Gileth
Gillie Groats;Gillie Granos
Giral bat;murciélago giral
Gita Prymes;Gita Prymes
Gladiator;Gladiador
Glenda;Glenda
Glod;oro
Glod (hard);oro (duro)
Glorfindel;glorfindel
Glough;Glough
Glouphrie the Untrusted;Gloufrie el Inconfiable
Gnocci the Cook;Gnocci el cocinero
Gnome;Gnomo
Gnome Archer;Arquero gnomo
Gnome Coach;Entrenador de gnomos
Gnome Driver;Conductor gnomo
Gnome Mage;Mago gnomo
Gnome Waiter;Camarero gnomo
Gnome ball referee;Árbitro de pelota gnomo
Gnome baller;bailarín gnomo
Gnome banker;banquero gnomo
Gnome child;niño gnomo
Gnome companion;Compañero gnomo
Gnome emissary;Emisario de gnomos
Gnome guard;guardia gnomo
Gnome shop keeper;Tendero de gnomos
Gnome soldier;Soldado gnomo
Gnome trainer;Entrenador de gnomos
Gnome traveller;viajero gnomo
Gnome troop;tropa de gnomos
Gnome winger;Extremo gnomo
Gnome woman;mujer gnomo
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Cabra
Goat Poo;Caca de cabra
Goblin;Duende
Goblin Champion;Campeón duende
Goblin Cook;cocinero duende
Goblin fish;pez duende
Goblin guard;guardia duende
Goblin scribe;escriba duende
Godric;Godric
Gold ore;mineral de oro
Golden sheep;oveja dorada
Golden warbler;reinita dorada
Golem;gólem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorila
Gossip;Chisme
Gourmet;Gastrónomo
Gourmet impling;Implicación gourmet
Grace;Gracia
Grail Maiden;Doncella del Grial
Grand Exchange Clerk;Gran empleado de cambio
Grandpa Jack;abuelo jack
Grave;Tumba
Grave digger;sepulturero
Grave scorpion;escorpión tumba
Graveyard Guardian;Guardián del cementerio
Gravingas;Gravingas
Greasycheeks;Mejillas grasosas
Great Olm;gran olmo
Great Olm (Left claw);Gran Olm (garra izquierda)
Great Olm (Right claw);Gran Olm (garra derecha)
Great blue heron;Gran garza azul
Greater Nechryael;Gran Nechryael
Greater Skeleton Hellhound;Perro del infierno esqueleto mayor
Greater abyssal demon;Demonio abisal mayor
Greater demon;Demonio mayor
Greater ghostly thrall;Mayor esclavitud fantasmal
Greater skeletal thrall;Esclavo esquelético mayor
Greater zombified thrall;Mayor esclavo zombificado
Green Gemstone Director;Director de Gema Verde
Green Gemstone Secretary;Secretaria de piedras preciosas verdes
Green Sheep;oveja verde
Green dragon;dragón verde
Green fireflies;Luciérnagas verdes
Greengrocer;Verdulero
Greldo;greldo
Grew;Creció
Grey golem;gólem gris
Grigor Rasputin;Grigor Rasputín
Grigore;Grigor
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Agarre
Grish;Grish
Grizzly bear;Oso pardo
Grizzly bear cub;Cachorro de oso grizzly
Growler;gruñidor
Growthling;Crecimiento
Grubfoot;Pie de larva
Grubor;Grubor
Gruff McScruff;Gruff McScruff
Grug;Grug
Gruh;Gruh
Grum;gruñón
Grundt;Grundt
Grunsh;grunsh
Gruva Patrull;Gruva Patrull
Guanic bat;Murciélago guanico
Guard;Guardia
Guard Bandit;Bandido de la guardia
Guard Captain;Capitán de guardia
Guard Recruiter;Reclutador de guardia
Guard Vemmeldo;Guardia Vemmeldo
Guard dog;perro guardián
Guardian Drake;Dragón guardián
Guardian mummy;momia guardiana
Guardian of Armadyl;Guardián de Armadyl
Guidor;guidor
Guildmaster;Maestro del gremio
Guildmaster Jane;Maestra del gremio Jane
Guildmaster Lars;Maestro del gremio Lars
Guilin;guilin
Guinevere;Ginebra
Gujuo;gujuo
Gull;Gaviota
Gulldamar;Gulldamar
Gulluck;Gulluck
Gundai;gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdström
Gunnjorn;Gunnjörn
Gunslik;Gunslik
Gunthor the brave;gunthor el valiente
Guthan the Infested;Guthan el Infestado
Gwallter;Gwallter
Gwerin Hapus;Hapus Gwerin
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;gwyn
Gypsy;gitano
Gypsy Aris;Aris gitana
Gyr Falcon;Halcón Gyr
H.A.M. Archer;JAMÓN. Arquero
H.A.M. Deacon;JAMÓN. Diácono
H.A.M. Guard;JAMÓN. Guardia
H.A.M. Mage;JAMÓN. mago
H.A.M. Member;JAMÓN. Miembro
HAM member;miembro de jamón
HRH Hrafn;SAR Hrafn
Habibah;Habibá
Hadley;hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Peluquero
Hajedy;hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Medio zombi
Half-soulless;Medio sin alma
Halla;Halla
Hallak;hallak
Hamab;Hamab
Hamal the Chieftain;Hamal el cacique
Hameln the Jester;Hamelín el bufón
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Barba fuerte de pico de martillo
Hanchen the Hound;Hanchen el sabueso
Hangman game;juego del ahorcado
Hans;Hans
Hari;hari
Haris;haris
Harold;harold
Harold Evans;Harold Evans
Harpert;Harpert
Harpie Bug Swarm;Enjambre de insectos arpías
Harrallak Menarous;Harrallak Menarous
Harry;Acosar
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosainto
Haze;Bruma
Hazeel;avellana
Hazeel Cultist;Cultista Hazeel
Hazelmere;avellana
Head;Cabeza
Head Guard;Guardia de cabeza
Head Mourner;Jefe de luto
Head Thief;ladrón principal
Head chef;jefe de cocina
Headless Beast;Bestia sin cabeza
Headless Beast (hard);Bestia sin cabeza (difícil)
Healthorg and tortoise;Healthorg y tortuga
Heckel Funch;Heckel Funch
Hegir;Hégir
Helemos;Helemos
Helena;elena
Helga;helga
Hell-Rat;Rata del infierno
Hell-Rat Behemoth;Gigante rata infernal
Hell-kitten;gatito del infierno
Hellcat;gato infernal
Hellhound;Perro del infierno
Hellpuppy;Cachorro infernal
Hendor;Hendor
Hengel;hengel
Hengrad;Hengrado
Henja;henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;herbí
Herbiboar;herbívoro
Herman Caranos;Herman Caranos
Hero;Héroe
Heron;Garza
Herquin;Herquín
Hervi;Herví
Heskel;Heskel
Hespori;hespori
Het;él
Hetty;hetty
Hewey;Hewey
Hickton;Hickton
Hieve;colmena
High Priest;Sumo sacerdote
High Priestess Zul-Harcinqa;Suma Sacerdotisa Zul-Harcinqa
Highwayman;Salteador de caminos
Hild;Hilda
Hill Giant;Gigante de la colina
Hirko;Hirko
Historian Duffy;Historiador Duffy
Historian Minas;Historiador Minas
Hiylik Myna;Hiylik Myna
Hobbes;hobbes
Hobgoblin;Duende
Hobgoblin Champion;Campeón hobgoblin
Hofuthand (weapons and armour);Hofuthand (armas y armaduras)
Hole in the wall;Agujero en la pared
Holgart;Holgart
Holoy;Holo
Holthion;Holtion
Homunculus;homúnculo
Honest Jimmy;Jimmy honesto
Honour guard;guardia de honor
Hooded Figure;Figura encapuchada
Hooknosed Jack;Jack de nariz ganchuda
Hoop Snake;Serpiente de aro
Hopeless beast;Bestia desesperada
Hopeless creature;Criatura desesperada
Hopleez;Hopleez
Hops;Lúpulo
Horace;horacio
Horacio;Horacio
Horned graahk;Graahk con cuernos
Horphis;Horfis
Horvik;Horvik
Hosa;hosa
House;Casa
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudón
Huge spider;Araña enorme
Hugor;Hugor
Hunding;hundiendo
Hunting expert;Experto en caza
Hura;hura
Husk;Cáscara
Hydra;Hidra
Hygd;Hygd
Ian;ian
Iban;iban
Ice Queen;reina de hielo
Ice Troll;Trol de hielo
Ice Troll King;Rey Troll de Hielo
Ice Troll King (hard);Rey Troll de Hielo (difícil)
Ice block;bloque de hielo
Ice demon;demonio de hielo
Ice giant;gigante de hielo
Ice spider;Araña de hielo
Ice troll;troll de hielo
Ice troll female;Hembra troll de hielo
Ice troll grunt;Gruñido de troll de hielo
Ice troll male;Macho troll de hielo
Ice troll runt;Enano troll de hielo
Ice warrior;guerrero de hielo
Ice wolf;lobo de hielo
Iceberg;Iceberg
Icefiend;demonio de hielo
Icelord;señor de hielo
Icicle;Carámbano
Icthlarin;Ictlarina
Idril;idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;iffie
Ignatius Vulcan;Ignacio Vulcano
Ignisia;Ignisia
Ikkle Hydra;Hidra Ikkle
Ileana;ileana
Ilfeen;ilfeen
Ima;soy
Imerominia;Imerominia
Imiago;Imiago
Imin;Imín
Iminye;Iminye
Immenizz;Immenizz
Imp;Diablillo
Imp Champion;Campeón diablillo
Imp defender;Defensor del diablillo
Imre;imre
Incapacitated Pyromancer;Piromante incapacitado
Indis;indios
Infernal Mage;Mago infernal
Infernal pyrelord;Señor del piro infernal
Information clerk;empleado de información
Inga;inga
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Guardián de la posada
Innocent-looking key;Llave de aspecto inocente
Insatiable Bloodveld;Veld de sangre insaciable
Insatiable mutated Bloodveld;Bloodveld mutado insaciable
Invrigar the Necromancer;Invrigar el Nigromante
Iona;iona
Iorwerth Archer;Arquero Iorwerth
Iorwerth Warrior;Guerrero Iorwerth
Irena;Irene
Irene;irene
Irina;irina
Irksol;Irksol
Iron Man tutor;tutor de hombre de hierro
Iron dragon;dragón de hierro
Iron ore;mineral de hierro
Iron pickaxe;pico de hierro
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;ish el navegante
Ishmael;Ismael
Islwyn;islwyn
Istoria;istoria
Ithoi the Navigator;Ithoi el Navegante
Ivan;Iván
Ivan Strom;Ivan Strom
Iwan;Iwán
Iwazaru;Iwazaru
Jack;Jacobo
Jack Sails;Jack Velas
Jack Seagull;Jack Gaviota
Jackal;Chacal
Jacky Jester;Jacky Bufón
Jade;Jade
Jadid;jadid
Jagbakoba;Jagbakoba
Jail guard;guardia de la cárcel
Jailer;Carcelero
Jake;jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;Jaime
Jamila;jamila
Jaraah;Jaraah
Jardric;Jardric
Jari;jari
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (mediano)
Jeb;jeb
Jeed;Jeed
Jeff;jeff
Jelly;Gelatina
Jennella;jennella
Jennifer;jennifer
Jenny Blade;Jenny Blade
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jericó
Jess;Cadena
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Cangrejo enjoyado
Jewelled Crab (blue);Cangrejo enjoyado (azul)
Jewelled Crab (green);Cangrejo enjoyado (verde)
Jewelled Crab (red);Cangrejo enjoyado (rojo)
Jex;jex
Jig cart;Carro de plantilla
Jill;Jill
Jiminua;Jiminúa
Jimmy;Palanqueta
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Jimmy el cincel
Joe;José
Jofridr Mordstatter;Jofridr Mordstätter
Jogre;Jogre
Jogre Champion;Campeón jogre
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;jon
Jonathan;jonathan
Jonny the beard;Jonny la barba
Jorra;jorra
Jorral;Joral
Jorzik;jorzik
Joseph;José
Joshua;Josué
Jossik;Josik
Jubbly bird;pájaro alegre
Jubster;jubster
Judge of Yama;Juez de Yama
Jukat;jukat
Julie;julia
Juliet;julieta
Jumaane;jumaane
Juna;juana
Jungle Demon;Demonio de la selva
Jungle Demon (hard);Demonio de la jungla (difícil)
Jungle Wolf;lobo de la selva
Jungle eagle;águila de la selva
Jungle forester;guardabosques de la selva
Jungle horror;Terror en la jungla
Jungle savage;Salvaje de la selva
Jungle spider;Araña de la selva
Junior Navigator;Navegante Junior
Jury;Jurado
Justiciar Zachariah;Justicia Zachariah
Justin Servil;Justin Servil
Justine;justine
Jyn;Jyn
K'klik;k'klik
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;Agente KGP
KGP Guard;Guardia KGP
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Guardián calfita
Kalphite Larva;Larva de calfita
Kalphite Princess;Princesa calfita
Kalphite Queen;Reina calfita
Kalphite Soldier;Soldado calfita
Kalphite Worker;Trabajador calfita
Kalrag;Kalrag
Kalron;Kalron
Kamen;kamen
Kamfreena;kamfreena
Kamil;Kamil
Kamil (hard);Kamil (duro)
Kanel;kanel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;karamela
Karamel (hard);Caramelo (duro)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil el Contaminado
Karim;karim
Karl;carlos
Kaston;kaston
Kathy Corkat;Kathy Corkat
Katrine;katrina
Kaylee;kalee
Kazemde;Kazemdé
Kazgar;Kazgar
Kebbit;kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;keith
Kelvin;kélvin
Kelyn;Kelyn
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket-Zek
Key Master;Maestro clave
Kharid Scorpion;Escorpión Kharid
Khazard Guard;Guardia de Khazard
Khazard Ogre;Ogro Khazard
Khazard Scorpion;Escorpión Khazard
Khazard barman;camarero de Khazard
Khazard commander;comandante jázardo
Khazard trooper;Soldado Khazard
Khazard warlord;Señor de la guerra Khazard
Khazard warlord (hard);Señor de la guerra Khazard (difícil)
Khorvak, a dwarven engineer;Khorvak, un ingeniero enano
Kikazaru;kikazaru
Killer;Asesino
Killerwatt;Vatio asesino
Kilron;Kilrón
Kineer;cineer
King Arthur;Rey Arturo
King Artur Hosidius;Rey Arturo Hosidio
King Awowogei;Rey Awowogei
King Black Dragon;Rey Dragón Negro
King Bolren;Rey Bolren
King Gjuki Sorvott IV;Rey Gjuki Sorvott IV
King Healthorg;Rey Saludorg
King Kandur Hosidius;Rey Kandur Hosidio
King Lathas;Rey Lathas
King Narnode Shareen;Rey Narnode Shareen
King Percival;Rey Percival
King Roald;Rey Roaldo
King Roald (hard);Rey Roald (difícil)
King Sand Crab;Cangrejo Rey de Arena
King Scorpion;Rey Escorpión
King Thoros;Rey Thoros
King Vargas;Rey Vargas
King kurask;Rey Kurask
King rat;rata rey
King's Messenger;Mensajero del Rey
Kitten;Gatito
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;kjut
Klank;Klank
Klarense;klarense
Klenter;klenter
Knight;Caballero
Knight of Ardougne;Caballero de Ardouña
Knight of Saradomin;Caballero de Saradomin
Knight of Varlamore;Caballero de Varlamore
Knight of the Lion;Caballero del León
Knight of the Owl;Caballero del Búho
Knight of the Unicorn;Caballero del Unicornio
Knight of the Wolf;caballero del lobo
Koanee;Koanee
Kob;kob
Koftik;koftik
Kolodion;kolodion
Konar quo Maten;Konar quo Maten
Konoo;konoo
Kormar quo Maten;Kormar quo Maten
Kortan;cortán
Koschei the deathless;Koschei el inmortal
Kragen;Kragen
Kraka;Cracovia
Kraken;Kraken
Krato;Krató
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;kroy
Kruk;Kruk
Kryket bat;Murciélago kryket
Krystilia;krystilia
Ksenia;ksenia
Kualti;kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;kurt
Kylie Minnow;Kylie Minnow
Lacey;encaje
Lady Carys Hefin;Lady Carys Hefin
Lady Crombwick;señora crombwick
Lady Ffion Meilyr;Señora Ffion Meilyr
Lady Keli;señora keli
Lady Kelyn Ithell;Lady Kelyn Ithell
Lady Nadezhda Shadum;Señora Nadezhda Shadum
Lady Servil;Señora Servil
Lady Shauna Piscarilius;Señora Shauna Piscarilius
Lady Table;Mesa de dama
Lady Tangwen Trahaearn;Señora Tangwen Trahaearn
Lady Vulcana Lovakengj;Señora Vulcana Lovakengj
Lahsram;Lahsram
Lalli;lali
Lamb;Cordero
Lammy Langle;Lammy Langle
Lan the Butcher;Lan el carnicero
Lanthus;Lanthus
Lanzig;Lanzig
Large mosquito;mosquito grande
Large zombie monkey;Mono zombie grande
Larran;Larrán
Larrissa;larissa
Larry;larry
Larxus;Larxo
Lasenna Rasputin;Lasenna Rasputín
Lathas;Lathas
Latlink Fastbell;Campana rápida Latlink
Launa;launa
Lauretta;laureta
Lava beast;bestia de lava
