 Sneaky undead fowl;Ovela epäkuolleet linnut
Draul Leptoc;Draul Leptoc
Dreven;Dreven
Drew;Drew
Drezel;Drezel
Driftwood;Ajopuu
Drill Sergeant;Poran kersantti
Droalak;Droalak
Drogo dwarf;Drogo-kääpiö
Dromund;Dromund
Dromund's cat;Dromundin kissa
Dron;Dron
Druid;druidi
Drunken Ali;Humalassa Ali
Drunken Dwarf;humalainen kääpiö
Drunken Dwarf's Leg;Humalaisen kääpiön jalka
Drunken man;Humalassa mies
Drunken soldier;Humalassa sotilas
Dryad;Dryad
Duck;Ankka
Duckling;Ankanpoikanen
Ducklings;Ankanpojat
Dugopul;Dugopul
Duke;Duke
Duke Horacio;Herttua Horacio
Dummy;Nukke
Dumpy;Pönäkkä
Dunce;Puupää
Dung;Lantaa
Dungeon rat;Dungeon rotta
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Hämärä
Dust devil;Pöly paholainen
Dusty Aliv;Pölyinen Aliv
Dusuri;Dusuri
Dwarf;Kääpiö
Dwarf gang member;Kääpiöjengi jäsen
Dwarven Boatman;Kääpiö Boatman
Dwarven Engineer;Kääpiöinsinööri
Dwarven Ferryman;Dwarven Ferryman
Dwarven Miner;Dwarven Miner
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Kotka
Earth Warrior Champion;Earth Warrior -mestari
Earth elemental;Maan alkuaine
Earth impling;Maa vaikuttaa
Earth warrior;Maan soturi
Earth wizard;Maan velho
Earwen;Earwen
Eblis;Eblis
Echned Zekin;Echned Zekin
Eclectic impling;Eklektinen impling
Ed;Ed
Ed Wood;Ed Wood
Edmond;Edmond
Edrahil;Edrahil
Eduard;Eduard
Edward;Edward
Eebel;Eebel
Eek;Eek
Efa;Efa
Effigy;Effigy
Egg;Muna
Egg launcher;Munanheitin
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ektheme
Eldalote;Eldalote
Elder Chaos druid;Vanhin Chaos-druidi
Elder Gnome child;Vanhin Gnome-lapsi
Elder Guard;Vanhin vartija
Elderly Elf;Vanha tonttu
Eldgrim;Eldgrim
Elemental balance;Elementaarinen tasapaino
Elemental rock;Elementaarinen rock
Elena;Elena
Elena Hosidius;Elena Hosidius
Elenwe;Elenwe
Elf Archer;Elf Archer
Elf Hermit;Tonttu Erakko
Elf Tracker;Elf Tracker
Elf Warrior;Tonttu soturi
Elfinlocks;Elfinlocks
Elgan;Elgan
Elijah;Elijah
Elisabeta;Elisabeta
Elise;Elise
Elissa;Elissa
Elite Void Knight;Elite Void Knight
Elizabeth;Elizabeth
Elkoy;Elkoy
Elladan;Elladan
Ellen;Ellen
Ellena;Ellena
Ellie;Ellie
Ellis;Ellis
Elly the Camel;Elly kameli
Elnock Inquisitor;Elnock inkvisiittori
Elsie;Elsie
Elstan;Elstan
Eluned;Eluned
Elvarg;Elvarg
Elvarg (hard);Elvarg (kova)
Elven Scout;Haltioiden Scout
Embalmer;Palsamointilaite
Emblem Trader;Tunnuskauppias
Emerald Benedict;Smaragdi Benedict
Emilia;Emilia
Emily;Emily
Enakhra;Enakhra
Enchanted Broom;Lumottu luuta
Enchanted Bucket;Enchanted Bucket
Enchantment Guardian;Enchantment Guardian
Enclave guard;Enklaavin vartija
Enel;Enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Energiafokus (sininen)
Energy focus (green);Energiafokus (vihreä)
Energy focus (red);Energiafokus (punainen)
Energy focus (white);Energiafokus (valkoinen)
Energy sprite;Energia sprite
Engineer;Insinööri
Engineering assistant;Insinööriavustaja
Enilly;Enilly
Eniola;Eniola
Enoch;Enoch
Enormous Tentacle;Valtava lonkero
Enraged Tektiny;Raivostunut Tektiny
Enraged barbarian spirit;Raivostunut barbaarihenki
Ent;Ent
Entomologist;Entomologi
Entrana firebird;Entrana tulilintu
Entrance Guardian;Sisäänkäynnin valvoja
Eodan;Eodan
Eohric;Eohric
Eoin;Eoin
Episcula Helsing;Episcula Helsing
Erdan;Erdan
Erestor;Erestor
Eric;Eric
Ermin;Ermin
Ernest;Ernest
Erodoeht;Erodoeht
Escaping slave;Pakene orja
Essence impling;Essence Impling
Essyllt;Essyllt
Essyllt (hard);Essyllt (kova)
Estate agent;Kiinteistönvälittäjä
Esther;Esther
Ethereal Expert;Eetterinen asiantuntija
Ethereal Fluke;Eteerinen Fluke
Ethereal Guide;Eetterinen opas
Ethereal Lady;Eetterinen Lady
Ethereal Man;Eetterinen Mies
Ethereal Mimic;Eteerinen jäljitelmä
Ethereal Numerator;Eteerinen osoittaja
Ethereal Perceptive;Eteerinen Perceptive
Eudav;Eudav
Eve;Eeva
Evil Bob;Paha Bob
Evil Chicken;Paha kana
Evil Chicken (hard);Evil Chicken (kova)
Evil Dave;Paha Dave
Evil creature;Paha olento
Evil spirit;Paha henki
Ewesey;Ewesey
Examiner;Tarkastaja
Executioner;Pyöveli
Experiment;Kokeilu
Experiment No.2;Koe nro 2
Ezekial Lovecraft;Ezekial Lovecraft
Factory Manager;Tehdaspäällikkö
Factory Worker;Tehdastyöläinen
Fadli;Fadli
Fairy;Keiju
Fairy Aeryka;Keiju Aeryka
Fairy Fixit;Fairy Fixit
Fairy Godfather;Keiju Kummisetä
Fairy Nuff;Fairy Nuff
Fairy Queen;Keiju kuningatar
Fairy Very Wise;Keiju Erittäin Viisas
Fairy chef;Keiju kokki
Fairy shop assistant;Keiju myyjä
Fairy shop keeper;Keijukaupan pitäjä
Fake Man;Fake Mies
Fallen Man;Langennut Mies
Falo the Bard;Falo Bard
Fancy Dan;Ihana Dan
Fanellaman;Fanellaman
Fareed;Fareed
Fareed (hard);Kävi (kova)
Farid Morrisane (ores and bars);Farid Morrisane (malmit ja patukat)
Farmer;Maanviljelijä
Farmer Brumty;Maanviljelijä Brumty
Farmer Fromund;Maanviljelijä Fromund
Farmer Gricoller;Maanviljelijä Gricoller
Farmer Hayfield;Maanviljelijä Hayfield
Farmer's wife;Maanviljelijän vaimo
Farolt;Farolt
Fat Rocco;Lihava Rocco
Fat Tony;Lihava Tony
Father Aereck;Isä Aereck
Father Badden;Isä Badden
Father Eysseric;Isä Eysseric
Father Jean;Isä Jean
Father Lawrence;Isä Lawrence
Father Reen;Isä Reen
Father Urhney;Isä Urhney
Fayeth;Fayeth
Feanor;Feanor
Fear reaper;Pelkää viikatemies
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Naisorja
Femi;Femi
Fenkenstrain's Monster;Fenkenstrainin hirviö
Feral Vampyre;Villi vampyyri
Ferd;Ferd
Fernahei;Fernahei
Ferocious barbarian spirit;Raivoisa barbaarihenki
Ferox;Ferox
Ferret;Fretti
Ferryman Nathwood;Lauttamies Nathwood
Ferryman Sathwood;Lauttamies Sathwood
Fever spider;Kuume hämähäkki
Ffoni;Ffoni
Fidelio;Fidelio
Fightslave;Fightslave
Filamina;Filamiini
Filliman Tarlock;Filliman Tarlock
Financial Seer;Talousnäkijä
Financial Wizard;Finanssinero
Finarfin;Finarfin
Findis;Findis
Finduilas;Finduilas
Fingolfin;Fingolfiini
Fingon;Fingon
Finn;suomalainen
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Lesarkuksen tulisoturi
Fire elemental;Tuli elementaali
Fire giant;Tuli jättiläinen
Fire wizard;Palovelho
First Mate Deri;Ensimmäinen perämies Deri
First Mate Peri;Ensimmäinen perämies Peri
First mate 'Davey-boy';Esikaveri "Davey-boy"
Fish;Kalastaa
Fish monger;Kalakauppias
Fish shoal;Kalaparvi
Fishbowl;Fishbowl
Fisherman;Kalastaja
Fisherman Frodi;Kalastaja Frodi
Fishing spot;Kalastuspaikka
Fishing tutor;Kalastuksen ohjaaja
Fishmonger;Kalakauppias
Fiyr Shade;Fiyr Shade
Fiyr Shadow;Fiyr Shadow
Flambeed;Flambeed
Flambeed (hard);Flambeed (kova)
Flaming pyrelord;Lievä pyrelordi
Flawed Golem;Virheellinen Golem
Flax keeper;Pellavanvartija
Flaygian Screwte;Flaygian Screwte
Flesh Crawler;Flesh Crawler
Flies;Kärpäsiä
Flight Kilisa;Lento Kilisa
Flippa;Flippa
Flockleader Geerin;Parvenjohtaja Geerin
Floki;Floki
Florin;Florin
Flosi Dalksson;Flosi Dalksson
Flower;Kukka
Flower Girl;Kukkatyttö
Fly trap;Kärpäsloukku
Flying Book;Lentävä kirja
Flying Vespina;Lentävä Vespina
Flying female vampire;Lentävä naisvampyyri
Flynn;Flynn
Foreman;Työnjohtaja
Forester;Metsänhoitaja
Forester (hard);Metsänhoitaja (kova)
Forgotten Soul;Unohtunut sielu
Former Vampyre;Entinen vampyyri
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Linnoituksen vartija
Fortunato;Fortunato
Fossegrimen;Fossegrimen
Fossil Collector;Fossiilien keräilijä
Fossil Rock;Fossiilinen kivi
Fox;Kettu
Fragment of Seren;Fragmentti Serenistä
Francis;Francis
Francois;Francois
Frank;Frank
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Hullu metsänhoitaja
Freald;Freald
Fred the Farmer;Fred maanviljelijä
Freidir;Freidir
Freja;Freja
Fremennik Warrior;Fremennik Warrior
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Jääkaappi
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frincos
Fritz the Glassblower;Fritz lasinpuhallin
Frizzy Skernip;Pörröinen Skernip
Frog;Sammakko
Frog prince;Sammakkoprinssi
Frog princess;Sammakkoprinsessa
Frogeel;Frogeel
Froono;Froono
Fuggy;Tunkkainen
Fullangr;Fullangr
Fungi;Sienet
Fur trader;Turkiskauppias
Furnace grate;Uunin arina
Fycie;Fycie
Fyiona Fray (easy);Fiiona Fray (helppo)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;GPDT työntekijä
Gabooty;Gabooty
Gabriela;Gabriela
Gadderanks;Gadderankit
Gadrin;Gadrin
Gaius;Gaius
Galahad;Galahad
Galana;Galana
Galathil;Galathil
Galina;Galina
Gallow;Gallow
Galvek;Galvek
Gamer;Pelaaja
Gamfred;Gamfred
Gang boss;Ryhmän pomo
Gangster;Gangsteri
Garai;Garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Puutarhan toimittaja
Gardener;Puutarhuri
Gardener Ghost;Puutarhuri Ghost
Gardener Gunnhild;Puutarhuri Gunnhild
Gardener Jay Jr.;Puutarhuri Jay Jr.
Gargh;Gargh
Gargoyle;Irvikuva
Garkor;Garkor
Garl;Garl
Garth;Garth
Garv;Garv
Gate of War;Sodan portti
Gatekeeper;Portinvartija
Gauss;Gauss
Gee;Jep
Gelatinnoth Mother;Gelatinnoth äiti
Gelatinnoth Mother (hard);Gelatinnoth Mother (kova)
Gelin;Gelin
Gelmir;Gelmir
Gem;Helmi
Gem merchant;Jalokivikauppias
Gem trader;Jalokivikauppias
Gene;Gene
General Babacus;Kenraali Babacus
General Bentnoze;Kenraali Bentnoze
General Graardor;Kenraali Graardor
General Graardor Jr.;Kenraali Graardor Jr.
General Hining;Kenraali Hining
General Khazard;Kenraali Khazard
General Kilian;Kenraali Kilian
General Salara;Kenraali Salara
General Vir;Kenraali Vir
General Wartface;Yleinen Wartface
Generic Diplomat;Yleinen diplomaatti
Genie;Genie
George Laxmeister;George Laxmeister
Georgy;Georgiy
Gerald;Gerald
Gerrant;Gerrant
Gertrude;Gertrude
Gertrude's cat;Gertruden kissa
Gethin;Gethin
Ghaslor the Elder;Ghaslor vanhin
Ghast;Ghast
Ghommal;Ghommal
Ghost;Aave
Ghost (?);Aave (?)
Ghost banker;Kummituspankkiiri
Ghost captain;Kummituskapteeni
Ghost disciple;Aave opetuslapsi
Ghost farmer;Haamuviljelijä
Ghost guard;Kummitusvartija
Ghost innkeeper;Ghost majatalon pitäjä
Ghost sailor;Ghost merimies
Ghost shopkeeper;Haamukauppias
Ghost villager;Kummituskyläläinen
Ghoul;Ghoul
Ghoul Champion;Ghoul-mestari
Gianne jnr.;Gianne jnr.
Giant;Jättiläinen
Giant Champion;Jättiläinen mestari
Giant Lobster;Jättiläinen hummeri
Giant Mole;Jättiläinen myyrä
Giant Roc;Jättiläinen Roc
Giant Roc (hard);Giant Roc (kova)
Giant Rock Crab;Jättiläinen kalliorapu
Giant Sea Snake;Jättiläinen merikäärme
Giant Squirrel;Jättiläinen orava
Giant bat;Jättiläinen lepakko
Giant crypt rat;Jättiläinen kryptorta
Giant crypt spider;Jättiläinen kryptahämähäkki
Giant frog;Jättiläinen sammakko
Giant lobster;Jättiläinen hummeri
Giant mosquito;Jättiläinen hyttynen
Giant rat;Jättiläinen rotta
Giant rockslug;Jättiläinen kivietana
Giant scarab;Jättiläinen skarabeus
Giant scarab (hard);Jättiläinen skarabe (kova)
Giant skeleton;Jättiläinen luuranko
Giant snail;Jättiläinen etana
Giant spider;Jättiläinen hämähäkki
Gielinor Guide;Gielinor opas
Giles;Giles
Gileth;Gileth
Gillie Groats;Gillie Groats
Giral bat;Tyttö lepakko
Gita Prymes;Gita Prymes
Gladiator;Gladiaattori
Glenda;Glenda
Glod;Glod
Glod (hard);Glod (kova)
Glorfindel;Glorfindel
Glough;Glough
Glouphrie the Untrusted;Glouphrie epäluotettava
Gnocci the Cook;Gnocci kokki
Gnome;Gnome
Gnome Archer;Gnome Archer
Gnome Coach;Gnome valmentaja
Gnome Driver;Gnome ohjain
Gnome Mage;Gnome Mage
Gnome Waiter;Gnome tarjoilija
Gnome ball referee;Gnome-pallotuomari
Gnome baller;Gnome baller
Gnome banker;Gnome pankkiiri
Gnome child;Gnome lapsi
Gnome companion;Gnome kumppani
Gnome emissary;Gnome lähettiläs
Gnome guard;Gnome vartija
Gnome shop keeper;Gnome-kauppias
Gnome soldier;Gnome sotilas
Gnome trainer;Gnome kouluttaja
Gnome traveller;Gnome matkustaja
Gnome troop;Gnome-joukko
Gnome winger;Gnome-laitahyökkääjä
Gnome woman;Gnome nainen
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Vuohi
Goat Poo;Vuohen kakka
Goblin;Goblin
Goblin Champion;Goblin-mestari
Goblin Cook;Goblin Cook
Goblin fish;Goblin kala
Goblin guard;Goblin vartija
Goblin scribe;Goblin kirjuri
Godric;Godric
Gold ore;Kultamalmi
Golden sheep;Kultainen lammas
Golden warbler;Kultainen koura
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorilla
Gossip;Juoruja
Gourmet;Gourmet
Gourmet impling;Gourmet impling
Grace;Armo
Grail Maiden;Graal Maiden
Grand Exchange Clerk;Suuri vaihtovirkailija
Grandpa Jack;Isoisä Jack
Grave;Hauta
Grave digger;Haudankaivaja
Grave scorpion;Hauta skorpioni
Graveyard Guardian;Hautausmaan vartija
Gravingas;Gravingas
Greasycheeks;Rasvaiset posket
Great Olm;Suuri Olm
Great Olm (Left claw);Great Olm (vasen kynsi)
Great Olm (Right claw);Great Olm (oikea kynsi)
Great blue heron;Suuri sininen haikara
Greater Nechryael;Suur-Nechryael
Greater Skeleton Hellhound;Suurluuranko Hellhound
Greater abyssal demon;Suurempi kuiludemoni
Greater demon;Suurempi demoni
Greater ghostly thrall;Suurempi aavemainen jännitys
Greater skeletal thrall;Suurempi luuranko
Greater zombified thrall;Suurempi zombisoitunut jännitys
Green Gemstone Director;Green Gemstone johtaja
Green Gemstone Secretary;Vihreän jalokiven sihteeri
Green Sheep;Vihreä lammas
Green dragon;Vihreä lohikäärme
Green fireflies;Vihreät tulikärpäset
Greengrocer;Vihanneskauppias
Greldo;Greldo
Grew;Kasvoi
Grey golem;Harmaa golem
Grigor Rasputin;Grigor Rasputin
Grigore;Grigore
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Pito
Grish;Grish
Grizzly bear;Harmaakarhu
Grizzly bear cub;Grizzly-karhunpentu
Growler;Growler
Growthling;Kasvava
Grubfoot;Grubfoot
Grubor;Grubor
Gruff McScruff;Gruff McScruff
Grug;Grug
Gruh;Gruh
Grum;Grum
Grundt;Grundt
Gruva Patrull;Gruva Patrull
Guanic bat;Guaanilepakko
Guard;Vartija
Guard Bandit;Vartija Bandit
Guard Captain;Vartijan kapteeni
Guard Recruiter;Vartijan rekrytoija
Guard Vemmeldo;Vartija Vemmeldo
Guard dog;Vartiokoira
Guardian Drake;Guardian Drake
Guardian mummy;Suojelijamuumio
Guardian of Armadyl;Armadylin vartija
Guidor;Guidor
Guildmaster;Kiltamestari
Guildmaster Jane;Kiltamestari Jane
Guildmaster Lars;Kiltamestari Lars
Guilin;Guilin
Guinevere;Guinevere
Gujuo;Gujuo
Gull;Lokki
Gulldamar;Gulldamar
Gulluck;Gulluck
Gundai;Gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdström
Gunnjorn;Gunnjorn
Gunslik;Gunslik
Gunthor the brave;Gunthor rohkea
Guthan the Infested;Guthanin saastuttamat
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;Mustalainen
Gypsy Aris;Gypsy Aris
Gyr Falcon;Gyr Falcon
H.A.M. Archer;KINKKU. Jousimies
H.A.M. Deacon;KINKKU. Diakoni
H.A.M. Guard;KINKKU. Vartija
H.A.M. Mage;KINKKU. Mage
H.A.M. Member;KINKKU. Jäsen
HAM member;HAM:n jäsen
HRH Hrafn;HRH Hrafn
Habibah;Habibah
Hadley;Hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Kampaaja
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Puoli-zombi
Half-soulless;Puolisieluton
Halla;Halla
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hamal päällikkö
Hameln the Jester;Hameln narri
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Hammerspike Stoutbeard
Hanchen the Hound;Hanchen koira
Hangman game;Hangman peli
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Harold
Harold Evans;Harold Evans
Harpert;Harpert
Harpie Bug Swarm;Harpie Bug Swarm
Harrallak Menarous;Harrallak Menarous
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosaintus
Haze;Haze
Hazeel;Hazeel
Hazeel Cultist;Hazeel-kultisti
Hazelmere;Hazelmere
Head;Pää
Head Guard;Pääsuoja
Head Mourner;Pääsuri
Head Thief;Päävaras
Head chef;Pääkokki
Headless Beast;Päätön peto
Headless Beast (hard);Päätön peto (kova)
Healthorg and tortoise;Terveysorg ja kilpikonna
Heckel Funch;Heckel Funch
Hegir;Hegir
Helemos;Helemos
Helena;Helena
Helga;Helga
Hell-Rat;Helvetin rotta
Hell-kitten;Helvetin kissanpentu
Hellcat;Hellcat
Hellhound;Helvettikoira
Hellpuppy;Helppuppy
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;Herbi
Herbiboar;Herbiboar
Herman Caranos;Herman Caranos
Hero;Sankari
Heron;Harmaahaikara
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Hespori
Het;Het
Hetty;Hetty
Hewey;Hei hei
Hickton;Hickton
Hieve;Hieve
High Priest;Ylimmäinen pappi
High Priestess Zul-Harcinqa;Ylipappitar Zul-Harcinqa
Highwayman;Moottoritiemies
Hild;Hild
Hill Giant;Hill Giant
Hirko;Hirko
Historian Duffy;Historioitsija Duffy
Historian Minas;Historioitsija Minas
Hiylik Myna;Hei Myna
Hobbes;Hobbes
Hobgoblin;Peikko
Hobgoblin Champion;Hobgoblin-mestari
Hofuthand (weapons and armour);Hofuthand (aseet ja panssari)
Hole in the wall;Reikä seinässä
Holgart;Holgart
Holoy;Holoy
Holthion;Holthion
Homunculus;Homunculus
Honest Jimmy;Rehellinen Jimmy
Honour guard;Kunniavartija
Hooded Figure;Hupullinen figuuri
Hooknosed Jack;Koukkukärkinen Jack
Hoop Snake;Hoop Snake
Hopeless beast;Toivoton peto
Hopeless creature;Toivoton olento
Hopleez;Hopleez
Hops;Humala
Horace;Horace
Horacio;Horacio
Horned graahk;Sarvimainen graahk
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Talo
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudon
Huge spider;Valtava hämähäkki
Hugor;Hugor
Hunding;Hunding
Hunting expert;Metsästyksen asiantuntija
Hura;Hura
Husk;Kuori
Hydra;Hydra
Hygd;Hygd
Ian;Ian
Iban;Iban
Ice Queen;Jääkuningatar
Ice Troll;Jääpeikko
Ice Troll King;Jääpeikkokuningas
Ice Troll King (hard);Jääpeikkokuningas (kova)
Ice block;Jääpala
Ice demon;Jäädemoni
Ice giant;Jääjättiläinen
Ice spider;Jäähämähäkki
Ice troll;Jäätrolli
Ice troll female;Naaras jääpeikko
Ice troll grunt;Jääpeikko murisee
Ice troll male;Jääpeikko mies
Ice troll runt;Jääpeikkojuoksu
Ice warrior;Jääsoturi
Ice wolf;Jääsusi
Iceberg;Jäävuori
Icefiend;Icefiend
Icelord;Icelord
Icicle;Jääpuikko
Icthlarin;Icthlarin
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Ignatius Vulcan
Ignisia;Ignisia
Ikkle Hydra;Ikkle Hydra
Ileana;Ileana
Ilfeen;Ilfeen
Ima;Ima
Imerominia;Imerominia
Imiago;Imiago
Imin;Imin
Iminye;Iminye
Immenizz;Immenizz
Imp;Imp
Imp Champion;Imp-mestari
Imp defender;Imp-puolustaja
Imre;Imre
Incapacitated Pyromancer;Toimintakyvytön Pyromancer
Indis;Indis
Infernal Mage;Infernal Mage
Infernal pyrelord;Helvetin pyrelordi
Information clerk;Tietovirkailija
Inga;Inga
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Inn Keeper
Innocent-looking key;Viattoman näköinen avain
Insatiable Bloodveld;Kyltymätön Bloodveld
Insatiable mutated Bloodveld;Kyltymätön mutatoitunut Bloodveld
Invrigar the Necromancer;Invrigar the Necromancer
Iona;Iona
Iorwerth Archer;Iorwerth Archer
Iorwerth Warrior;Iorwerth Warrior
Irena;Irena
Irene;Irene
Irina;Irina
Irksol;Irksol
Iron Man tutor;Iron Man tutor
Iron dragon;Rautainen lohikäärme
Iron ore;Rautamalmi
Iron pickaxe;Rautahakku
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ish the Navigator
Ishmael;Ismael
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi Navigaattori
Ivan;Ivan
Ivan Strom;Ivan Strom
Iwan;Iwan
Iwazaru;Iwazaru
Jack;Jack
Jack Sails;Jack Sails
Jack Seagull;Jack Lokki
Jackal;Sakaali
Jacky Jester;Jacky Jester
Jade;Jade
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Vankilan vartija
Jailer;Vanginvartija
Jake;Jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;James
Jamila;Jamila
Jaraah;Jaraah
Jardric;Jardric
Jari;Jari
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (keskikokoinen)
Jeb;Jeb
Jeed;Jeed
Jeff;Jeff
Jelly;Hyytelö
Jennella;Jennella
Jennifer;Jennifer
Jenny Blade;Jenny Blade
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jerico
Jess;Jess
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Jalokivirapu
Jewelled Crab (blue);Jalokivirapu (sininen)
Jewelled Crab (green);Jalokivirapu (vihreä)
Jewelled Crab (red);Jalokivirapu (punainen)
Jex;Jex
Jig cart;Jig-kärry
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Jimmy taltta
Joe;Joe
Jofridr Mordstatter;Jofridr Mordstatter
Jogre;Jogre
Jogre Champion;Jogren mestari
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jonathan
Jonny the beard;Jonny parta
Jorra;Jorra
Jorral;Jorral
Jorzik;Jorzik
Joseph;Joseph
Joshua;Joshua
Jossik;Jossik
Jubbly bird;Pirteä lintu
Jubster;Jubster
Judge of Yama;Yaman tuomari
Jukat;Jukat
Julie;Julie
Juliet;Julia
Jumaane;Jumaane
Juna;Juna
Jungle Demon;Viidakon demoni
Jungle Demon (hard);Viidakkodemoni (kova)
Jungle Wolf;Viidakon susi
Jungle eagle;Viidakon kotka
Jungle forester;Viidakon metsänhoitaja
Jungle horror;Viidakon kauhu
Jungle savage;Viidakon villi
Jungle spider;Viidakon hämähäkki
Junior Navigator;Junior Navigaattori
Jury;Tuomaristo
Justiciar Zachariah;Tuomari Zachariah
Justin Servil;Justin Servil
Justine;Justine
Jyn;Jyn
K'klik;K'klik
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;KGP-agentti
KGP Guard;KGP vartija
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Kalphite Guardian
Kalphite Larva;Kalfiitin toukka
Kalphite Princess;Kalphiten prinsessa
Kalphite Queen;Kalphiten kuningatar
Kalphite Soldier;Kalphite sotilas
Kalphite Worker;Kalphiten työntekijä
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfreena
Kamil;Kamil
Kamil (hard);Kamil (kova)
Kanel;Kanel
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;Karamel
Karamel (hard);Karamel (kova)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil Tainted
Karim;Karim
Karl;Karl
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Katrine
Kaylee;Kaylee
Kazemde;Kazemde
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;Keith
Kelvin;Kelvin
Kelyn;Kelyn
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket-Zek
Key Master;Avaimen mestari
Kharid Scorpion;Kharid Scorpion
Khazard Guard;Khazardin vartija
Khazard Ogre;Khazard Ogre
Khazard Scorpion;Khazard Scorpion
Khazard barman;Khazard baarimikko
Khazard commander;Khazardin komentaja
Khazard trooper;Khazard sotilas
Khazard warlord;Khazard sotapäällikkö
Khazard warlord (hard);Khazard sotapäällikkö (kova)
Khorvak, a dwarven engineer;Khorvak, kääpiöinsinööri
Kikazaru;Kikazaru
Killer;Tappaja
