A Goblin standard;Goblin-standardi
Corrupt Deposit;Korruptoitunut talletus
Corrupt Deposit (Depleted);Korruptoitunut talletus (käytetty)
Creeping Plant;Hiipivä kasvi
Crude raft;Raaka lautta
Crystal Sceptre;Kristallivalikka
Crystal Staircase;Crystal portaikko
Container;Säiliö
Crawling hand;Ryömivä käsi
Crystal bridge;Kristalli silta
Crystal growth;Kristallin kasvu
Coral Reef;Koralliriutta
Cradle of Life;Elämän kehto
Creeper;Creeper
Crevice;Rako
Crumbling wall;Murtuva seinä
Crystal ball;Kristallipallo
Crystal spire;Kristallitorni
Cupboard space;Kaappitilaa
Cooling chest;Jäähdyttävä rintakehä
Coop;Coop
Creature;Olento
Crushed barricade;Murskattu barrikadi
Corner Table;Kulmapöytä
Contortion Bars;Vääntymäpalkit
Corner space;Kulmatilaa
Corrupted Sceptre;Vioittunut valtikka
Crop circle;Rajausympyrä
Crystal cluster;Kristalliklusteri
Crystal dispenser;Crystal annostelija
Coral;Koralli
Corkscrew lever;Korkkiruuvin vipu
Corpse cart;Ruumiskärry
Crater;Kraatteri
Crates;Laatikot
Crystal;Kristalli
Crystal Deposit (Depleted);Kristallitalletus (täytetty)
Crystal Singing Recipes;Crystal Singing Reseptit
Cooking range;Keittoalue
Crane;Nosturi
Crate;Häkki
Daisies;Päiväkakkarat
Darklight;Darklight
Dead Magic Tree;Kuollut taikapuu
Dead Maple;Kuollut vaahtera
Dead dwellberry bush;Kuollut pensas
Curtains;Verhot
Damaged Table;Vaurioitunut pöytä
Dark hole;Tumma aukko
Dead limpwurt plant;Kuollut limpwurt-kasvi
Cutting Table;Leikkauspöytä
Dagannoth;Dagannoth
Damaged Mast;Vaurioitunut masto
Damaged armour;Vaurioitunut panssari
Dartboard;Tikkataulu
Dead Body;Kuollut ruumis
Dead Teak;Kuollut teak
Dead Yew;Kuollut marjakuusi
Dead bat;Kuollut lepakko
Damaged totem pole;Vaurioitunut toteemipaalu
Dawn;Aamunkoitto
Dead Barley;Kuollut ohra
Dead Oak;Kuollut tammi
Dead Spirit Tree;Kuolleen hengen puu
Dead White lily;Kuollut valkoinen lilja
Dead curry tree;Kuollut currypuu
Dead hardy goutweed;Dead hardy goutweed
Dead marigold;Kuollut kehäkukka
Dead onions;Kuolleet sipulit
Dead orange tree;Kuollut appelsiinipuu
Curved bone;Kaareva luu
Damaged Earth;Vaurioitunut maa
Dead Krandorian Hops;Kuollut Krandorian humala
Dead potatoes;Kuolleet perunat
Curry tree stump;Curryn kanto
Daconia rocks;Daconia kiviä
Dairy Cow;Lypsylehmä
Danger Sign;Vaaramerkki
Danger sign;Vaara merkki
David's barrel;Davidin piippu
Dead Bittercap Mushrooms;Kuolleet katkerasienet
Dead Elf;Kuollut tonttu
Dead Yommi sapling;Kuollut Yommin taimi
Dead apple tree;Kuollut omenapuu
Dead goutweed;Kuollut kihti
Dead jangerberry bush;Kuollut jangermarjan pensas
Curtain space;Verhotilaa
Dairy cow;Lypsylehmä
Dead Snape grass;Kuollut Kalkaroksen ruoho
Dead nasturtium;Kuollut nasturtium
Dead papaya tree;Kuollut papaijapuu
Dead Explorer;Kuollut Explorer
Dead dragonfruit plant;Kuollut lohikäärmeen kasvi
Daeyalt Essence;Daeyalt Essence
Dead Mahogany;Kuollut mahonki
Dead celastrus tree;Kuollut selastruspuu
Daeyalt rocks;Daeyalt kiviä
Dead Calquat;Kuollut Calquat
Dead Potato cactus;Kuollut perunakaktus
Dead Tree;Kuollut Puu
Dead cabbages;Kuolleet kaalit
Dead cactus;Kuollut kaktus
Dead palm tree;Kuollut palmu
Dead Hammerstone Hops;Kuollut Hammerstone Humala
Cursed Altar;Kirottu alttari
Curtain;Verho
Dead Belladonna;Kuollut Belladonna
Dead Yommi;Kuollut Yommi
Dead mushroom ring;Kuollut sienirengas
Cyan Crystal;Syaani kristalli
Damaged mast;Vaurioitunut masto
Damaged wall;Vaurioitunut seinä
Dark Chest;Tumma Rinta
Dark tunnel;Pimeä tunneli
Dead Asgarnian Hops;Kuollut Asgarnian humala
Dead Iasor plant;Kuollut Iasorin kasvi
Dead Kronos plant;Kuollut Kronoksen kasvi
Dead Redwood tree;Kuollut punapuu
Dead Wildblood Hops;Dead Wildblood Hops
Dead Yanillian Hops;Kuollut Yanillian Hops
Dead pineapple plant;Kuollut ananaskasvi
Curry tree;Curry puu
Cyan crystal;Syaani kristalli
Dark Altar;Tumma alttari
Dart trap;Tikka ansa
Dead banana tree;Kuollut banaanipuu
Dead cadavaberry bush;Kuollut kadavamarjan pensas
Dead calquat;Kuollut kalkvatti
Current;Nykyinen
Cylinder Pile;Sylinterin kasa
Daffodils;Narsissit
Dagger stall;Tikarin talli
Damaged cart;Vaurioitunut kärry
Dead Attas plant;Kuollut Attasin kasvi
Dead Jute;Kuollut juutti
Dead Poison Ivy bush;Kuollut Poison Ivy -pensas
Dairy churn;Maitotuote
Damaged Vent;Vaurioitunut tuuletusaukko
Dark crystal;Tumma kristalli
Dead Willow;Kuollut Willow
Dead herbs;Kuolleet yrtit
Dead woad plant;Kuollut puukasvi
Decorated limestone fireplace;Koristeltu kalkkikivitakka
Decoration;Sisustus
Delphiniums;Delphiniumit
Dense runestone;Tiheä riimukivi
Diseased palm tree;Sairas palmu
Dead sweetcorn plant;Kuollut sokerimaissi kasvi
Dead tree;Kuollut puu
Dead tree stump;Kuollut kanto
Death rift;Kuolemanreikä
Diseased Jute;Sairas juutti
Diseased Teak;Sairas teak
Diseased apple tree;Sairas omenapuu
Dead redberry bush;Kuollut punamarjan pensas
Dead whiteberry bush;Kuollut valkomarjan pensas
Deadman Supply Chest;Deadman Supply Chest
Deadman display;Deadman-näyttö
Death's domain;Kuoleman toimialue
Decoration space;Sisustustila
Demonic Symbol;Demoninen symboli
Depleted runestone;Loppunut riimukivi
Depleted vein;Tyhjentynyt suoni
Dim crystal;Himmeä kristalli
Diseased Krandorian Hops;Sairas krandorin humala
Diseased Yanillian Hops;Sairas Yanillian Humala
Diseased banana tree;Sairas banaanipuu
Dead vine;Kuollut viiniköynnös
Decaying trunk;Hajoava runko
Diseased Oak;Sairas tammi
Diseased Spirit Tree;Sairas henkipuu
Diseased White lily;Sairas valkoinen lilja
Diseased orange tree;Sairas appelsiinipuu
Diseased cabbages;Sairaat kaalit
Diseased cactus;Sairas kaktus
Diseased hardy goutweed;Sairas sitkeä kihti
Destroyed bird hide;Tuhoutunut lintupiha
Device;Laite
Deadman chest;Deadmanin rintakehä
Decorated marble fireplace;Koristeltu marmoritakka
Delphinium patch;Delphinium laastari
Dig Site specimen rocks;Dig Site näytekiviä
Diseased Grapevines;Sairaat viiniköynnökset
Diseased goutweed;Sairas goutweed
Diseased marigold;Sairas kehäkukka
Dead seaweed;Kuollut merilevä
Dead watermelons;Kuolleet vesimelonit
Debris;Roskia
Dense Jungle;Tiheä viidakko
Desk;Vastaanotto
Diseased Asgarnian Hops;Sairas Asgarnian humala
Diseased Willow;Sairas Willow
Diseased dwellberry bush;Sairas marjapensas
Diseased herbs;Sairaat yrtit
Diseased jangerberry bush;Sairas jangermarjan pensas
Depleted Rock;Tyhjentynyt kivi
Diseased Belladonna;Sairas Belladonna
Diseased limpwurt plant;Sairas limpwurt-kasvi
Dead sourhog;Kuollut sourhog
Dead tomato plant;Kuollut tomaattikasvi
Death's Coffer;Kuoleman kakku
Death's Domain;Kuoleman Domain
Defender item machine;Defender esinekone
Diseased dragonfruit plant;Sairas lohikäärmeen kasvi
Deckchair;Lepotuoli
Desert painting;Aavikon maalaus
Digsite Pendant;Digsite-riipus
Diseased Hammerstone Hops;Sairas Hammerstone Humala
Diseased calquat;Sairas kalkvatti
Diseased celastrus tree;Sairas selastruspuu
Diseased nasturtium;Sairas nasturtium
Diseased pineapple plant;Sairas ananaskasvi
Dead rosemary;Kuollut rosmariini
Deposit Box;Talletuslaatikko
Dial;Soita
Dice;Dice
Dirt;Lika
Diseased Magic Tree;Sairas taikapuu
Diseased Poison Ivy bush;Sairas Poison Ivy -pensas
Diseased Potato cactus;Sairas perunakaktus
Diseased Wildblood Hops;Sairas villiverinen humala
Dead strawberry plant;Kuollut mansikkakasvi
Decorated wall;Koristeltu seinä
Diseased Barley;Sairas ohra
Diseased Bittercap Mushrooms;Sairaat katkerasienet
Diseased onions;Sairaat sipulit
Decorative window;Koristeellinen ikkuna
Diseased Mahogany;Sairas mahonki
Diseased Yew;Sairas marjakuusi
Diseased papaya tree;Sairas papaijapuu
Deadfall;Deadfall
Desecrated house;Hävitetty talo
Destroyed furniture;Tuhotut huonekalut
Diseased Redwood tree;Sairas punapuu
Diseased curry tree;Sairas currypuu
Demon;Demoni
Dense forest;Tiheä metsä
Diseased Calquat;Sairas Calquat
Diseased Maple;Sairas vaahtera
Diseased Snape grass;Sairas Kalkarosheinä
Diseased cadavaberry bush;Sairas cadavaberry-pensas
Dodgy ground;Hankala maaperä
Dolphin;Delfiini
Door hotspot;Oven hotspot
Dragonfire;Dragonfire
Draynor Manor Portal;Draynorin kartanon portaali
Dream puff;Unelmien tuulahdus
Dwarf multicannon;Kääpiö monitykki
Dwarven Consortium Table;Dwarven Consortium -taulukko
Eagle lever;Kotkan vipu
Dragon bitter;Lohikäärme katkera
Drift net (full);Ajoverkko (täysi)
Dyed fabric;Värjätty kangas
Earth rift;Maan repeämä
Diseased strawberry plant;Sairas mansikkakasvi
Dominic's coffer;Dominicin arkku
Dwarf bath;Kääpiö kylpy
Dwarven Stout;Dwarven Stout
Dwarven machinery;Kääpiöiden koneet
Display board;Näyttötaulu
Dream Tree stump;Unelmapuun kanto
Dresser space;Pukeutumistila
Drips;Tipat
Drive belt;Käyttöhihna
Drying line;Kuivauslinja
Dummy;Nukke
Dungeon entrance;Dungeonin sisäänkäynti
Display case;näyttökotelo
Dock Leaf;Dock Leaf
Dolmen;Dolmen
Dragon's head;Lohikäärmeen pää
Dramen tree;Dramen puu
Drift net anchors;Ajoverkon ankkurit
Drill;Porata
Dripping tendrils;Tippuvat lonkerot
Dying tree;Kuoleva puu
Display Case;Näyttökotelo
Doric's Whetstone;Doric's Whetstone
Dragonfly;Sudenkorento
Dragonfruit tree;Dragonfruit puu
Drain Pipe;Tyhjennysputki
Dripping vine;Tippuva viiniköynnös
Dying tree Stump;Kuoleva puun kanto
Dragon egg;Lohikäärmeen muna
Dragon statue;Lohikäärmeen patsas
Dry patch;Kuiva laastari
Dwarf MultiCannon;Kääpiö MultiCannon
Diseased redberry bush;Sairas punamarjan pensas
Dock leaf plant;Dock lehtikasvi
Door;Ovi
Doors of Dinh;Dinhin ovet
Dresser;Pukeutuja
Drip;Tippua
Diseased tomato plant;Sairas tomaattikasvi
Diseased whiteberry bush;Sairas valkomarjan pensas
Display space;Näyttötila
Double bed;Parisänky
Drilling machine;Porakone
Diseased potatoes;Sairaat perunat
Diseased sweetcorn plant;Sairas sokerimaissi kasvi
Dwarf;Kääpiö
Dwarf remains;Kääpiö jää
Dwarf statue;Kääpiö patsas
Earth Mound;Maan kumpu
Diseased woad plant;Sairas puukasvi
Domination marker;Domination merkki
Dragon Bitter;Dragon Bitter
Dragon corpse;Lohikäärmeen ruumis
Dwarf Flag;Kääpiön lippu
Dye Pots;Väritysastiat
Display table;Näytä taulukko
Disturbed sand;Häiriintynyttä hiekkaa
Door space;Ovitila
Doorway;Oviaukko
Dragonhide Leather;Dragonhide nahka
Dungeon door;Dungeonin ovi
Dwarf mirror;Kääpiö peili
Diseased rosemary;Sairas rosmariini
Diseased seaweed;Sairas merilevä
Dragon head;Lohikäärmeen pää
Dragon trophy display;Dragon Trophy näyttö
Drain;Valua
Dream List;Unelma lista
Druid's robes;Druidin kaapuja
Dolls and balls;Nuket ja pallot
Doors;Ovet
Driftwood;Ajopuu
Dry stone wall;Kuiva kivimuuri
Dwellberry bush;Dwellberry pensas
Diseased watermelons;Sairaat vesimelonit
Dishes;Astiat
Dragonfruit tree stump;Dragonfruit puun kanto
Drained Crystal;Valutettu kristalli
Drapes;Verhot
Drawer space;Laatikon tila
Drawers;Laatikot
Dream tree;Unelmien puu
Drunken Dwarf;humalainen kääpiö
Dug hole;Kaivettu reikä
Dung;Lantaa
Dusk;Hämärä
Eight;Kahdeksan
Empty basket;Tyhjä kori
Experiment cabinet;Kokeilukaappi
Fabric rack;Kangasteline
Edge;Reuna
Egg;Muna
Empty pedestal;Tyhjä jalusta
Empty pool;Tyhjä allas
Enchanters Teleport;Enchanters Teleport
Evil claw;Paha kynsi
Extractor gun;Poistopistooli
Fabric;Kangas
Fairy ring;Keiju sormus
Egg sac;Munapussi
Embers;Hiillos
Equipment table;Varustetaulukko
Exit door;Poistu ovesta
Egg hopper;Munasäiliö
Elemental balance;Elementaarinen tasapaino
Elite clue scroll display;Elite clue vieritysnäyttö
Elven Crystal Chest;Haltioiden kristalliarkku
Empty wall;Tyhjä seinä
Fairy bank;Keiju pankki
Fairy market stall;Keiju tori
Efh salt;Efh suolaa
Electrified harpoonfish cannon;Sähköistetty harppuunakalakanuuna
Energy Barrier;Energian este
Energy well;Energiaa hyvin
Engine Platform;Moottorin alusta
Entrance;Sisäänkäynti
Evergreen;Ikivihreä
Excalibur;Excalibur
Exit Sign;Poistumismerkki
Empty Stall;Tyhjä Talli
Empty ash pile;Tyhjä tuhkakasa
Empty chest;Tyhjä rintakehä
Experiment booth;Kokeilukoppi
Fairy house;Keiju talo
Fairy workbench;Keiju työpöytä
Falador Portal;Falador-portaali
Empty Sack;Tyhjä säkki
Empty sack;Tyhjä säkki
Exit;Poistu
Exit Teleport;Poistu Teleportista
Explosive potion table;Räjähtävä juomapöytä
Eerie statue;Kammottava patsas
Elf Flag;Tonttu lippu
Exercise mat;Harjoitusmatto
Experiment tube;Kokeiluputki
Extra anchor;Ylimääräinen ankkuri
Extractor hat-top;Extractor hattupää
Easel;Maalausteline
Elemental sphere;Alkuainepallo
End of bridge;Sillan loppu
Eric;Eric
Exit path;Poistu polku
Explosion;Räjähdys
Fairly dark crystal;Melko tumma kristalli
Fairy fountain;Keiju suihkulähde
Ectofuntus;Ectofuntus
Elevator controls;Hissin säätimet
Empty rack;Tyhjä teline
Energy Sphere;Energia Sfääri
Fairy Queen;Keiju kuningatar
Energy Pylon;Energiapyloni
Experiment table;Kokeilutaulukko
Fallen Wall;Kaatunut seinä
Escape rope;Pakoköysi
Extractor hat;Extractor hattu
Fallen statue;Kaatunut patsas
Egg Sac;Egg Sac
Elizabeth's barrel;Elizabethin tynnyri
Empty Sarcophagus;Tyhjä sarkofagi
Empty lamp;Tyhjä lamppu
Exit cavern;Poistu luolasta
Eye;Silmä
Eyes;Silmät
Eggs;Munat
Elemental balance space;Elementaarinen tasapainotila
Empty sac;Tyhjä pussi
Evil Dave;Paha Dave
Fallen soldier;Kaatunut sotilas
Egg launcher;Munanheitin
Egniol Potions;Egniol juomat
Elaborate lockbox;Hienostunut lukkolaatikko
Elevator;Hissi
Elidinis Statuette;Elidinis-patsas
Empty desk;Tyhjä työpöytä
Evil eye decoration;Pahan silmän koristelu
Exhumed;Kaivettiin
Fairy Queen throne;Fairy Queen valtaistuin
Fallen Tree;Kaatunut puu
Elven lamp;Elven lamppu
Embalming tube;Balsamointiputki
Empty barrel;Tyhjä tynnyri
Empty clothes;Tyhjät vaatteet
Equipment;Laitteet
Exit portal;Poistu portaalista
Extra chain;Ylimääräinen ketju
Fallen tree;Kaatunut puu
Fencing;Miekkailu
Fire of Eternal Light;Ikuisen Valon Tuli
Fireplace surround;Takkaympäristö
Fish stall;Kalakoju
Flames;Liekit
Flour bin;Jauhosäiliö
Fertile Soil;Hedelmällinen maaperä
Firepit with pot;Tulipesä kattilalla
Fixed bridge;Kiinteä silta
Floor spikes;Lattiapiikit
Fancy range;Hieno valikoima
Fire of Dehumidification;Kosteudenpoiston palo
Fire rift;Paloero
Fish basket;Kalakori
Flagpole;Lipputanko
Floor below;Kerros alla
Flour;Jauhot
Fence end;Aidan pää
Fern;Saniainen
Fire pit;Tulipesä
Fishing weights;Kalastuspainot
Flag;Lippu
Fire of Domination;Domination Fire
Fishing net;Kalastusverkko
Flashing landing light;Vilkkuva laskuvalo
Floor space corner;Lattiatilan kulma
Flower Patch;Kukkamerkki
Fence;Aita
Fence mid;Aita keskellä
Fire;Palo
Fishing trophy space;Kalastuspalkinto tilaa
Fissure;Halkeama
Flat stone;Tasainen kivi
Flower;Kukka
Falling rock;Putoava kivi
Fence corner;Aidan kulma
Ferry;Lautta
Fire of Nourishment;Ravinnon tuli
Fireplace space;Takkatilaa
Fish bowl;Kala kulho
Five;Viisi
Flax;Pellava
Floor space;Lattiatilaa
Fly trap;Kärpäsloukku
Fan blade;Tuulettimen terä
Fire altar;Paloalttari
Fishing Contest Banner;Kalastuskilpailun banneri
Flat rock;Tasainen kivi
Floor;Kerros
Flowering fern;Kukkiva saniainen
Fancy dress box space;Fancy mekko laatikko tilaa
Farm door;Maatilan ovi
Felled Yommi tree;Kaadettu Yommi-puu
Floor decoration;Lattian koristelu
Fancy dress box;Tyylikäs mekkolaatikko
Farming patch;Maanviljelyspaikka
Feathers;Höyhenet
Fencing ring;Miekkailu rengas
Fenkenstrain's Castle Portal;Fenkenstrainin linnan portaali
Fire of Unseasonal Warmth;Epäkauden lämmön tuli
Fishing spot;Kalastuspaikka
Flaming Fire altar;Flaming Fire alttari
Floating Book;Kelluva kirja
Floor space mid;Lattiatila puolivälissä
Fence t-piece;Aidan t-kappale
Fermenting Vat;Käymisalv
Firepit;Firepit
Fireplace;Takka
Fishing Spot;Kalastuspaikka
Floorboards;Lattialaudat
Fancy pool of Rejuvenation;Upea nuorennusallas
Figurehead;Keulakuva
First aid box;Ensiapulaatikko
Fish;Kalastaa
Floor space side;Lattiatilan puoli
Floor tile;Lattialaatta
Flowers;Kukat
Fog marker;Sumumerkki
Fence space;Aidan tilaa
Fire Wall;Palomuuri
Fire remains;Tuli jää
Firebox;Tulipesä
Firepit with hook;Tulipesä koukulla
Fishing Crane;Kalastusnosturi
Floats;Kelluvat
Fly paper;Perhopaperi
Final Pillar;Viimeinen pilari
Firm snow patch;Kiinteä lumipaikka
Fish bits;Kalapalat
Fishing Guild Portal;Fishing Guild -portaali
Fishing rod;Onkivapa
Flowerbed;Kukkapenkki
Flute;Huilu
Fence bits;Aidan palat
Fire trap;Tuliloukku
Falling door;Putoava ovi
Fancy Jewellery Box;Tyylikäs korurasia
Filled Recess;Täytetty syvennys
Fishing Spot (Depleted);Kalastuspaikka (tyhjentynyt)
Flat ground;Tasainen maaperä
Footprints;Jalanjäljet
Fossil cleaning bench;Fossiilinen puhdistuspenkki
Fossil fuel;Fossiilinen polttoaine
Furnace Coolant;Uunin jäähdytysneste
Gear box;Vaihdelaatikko
Font;Fontti
Frozen door;Jäätynyt ovi
Frozen orc;Jäätynyt örkki
Funeral Pyre;Hautajaispyre
Gas hole;Kaasuaukko
Ghorrock Portal;Ghorrock portaali
Fractionalising still;Fraktioi edelleen
Frozen ornate pool of Rejuvenation;Jäädytetty koristeellinen allas nuorentaminen
Frozen table;Jäätynyt pöytä
Fungi on log;Sienet lokissa
Fur stall;Turkistila
Furnace;Uunin
Gap;aukko
Gates;Portit
Gem Rock;Helmi rock
Frog spit;Sammakon sylkeä
Garden fence;Puutarhan aita
Gem Stall;Jalokivikoju
Food chute;Ruokakouru
Forest Mushrooms;Metsän sienet
Forest floor;Metsän kerros
Fortified gate;Linnoitettu portti
Fountain of Heroes;Sankarien suihkulähde
Fountain of Rune;Runen suihkulähde
Fruit Tree Patch;Hedelmäpuumerkki
Fruit cart;Hedelmäkärry
Fungus doormat;Sieni-ovimatto
Geyser;Geysir
Giant Boulder;Jättiläinen lohkare
Giant feathers;Jättiläiset höyhenet
Gilded Adventure Log;Kullattu seikkailuloki
Fox;Kettu
Fremennik Boat;Fremennik vene
Fremennik boat;Fremennik vene
Game space;Pelitilaa
Gift of Peace;Rauhan lahja
Gilded bench;Kullattu penkki
Four;Neljä
Fragment of Seren;Fragmentti Serenistä
Frozen Pool of Restoration;Jäätynyt Restaurointiallas
Fungus covered Cavern wall;Sienen peittämä luolan seinä
Giant vial;Jättiläinen pullo
Gilded cape rack;Kullattu viittateline
Fruit Stall;Hedelmäkioski
Fungus;Sieni
Fungus pattern;Sieni kuvio
Fuse;Sulake
General Bentnoze;Kenraali Bentnoze
General Stall;Kenraali Stall
Giant Anvil;Jättiläinen alasin
Giant Dwarf;Jättiläinen kääpiö
Giant crystal;Jättiläinen kristalli
Gibbet;Hirsipuu
Formidable passage;Valtava läpikulku
Fungus seat;Sieni istuin
Gallows;Hirsipuu
Gas bubble;Kaasukupla
Gate of War;Sodan portti
Gilded stand;Kullattu teline
Fossil Island display case;Fossil Islandin vitriini
Frank's barrel;Frankin piippu
Free-for-all portal;Kaikille ilmainen portaali
Gabion defence;Gabion-puolustus
Gangplank;Laskuportaat
Fountain of Uhld;Uhldin suihkulähde
General Graardor display;General Graardor -näyttö
General Wartface;Yleinen Wartface
Glarial's Tomb;Glarialin hauta
Frog;Sammakko
Full fishing net;Täysi kalaverkko
Gem stall;Helmikioski
Generator;Generaattori
Food Trough;Ruokakaukalo
Food trough;Ruokakaukalo
Fossil Storage;Fossiilisten varastointi
Frame;Kehys
Frozen warrior;Jäätynyt soturi
Gigantic penguin;Jättimäinen pingviini
Glarial's Tombstone;Glarialin hautakivi
Frozen Pool of Revitalisation;Jäätynyt elvytysallas
G.A.G. banner;G.A.G. banneri
Gas cylinder;Kaasupullo
Gate;Portti
Gazebo;Huvimaja
Giant anvil;Jättiläinen alasin
Gilded wardrobe;Kullattu vaatekaappi
Food Stall;Ruokakioski
Food cupboard;Ruokakaappi
Foot lockers;Jalkakaapit
Fountain;Suihkulähde
Frozen Pool of Rejuvenation;Jäätynyt nuorennusallas
Frozen demon;Jäätynyt demoni
Frozen fancy pool of Rejuvenation;Jäädytetty hieno nuorennusallas
Fungi;Sienet
Gauntlet Portal;Gauntlet-portaali
Globe space;Maapallon avaruus
Goal;Maali
Grassland;Nurmimaa
Gnome bench;Gnome-penkki
Gnome crates;Gnome-laatikot
Gold Castlewars armour;Kultainen Castlewars-panssari
Grave;Hauta
Graveyard Teleport;Graveyard Teleport
Gloves and duster;Käsineet ja pölypussi
Glowing Orb;Hehkuva Orb
Gnome cabinet;Gnome-kaappi
Gnome landing light;Gnome-laskuvalo
Gnome skeleton;Tontun luuranko
Goat poo;Vuohen kakka
Grain;Vilja
Granary wall;Makasiinin seinä
Great Olmic Statue;Suuri Olmic patsas
Greenman's ale;Greenman's ale
Glowing Fungus;Hehkuva sieni
Gnome barrel;Gnome-tynnyri
Gnome cooker;Gnome liesi
Gnome crowd;Gnome-joukko
Gobln Merfsh;Gobln Merfsh
Golden Gnome;Golden Gnome
Goo covered vine;Goo peitetty viiniköynnös
Grass;Ruoho
Globe;Maapallo
Glove Rack;Käsinehylly
Glyphs;Glyfit
Gnome chair;Gnome tuoli
Gnome table;Gnome-pöytä
Golem rubble;Golemin rauniot
Grand Exchange Portal;Grand Exchange -portaali
Gnome barrels;Gnome-tynnyrit
Gnome goal;Gnome maali
Golem arm;Golemin käsi
Gramophone;Gramofoni
Granary roof;Makasiinin katto
Globe of Gielinor;Gielinorin maapallo
Grand Gold Chest;Suuri kultainen arkku
Grate;Raastaa
Grave of Scorpius;Skorpionin hauta
Glouphrie statue;Glouphrie patsas
Glowing Carving;Hehkuva veistos
Glowing crystal;Hehkuva kristalli
Godfather throne;Kummisetä valtaistuin
Goutweed Crate;Goutweed Crate
Grand bookshelf;Suuri kirjahylly
Greater magic circle;Suurempi maaginen ympyrä
Golden lantern;Kultainen lyhty
Gout Tuber Plant;Kihti mukuloiden kasvi
Goutweed;Goutweed
Grain sacks;Viljasäkit
Grand Exchange booth;Grand Exchange -osasto
Grape arbor;Rypäleen lehtimaja
Green chemical;Vihreä kemikaali
Greenmans Ale;Greenmans Ale
Gnome crate;Gnome-laatikko
Golden pear bush;Kultainen päärynäpensas
Golovanova seedling;Golovanova taimi
Gravestone;Hautakivi
Greater teleport focus;Suurempi teleporttifokus
Green door;Vihreä ovi
Goat;Vuohi
Goblin stove;Goblin liesi
Gold;Kulta
Golden cage;Kultainen häkki
Golem foot;Golemin jalka
Golem head;Golemin pää
Grandfather clock;Kaappikello
Green tears;Vihreät kyyneleet
Glass table;Lasipöytä
Gold Chest;Kultainen arkku
Green banner;Vihreä banneri
Glass door;Lasi ovi
Gnome Glider;Gnome Glider
Golden tree;Kultainen puu
Golem body;Golemin vartalo
Gourd tree;Kurpitsa puu
Grand Exchange display;Grand Exchange -näyttö
Glowing carving;Hehkuva kaiverrus
Golf-cart;Golfkärryt
Golovanova plant;Golovanova-tehdas
Gorilla Statue;Gorilla-patsas
Grape vine;Viiniköynnös
Grapevine;Grapevine
Grave marker;Hautamerkki
Grill;Grilli
Gnome Flag;Gnome lippu
Goblin crowd;Goblin-joukko
Grain of Plenty;Grain of Plenty
Grandiose Doors;Suurenmoiset ovet
Grapevines;Viiniköynnökset
Glowing fungus;Hehkuva sieni
Gnome glider;Gnome purjelentokone
Gnome statue;Gnome-patsas
Gold Screen;Kultainen näyttö
Gold cannonball;Kultainen tykinkuula
Grandfather Clock;Kaappikello
Great Olm display;Upea Olm-näyttö
Hanging meat;Riippuva liha
Hespori;Hespori
Grinder;Hiomakone
Guild door;Killan ovi
Guthix Portal;Guthix-portaali
Heap of bricks;Kasa tiiliä
Heather;Heather
Herb Stall;Yrttitalli
Grotto;Luola
Habitat space;Elinympäristön tila
Hanging log;Riippuva tukki
Hardcore Ironman;Hardcore Ironman
Hazeel's coffin;Hazeelin arkku
Heavy door;Raskas ovi
Hidden trapdoor;Piilotettu luukku
Grim lilly;Synkkä lilly
Guard dog;Vartiokoira
Harpoonfish cannon;Harpoonfish tykki
Healer item machine;Healer esinekone
Hearth;Tulisija
Growing vine;Kasvava viiniköynnös
Handholds;Kädensijat
Hay bales;Heinäpaalit
Hefin Banner;Hefin Banner
Hespori patch;Hesporin laastari
Guard;Vartija
Guide rope;Ohjausköysi
Hanging banner;Riippuva banneri
Hanging pirate;Riippuva merirosvo
Hat rack;Hattuteline
Hazelmere statue;Hazelmeren patsas
Hellhound;Helvettikoira
Heraldry space;Heraldinen tila
Heroic statue;Sankarillinen patsas
Guard space;Vartiotila
Guild trophy space;Killan pokaalitila
Half-built Loom;Puoliksi rakennettu Loom
Hammock;Riippumatto
Hand holds;Käsi pitää
Hanger;Ripustin
Hank (ghastly!);Hank (kammottavaa!)
Hank (sick);Hank (sairas)
Hay Bales;Heinäpaalit
Herbs;Yrtit
Hanging;Riippuva
Hanging tapestry;Riippuva kuvakudos
Harpoons;Harppuunat
Healer spring;Lääkärin kevät
Healthorg statue;Healthorgin patsas
Hedge;Hedge
Herman's desk;Hermanin työpöytä
Grimgnash;Grimgnash
Grubby Door;Grubby Door
Haar-Tok;Haar-Tok
Hammerstone Hops;Hammerstone humala
Handle;Kahva
Handy portal;Kätevä portaali
Hangman game;Hangman peli
Harp;Harppu
Hat stand;Hattuteline
Head trophy space;Pään pokaalitila
Growing wheat;Vehnän viljely
Guild Door;Killan ovi
Hanging hand;Riippuva käsi
Herb;Yrtti
High Stakes;Korkeat panokset
Grym Root;Grym Root
Gun Locker;Asekaappi
Harvested Celastrus tree;Korjattu Celastrus-puu
Heat;Lämpö
Helmet pluming stand;Kypärän putkisto
Grubby Chest;Rikkoinen rinta
Grym Root (Depleted);Grym-juuri (tyhjentynyt)
Hanging cape;Riippuva viitta
Hanging flag;Riippuva lippu
Hanging wheel;Riippuva pyörä
Harmony Island Portal;Harmony Island -portaali
Hatch;Luukku
Healing certificate;Parannustodistus
Hedging;Suojaus
Henge;Henge
Herb patch;Yrttilaastari
Hillside entrance;Sisäänkäynti rinteessä
