Follow;Folgen
Unmute;Stummschaltung aufheben
Stat Bonus;Statistikbonus
Set Bonus;Bonus festlegen
View DPS on OSRS Wiki;Sehen Sie sich DPS im OSRS-Wiki an
Hide worn items;Verstecken Sie abgenutzte Gegenstände
Squeeze-through;Durchdrücken
Ride;Fahrt
Tickets;Tickets
Kill;Töten
No;NEIN
Area;Bereich
Yes;Ja
Collect-item;Sammelgegenstand
Disable <col=ff9040>Notes;Deaktivieren Sie <col=ff9040>Notizen
View missing items ;Fehlende Artikel anzeigen
Collect-note;Sammelnotiz
Sell: 1 x Bronze med helm;Verkaufe: 1 x Bronzemed Helm
Info;Info
Pick-Lock;Dietrich
Collect-items;Sammelgegenstände
Collect-notes;Notizen sammeln
Release them all;Lass sie alle frei
Release all placeholders (12);Alle Platzhalter freigeben (12)
Prune-back;Zurückschneiden
Prune-top;Prune-Top
Prune;Prune
Prune-sides;Pflaumenseiten
Tan <col=ff7000>5;Hellbraun <col=ff7000>5
Tan <col=ff7000>All;Hellbraun <col=ff7000>Alle
Tan <col=ff7000>1;Braun <col=ff7000>1
Tan <col=ff7000>X;Hellbraun <col=ff7000>X
Smithing;Schmieden
Remove-X;Entfernen-X
Remove-All;Alles entfernen
Remove-5;Entfernen-5
Remove-10;Entfernen-10
Hunter;Jäger
Firemaking;Feuer machen
Enable <col=ff9040>Swap;<col=ff9040>Swap aktivieren
Add all;Alles hinzufügen
Release all placeholders (1);Alle Platzhalter freigeben (1)
Buy: 160 x Cowhide;Kaufen: 160 x Rindsleder
Sell: 195 x Leather;Verkaufe: 195 x Leder
Set price;Preis festlegen
Sell: 175 x Leather;Verkaufe: 175 x Leder
Buy: 10 x Air tiara;Kaufen Sie: 10 x Lufttiara
Buy: 2 x Ring mould;Kaufen Sie: 2 x Ringform
Set wiki price;Legen Sie den Wiki-Preis fest
Set quantity;Menge einstellen
pic;Bild
Accept trade;Akzeptieren Sie den Handel
Accept;Akzeptieren
Buy: 1 x Mithril gold-trimmed set (lg);Kaufen: 1 x Mithril-Set mit Goldbesatz (lg)
Buy: 15 x Diamond;Kaufen: 15 x Diamant
Buy: 55 x Emerald;Kaufen: 55 x Smaragd
Sell: 55 x Emerald;Verkaufe: 55 x Smaragd
Buy: 34 x Ruby necklace;Kaufen Sie: 34 x Rubinhalskette
Buy: 1 x Poison;Kaufen: 1 x Gift
Search for item;Artikel suchen
Sell: 124 x Tuna;Verkauf: 124 x Thunfisch
Buy: 1 x Rune axe;Kaufen: 1 x Runenaxt
Sell: 83 x Energy potion(4);Verkaufen: 83 x Energietrank(4)
Check-Count;Check-Count
Bash;Bash
Pound;Pfund
Earth Bolt;Erdbolzen
Fire Strike;Feuerschlag
Choose spell;Wähle Zauber
Fire Bolt;Feuerblitz
Fire Blast;Feuerstoß
Earth Blast;Erdstoß
Earth Wave;Erdwelle
Water Blast;Wasserstrahl
Push;Drücken
Quantity:;Menge:
View Smithing on the Wiki;Sehen Sie sich Smithing im Wiki an
Pull;Ziehen
Buy: 129 x Limpwurt root;Kaufen Sie: 129 x Limpwurtwurzel
View <col=ff9040>Mining</col> guide;<col=ff9040>Mining</col>-Leitfaden ansehen
Buy: 600 x Hammer;Kaufen: 600 x Hammer
Pick refreshment;Wählen Sie eine Erfrischung
Focus;Fokus
Wiki <col=ff9040>Morytania Journal</col>;Wiki <col=ff9040>Morytania-Tagebuch</col>
Open <col=ff9040>Western Provinces Journal</col>;Öffnen Sie <col=ff9040>Western Provinces Journal</col>
Open <col=ff9040>Morytania Journal</col>;Öffnen Sie das <col=ff9040>Morytania-Tagebuch</col>
Wiki <col=ff9040>Western Provinces Journal</col>;Wiki <col=ff9040>Western Provinces Journal</col>
Open <col=ff9040>Varrock Journal</col>;Öffnen Sie das <col=ff9040>Varrock-Tagebuch</col>
Wiki <col=ff9040>Varrock Journal</col>;Wiki <col=ff9040>Varrock-Tagebuch</col>
Disturb;Stören
Peek;Spähen
Examiner;Prüfer
Annuler;Annullierer
Marcher ici;Marcher hier
Add-mulch;Mulch hinzufügen
Reset;Zurücksetzen
Top-Floor;Oberste Etage
Hit;Schlag
Warriors' Guild;Kriegergilde
Karamja;Karamja
Commune;Kommune
Monastery;Kloster
Draynor Village;Draynor-Dorf
Champions' Guild;Gilde der Champions
Edgeville;Edgeville
Al Kharid;Al-Kharid
Ranging Guild;Ranging-Gilde
Lay;Legen
Land's End;Land's End
Port Sarim;Port Sarim
Craft;Handwerk
Take-last-cargo;Nimm die letzte Ladung
Port Piscarilius;Hafen Piscarilius
Sort-salvage;Sortieren-Bergung
Cancel-task;Aufgabe abbrechen
Take-any-cargo;Nehmen Sie jede Ladung mit
Claim-rewards;Anspruchsprämien
Board-previous;Vorstand-vorheriger
Take-cargo;Take-Cargo
Board-friend;Vorstandsfreund
Charter;Charta
Dock;Dock
Make sets:;Machen Sie Sets:
Smash;Zerschlagen
Fur Clothing;Pelzbekleidung
WOM lookup;WOM-Suche
Taverley;Taverley
Contract;Vertrag
Rimmington;Rimmington
Deposit-200000000;Anzahlung-200000000
Prifddinas;Prifddinas
Pollnivneach;Pollnivneach
Tele to POH;Tele an POH
Lock-slot;Schlossschlitz
Default quantity: 200,000,000;Standardmenge: 200.000.000
Take-all;Nimm alles
Check-health;Check-Gesundheit
Rellekka;Rellekka
Unload;Entladen
Brimhaven;Brimhaven
Withdraw-200000000;Abheben-200000000
Hosidius;Hosidius
Aldarin;Aldarin
Deposit-14;Anzahlung-14
Purchase Amulet;Kaufen Sie Amulett
Drink-from;Trinken aus
Float Canoe;Float-Kanu
Make<col=ff9040> Stable dugout canoe;Machen Sie<col=ff9040> ​​ein stabiles Einbaumkanu
Travel to<col=ff9040> Lumbridge;Reisen Sie nach<col=ff9040>Lumbridge
Walk-Down;Heruntergehen
Walk-Up;Walk-Up
Thieving;Diebstahl
Defence;Verteidigung
Excavate;Ausgraben
Take-knife;Nimm-Messer
Take-tinderbox;Take-Zunderbüchse
Play-a;Play-a
Play-c;Play-c
Play-b;Play-b
Play-e;Spielen-e
Play-d;Play-d
Play-g;Spiel-g
Play-f;Play-f
Observe;Beobachten
Switch-onyx;Schalter-Onyx
Switch-diamond;Schalter-Diamant
Switch-zenyte;Switch-Zenyte
Switch-ruby;Schalter-Rubin
Switch-emerald;Schalter-Smaragd
Switch-sapphire;Switch-Saphir
Fight;Kämpfen
Toggle K/D;K/D umschalten
Take-seed;Nimm-Samen
Take-pickaxe;Take-Spitzhacke
Dyes;Farbstoffe
Informe;Informieren
Deposit-50000;Anzahlung: 50.000
Anadir ignorar;Anadir ignoriert
Withdraw-50000;Abheben-50000
Anadir amigo;Anadir Amigo
activar;Aktivar
Longrange;Langstrecken
Accurate;Genau
Talk-into;Reden
Prod;Prod
Glider;Segelflugzeug
Glider-to Ta Quir Priw;Segelflugzeug nach Ta Quir Priw
Travel to<col=ff9040> Barbarian Village;Reise zum <col=ff9040>Barbarendorf
Travel to<col=ff9040> Edgeville;Reisen Sie nach<col=ff9040>Edgeville
