hello;Hallo
I will defend this door until I am released from this prison of bone...;Ich werde diese Tür verteidigen, bis ich aus diesem Knochengefängnis entlassen werde ...
2.66 Taking to Jenny Blade in search of the jinx;2.66 Auf der Suche nach dem Fluch geht es zu Jenny Blade
What do you know about this place?;Was wissen Sie über diesen Ort?
(If Prince Ali Rescue is completed;(Wenn die Rettung von Prinz Ali abgeschlossen ist
But they're the ones that voted for me in the first place!;Aber sie sind es, die überhaupt für mich gestimmt haben!
My legs and your legs, ha ha ha!;Meine Beine und deine Beine, ha ha ha!
Je tr?ne dans l'azur comme un sphinx incompris;Ich bin auf dem Azurblau als eine Sphinx inkomprimiert
(Non-quest dialogue) What are these farming patches for?;(Nicht-Quest-Dialog) Wozu dienen diese Landwirtschafts-Patches?
Ardougne teleport scroll;Ardougne-Teleportschriftrolle
Red Axe Secretary;Red-Axe-Sekretär
That she is [lad/lass], that she is.;Dass sie [Junge/Mädchen] ist, das ist sie.
Armour salesman;Rüstungsverkäufer
Hmm. Very well.;Hmm. Sehr gut.
I can sell you some of these shards if you wish.;Wenn Sie möchten, kann ich Ihnen einige dieser Scherben verkaufen.
Well, fair enough, but it's just one sandwich. He's not even in Varrock anymore. He's moved off to Edgeville.;Na ja, okay, aber es ist nur ein Sandwich. Er ist nicht einmal mehr in Varrock. Er ist nach Edgeville gezogen.
Okay, bye.;Okay, tschüss.
Well, a while back I was out in the field observing penguins. I worked for the Ardougne Zoo then. I was just quietly observing them when suddenly there was an avalanche.;Nun, vor einiger Zeit war ich draußen auf dem Feld und habe Pinguine beobachtet. Ich habe damals für den Ardougne Zoo gearbeitet. Ich habe sie gerade ruhig beobachtet, als plötzlich eine Lawine losging.
You take the metal sigil. It's cold to the touch.;Du nimmst das Metallsiegel. Es fühlt sich kalt an.
K;K
Radigad Ponfit.;Radigad Ponfit.
3.2.10 Using hammer on selected iron as intended;3.2.10 Verwenden Sie den Hammer wie vorgesehen für das ausgewählte Eisen
No, I don't think so.;Nein, das glaube ich nicht.
What should I be looking for again?;Worauf sollte ich noch einmal achten?
Hello there, what can I do for you?;Hallo, was kann ich für Sie tun?
She's moving! SHE'S POSSESSED! HELP!;Sie zieht um! SIE IST BESESSEN! HELFEN!
Fade to black and a cutscene starts;Es wird schwarz und eine Zwischensequenz beginnt
Shame.;Scham.
Ah, it's our helper. Thank you for fixing the tower;Ah, es ist unser Helfer. Vielen Dank für die Reparatur des Turms
Blah, blah....Daconia...blah, blah.;Bla, bla ... Daconia ... bla, bla.
Don't worry, I took care of it.;Keine Sorge, ich habe mich darum gekümmert.
(If Mourning's End Part II is completed;(Wenn Mourning's End Teil II abgeschlossen ist
Or...We have had a security leak within the Temple Knights and abandoned research has been sold to our enemies!;Oder ... Es gab ein Sicherheitsleck bei den Tempelrittern und aufgegebene Forschungsarbeiten wurden an unsere Feinde verkauft!
I have no interest in talking to a pathetic meat bag like yourself.;Ich habe kein Interesse daran, mit einem erbärmlichen Fleischfresser wie Ihnen zu reden.
You have crossed my path too many times intruder. Leave or face my wrath.;Du bist mir zu oft über den Weg gelaufen, Eindringling. Geh oder stelle dich meinem Zorn.
) Can you sell me a Skillcape of Construction?;) Kannst du mir einen Fertigkeitsumhang des Bauens verkaufen?
Aubury teleports the player to the rune essence mine;Aubury teleportiert den Spieler zur Runenessenzmine
You seem troubled?;Du scheinst beunruhigt zu sein?
Stop your hollow threats and let the human speak.;Stoppen Sie Ihre hohlen Drohungen und lassen Sie den Menschen sprechen.
2.5 Hammer;2.5 Hammer
This page was last modified on 4 March 2023, at 04;Diese Seite wurde zuletzt am 4. März 2023 um 04:00 Uhr geändert
They are remarkable plants with a will of their own. Not to mention their many unique properties...;Es sind bemerkenswerte Pflanzen mit einem eigenen Willen. Ganz zu schweigen von ihren vielen einzigartigen Eigenschaften ...
For you my friend, it is no problem at all.;Für dich, mein Freund, ist das überhaupt kein Problem.
3.1.3 Speaking to Ava with one undead chicken;3.1.3 Mit Ava mit einem untoten Huhn sprechen
I am very impressed.;Ich bin sehr beeindruckt.
Corrupt Lizardman;Korrupter Echsenmensch
It was an accident. We were following a seam of iron and suddenly we found ourselves in a room!;Es war ein Unfall. Wir folgten einer Eisennaht und fanden uns plötzlich in einem Raum wieder!
Put a little boogey in it.;Geben Sie ein wenig Boogey hinein.
You must act now, or we will all die!;Sie müssen jetzt handeln, sonst sterben wir alle!
Of course! Let's rid Morytania of evil, once and for all!;Natürlich! Lasst uns Morytania ein für alle Mal vom Bösen befreien!
Because your aura says you should.;Weil deine Aura dir sagt, dass du es tun solltest.
If the player has turned in all the items;Wenn der Spieler alle Gegenstände abgegeben hat
Erm.. yes.. soldier, I take it you're new around here?;Ähm... ja... Soldat, ich nehme an, du bist neu hier?
4.4 Mother knows best...;4.4 Mutter weiß es am besten...
Well then return to me when you are, but try not to waste too much of my time.;Dann kehren Sie zu mir zurück, wenn Sie es sind, aber versuchen Sie, nicht zu viel von meiner Zeit zu verschwenden.
Well, I suppose we don't need a navigator these days, and he's not very good at anything else. But I don't see why that's got anything to do with the curse.;Nun, ich nehme an, wir brauchen heutzutage keinen Navigator mehr, und in allem anderen ist er nicht besonders gut. Aber ich verstehe nicht, warum das etwas mit dem Fluch zu tun hat.
Hmmm. Ranis is known to visit the Theatre quite regularly. However, I've never heard of Vanstrom going there before. I'd say this is worth investigating.;Hmmm. Es ist bekannt, dass Ranis das Theater recht regelmäßig besucht. Allerdings habe ich noch nie davon gehört, dass Vanstrom dorthin gegangen ist. Ich würde sagen, das ist eine Untersuchung wert.
Ah, the pox. We weren't here when the outbreak took place. We were out of town trying to catch an antiques thief called Simon Templeton. We've only just got back.;Ah, die Pocken. Wir waren nicht hier, als der Ausbruch stattfand. Wir waren außerhalb der Stadt und versuchten, einen Antiquitätendieb namens Simon Templeton zu fangen. Wir sind gerade erst zurückgekommen.
The ship is bombarded with dragonfire, and the screen fades to black.;Das Schiff wird mit Drachenfeuer bombardiert und der Bildschirm wird schwarz.
If the player already has a Cadantine seed;Wenn der Spieler bereits einen Cadantine-Samen hat
Tut?!;Tut?!
Here's the first batch for you to take to the High Priest of Icthlarin. Let him know that I'll be sending down the rest once it's done.;Hier ist die erste Ladung, die Sie zum Hohepriester von Icthlarin bringen können. Lassen Sie ihn wissen, dass ich den Rest runterschicken werde, sobald es fertig ist.
Clock tower;Uhrturm
Hmmmm.;Hmmmm.
5.1 Talking to the Apothecary;5.1 Mit der Apotheke sprechen
After a few moments, she heard Sir Ceril shout something, followed by a scream. She went to see what was happening, and this is what she found.;Nach ein paar Augenblicken hörte sie, wie Sir Ceril etwas rief, gefolgt von einem Schrei. Sie ging hin, um zu sehen, was los war, und das hier ist, was sie fand.
Hmm, I can see why he would take an interest. Very well, go let him know what we've found.;Hmm, ich verstehe, warum er sich dafür interessiert. Also gut, sagen Sie ihm, was wir gefunden haben.
3.2 Using Ithoi's telescope;3.2 Mit Ithois Teleskop
These books are full of scrawled notes. You open one at a random page...;Diese Bücher sind voller gekritzelter Notizen. Sie öffnen eine auf einer zufälligen Seite ...
My daughter was learning to cook this when I left.;Als ich ging, lernte meine Tochter gerade, das zu kochen.
Golden goblin;Goldener Kobold
Do you want the poison or not?;Willst du das Gift oder nicht?
Very well, your Majesty.;Sehr gut, Eure Majestät.
) Lightened Hides;) Aufgehellte Häute
2 Talking to Eblis;2 Im Gespräch mit Eblis
Come on Sammy, we have to get out of here.;Komm schon, Sammy, wir müssen hier raus.
Great. So long as you're not going to sing.;Großartig. Solange du nicht singst.
Ramara du Croissant;Ramara du Croissant
I'm afraid we don't quite know ourselves yet. A short while ago, our instruments detected fluctuations in power from the Dark Altar.;Ich fürchte, wir wissen es selbst noch nicht ganz. Vor Kurzem haben unsere Instrumente Schwankungen in der Energie des Dunklen Altars festgestellt.
2.1 Talking again with a beer;2.1 Nochmals reden bei einem Bier
*Squawk* Way to sail a boat! Way to sail a boat! *Brarrrk*;*kreisch* So segelt man ein Boot! So segelt man ein Boot! *Brarrrk*
5.1 Talking to Captain Braindeath after using blindweed on the hopper;5.1 Gespräch mit Captain Braindeath, nachdem Blindkraut auf dem Trichter eingesetzt wurde
You cram the diseased Fever Spider body into the hopper.;Sie stopfen den erkrankten Körper der Fieberspinne in den Trichter.
I'm [player name]. Your father sent me to find you. He's worried about you.;Ich bin [Spielername]. Dein Vater hat mich geschickt, um dich zu finden. Er macht sich Sorgen um dich.
Ah, I see. You want me to convince them.;Ah, ich verstehe. Sie möchten, dass ich sie überzeuge.
Are you entering the fishing competition?;Nehmen Sie am Angelwettbewerb teil?
Far, far away. Me not know where. But high priest who come before me, he say that when goblins die in battle, our souls travel to Yu'biusk.;Weit, weit weg. Ich weiß nicht, wo. Aber der Hohepriester, der vor mir kam, sagte, wenn Goblins im Kampf sterben, reisen unsere Seelen nach Yu'biusk.
Nothing, never mind.;Nichts, egal.
Ehm, none really...;Ähm, eigentlich keine...
A key?;Ein Schlüssel?
As you drop the item, it bounces into a stream, never to be seen again.;Wenn Sie den Gegenstand fallen lassen, springt er in einen Strom und wird nie wieder gesehen.
13.8.8 Trying to drink the inversion potion before talking to Arianwyn;13.8.8 Ich versuche, den Umkehrtrank zu trinken, bevor ich mit Arianwyn rede
Then, use something on the fuse te get it lit.  A tinderbox, candle or any sort of flame will do.;Benutzen Sie dann etwas an der Sicherung, um sie zum Leuchten zu bringen.  Eine Zunderbüchse, eine Kerze oder eine Flamme jeglicher Art reicht aus.
Fishing pass;Angelschein
Very, very good!;Sehr, sehr gut!
I've lost the key you gave me!;Ich habe den Schlüssel verloren, den du mir gegeben hast!
I can't combine them if you are wearing them.;Ich kann sie nicht kombinieren, wenn du sie trägst.
When I confronted Sophia Hughes, she spoke of things the Council did to a man and his daughter.;Als ich Sophia Hughes zur Rede stellte, sprach sie über Dinge, die der Rat einem Mann und seiner Tochter angetan hatte.
I've already said too much. *sob* The last time I helped you, Glough lost his job!;Ich habe schon zu viel gesagt. *schluchz* Als ich dir das letzte Mal geholfen habe, hat Glough seinen Job verloren!
No... I'm here to talk...;Nein... ich bin hier, um zu reden...
Councillor Halgrive has come up with an alternative way to gather support. I can't pretend I totally approve of it, but it seems to be our only option.;Ratsmitglied Halgrive hat sich einen alternativen Weg ausgedacht, um Unterstützung zu gewinnen. Ich kann nicht so tun, als wäre ich völlig damit einverstanden, aber es scheint unsere einzige Option zu sein.
I always wondered what that amulet was... Well, I hope it's useful. Tell me when you get rid of the ghost!;Ich habe mich immer gefragt, was das für ein Amulett ist ... Nun, ich hoffe, es ist nützlich. Sag es mir, wenn du den Geist los bist!
You manage to cut some logs.;Es gelingt Ihnen, einige Baumstämme zu fällen.
Fair enough.;Fair genug.
Take that!;Nimm das!
I lost that crate you gave me.;Ich habe die Kiste verloren, die du mir gegeben hast.
2.1 Searching wardrobes;2.1 Suche nach Kleiderschränken
That's the woodcutter's pile. Why help him?;Das ist der Holzfällerhaufen. Warum ihm helfen?
If the player has 0 Obor kill count;Wenn der Spieler 0 Obor-Kills hat
What truth?;Welche Wahrheit?
Well do you need any information then?;Na, brauchen Sie dann irgendwelche Informationen?
Crashed, off course. Ocean! Oh dear... I feel very...;Natürlich abgestürzt. Ozean! Oh je... ich fühle mich sehr...
We killed a lot of trolls.;Wir haben viele Trolle getötet.
Wait, look! Some of those things have broken into the Stronghold! We have to stop them, let's go!;Warte, schau! Einige dieser Dinger sind in die Festung eingebrochen! Wir müssen sie aufhalten, lasst uns gehen!
I... I don't think there's anything we can do. Lord Iorwerth will destroy us if we try to stop him.;Ich... ich glaube nicht, dass wir irgendetwas tun können. Lord Iorwerth wird uns zerstören, wenn wir versuchen, ihn aufzuhalten.
What can you tell me about the Prince?;Was können Sie mir über den Prinzen erzählen?
Excellent. So we can go back in.;Exzellent. Damit wir wieder reingehen können.
This type of clue has you talk to someone around Gielinor. Although the clue does not tell you exactly who to talk to.;Diese Art von Hinweis lässt Sie mit jemandem in der Nähe von Gielinor sprechen. Obwohl der Hinweis nicht genau sagt, mit wem Sie sprechen sollen.
As you may have noticed, the desert adds complications to all matters of trade and finance.;Wie Sie vielleicht bemerkt haben, erschwert die Wüste alle Handels- und Finanzangelegenheiten.
(Non-quest dialogue) Planks please!;(Nicht-Quest-Dialog) Bretter bitte!
Thanks again!;Danke noch einmal!
Nnnngh!;Nnnngh!
Carol;Carol
1.26 Talking to Edmond after tying the rope to the grill on the pipe;1.26 Gespräch mit Edmond, nachdem er das Seil am Gitter am Rohr festgebunden hat
How do I use it?;Wie verwende ich es?
3.3 Talking to the spirit tree;3.3 Mit dem Geisterbaum sprechen
Xarpus;Xarpus
My poor darling, why must these things happen to us.;Mein armer Schatz, warum müssen uns so etwas passieren?
What does a warrior like me know about peace?;Was weiß ein Krieger wie ich über Frieden?
I will wait outside the house after seeing to this stab wound. You should come talk to me there.;Ich werde vor dem Haus warten, nachdem ich mich um diese Stichwunde gekümmert habe. Du solltest dort vorbeikommen und mit mir reden.
4.4 Talking to Chancellor Hassan;4.4 Im Gespräch mit Bundeskanzler Hassan
There's good money in it, and some of the shouting I rather like.;Da steckt gutes Geld drin, und einiges von dem Geschrei gefällt mir ganz gut.
They don't want to mess with you my friend. I suspect you're becoming quite notorious amongst the vampyres.;Sie wollen sich nicht mit dir anlegen, mein Freund. Ich vermute, dass du unter den Vampiren ziemlich berüchtigt wirst.
If there is nothing to collect;Wenn es nichts zu sammeln gibt
Bahahahaha! This poor young [laddie/lassie] is sailing a cursed voyage and ye be suggestin' lucky charms?!;Bahahahaha! Diese arme junge Frau/dieses arme Mädchen segelt auf einer verfluchten Reise, und ihr schlägt Glücksbringer vor?!
Squack! Quack, quackity squack, squee.;Quack! Quacksalber, Quacksalber, Quacksalber, Quacksalber.
Well on that note, what exactly did happen there? That was the Devourer!;In diesem Sinne: Was genau ist dort passiert? Das war der Verschlinger!
I'm afraid your time with the king is up, you should fetch Kruk from his post on the gate.;Ich fürchte, deine Zeit beim König ist abgelaufen, du solltest Kruk von seinem Posten am Tor holen.
Go to Arhein and ask him for some T.R.A.S.H....;Gehen Sie zu Arhein und bitten Sie ihn um etwas T.R.A.S.H....
You cleanly cut the plaque of letters away from the rock. You place it carefully into your inventory.;Sie schneiden die Buchstabenplakette sauber vom Felsen ab. Sie legen es sorgfältig in Ihr Inventar.
(Non-quest dialogue) Could you enchant something for me?;(Nicht-Quest-Dialog) Könnten Sie etwas für mich verzaubern?
Yes, he has been defeated.;Ja, er wurde besiegt.
These citizens are to be protected. Ensure they do not enter the castle, but do not allow any harm to come to them.;Diese Bürger gilt es zu schützen. Stellen Sie sicher, dass sie das Schloss nicht betreten, aber lassen Sie nicht zu, dass ihnen Schaden zugefügt wird.
2.9.4 If 1 emblem is in the plaque;2.9.4 Wenn sich 1 Emblem auf der Plakette befindet
If Harold still has money;Wenn Harold noch Geld hat
(Non-quest dialogue) What do I need that for?;(Nicht-Quest-Dialog) Wofür brauche ich das?
Hey you!;Hallo du!
4.10.2 One bone put in;4.10.2 Ein Knochen eingesetzt
It's my hobby...I'm interested in portraiture, but all art in general. It's fun, you should try it.;Es ist mein Hobby... Ich interessiere mich für Porträts, aber für Kunst im Allgemeinen. Es macht Spaß, das sollten Sie ausprobieren.
If the player already has a tinderbox;Wenn der Spieler bereits eine Zunderbüchse hat
Well, since the penguin at the Zoo is the only one talking to you, maybe you should ask him.;Nun, da der Pinguin im Zoo der Einzige ist, der mit Ihnen spricht, sollten Sie ihn vielleicht fragen.
Pick a topic;Wählen Sie ein Thema
Interesting. Might be worth a look.;Interessant. Könnte einen Blick wert sein.
I'm Mori... I was going to the Library with my friend, Thana. Suddenly, I felt a strange power all through me and then... she... she...;Ich bin Mori ... Ich ging mit meiner Freundin Thana in die Bibliothek. Plötzlich spürte ich eine seltsame Kraft in mir und dann... sie... sie...
Solus's hat;Solus' Hut
Thanks, that's very nice of you!;Danke, das ist sehr nett von dir!
Did I not already give you some?;Habe ich dir nicht schon welche gegeben?
Where has Greldo got to with that magic cabbage!;Wo ist Greldo nur mit diesem Zauberkohl hingekommen?
And then you... I don't know. Killed their puppies or something.;Und dann... ich weiß es nicht. Sie haben ihre Welpen getötet oder so.
You see what looks like a mining compound. There seems to be people mining rocks. They look as if they're chained to the rocks and they're being watched over by the guards. It's not a very happy place.;Sie sehen etwas, das wie ein Bergbaugelände aussieht. Es scheint Leute zu geben, die Steine ​​abbauen. Sie sehen aus, als wären sie an die Felsen gekettet und würden von den Wachen bewacht. Es ist kein sehr glücklicher Ort.
Let's start the bidding at 1,000 coins! Do I have 1,000?;Beginnen wir mit dem Bieten bei 1.000 Münzen! Habe ich 1.000?
Research? What are you researching?;Forschung? Was forschen Sie?
3.33 Entering the door to the building after Khazard attacks;3.33 Betreten der Tür des Gebäudes nach Khazard-Angriffen
It is vonderful! Ze vomen are beautiful und ze nights are long!;Es ist wunderbar! Die Tage sind schön und die Nächte lang!
You are brave, to come into my cave and say a thing like that!;Du bist mutig, in meine Höhle zu kommen und so etwas zu sagen!
Maybe you get big and strong like Nung!;Vielleicht wirst du groß und stark wie Nung!
One of the last surviving members of my race, I fear.;Ich fürchte, einer der letzten überlebenden Mitglieder meiner Rasse.
Psssssst...;Psssssst...
So what did he say?;Was hat er also gesagt?
Hmmm, you think so? Perhaps I'd better ask him about that...;Hmmm, denkst du? Vielleicht sollte ich ihn besser danach fragen ...
Great! Well, that was easy.;Großartig! Nun, das war einfach.
One.;Eins.
Surely this couldn't be the work of Hazelmere... That turncoat!!;Das kann doch sicher nicht das Werk von Hazelmere sein... Dieser Abtrünnige!!
Camping Equipment;Campingausrüstung
Indeed it is, friend. Would you believe it that apparently some councillor went and summoned a demon in Port Piscarilius? That made a lot of people angry.;Das ist es tatsächlich, Freund. Würden Sie es glauben, dass offenbar ein Ratsmitglied nach Port Piscarilius gegangen ist und einen Dämon beschworen hat? Das hat viele Leute wütend gemacht.
Buy an Ivandis Flail for 20,000 coins?;Einen Ivandis-Dreschflegel für 20.000 Münzen kaufen?
If you want to become a [strongman/strongwoman], you need to get into shape!;Wenn du ein [starker Mann/eine starke Frau] werden willst, musst du dich in Form bringen!
Why, indeed I am. I own this agility course, it can be very dangerous!;Ja, das bin ich tatsächlich. Ich besitze diesen Agility-Parcours, er kann sehr gefährlich sein!
Broken pole;Gebrochener Pol
Got any quests for me?;Hast du irgendwelche Quests für mich?
You're the closest living relative of Lady Ithell. Now you have her knowledge as well. I suppose that makes you the new Lady Ithell.;Sie sind die nächste lebende Verwandte von Lady Ithell. Jetzt haben Sie auch ihr Wissen. Ich nehme an, das macht Sie zur neuen Lady Ithell.
Now that is a biggun! How she managed to wrangle one like that I'll never know.;Das ist eine große Sache! Ich werde nie erfahren, wie sie es geschafft hat, sich so mit jemandem herumzuschlagen.
The book has two parts;Das Buch besteht aus zwei Teilen
Zanik's not any kind of commander. She'd never fit into a command structure, she's too independant.;Zanik ist kein Kommandant. Sie würde nie in eine Kommandostruktur passen, sie ist zu unabhängig.
And you. See you later.;Und du. Bis später.
Oh, I see, I see!;Oh, ich verstehe, ich verstehe!
Now, the councillors are supposedly voted for by the people. However, the seats have been held by the same four people since the start. Pretty suspicious don't you think?;Jetzt werden die Stadträte angeblich vom Volk gewählt. Die Sitze wurden jedoch seit Beginn von denselben vier Personen besetzt. Ziemlich verdächtig, finden Sie nicht?
Arena Guard Rachi;Arenawächter Rachi
Because those who cannot remember the past are condemned to repeat it.;Denn wer sich nicht an die Vergangenheit erinnern kann, ist dazu verdammt, sie zu wiederholen.
Suqah monsters.;Suqah-Monster.
Then I will send someone else down instead. Is that all?;Dann schicke ich stattdessen jemand anderen runter. Ist das alles?
7.8 Ragnar;7.8 Ragnar
Hi there, yes she has actually! Well done, you're a true hero!;Hallo, ja, das hat sie tatsächlich! Gut gemacht, du bist ein wahrer Held!
If the player has level 99 Smithing;Wenn der Spieler Schmieden der Stufe 99 hat
I hope you lot figure it out soon.;Ich hoffe, dass ihr es bald herausfindet.
You search the cupboard but you find nothing of interest.;Sie durchsuchen den Schrank, finden aber nichts Interessantes.
Elena tries to give you some items but you don't have enough room for them.;Elena versucht, dir einige Gegenstände zu geben, aber du hast nicht genug Platz dafür.
2.20.1 Before repairing the lights;2.20.1 Vor der Reparatur der Lichter
4.1 Speaking to the Myreque;4.1 Im Gespräch mit Myreque
What garden?;Welcher Garten?
Right now we don't have any leads on where Councillor Hughes might have gone. I'm heading over to her home to see if there's anything there that can help us. You should join me.;Im Moment haben wir keine Hinweise darauf, wohin Ratsmitglied Hughes gegangen sein könnte. Ich gehe zu ihr nach Hause, um zu sehen, ob es dort etwas gibt, das uns helfen kann. Du solltest dich mir anschließen.
Nicely done. Did you collect your reward from Sarah?;Schön gemacht. Hast du deine Belohnung von Sarah abgeholt?
There wasn't time. He only found out about the meeting last night!;Es war keine Zeit. Er hat erst gestern Abend von dem Treffen erfahren!
I did. I don't have it with me though.;Das habe ich getan. Allerdings habe ich es nicht dabei.
4.4 Talking to Thurgo;4.4 Im Gespräch mit Thurgo
Never mind, all is not lost, I have sent word to Amik that a dangerous criminal we once thought exiled is on the loose again, and that he should send all available White Knights to confront him.;Egal, es ist noch nicht alles verloren. Ich habe Amik mitgeteilt, dass ein gefährlicher Verbrecher, von dem wir einst dachten, er sei verbannt, wieder auf freiem Fuß ist und dass er alle verfügbaren Weißen Ritter schicken sollte, um ihn zu konfrontieren.
Well, that doesn't surprise me much.;Nun ja, das überrascht mich nicht sonderlich.
I've lost the cannonball mould.;Ich habe die Kanonenkugelform verloren.
Well, try your best to get him back here!;Versuchen Sie Ihr Bestes, um ihn hierher zurückzubringen!
She is a being of darkness. A servant of the Ruinous Powers. She is the Angel of Death. She is Nex.;Sie ist ein Wesen der Dunkelheit. Ein Diener der ruinösen Mächte. Sie ist der Engel des Todes. Sie ist Nex.
That's right. What can I do for you?;Das ist richtig. Was kann ich für Sie tun?
Arrr, matey, ye canna be serious! That be the home of Elvarg the Dragon!;Arrr, Kumpel, das kann doch nicht dein Ernst sein! Das ist die Heimat von Elvarg dem Drachen!
But, alas, my half brother has a powerful ally, the mighty demon...;Aber leider hat mein Halbbruder einen mächtigen Verbündeten, den mächtigen Dämon ...
Lament for the Hallowed;Klage um die Geheiligten
The cutscene changes to show him killing the drunken dwarf;Die Zwischensequenz ändert sich und zeigt, wie er den betrunkenen Zwerg tötet
I managed to sneak past the guards.;Es gelang mir, an den Wachen vorbeizuschleichen.
Aha! But I found this in an old ogre tomb! I suspect it's a clue which will lead me to the suspect.;Aha! Aber das habe ich in einem alten Ogergrab gefunden! Ich vermute, dass es sich um einen Hinweis handelt, der mich zum Verdächtigen führt.
Greetings traveller.;Grüße Reisender.
Do you have the ring?;Hast du den Ring?
Alomone;Alomone
NO! NOT ME! NUH-UH! NO WAY!;NEIN! NICHT ICH! NUH-UH! AUF KEINEN FALL!
2.3.1 Talking to Bolren again;2.3.1 Ich rede noch einmal mit Bolren
I heard that Donal went exploring in the caves, and saw a huge monster.;Ich habe gehört, dass Donal die Höhlen erkundet hat und ein riesiges Monster gesehen hat.
Tell me about that skillcape you're wearing.;Erzähl mir von dem Fähigkeitsumhang, den du trägst.
Get out of this village. You are not welcome here.;Raus aus diesem Dorf. Du bist hier nicht willkommen.
Vertida Sefalatis;Vertida Sefalatis
'Sorry' won't bring those Mahjarrat back.;„Entschuldigung“ wird diese Mahjarrat nicht zurückbringen.
I've met with the town's embalmer and he mentioned that he needed a few things, linen being one of them.;Ich habe mich mit dem Einbalsamierer der Stadt getroffen und er erwähnte, dass er ein paar Dinge brauchte, darunter auch Leinen.
Not great. However, we do have one bit of good news in that area, thanks to you.;Nicht großartig. Dank Ihnen haben wir jedoch eine gute Nachricht in diesem Bereich.
Well, don't get any funny ideas! You promised you'd never cook another human if I helped My Arm grow goutweed.;Nun ja, kommen Sie nicht auf komische Ideen! Du hast versprochen, dass du niemals einen anderen Menschen kochen würdest, wenn ich My Arm helfen würde, Giersch wachsen zu lassen.
Oh... I really couldn't say. I wouldn't really want to point any fingers at anybody. If I had to make a guess I'd have to say it was probably Bob though.;Oh... das kann ich wirklich nicht sagen. Ich möchte eigentlich nicht mit dem Finger auf irgendjemanden zeigen. Wenn ich raten müsste, müsste ich allerdings sagen, dass es wahrscheinlich Bob war.
Great Kourend? Where's that?;Großer Kourend? Wo ist das?
Woo hoo! Ha ha! You can try again if you want, but you'll never beat me, I'm far too fast!;Juhuu! Ha ha! Du kannst es noch einmal versuchen, wenn du willst, aber du wirst mich nie schlagen, ich bin viel zu schnell!
We have never tried this before, but some joker put something in our food not too long ago that gave us all symptoms akin to those of the plague. If you can find out what it was that we were poisoned with, you could reproduce the effects. If done right the poison should not be fatal and could help restock our dwindling supply of cheap labour. We can have our men remove the 'infected' citizens and sent into the mines. Distribution should be easy enough. Because of the city walls no one can grow their own food. Instead, all the food here comes from one of three supply points.;Wir haben das noch nie probiert, aber irgendein Witzbold hat vor nicht allzu langer Zeit etwas in unser Essen getan, das bei uns alle Symptome hervorgerufen hat, die denen der Pest ähneln. Wenn Sie herausfinden, womit wir vergiftet wurden, könnten Sie die Auswirkungen reproduzieren. Wenn es richtig gemacht wird, sollte das Gift nicht tödlich sein und könnte dazu beitragen, unser schwindendes Angebot an billigen Arbeitskräften wieder aufzufüllen. Wir können unsere Männer die „infizierten“ Bürger entfernen und in die Minen schicken lassen. Die Verteilung sollte einfach genug sein. Aufgrund der Stadtmauern kann niemand seine eigenen Lebensmittel anbauen. Stattdessen stammen alle Lebensmittel hier von einer von drei Versorgungsstellen.
An armoured creature - I think I shall reward you with an amulet of protection.;Eine gepanzerte Kreatur – ich denke, ich werde dich mit einem Schutzamulett belohnen.
To catch him? Oh yes. We had to grab him without his bodyguards noticing. It was a stroke of genius. Mostly my doing, of course.;Um ihn zu fangen? Ach ja. Wir mussten ihn packen, ohne dass seine Leibwächter es bemerkten. Es war ein Geniestreich. Das meiste ist natürlich mein Werk.
1.2 Speaking to Islwyn again;1.2 Ich spreche noch einmal mit Islwyn
9.1.1 First time after the distraction;9.1.1 Das erste Mal nach der Ablenkung
Yes, yes, wonderful stuff. I think I'll have a sherry to celebrate.;Ja, ja, wunderbares Zeug. Ich glaube, ich werde zum Feiern einen Sherry trinken.
Yes... Kaleef. Did you think I wasn't aware of your little romance?;Ja... Kaleef. Dachtest du, ich wüsste nichts von deiner kleinen Romanze?
The citizens must take priority. If we have an opportunity to keep the danger away from them, we should take it.;Die Bürger müssen Vorrang haben. Wenn wir die Möglichkeit haben, die Gefahr von ihnen fernzuhalten, sollten wir sie nutzen.
Oh, thank Armadyl! I am in such a worry... please help me!;Oh, danke Armadyl! Ich mache mir solche Sorgen... bitte helfen Sie mir!
Hey! Don't call me outerlander! I'm known as the mighty [Fremennik name]![sic];Hey! Nennen Sie mich nicht Outlander! Ich bin als der mächtige [Name Fremennik] bekannt![sic]
You walk outside into the warmth of the jungle heat.;Sie gehen nach draußen in die Wärme der Dschungelhitze.
Their chief, Tess, says that wasn't a sacred relic at all. It was her tooth-pick.;Ihre Chefin Tess sagt, das sei überhaupt keine heilige Reliquie. Es war ihr Zahnstocher.
Did he offer any suggestion of where he thought it might be?;Hat er einen Vorschlag gemacht, wo es seiner Meinung nach sein könnte?
A cult of Zamorakians who supposedly serve a demon called Yama.;Ein Kult der Zamorakier, der angeblich einem Dämon namens Yama dient.
I'm afraid I haven't. Are you looking for a way into the ruins?;Ich fürchte, das habe ich nicht getan. Suchen Sie nach einem Weg in die Ruinen?
Hey you creature, you still here?;Hey du Geschöpf, bist du noch hier?
Well, I'm called Ali and I'm from here. Are you looking for me?;Nun, ich heiße Ali und komme von hier. Suchst du mich?
Homunculus;Homunkulus
