A Clam Shell;Eine Muschelschale
Crystal Deposit (Depleted);Kristalllagerstätte (erschöpft)
Crystal Dispenser;Kristallspender
Crystal Sceptre;Kristallzepter
Crystal Singing Recipes;Kristallgesangsrezepte
Crystal Staircase;Kristalltreppe
Crystal ball;Kristallkugel
Crystal ball space;Kristallkugelraum
Crystal bomb;Kristallbombe
Crystal bridge;Kristallbrücke
Crystal cluster;Kristallcluster
Crystal dispenser;Kristallspender
Crystal growth;Kristallwachstum
Crystal of power;Kristall der Macht
Crystal outcrop;Kristallaufschluss
Crystal spire;Kristallturm
Crystal structure;Kristallstruktur
Crystal tree;Kristallbaum
Crystal tree patch;Kristallbaum-Patch
Crystalline structure;Kristalline Struktur
Crystals;Kristalle
Cube Pile;Würfelhaufen
Cupboard;Schrank
Cupboard space;Stauraum
Curling plant;Curling-Anlage
Current;Aktuell
Curry tree;Currybaum
Curry tree stump;Curry-Baumstumpf
Cursed Altar;Verfluchter Altar
Curtain;Vorhang
Curtain space;Vorhangraum
Curtains;Vorhänge
Curved bone;Gebogener Knochen
Cutting Table;Schneidetisch
Cyan Crystal;Cyan-Kristall
Cyan crystal;Cyan-Kristall
Cylinder Pile;Zylinderstapel
Daconia rocks;Daconia rockt
Daeyalt Essence;Daeyalt-Essenz
Daeyalt rocks;Daeyalt rockt
Daffodils;Narzissen
Dagannoth;Dagannoth
Dagger stall;Dolchstand
Dairy Cow;Milchkuh
Dairy churn;Milchkanne
Dairy cow;Milchkuh
Daisies;Gänseblümchen
Damaged Earth;Beschädigte Erde
Damaged Mast;Beschädigter Mast
Damaged Table;Beschädigter Tisch
Damaged Vent;Beschädigte Entlüftung
Damaged armour;Beschädigte Rüstung
Damaged cart;Beschädigter Wagen
Damaged mast;Beschädigter Mast
Damaged totem pole;Beschädigter Totempfahl
Damaged wall;Beschädigte Wand
Danger Sign;Gefahrenzeichen
Danger sign;Gefahrenzeichen
Dark Altar;Dunkler Altar
Dark Chest;Dunkle Truhe
Dark crystal;Dunkler Kristall
Dark hole;Dunkles Loch
Dark tunnel;Dunkler Tunnel
Darklight;Dunkles Licht
Dart trap;Dartfalle
Dartboard;Dartscheibe
David's barrel;Davids Fass
Dawn;Dämmerung
Dead Asgarnian Hops;Abgestorbener asgarnischer Hopfen
Dead Attas plant;Tote Attas-Pflanze
Dead Barley;Tote Gerste
Dead Belladonna;Tote Belladonna
Dead Bittercap Mushrooms;Tote Bittercap-Pilze
Dead Body;Leiche
Dead Calquat;Toter Calquat
Dead Elf;Toter Elf
Dead Explorer;Toter Entdecker
Dead Hammerstone Hops;Toter Hammerstone-Hopfen
Dead Iasor plant;Abgestorbene Iasor-Pflanze
Dead Jute;Tote Jute
Dead Krandorian Hops;Toter krandorischer Hopfen
Dead Kronos plant;Abgestorbene Kronos-Pflanze
Dead Magic Tree;Toter Zauberbaum
Dead Mahogany;Totes Mahagoni
Dead Maple;Toter Ahorn
Dead Oak;Tote Eiche
Dead Poison Ivy bush;Toter Poison Ivy-Busch
Dead Potato cactus;Toter Kartoffelkaktus
Dead Redwood tree;Toter Redwood-Baum
Dead Snape grass;Totes Snape-Gras
Dead Spirit Tree;Baum des toten Geistes
Dead Teak;Totes Teakholz
Dead Tree;Toter Baum
Dead White lily;Tote weiße Lilie
Dead Wildblood Hops;Toter Wildbluthopfen
Dead Willow;Tote Weide
Dead Yanillian Hops;Toter Yanillian-Hopfen
Dead Yew;Tote Eibe
Dead Yommi;Toter Yommi
Dead Yommi sapling;Toter Yommi-Bäumchen
Dead apple tree;Toter Apfelbaum
Dead banana tree;Abgestorbener Bananenbaum
Dead bat;Tote Fledermaus
Dead cabbages;Tote Kohlköpfe
Dead cactus;Toter Kaktus
Dead cadavaberry bush;Toter Cadavaberry-Strauch
Dead calquat;Toter Calquat
Dead celastrus tree;Toter Celastrus-Baum
Dead curry tree;Toter Currybaum
Dead dragonfruit plant;Abgestorbene Drachenfruchtpflanze
Dead dwellberry bush;Abgestorbener Zwergbeerstrauch
Dead goutweed;Abgestorbener Giersch
Dead hardy goutweed;Abgestorbene winterharte Giersch
Dead herbs;Tote Kräuter
Dead jangerberry bush;Toter Jangerberry-Strauch
Dead limpwurt plant;Abgestorbene Limpwurt-Pflanze
Dead marigold;Tote Ringelblume
Dead mushroom ring;Toter Pilzring
Dead nasturtium;Tote Kapuzinerkresse
Dead onions;Tote Zwiebeln
Dead orange tree;Toter Orangenbaum
Dead palm tree;Tote Palme
Dead papaya tree;Toter Papayabaum
Dead pineapple plant;Abgestorbene Ananaspflanze
Dead potatoes;Tote Kartoffeln
Dead redberry bush;Abgestorbener Rotbeerstrauch
Dead rosemary;Toter Rosmarin
Dead seaweed;Tote Algen
Dead sourhog;Toter Sauerschwein
Dead strawberry plant;Abgestorbene Erdbeerpflanze
Dead sweetcorn plant;Abgestorbene Zuckermaispflanze
Dead tomato plant;Abgestorbene Tomatenpflanze
Dead tree;Toter Baum
Dead tree stump;Toter Baumstumpf
Dead vine;Tote Rebe
Dead watermelons;Tote Wassermelonen
Dead whiteberry bush;Abgestorbener Weißbeerstrauch
Dead woad plant;Abgestorbene Färberwaidpflanze
Deadfall;Todesfall
Deadman Supply Chest;Deadman-Vorratstruhe
Deadman chest;Deadman-Truhe
Deadman display;Totmannanzeige
Death rift;Todesriss
Death's Coffer;Die Truhe des Todes
Death's Domain;Domäne des Todes
Death's domain;Die Domäne des Todes
Debris;Trümmer
Decaying trunk;Verfallender Stamm
Deckchair;Liegestuhl
Decorated limestone fireplace;Verzierter Kalksteinkamin
Decorated marble fireplace;Verzierter Marmorkamin
Decorated wall;Dekorierte Wand
Decoration;Dekoration
Decoration space;Dekorationsraum
Decorative window;Dekoratives Fenster
Defender item machine;Defender-Gegenstandsmaschine
Delphinium patch;Delphinium-Patch
Delphiniums;Delphinien
Demon;Dämon
Demonic Symbol;Dämonisches Symbol
Dense Jungle;Dichter Dschungel
Dense forest;Dichter Wald
Dense runestone;Dichter Runenstein
Depleted Rock;Erschöpftes Gestein
Depleted runestone;Erschöpfter Runenstein
Depleted vein;Erschöpfte Vene
Deposit Box;Schließfach
Desecrated house;Entweihtes Haus
Desert painting;Wüstenmalerei
Desk;Schreibtisch
Destroyed bird hide;Zerstörtes Vogelversteck
Destroyed furniture;Zerstörte Möbel
Device;Gerät
Dial;Wählen
Dice;Würfel
Dig Site specimen rocks;Exemplare der Ausgrabungsstätte
Digsite Pendant;Digsite-Anhänger
Dim crystal;Dunkler Kristall
Dirt;Schmutz
Diseased Asgarnian Hops;Kranker asgarnischer Hopfen
Diseased Barley;Kranke Gerste
Diseased Belladonna;Kranke Belladonna
Diseased Bittercap Mushrooms;Kranke Bitterpilze
Diseased Calquat;Kranker Calquat
Diseased Grapevines;Kranke Weinreben
Diseased Hammerstone Hops;Kranker Hammerstone-Hopfen
Diseased Jute;Kranke Jute
Diseased Krandorian Hops;Krandorischer Hopfen
Diseased Magic Tree;Kranker Zauberbaum
Diseased Mahogany;Krankes Mahagoni
Diseased Maple;Kranker Ahorn
Diseased Oak;Kranke Eiche
Diseased Poison Ivy bush;Kranker Poison Ivy-Busch
Diseased Potato cactus;Erkrankter Kartoffelkaktus
Diseased Redwood tree;Kranker Redwood-Baum
Diseased Snape grass;Krankes Snape-Gras
Diseased Spirit Tree;Kranker Geisterbaum
Diseased Teak;Krankes Teakholz
Diseased White lily;Kranke weiße Lilie
Diseased Wildblood Hops;Kranker Wildbluthopfen
Diseased Willow;Kranke Weide
Diseased Yanillian Hops;Kranker Yanillian-Hopfen
Diseased Yew;Kranke Eibe
Diseased apple tree;Kranker Apfelbaum
Diseased banana tree;Kranker Bananenbaum
Diseased cabbages;Kranke Kohlköpfe
Diseased cactus;Kranker Kaktus
Diseased cadavaberry bush;Kranker Kadaverstrauch
Diseased calquat;Kranke Calquat
Diseased celastrus tree;Kranker Celastrus-Baum
Diseased curry tree;Kranker Currybaum
Diseased dragonfruit plant;Kranke Drachenfruchtpflanze
Diseased dwellberry bush;Kranker Zwergbeerstrauch
Diseased goutweed;Kranker Giersch
Diseased hardy goutweed;Kranke, winterharte Giersch
Diseased herbs;Kranke Kräuter
Diseased jangerberry bush;Kranker Jangerberry-Strauch
Diseased limpwurt plant;Kranke Limpwurz-Pflanze
Diseased marigold;Kranke Ringelblume
Diseased nasturtium;Kranke Kapuzinerkresse
Diseased onions;Kranke Zwiebeln
Diseased orange tree;Kranker Orangenbaum
Diseased palm tree;Kranke Palme
Diseased papaya tree;Kranker Papayabaum
Diseased pineapple plant;Kranke Ananaspflanze
Diseased potatoes;Kranke Kartoffeln
Diseased redberry bush;Kranker Rotbeerstrauch
Diseased rosemary;Kranker Rosmarin
Diseased seaweed;Kranke Algen
Diseased strawberry plant;Kranke Erdbeerpflanze
Diseased sweetcorn plant;Kranke Zuckermaispflanze
Diseased tomato plant;Kranke Tomatenpflanze
Diseased watermelons;Kranke Wassermelonen
Diseased whiteberry bush;Kranker Weißbeerstrauch
Diseased woad plant;Kranker Färberwaid
Dishes;Gerichte
Display Case;Vitrine
Display board;Anzeigetafel
Display case;Vitrine
Display space;Ausstellungsfläche
Display table;Anzeigetisch
Disturbed sand;Gestörter Sand
Dock Leaf;Dockblatt
Dock leaf plant;Ampferblattpflanze
Dodgy ground;Zwielichtiger Boden
Dolls and balls;Puppen und Bälle
Dolmen;Dolmen
Dolphin;Delphin
Domination marker;Dominanzmarker
Dominic's coffer;Dominics Truhe
Door;Tür
Door hotspot;Tür-Hotspot
Door space;Türraum
Doors;Türen
Doors of Dinh;Türen von Dinh
Doorway;Tür
Doric's Whetstone;Dorics Schleifstein
Double bed;Doppelbett
Dragon Bitter;Drachenbitter
Dragon bitter;Drachenbitter
Dragon corpse;Drachenleiche
Dragon egg;Drachenei
Dragon head;Drachenkopf
Dragon statue;Drachenstatue
Dragon trophy display;Drachentrophäen-Ausstellung
Dragon's head;Drachenkopf
Dragonfire;Drachenfeuer
Dragonfly;Libelle
Dragonfruit tree;Drachenfruchtbaum
Dragonfruit tree stump;Drachenfruchtbaumstumpf
Dragonhide Leather;Drachenleder
Drain;Abfluss
Drain Pipe;Abflussrohr
Drained Crystal;Entwässerter Kristall
Dramen tree;Dramen-Baum
Drapes;Vorhänge
Drawer space;Platz in der Schublade
Drawers;Schubladen
Draynor Manor Portal;Portal des Herrenhauses von Draynor
Dream List;Traumliste
Dream Tree stump;Traum Baumstumpf
Dream puff;Traum-Puff
Dream tree;Traumbaum
Dresser;Kommode
Dresser space;Platz für die Kommode
Drift net (full);Treibnetz (voll)
Drift net anchors;Treibnetzanker
Driftwood;Treibholz
Drill;Bohren
Drilling machine;Bohrmaschine
Drip;Tropfen
Dripping tendrils;Tropfende Ranken
Dripping vine;Tropfende Rebe
Drips;Tropfen
Drive belt;Antriebsriemen
Druid's robes;Druidenroben
Drunken Dwarf;Betrunkener Zwerg
Dry patch;Trockener Fleck
Dry stone wall;Trockenmauer
Drying line;Trocknungslinie
Dug hole;Loch gegraben
Dummy;Dummy
Dung;Dung
Dungeon door;Kerkertür
Dungeon entrance;Kerkereingang
Dusk;Dämmerung
Dwarf;Zwerg
Dwarf Flag;Zwergenflagge
Dwarf MultiCannon;Zwerg-Multikanone
Dwarf bath;Zwergenbad
Dwarf mirror;Zwergspiegel
Dwarf multicannon;Zwerg-Mehrfachkanone
Dwarf remains;Zwerg bleibt
Dwarf statue;Zwergstatue
Dwarven Consortium Table;Tisch des Zwergen-Konsortiums
Dwarven Stout;Zwergen-Stout
Dwarven machinery;Zwergenmaschinerie
Dwellberry bush;Dwellberry-Busch
Dye Pots;Färberöpfe
Dyed fabric;Gefärbter Stoff
Dying tree;Sterbender Baum
Dying tree Stump;Sterbender Baumstumpf
Eagle lever;Adlerhebel
Earth Mound;Erdhügel
Earth rift;Erdriss
Easel;Staffelei
Ectofuntus;Ektofuntus
Edge;Rand
Eerie statue;Unheimliche Statue
Efh salt;Efh-Salz
Egg;Ei
Egg Sac;Eierbeutel
Egg hopper;Eierbehälter
Egg launcher;Eierwerfer
Egg sac;Eiersack
Eggs;Eier
Egniol Potions;Egniol-Tränke
Eight;Acht
Elaborate lockbox;Aufwendiges Schließfach
Electrified harpoonfish cannon;Elektrifizierte Harpunenfischkanone
Elemental balance;Elementares Gleichgewicht
Elemental balance space;Elementarer Gleichgewichtsraum
Elemental sphere;Elementare Sphäre
Elevator;Aufzug
Elevator controls;Aufzugssteuerung
Elf Flag;Elfenflagge
Elidinis Statuette;Elidinis-Statuette
Elite clue scroll display;Elite-Hinweis-Scroll-Display
Elizabeth's barrel;Elizabeths Fass
Elven Crystal Chest;Elfenkristalltruhe
Elven lamp;Elfenlampe
Embalming tube;Einbalsamierungsrohr
Embers;Glut
Empty Sack;Leerer Sack
Empty Sarcophagus;Leerer Sarkophag
Empty Stall;Leerer Stall
Empty ash pile;Leerer Aschehaufen
Empty barrel;Leeres Fass
Empty basket;Leerer Korb
Empty chest;Leere Truhe
Empty clothes;Leere Kleidung
Empty desk;Leerer Schreibtisch
Empty lamp;Leere Lampe
Empty pedestal;Leerer Sockel
Empty pool;Leerer Pool
Empty rack;Leeres Rack
Empty sac;Leerer Sack
Empty sack;Leerer Sack
Empty wall;Leere Wand
Enchanters Teleport;Verzauberer teleportieren
End of bridge;Ende der Brücke
Energy Barrier;Energiebarriere
Energy Pylon;Energiepylon
Energy Sphere;Energiesphäre
Energy well;Energie gut
Engine Platform;Motorplattform
Entrance;Eingang
Equipment;Ausrüstung
Equipment table;Ausrüstungstabelle
Eric;Eric
Escape rope;Fluchtseil
Evergreen;Immergrün
Evil Dave;Der böse Dave
Evil claw;Böse Klaue
Evil eye decoration;Böser Blick-Dekoration
Excalibur;Excalibur
Exercise mat;Trainingsmatte
Exhumed;Exhumiert
Exit;Ausfahrt
Exit Sign;Ausgangsschild
Exit Teleport;Verlasse den Teleport
Exit cavern;Verlassen Sie die Höhle
Exit door;Ausgangstür
Exit path;Ausgangspfad
Exit portal;Ausgangsportal
Experiment booth;Experimentierstand
Experiment cabinet;Experimentierschrank
Experiment table;Experimentiertisch
Experiment tube;Experimentierröhre
Explosion;Explosion
Explosive potion table;Explosiver Tranktisch
Extra anchor;Zusätzlicher Anker
Extra chain;Zusätzliche Kette
Extractor gun;Ausziehpistole
Extractor hat;Dunstabzugshaube
Extractor hat-top;Dunstabzugshaube
Eye;Auge
Eyes;Augen
Fabric;Stoff
Fabric rack;Stoffregal
Fairly dark crystal;Ziemlich dunkler Kristall
Fairy Queen;Feenkönigin
Fairy Queen throne;Thron der Feenkönigin
Fairy bank;Feenbank
Fairy fountain;Feenbrunnen
Fairy house;Feenhaus
Fairy market stall;Feenmarktstand
Fairy ring;Feenring
Fairy workbench;Feenwerkbank
Falador Portal;Falador-Portal
Fallen Tree;Umgestürzter Baum
Fallen Wall;Gefallene Mauer
Fallen soldier;Gefallener Soldat
Fallen statue;Gefallene Statue
Fallen tree;Umgestürzter Baum
Falling door;Fallende Tür
Falling rock;Steinschlag
Fan blade;Lüfterflügel
Fancy Jewellery Box;Ausgefallene Schmuckschatulle
Fancy dress box;Kostümbox
Fancy dress box space;Platz für eine Kostümkiste
Fancy pool of Rejuvenation;Schicker Pool der Verjüngung
Fancy range;Ausgefallenes Sortiment
Farm door;Bauernhoftür
Farming patch;Landwirtschaftlicher Patch
Feathers;Federn
Felled Yommi tree;Gefällter Yommi-Baum
Fence;Zaun
Fence bits;Zaunteile
Fence corner;Zaunecke
Fence end;Zaunende
Fence mid;Zaun Mitte
Fence space;Zaunplatz
Fence t-piece;Zaun-T-Stück
Fencing;Fechten
Fencing ring;Zaunring
Fenkenstrain's Castle Portal;Fenkenstrains Burgportal
Fermenting Vat;Gärbottich
Fern;Farn
Ferry;Fähre
Fertile Soil;Fruchtbarer Boden
Figurehead;Galionsfigur
Filled Recess;Gefüllte Aussparung
Final Pillar;Letzte Säule
Fire;Feuer
Fire Wall;Brandmauer
Fire altar;Feueraltar
Fire of Dehumidification;Feuer der Entfeuchtung
Fire of Domination;Feuer der Herrschaft
Fire of Eternal Light;Feuer des ewigen Lichts
Fire of Nourishment;Feuer der Nahrung
Fire of Unseasonal Warmth;Feuer der ungewöhnlichen Wärme
Fire pit;Feuerstelle
Fire remains;Feuer bleibt
Fire rift;Feuerriss
Fire trap;Feuerfalle
Firebox;Feuerraum
Firepit;Feuerstelle
Firepit with hook;Feuerstelle mit Haken
Firepit with pot;Feuerstelle mit Topf
Fireplace;Kamin
Fireplace space;Kaminplatz
Fireplace surround;Kaminumrandung
Firm snow patch;Fester Schneefleck
First aid box;Erste-Hilfe-Kasten
Fish;Fisch
Fish basket;Fischkorb
Fish bits;Fischstücke
Fish bowl;Fischschale
Fish stall;Fischstand
Fishing Contest Banner;Banner für den Angelwettbewerb
Fishing Crane;Fischereikran
Fishing Guild Portal;Portal der Fischergilde
Fishing Spot;Angelplatz
Fishing Spot (Depleted);Angelplatz (erschöpft)
Fishing net;Fischernetz
Fishing rod;Angelrute
Fishing spot;Angelplatz
Fishing trophy space;Platz für Angeltrophäen
Fishing weights;Angelgewichte
Fissure;Spalt
Five;Fünf
Fixed bridge;Feste Brücke
Flag;Flagge
Flagpole;Fahnenstange
Flames;Flammen
Flaming Fire altar;Flammender Feueraltar
Flashing landing light;Blinkendes Landelicht
Flat ground;Flacher Boden
Flat rock;Flacher Fels
Flat stone;Flacher Stein
Flax;Flachs
Floating Book;Schwebendes Buch
Floats;Schwimmt
Floor;Boden
Floor below;Etage darunter
Floor decoration;Bodendekoration
Floor space;Grundfläche
Floor space corner;Grundfläche Ecke
Floor space mid;Wohnfläche Mitte
Floor space side;Grundflächenseite
Floor spikes;Bodenspikes
Floor tile;Bodenfliese
Floorboards;Dielen
Flour;Mehl
Flour bin;Mehlbehälter
Flower;Blume
Flower Patch;Blumenbeet
Flowerbed;Blumenbeet
Flowering fern;Blühender Farn
Flowers;Blumen
Flute;Flöte
Fly paper;Fliegenpapier
Fly trap;Fliegenfalle
Fog marker;Nebelmarkierung
Font;Schriftart
Food Stall;Imbissstand
Food Trough;Futtertrog
Food chute;Futterrutsche
Food cupboard;Lebensmittelschrank
Food trough;Futtertrog
Foot lockers;Fußschränke
Footprints;Fußabdrücke
Forest Mushrooms;Waldpilze
Forest floor;Waldboden
Formidable passage;Beeindruckende Passage
Fortified gate;Befestigtes Tor
Fossil Island display case;Fossil Island-Vitrine
Fossil Storage;Fossilienlagerung
Fossil cleaning bench;Fossile Reinigungsbank
Fossil fuel;Fossiler Brennstoff
Fountain;Brunnen
Fountain of Heroes;Brunnen der Helden
Fountain of Rune;Runenbrunnen
Fountain of Uhld;Uhld-Brunnen
Four;Vier
Fox;Fuchs
Fractionalising still;Immer noch fraktionieren
Fragment of Seren;Fragment von Seren
Frame;Rahmen
Frank's barrel;Franks Fass
Free-for-all portal;Kostenloses Portal für alle
Fremennik Boat;Fremennik-Boot
Fremennik boat;Fremennik-Boot
Frog;Frosch
Frog spit;Froschspucke
Frozen Pool of Rejuvenation;Gefrorener Pool der Verjüngung
Frozen Pool of Restoration;Gefrorener Teich der Wiederherstellung
Frozen Pool of Revitalisation;Gefrorener Pool der Revitalisierung
Frozen demon;Gefrorener Dämon
Frozen door;Gefrorene Tür
Frozen fancy pool of Rejuvenation;Gefrorener, schicker Pool der Verjüngung
Frozen orc;Gefrorener Ork
Frozen ornate pool of Rejuvenation;Gefrorener, verzierter Pool der Verjüngung
Frozen table;Gefrorener Tisch
Frozen warrior;Gefrorener Krieger
Fruit Stall;Obststand
Fruit Tree Patch;Obstbaumbeet
Fruit cart;Obstwagen
Full fishing net;Volles Fischernetz
Funeral Pyre;Scheiterhaufen
Fungi;Pilze
Fungi on log;Pilze auf Baumstamm
Fungus;Pilz
Fungus covered Cavern wall;Pilzbedeckte Höhlenwand
Fungus doormat;Pilz-Fußmatte
Fungus pattern;Pilzmuster
Fungus seat;Pilzsitz
Fur stall;Pelzstall
Furnace;Ofen
Furnace Coolant;Ofenkühlmittel
Fuse;Sicherung
G.A.G. banner;GAG. Banner
Gabion defence;Gabionenverteidigung
Gallows;Galgen
Game space;Spielraum
Gangplank;Laufplanke
Gap;Lücke
Garden fence;Gartenzaun
Gas bubble;Gasblase
Gas cylinder;Gasflasche
Gas hole;Gasloch
Gate;Tor
Gate of War;Tor des Krieges
Gates;Tore
Gauntlet Portal;Handschuhportal
Gazebo;Pavillon
Gear box;Getriebe
Gem Rock;Edelsteinfelsen
Gem Stall;Edelsteinstand
Gem stall;Edelsteinstand
General Bentnoze;General Bentnoze
General Graardor display;General Graardor-Ausstellung
General Stall;Generalstall
General Wartface;General Wartface
Generator;Generator
Geyser;Geysir
Ghorrock Portal;Ghorrock-Portal
Giant Anvil;Riesiger Amboss
Giant Boulder;Riesiger Felsbrocken
Giant Dwarf;Riesenzwerg
Giant anvil;Riesiger Amboss
Giant crystal;Riesiger Kristall
Giant feathers;Riesige Federn
Giant vial;Riesiges Fläschchen
Gibbet;Galgen
Gift of Peace;Geschenk des Friedens
Gigantic penguin;Riesiger Pinguin
Gilded Adventure Log;Vergoldetes Abenteuertagebuch
Gilded bench;Vergoldete Bank
Gilded cape rack;Vergoldeter Umhangständer
Gilded stand;Vergoldeter Ständer
Gilded wardrobe;Vergoldeter Kleiderschrank
Glarial's Tomb;Glarials Grab
Glarial's Tombstone;Glalarials Grabstein
Glass door;Glastür
Glass table;Glastisch
Globe;Globus
Globe of Gielinor;Globus von Gielinor
Globe space;Globusraum
Glouphrie statue;Glouphrie-Statue
Glove Rack;Handschuhständer
Gloves and duster;Handschuhe und Staubwedel
Glowing Carving;Glühende Schnitzerei
Glowing Fungus;Leuchtender Pilz
Glowing Orb;Leuchtende Kugel
Glowing carving;Leuchtende Schnitzerei
Glowing crystal;Leuchtender Kristall
Glowing fungus;Leuchtender Pilz
Glyphs;Glyphen
Gnome Flag;Gnome-Flagge
Gnome Glider;Gnom-Gleiter
Gnome barrel;Gnomenfass
Gnome barrels;Gnomenfässer
Gnome bench;Gnomenbank
Gnome cabinet;Zwergenschrank
Gnome chair;Gnomenstuhl
Gnome cooker;Zwergenkocher
Gnome crate;Gnomenkiste
Gnome crates;Gnomenkisten
Gnome crowd;Gnomenmenge
Gnome glider;Gnom-Segelflugzeug
Gnome goal;Gnomenziel
Gnome landing light;Gnome-Landelicht
Gnome skeleton;Gnomenskelett
Gnome statue;Gnomenstatue
Gnome table;Gnomentisch
Goal;Ziel
Goat;Ziege
Goat poo;Ziegenkot
Goblin crowd;Goblin-Menge
Goblin stove;Goblin-Ofen
Gobln Merfsh;Gobln Merfsh
Godfather throne;Patenthron
Gold;Gold
Gold Castlewars armour;Goldene Castlewars-Rüstung
Gold Chest;Goldtruhe
Gold Screen;Goldschirm
Gold cannonball;Goldene Kanonenkugel
Golden Gnome;Goldener Zwerg
Golden cage;Goldener Käfig
Golden lantern;Goldene Laterne
Golden pear bush;Goldener Birnenstrauch
Golden tree;Goldener Baum
Golem arm;Golem-Arm
Golem body;Golem-Körper
Golem foot;Golem-Fuß
Golem head;Golem-Kopf
Golem rubble;Golem-Trümmer
Golf-cart;Golfwagen
Golovanova plant;Golovanova-Pflanze
Golovanova seedling;Golovanova-Sämling
Goo covered vine;Mit Schleim bedeckte Rebe
Gorilla Statue;Gorilla-Statue
Gourd tree;Kürbisbaum
Gout Tuber Plant;Gichtknollenpflanze
Goutweed;Giersch
Goutweed Crate;Gierschkiste
Grain;Getreide
Grain of Plenty;Korn der Fülle
Grain sacks;Getreidesäcke
Gramophone;Grammophon
Granary roof;Getreidespeicherdach
Granary wall;Getreidespeicherwand
Grand Exchange Portal;Großes Börsenportal
Grand Exchange booth;Grand Exchange-Stand
Grand Exchange display;Große Börsenausstellung
Grand Gold Chest;Große Goldtruhe
Grand bookshelf;Großes Bücherregal
Grandfather Clock;Standuhr
Grandfather clock;Standuhr
Grandiose Doors;Grandiose Türen
Grape arbor;Weinlaube
Grape vine;Weinrebe
Grapevine;Weinrebe
Grapevines;Weinreben
Grass;Gras
Grassland;Wiese
Grate;Gitter
Grave;Grab
Grave marker;Grabstein
Grave of Scorpius;Grab von Scorpius
Gravestone;Grabstein
Graveyard Teleport;Friedhofsteleport
Great Olm display;Tolle Olm-Ausstellung
Great Olmic Statue;Große olmische Statue
Greater magic circle;Großer magischer Kreis
Greater teleport focus;Größerer Teleport-Fokus
Green banner;Grünes Banner
Green chemical;Grüne Chemikalie
Green door;Grüne Tür
Green tears;Grüne Tränen
Greenman's ale;Greenmans Bier
Greenmans Ale;Greenmans Ale
Grill;Grill
Grim lilly;Grimmige Lilly
Grimgnash;Grimgnash
Grinder;Schleifer
Grotesque Guardians' display;Groteske Wächterausstellung
Grotto;Grotte
Grotto tree;Grottenbaum
Growing vine;Wachsende Rebe
Growing wheat;Weizen anbauen
Grubby Chest;Schmuddelige Truhe
Grubby Door;Schmutzige Tür
Grym Root;Grym Root
Grym Root (Depleted);Grym-Wurzel (aufgebraucht)
Guard;Bewachen
Guard dog;Wachhund
Guard space;Platz bewachen
Guide rope;Führungsseil
Guild Door;Gildentür
Guild door;Zunfttür
Guild trophy space;Platz für Gildentrophäen
Guitar;Gitarre
Gun Locker;Waffenschrank
Guthix Portal;Guthix-Portal
Haar-Tok;Haar-Tok
Habitat space;Lebensraum
Half-built Loom;Halbfertiger Webstuhl
Hammer;Hammer
Hammers;Hämmer
Hammerstone Hops;Hammerstone-Hopfen
Hammock;Hängematte
Hand holds;Hand hält
Handholds;Haltegriffe
Handle;Handhaben
Handy portal;Praktisches Portal
Hanger;Aufhänger
Hanging;Hängend
Hanging banner;Hängendes Banner
Hanging cape;Hängender Umhang
Hanging dye;Hängender Farbstoff
Hanging flag;Hängende Flagge
Hanging hand;Hängende Hand
Hanging log;Hängendes Protokoll
Hanging meat;Hängendes Fleisch
Hanging pirate;Hängender Pirat
Hanging tapestry;Hängender Wandteppich
Hanging wheel;Hängendes Rad
Hangman game;Galgenmännchen-Spiel
Hank (Well);Hank (Nun)
Hank (ghastly!);Hank (schrecklich!)
Hank (sick);Hank (krank)
Hank (very sick);Hank (sehr krank)
Hard rock;Harter Rock
Hardcore Ironman;Hardcore-Ironman
Hardwood Grove Doors;Hartholz-Grove-Türen
Hardy goutweed;Winterharte Giersch
Harmony Island Portal;Harmony Island-Portal
Harp;Harfe
Harpoonfish cannon;Harpunenfischkanone
Harpoons;Harpunen
Harvested Celastrus tree;Geernteter Celastrus-Baum
Hat rack;Hutablage
Hat stand;Hutständer
Hatch;Luke
Hay Bales;Heuballen
Hay bale;Heuballen
Hay bales;Heuballen
Haystack;Heuhaufen
Hazeel's coffin;Hazeels Sarg
Hazelmere statue;Hazelmere-Statue
Head trophy space;Kopftrophäenplatz
Headless statue;Kopflose Statue
Healer item machine;Heiler-Gegenstandsmaschine
Healer spring;Heilerquelle
Healing certificate;Heilungszertifikat
Healthorg statue;Healthorg-Statue
Heap of bricks;Haufen Ziegel
Hearth;Feuerstelle
Heat;Hitze
Heater;Heizung
Heather;Heidekraut
Heavy door;Schwere Tür
Hedge;Hecke
Hedging;Absicherung
Hefin Banner;Hefin-Banner
Hellhound;Höllenhund
Helmet pluming stand;Helm-Ständer
Henge;Henge
Heraldry space;Heraldischer Raum
Herb;Kraut
Herb Stall;Kräuterstand
Herb patch;Kräuterbeet
Herbs;Kräuter
Herman's desk;Hermans Schreibtisch
Heroic statue;Heldenstatue
Hespori;Hespori
Hespori patch;Hespori-Patch
Hidden Statue;Versteckte Statue
Hidden trapdoor;Versteckte Falltür
High Stakes;Hohe Einsätze
Hill;Hügel
Hillside entrance;Eingang am Hang
History;Geschichte
Hobgoblin;Kobold
Hoisted sail;Gehisstes Segel
Holding area;Haltebereich
Hole;Loch
Hole in the wall;Loch in der Wand
Hole in wall;Loch in der Wand
