 Sneaky undead fowl;Heimtückisches untotes Geflügel
Drunken Ali;Der betrunkene Ali
Drunken Dwarf;Betrunkener Zwerg
Drunken Dwarf's Leg;Bein des betrunkenen Zwergs
Drunken man;Betrunkener Mann
Drunken soldier;Betrunkener Soldat
Dryad;Dryade
Duck;Ente
Duckling;Entlein
Ducklings;Entenküken
Dugopul;Dugopul
Duke;Herzog
Duke Horacio;Herzog Horacio
Dummy;Dummy
Dumpy;Pummelig
Dung;Dung
Dungeon rat;Kerkerratte
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Dämmerung
Dust devil;Staubteufel
Dusty Aliv;Staubiger Aliv
Dusuri;Dusuri
Dwarf;Zwerg
Dwarf gang member;Mitglied einer Zwergenbande
Dwarven Boatman;Zwergischer Bootsmann
Dwarven Engineer;Zwergeningenieur
Dwarven Ferryman;Zwergischer Fährmann
Dwarven Miner;Zwergenbergmann
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Adler
Earth Warrior Champion;Champion der Erdkrieger
Earth elemental;Erdelementar
Earth impling;Erde impliziert
Earth warrior;Erdenkrieger
Earth wizard;Erdzauberer
Earwen;Earwen
Eblis;Eblis
Echned Zekin;Echned Zekin
Eclectic impling;Eklektisches Impling
Ed;Ed
Ed Wood;Ed Wood
Edmond;Edmond
Edrahil;Edrahil
Eduard;Eduard
Edward;Eduard
Eebel;Eebel
Eek;Eek
Efa;Efa
Effigy;Bildnis
Egg;Ei
Egg launcher;Eierwerfer
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ektheme
Eldalote;Eldalote
Elder Chaos druid;Ältester Chaos-Druide
Elder Gnome child;Älteres Gnomenkind
Elder Guard;Ältere Garde
Elemental balance;Elementares Gleichgewicht
Elemental rock;Elementargestein
Elena;Elena
Elena Hosidius;Elena Hosidius
Elenwe;Elenwe
Elf Archer;Elfenbogenschütze
Elf Hermit;Elfen-Einsiedler
Elf Tracker;Elfen-Tracker
Elf Warrior;Elfenkrieger
Elfinlocks;Elfenschlösser
Elgan;Elgan
Elijah;Elia
Elisabeta;Elisabeta
Elise;Elise
Elissa;Elissa
Elite Void Knight;Elite-Leerenritter
Elizabeth;Elisabeth
Elkoy;Elkoy
Elladan;Elladan
Ellen;Ellen
Ellena;Ellena
Ellie;Ellie
Ellis;Ellis
Elly the Camel;Elly das Kamel
Elsie;Elsie
Elstan;Elstan
Eluned;Eluned
Elvarg;Elvarg
Elvarg (hard);Elvarg (hart)
Elven Scout;Elfen-Späher
Embalmer;Einbalsamierer
Emblem Trader;Emblem-Händler
Emerald Benedict;Smaragd Benedikt
Emilia;Emilia
Emily;Emily
Enakhra;Enakhra
Enchanted Broom;Verzauberter Besen
Enchanted Bucket;Verzauberter Eimer
Enchantment Guardian;Verzauberungswächter
Enclave guard;Enklavenwache
Enel;Enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Energiefokus (blau)
Energy focus (green);Energiefokus (grün)
Energy focus (red);Energiefokus (rot)
Energy focus (white);Energiefokus (weiß)
Energy sprite;Energiesprite
Engineer;Ingenieur
Engineering assistant;Technischer Assistent
Enilly;Enilly
Eniola;Eniola
Enoch;Henoch
Enormous Tentacle;Riesiges Tentakel
Enraged Tektiny;Wütende Tektiny
Enraged barbarian spirit;Wütender Barbarengeist
Ent;Ent
Entomologist;Entomologe
Entrana firebird;Entrana-Feuervogel
Entrance Guardian;Eingangswächter
Eodan;Eodan
Eohric;Eohric
Eoin;Eoin
Episcula Helsing;Episcula Helsing
Erdan;Erdan
Erestor;Erestor
Eric;Eric
Ermin;Ermin
Ernest;Ernst
Erodoeht;Erodoeht
Escaping slave;Flüchtender Sklave
Essence impling;Essenz implizit
Essyllt;Essyllt
Essyllt (hard);Essyllt (schwer)
Estate agent;Immobilienmakler
Esther;Esther
Ethereal Expert;Ätherischer Experte
Ethereal Guide;Ätherischer Führer
Ethereal Man;Ätherischer Mann
Ethereal Mimic;Ätherischer Nachahmer
Ethereal Numerator;Ätherischer Zähler
Ethereal Perceptive;Ätherische Wahrnehmung
Eudav;Eudav
Eve;Vorabend
Evil Bob;Böser Bob
Evil Chicken;Böses Huhn
Evil Chicken (hard);Böses Huhn (hart)
Evil Dave;Der böse Dave
Evil creature;Böse Kreatur
Evil spirit;Böser Geist
Ewesey;Ewesey
Examiner;Prüfer
Executioner;Henker
Experiment;Experiment
Experiment No.2;Experiment Nr.2
Ezekial Lovecraft;Ezekial Lovecraft
Factory Manager;Fabrikleiter
Factory Worker;Fabrikarbeiter
Fadli;Fadli
Fairy;Fee
Fairy Aeryka;Fee Aeryka
Fairy Fixit;Feen-Fixit
Fairy Godfather;Feenpate
Fairy Nuff;Fee Nuff
Fairy Queen;Feenkönigin
Fairy Very Wise;Fee sehr weise
Fairy chef;Feenkoch
Fairy shop assistant;Feenverkäuferin
Fairy shop keeper;Feenladenbesitzer
Fake Man;Falscher Mann
Fallen Man;Gefallener Mann
Falo the Bard;Falo der Barde
Fancy Dan;Lust auf Dan
Fanellaman;Fanellaman
Fareed;Fareed
Fareed (hard);Fareed (hart)
Farid Morrisane (ores and bars);Farid Morrisane (Erze und Barren)
Farmer;Bauer
Farmer Brumty;Bauer Brumty
Farmer Fromund;Bauer Fromund
Farmer Gricoller;Bauer Gricoller
Farmer Hayfield;Bauer Hayfield
Farmer's wife;Bäuerin
Farolt;Farolt
Fat Rocco;Fetter Rocco
Fat Tony;Fetter Tony
Father Aereck;Pater Aereck
Father Badden;Pater Badden
Father Eysseric;Pater Eysseric
Father Jean;Pater Jean
Father Lawrence;Pater Lawrence
Father Reen;Pater Reen
Father Urhney;Pater Urhney
Fayeth;Fayeth
Feanor;Feanor
Fear reaper;Furchtsamer
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Sklavin
Femi;Femi
Fenkenstrain's Monster;Fenkenstrains Monster
Feral Vampyre;Wilder Vampir
Ferd;Ferd
Fernahei;Fernahei
Ferocious barbarian spirit;Wilder Barbarengeist
Ferox;Ferox
Ferret;Frettchen
Ferryman Nathwood;Fährmann Nathwood
Ferryman Sathwood;Fährmann Sathwood
Fever spider;Fieberspinne
Ffoni;Ffoni
Fidelio;Fidelio
Fightslave;Kampfsklave
Filamina;Filamina
Filliman Tarlock;Filliman Tarlock
Financial Seer;Finanzseher
Financial Wizard;Finanzassistent
Finarfin;Finarfin
Findis;Findis
Finduilas;Finduilas
Fingolfin;Fingolfin
Fingon;Fingon
Finn;Finn
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Feuerkrieger von Lesarkus
Fire elemental;Feuerelementar
Fire giant;Feuerriese
Fire wizard;Feuerzauberer
First Mate Deri;Erster Offizier Deri
First Mate Peri;Erster Maat Peri
First mate 'Davey-boy';Erster Maat „Davey-Boy“
Fish;Fisch
Fish monger;Fischhändler
Fish shoal;Fischschwarm
Fishbowl;Fischglas
Fisherman;Fischer
Fisherman Frodi;Fischer Frodi
Fishing spot;Angelplatz
Fishing tutor;Angellehrer
Fishmonger;Fischhändler
Fiyr Shade;Fiyr-Schatten
Fiyr Shadow;Fiyr-Schatten
Flambeed;Flambiert
Flambeed (hard);Flambiert (hart)
Flaming pyrelord;Flammender Pyrelord
Flawed Golem;Fehlerhafter Golem
Flax keeper;Flachshüter
Flaygian Screwte;Flaygischer Screwte
Flesh Crawler;Fleischkriecher
Flies;Fliegen
Flight Kilisa;Flug Kilisa
Flippa;Flippa
Flockleader Geerin;Herdenführerin Geerin
Floki;Floki
Florin;Gulden
Flosi Dalksson;Flosi Dalksson
Flower;Blume
Flower Girl;Blumenmädchen
Fly trap;Fliegenfalle
Flying Book;Flugbuch
Flying Vespina;Fliegende Vespina
Flying female vampire;Fliegender weiblicher Vampir
Foreman;Vorarbeiter
Forester;Förster
Forester (hard);Förster (hart)
Forgotten Soul;Vergessene Seele
Former Vampyre;Ehemaliger Vampir
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Festungswache
Fortunato;Fortunato
Fossegrimen;Fossegrimen
Fossil Collector;Fossiliensammler
Fossil Rock;Fossiles Gestein
Fox;Fuchs
Fragment of Seren;Fragment von Seren
Francis;Franziskus
Francois;Francois
Frank;Frank
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Freakiger Förster
Freald;Freald
Fred the Farmer;Fred der Bauer
Freidir;Freidir
Freja;Freja
Fremennik Warrior;Fremennik-Krieger
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Kühlschrank
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frincos
Fritz the Glassblower;Fritz der Glasbläser
Frog;Frosch
Frog prince;Froschkönig
Frog princess;Froschprinzessin
Frogeel;Frogeel
Froono;Froono
Fuggy;Fuggy
Fullangr;Fullangr
Fungi;Pilze
Fur trader;Pelzhändler
Furnace grate;Ofenrost
Fycie;Fycie
Fyiona Fray (easy);Fyiona Fray (einfach)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;GPDT-Mitarbeiter
Gabooty;Gabooty
Gabriela;Gabriela
Gadderanks;Gadderanks
Gadrin;Gadrin
Gaius;Gaius
Galahad;Galahad
Galana;Galana
Galathil;Galathil
Galina;Galina
Gallow;Galgen
Galvek;Galvek
Gamer;Spieler
Gamfred;Gamfred
Gang boss;Gangboss
Gangster;Gangster
Garai;Garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Gartenlieferant
Gardener;Gärtner
Gardener Ghost;Gärtnergeist
Gardener Gunnhild;Gärtnerin Gunnhild
Gardener Jay Jr.;Gärtner Jay Jr.
Gargh;Gargh
Gargoyle;Wasserspeier
Garkor;Garkor
Garl;Garl
Garth;Garth
Garv;Garv
Gate of War;Tor des Krieges
Gatekeeper;Pförtner
Gauss;Gauß
Gee;Mensch
Gelatinnoth Mother;Gelatinnoth-Mutter
Gelatinnoth Mother (hard);Gelatinnoth-Mutter (hart)
Gelin;Gelin
Gelmir;Gelmir
Gem;Juwel
Gem merchant;Edelsteinhändler
Gem trader;Edelsteinhändler
Gene;Gen
General Babacus;General Babacus
General Bentnoze;General Bentnoze
General Graardor;General Graardor
General Graardor Jr.;General Graardor Jr.
General Hining;General Hining
General Khazard;General Khazard
General Kilian;General Kilian
General Salara;General Salara
General Vir;General Vir
General Wartface;General Wartface
Generic Diplomat;Allgemeiner Diplomat
Genie;Genie
George Laxmeister;Georg Laxmeister
Georgy;Georgy
Gerald;Gerald
Gerrant;Gerrant
Gertrude;Gertrud
Gertrude's cat;Gertrudes Katze
Gethin;Gethin
Ghaslor the Elder;Ghaslor der Ältere
Ghast;Grausam
Ghommal;Ghommal
Ghost;Geist
Ghost (?);Geist (?)
Ghost banker;Geisterbankier
Ghost captain;Geisterkapitän
Ghost disciple;Geisterschüler
Ghost farmer;Geisterbauer
Ghost guard;Geisterwächter
Ghost innkeeper;Geistergastwirt
Ghost sailor;Geisterseemann
Ghost shopkeeper;Geisterladenbesitzer
Ghost villager;Geisterdorfbewohner
Ghoul;Ghul
Ghoul Champion;Ghul-Champion
Gianne jnr.;Gianne jr.
Giant;Riese
Giant Champion;Riesen-Champion
Giant Lobster;Riesenhummer
Giant Mole;Riesenmaulwurf
Giant Roc;Riesenrock
Giant Roc (hard);Giant Roc (hart)
Giant Rock Crab;Riesige Felsenkrabbe
Giant Sea Snake;Riesige Seeschlange
Giant Squirrel;Rieseneichhörnchen
Giant bat;Riesige Fledermaus
Giant crypt rat;Riesige Gruftratte
Giant crypt spider;Riesige Gruftspinne
Giant frog;Riesenfrosch
Giant lobster;Riesenhummer
Giant mosquito;Riesige Mücke
Giant rat;Riesenratte
Giant rockslug;Riesige Steinschnecke
Giant scarab;Riesiger Skarabäus
Giant scarab (hard);Riesenskarabäus (hart)
Giant skeleton;Riesiges Skelett
Giant snail;Riesenschnecke
Giant spider;Riesenspinne
Gielinor Guide;Gielinor-Führer
Giles;Giles
Gillie Groats;Gillie Groats
Giral bat;Giral-Fledermaus
Gita Prymes;Gita Prymes
Gladiator;Gladiator
Glenda;Glenda
Glod;Glod
Glod (hard);Glod (hart)
Glorfindel;Glorfindel
Glough;Glough
Glouphrie the Untrusted;Glouphrie die Unzuverlässige
Gnocci the Cook;Gnocci der Koch
Gnome;Gnom
Gnome Archer;Gnom-Bogenschütze
Gnome Coach;Gnome-Trainer
Gnome Driver;Gnome-Treiber
Gnome Mage;Gnom-Magier
Gnome Waiter;Gnom-Kellner
Gnome ball referee;Gnome-Ball-Schiedsrichter
Gnome baller;Zwergballer
Gnome banker;Gnome-Banker
Gnome child;Gnomenkind
Gnome companion;Gnom-Begleiter
Gnome emissary;Gnom-Abgesandter
Gnome guard;Gnomenwache
Gnome shop keeper;Gnome-Ladenbesitzer
Gnome soldier;Gnom-Soldat
Gnome trainer;Gnome-Trainer
Gnome traveller;Gnome-Reisender
Gnome troop;Gnomentrupp
Gnome winger;Gnom-Flügelspieler
Gnome woman;Gnomfrau
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Ziege
Goat Poo;Ziegenkot
Goblin;Kobold
Goblin Champion;Goblin-Champion
Goblin Cook;Koboldkoch
Goblin fish;Koboldfisch
Goblin guard;Koboldwächter
Goblin scribe;Goblin-Schreiber
Godric;Godric
Gold ore;Golderz
Golden sheep;Goldene Schafe
Golden warbler;Goldsänger
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorilla
Gossip;Tratsch
Gourmet;Gourmet
Gourmet impling;Gourmet-Impling
Grace;Anmut
Grail Maiden;Gralsjungfrau
Grand Exchange Clerk;Großbörsenschreiber
Grandpa Jack;Opa Jack
Grave;Grab
Grave digger;Totengräber
Grave scorpion;Grabskorpion
Graveyard Guardian;Friedhofswächter
Gravingas;Gravingas
Greasycheeks;Fettige Wangen
Great Olm;Großer Olm
Great Olm (Left claw);Großer Olm (linke Klaue)
Great Olm (Right claw);Großer Olm (rechte Klaue)
Great blue heron;Großer blauer Reiher
Greater Nechryael;Großraum Nechryael
Greater Skeleton Hellhound;Großer Skelett-Höllenhund
Greater abyssal demon;Größerer Abgrunddämon
Greater demon;Größerer Dämon
Greater ghostly thrall;Größerer gespenstischer Bann
Greater skeletal thrall;Größerer Skelettknecht
Greater zombified thrall;Größerer zombifizierter Sklave
Green Gemstone Director;Direktor von Green Gemstone
Green Gemstone Secretary;Grüner Edelstein-Sekretär
Green Sheep;Grünes Schaf
Green dragon;Grüner Drache
Green fireflies;Grüne Glühwürmchen
Greengrocer;Gemüsehändler
Greldo;Greldo
Grew;Aufgewachsen
Grey golem;Grauer Golem
Grigor Rasputin;Grigor Rasputin
Grigore;Grigore
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Griff
Grish;Grisch
Grizzly bear;Grizzlybär
Grizzly bear cub;Grizzlybärjunges
Growler;Growler
Growthling;Wachstumsling
Grubfoot;Madenfuß
Grubor;Grubor
Gruff McScruff;Der schroffe McScruff
Grug;Grug
Gruh;Gruh
Grum;Grumm
Grundt;Grundt
Grunsh;Grunsch
Gruva Patrull;Gruva Patrull
Guanic bat;Guan-Fledermaus
Guard;Bewachen
Guard Bandit;Wachbandit
Guard Captain;Hauptmann der Wache
Guard Recruiter;Rekrutierer der Wache
Guard Vemmeldo;Wache Vemmeldo
Guard dog;Wachhund
Guardian Drake;Wächter Drake
Guardian mummy;Wächtermumie
Guardian of Armadyl;Wächter von Armadyl
Guidor;Guidor
Guildmaster;Gildenmeister
Guildmaster Jane;Gildenmeisterin Jane
Guildmaster Lars;Gildenmeister Lars
Guilin;Guilin
Guinevere;Guinevere
Gujuo;Gujuo
Gull;Möwe
Gulldamar;Gulldamar
Gulluck;Gülluck
Gundai;Gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdstrom
Gunnjorn;Gunnjörn
Gunslik;Gunslik
Guthan the Infested;Guthan der Befallene
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;Zigeuner
Gypsy Aris;Zigeuner Aris
Gyr Falcon;Gerfalke
H.A.M. Archer;SCHINKEN. Bogenschütze
H.A.M. Deacon;SCHINKEN. Diakon
H.A.M. Guard;SCHINKEN. Bewachen
H.A.M. Mage;SCHINKEN. Magier
H.A.M. Member;SCHINKEN. Mitglied
HAM member;HAM-Mitglied
HRH Hrafn;HRH Hrafn
Habibah;Habibah
Hadley;Hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Friseur
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Halb-Zombie
Half-soulless;Halb seelenlos
Halla;Halla
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hamal der Häuptling
Hameln the Jester;Hameln der Narr
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Hammerstachel-Starkbart
Hanchen the Hound;Hanchen der Hund
Hangman game;Galgenmännchen-Spiel
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Harold
Harold Evans;Harold Evans
Harpert;Harpert
Harpie Bug Swarm;Harpyienkäferschwarm
Harrallak Menarous;Harrallak Menarous
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosaintus
Haze;Dunst
Hazeel;Hazeel
Hazeel Cultist;Hazeel-Kultist
Hazelmere;Hazelmere
Head;Kopf
Head Guard;Kopfschutz
Head Mourner;Haupttrauernder
Head Thief;Chefdieb
Head chef;Chefkoch
Headless Beast;Kopfloses Biest
Headless Beast (hard);Kopfloses Biest (schwer)
Healthorg and tortoise;Healthorg und Schildkröte
Heckel Funch;Heckel Funch
Hegir;Hegir
Helemos;Helemos
Helena;Helena
Helga;Helga
Hell-Rat;Höllenratte
Hell-Rat Behemoth;Höllenratten-Gigant
Hell-kitten;Höllenkätzchen
Hellcat;Höllenkatze
Hellhound;Höllenhund
Hellpuppy;Hellpuppy
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;Herbi
Herbiboar;Pflanzeneber
Herman Caranos;Hermann Caranos
Hero;Held
Heron;Reiher
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Hespori
Het;Het
Hetty;Hetty
Hewey;Hewey
Hickton;Hickton
Hieve;Hieve
High Priest;Hohepriester
High Priestess Zul-Harcinqa;Hohepriesterin Zul-Harcinqa
Highwayman;Wegelagerer
Hild;Hild
Hill Giant;Hügelriese
Hirko;Hirko
Historian Duffy;Historiker Duffy
Historian Minas;Historiker Minas
Hiylik Myna;Hiylik Myna
Hobbes;Hobbes
Hobgoblin;Kobold
Hobgoblin Champion;Hobgoblin-Champion
Hofuthand (weapons and armour);Hofuthand (Waffen und Rüstungen)
Hole in the wall;Loch in der Wand
Holgart;Holgart
Holoy;Holoy
Holthion;Holthion
Homunculus;Homunkulus
Honest Jimmy;Ehrlicher Jimmy
Honour guard;Ehrengarde
Hooded Figure;Kapuzenfigur
Hooknosed Jack;Hakennasiger Jack
Hoop Snake;Hoop-Schlange
Hopeless beast;Hoffnungsloses Biest
Hopeless creature;Hoffnungslose Kreatur
Hopleez;Hopleez
Hops;Hopfen
Horace;Horaz
Horacio;Horacio
Horned graahk;Gehörnter Graahk
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Haus
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudon
Huge spider;Riesige Spinne
Hugor;Hugo
Hunding;Hunding
Hunting expert;Jagdexperte
Hura;Hura
Husk;Schale
Hydra;Hydra
Hygd;Hygd
Ian;Ian
Iban;Iban
Ice Queen;Eiskönigin
Ice Troll;Eistroll
Ice Troll King;Eistrollkönig
Ice Troll King (hard);Eistrollkönig (schwer)
Ice block;Eisblock
Ice demon;Eisdämon
Ice giant;Eisriese
Ice spider;Eisspinne
Ice troll;Eistroll
Ice troll female;Eistroll-Weibchen
Ice troll grunt;Eistroll grunzt
Ice troll male;Männlicher Eistroll
Ice troll runt;Eistroll-Zwerg
Ice warrior;Eiskrieger
Ice wolf;Eiswolf
Iceberg;Eisberg
Icefiend;Eisteufel
Icelord;Eislord
Icicle;Eiszapfen
Icthlarin;Ichthlarin
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Ignatius Vulkan
Ignisia;Ignisia
Ikkle Hydra;Ikkle Hydra
Ileana;Ileana
Ilfeen;Ilfeen
Ima;Ima
Imerominia;Imerominia
Imiago;Imiago
Imin;Imin
Iminye;Iminye
Immenizz;Immenizz
Imp;Kobold
Imp Champion;Kobold-Champion
Imp defender;Kobold-Verteidiger
Imre;Imre
Incapacitated Pyromancer;Unfähiger Pyromant
Indis;Indis
Infernal Mage;Höllischer Magier
Infernal pyrelord;Höllischer Pyrelord
Information clerk;Informationssachbearbeiter
Inga;Inga
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Gastwirt
Innocent-looking key;Unschuldig aussehender Schlüssel
Insatiable Bloodveld;Unersättliches Blutfeld
Insatiable mutated Bloodveld;Unersättliches mutiertes Bloodveld
Invrigar the Necromancer;Invrigar der Nekromant
Iona;Iona
Iorwerth Archer;Iorwerth Archer
Iorwerth Warrior;Iorwerth-Krieger
Irena;Irena
Irene;Irene
Irina;Irina
Irksol;Irksol
Iron Man tutor;Iron Man-Lehrer
Iron dragon;Eiserner Drache
Iron ore;Eisenerz
Iron pickaxe;Eisenspitzhacke
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ish der Navigator
Ishmael;Ismael
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi der Navigator
Ivan;Iwan
Ivan Strom;Ivan Strom
Iwan;Iwan
Iwazaru;Iwazaru
Jack;Jack
Jack Sails;Jack Sails
Jack Seagull;Jack Seagull
Jackal;Schakal
Jacky Jester;Jacky Jester
Jade;Jade
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Gefängniswärter
Jailer;Gefängniswärter
Jake;Jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;James
Jamila;Jamila
Jaraah;Jaraah
Jardric;Jardric
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (mittel)
Jeb;Jeb
Jeed;Jeed
Jeff;Jeff
Jelly;Gelee
Jennella;Jennella
Jennifer;Jennifer
Jenny Blade;Jenny Blade
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jerico
Jess;Jess
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Juwelenbesetzte Krabbe
Jewelled Crab (blue);Juwelenkrabbe (blau)
Jewelled Crab (green);Juwelenkrabbe (grün)
Jewelled Crab (red);Juwelenkrabbe (rot)
Jex;Jex
Jig cart;Jig-Wagen
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Jimmy der Meißel
Joe;Joe
Jofridr Mordstatter;Jofridr Mordstätter
Jogre;Jogre
Jogre Champion;Jogre-Champion
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jonathan
Jonny the beard;Jonny der Bart
Jorra;Jorra
Jorral;Jorral
Jorzik;Jörzik
Joseph;Josef
Joshua;Joshua
Jossik;Jossik
Jubbly bird;Fröhlicher Vogel
Jubster;Jubster
Judge of Yama;Richter von Yama
Jukat;Jukat
Julie;Julie
Juliet;Julia
Jumaane;Jumaane
Juna;Juna
Jungle Demon;Dschungeldämon
Jungle Demon (hard);Dschungeldämon (schwer)
Jungle Wolf;Dschungelwolf
Jungle eagle;Dschungeladler
Jungle forester;Dschungelförster
Jungle horror;Dschungel-Horror
Jungle savage;Dschungelwilder
Jungle spider;Dschungelspinne
Junior Navigator;Junior-Navigator
Jury;Jury
Justiciar Zachariah;Richter Zachariah
Justin Servil;Justin Servil
Justine;Justine
Jyn;Jyn
K'klik;K'klik
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;KGP-Agent
KGP Guard;KGP-Wache
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Kalphiter-Wächter
Kalphite Larva;Kalphit-Larve
Kalphite Princess;Kalphite-Prinzessin
Kalphite Queen;Kalphite-Königin
Kalphite Soldier;Kalphitischer Soldat
Kalphite Worker;Kalphiter-Arbeiter
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfreena
Kamil;Kamil
Kamil (hard);Kamil (hart)
Kanel;Kanel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;Karamel
Karamel (hard);Karamell (hart)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil der Befleckte
Karim;Karim
Karl;Karl
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Katrine
Kaylee;Kaylee
Kazemde;Kazemde
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;Keith
Kelvin;Kelvin
Kelyn;Kelyn
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket-Zek
Key Master;Schlüsselmeister
Kharid Scorpion;Kharid Scorpion
Khazard Guard;Khazard-Wache
Khazard Ogre;Khazard-Oger
Khazard Scorpion;Khazard-Skorpion
Khazard barman;Khazard-Barmann
Khazard commander;Khazard-Kommandant
Khazard trooper;Khazard-Soldat
Khazard warlord;Khazard-Kriegsherr
Khazard warlord (hard);Khazard-Kriegsherr (schwer)
Khorvak, a dwarven engineer;Khorvak, ein zwergischer Ingenieur
Kikazaru;Kikazaru
Killer;Killer
Killerwatt;Killerwatt
Kilron;Kilron
Kineer;Kineer
King Arthur;König Artus
King Artur Hosidius;König Artur Hosidius
King Awowogei;König Awowogei
King Black Dragon;König Schwarzer Drache
King Bolren;König Bolren
King Gjuki Sorvott IV;König Gjuki Sorvott IV
King Healthorg;King Healthorg
King Kandur Hosidius;König Kandur Hosidius
King Lathas;König Lathas
King Narnode Shareen;König Narnode Shareen
King Percival;König Percival
King Roald;König Roald
King Roald (hard);König Roald (hart)
King Sand Crab;Königssandkrabbe
King Scorpion;König Skorpion
King Thoros;König Thoros
King Vargas;König Vargas
King kurask;König Kurask
King rat;Königsratte
King's Messenger;Königsbote
Kitten;Kätzchen
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Ritter
Knight of Ardougne;Ritter von Ardougne
Knight of Saradomin;Ritter von Saradomin
Knight of Varlamore;Ritter von Varlamore
