 Sneaky undead fowl;Poule morte-vivante sournoise
Dwarf;Nain
Dwarf gang member;Membre d'un gang nain
Dwarven Boatman;Batelier nain
Dwarven Engineer;Ingénieur nain
Dwarven Ferryman;Passeur nain
Dwarven Miner;Mineur nain
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Aigle
Earth Warrior Champion;Champion des Guerriers de la Terre
Earth elemental;Élémentaire de Terre
Earth impling;Terre impliquant
Earth warrior;Guerrier de la Terre
Earth wizard;Magicien de la Terre
Earwen;Earwen
Eblis;Éblis
Echned Zekin;Echned Zekin
Eclectic impling;Impliquant éclectique
Ed;Éd
Ed Wood;Ed Bois
Edmond;Edmond
Edrahil;Edrahil
Eduard;Édouard
Edward;Édouard
Eebel;Ebel
Eek;Eek
Efa;Efa
Effigy;Effigie
Egg;Œuf
Egg launcher;Lanceur d'oeufs
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ekthème
Eldalote;Eldalote
Elder Chaos druid;Ancien Druide du Chaos
Elder Gnome child;Enfant Gnome aîné
Elder Guard;Garde aînée
Elderly Elf;Elfe âgé
Eldgrim;Eldgrim
Elemental balance;Équilibre élémentaire
Elemental rock;Roche élémentaire
Elena;Hélène
Elena Hosidius;Elena Hosidius
Elenwe;Elenwe
Elf Archer;Archer elfe
Elf Hermit;Ermite elfe
Elf Tracker;Traqueur d'elfe
Elf Warrior;Guerrier Elfe
Elfinlocks;Elfinlocks
Elgan;Elgan
Elijah;Élie
Elisabeta;Elisabeth
Elise;Élise
Elissa;Élissa
Elite Void Knight;Chevalier du Vide d'élite
Elizabeth;Élisabeth
Elkoy;Elkoy
Elladan;Elladan
Ellen;Hélène
Ellena;Hélène
Ellie;Ellie
Ellis;Élise
Elly the Camel;Elly le chameau
Elnock Inquisitor;Inquisiteur Elnock
Elsie;Elsie
Elstan;Elstan
Eluned;Éluné
Elvarg;Elvarg
Elvarg (hard);Elvarg (dur)
Elven Scout;Éclaireur elfique
Embalmer;Embaumeur
Emblem Trader;Marchand d'emblèmes
Emerald Benedict;Emeraude Benoît
Emilia;Émilie
Emily;Émilie
Enakhra;Enakhra
Enchanted Broom;Balai enchanté
Enchanted Bucket;Seau enchanté
Enchantment Guardian;Gardien de l'enchantement
Enclave guard;Garde d'enclave
Enel;Énel
Enelye;Enelye
Enerdhil;Énerdhil
Energy focus (blue);Focus énergétique (bleu)
Energy focus (green);Focus énergie (vert)
Energy focus (red);Focus énergétique (rouge)
Energy focus (white);Focus énergétique (blanc)
Energy sprite;Sprite d'énergie
Engineer;Ingénieur
Engineering assistant;Assistante d'ingénierie
Enilly;Enilly
Eniola;Éniola
Enoch;Hénoc
Enormous Tentacle;Énorme tentacule
Enraged Tektiny;Tektiny enragé
Enraged barbarian spirit;Esprit barbare enragé
Ent;Ent
Entomologist;Entomologiste
Entrana firebird;Entrée oiseau de feu
Entrance Guardian;Gardien d'entrée
Eodan;Éodan
Eohric;Éohrique
Eoin;Éoin
Episcula Helsing;Épiscule Helsing
Erdan;Erdan
Erestor;Erestor
Eric;Éric
Ermin;Ermine
Ernest;Ernest
Erodoeht;Erodoeht
Escaping slave;Esclave en fuite
Essence impling;Essence impliquant
Essyllt;Essyllt
Essyllt (hard);Essyllt (dur)
Estate agent;Agent immobilier
Esther;Esther
Ethereal Expert;Expert éthéré
Ethereal Fluke;Douve éthérée
Ethereal Guide;Guide éthéré
Ethereal Lady;Dame éthérée
Ethereal Man;Homme éthéré
Ethereal Mimic;Mimique éthéré
Ethereal Numerator;Numérateur éthéré
Ethereal Perceptive;Perceptif éthéré
Eudav;Eudav
Eve;Veille
Evil Bob;Bob le mal
Evil Chicken;Poulet maléfique
Evil Chicken (hard);Poulet maléfique (dur)
Evil Dave;Le méchant Dave
Evil creature;Créature maléfique
Evil spirit;Mauvais esprit
Ewesey;Ewesey
Examiner;Examinateur
Executioner;Bourreau
Experiment;Expérience
Experiment No.2;Expérience n°2
Ezekial Lovecraft;Ézéchiel Lovecraft
Factory Manager;Directeur d'usine
Factory Worker;Ouvrier d'usine
Fadli;Fadli
Fairy;Fée
Fairy Aeryka;Fée Aeryka
Fairy Fixit;Fée Fixit
Fairy Godfather;Fée Parrain
Fairy Nuff;Fée Nuff
Fairy Queen;Reine des fées
Fairy Very Wise;Fée très sage
Fairy chef;Chef féerique
Fairy shop assistant;Vendeuse de fées
Fairy shop keeper;Fée commerçante
Fake Man;Faux homme
Fallen Man;Homme déchu
Falo the Bard;Falo le barde
Fancy Dan;Fantaisie Dan
Fanellaman;Fanellaman
Fareed;Tarif
Fareed (hard);Fareed (dur)
Farid Morrisane (ores and bars);Farid Morrisane (minerais et barres)
Farmer;Fermier
Farmer Brumty;Fermier Brumty
Farmer Fromund;Fermier Fromund
Farmer Gricoller;Agriculteur Gricoller
Farmer Hayfield;Fermier Hayfield
Farmer's wife;Femme de fermier
Farolt;Farolt
Fat Rocco;Gros Rocco
Fat Tony;Gros Tony
Father Aereck;Père Aereck
Father Badden;Père Badden
Father Eysseric;Père Eysseric
Father Jean;Père Jean
Father Lawrence;Père Laurent
Father Reen;Père Reen
Father Urhney;Père Urhney
Fayeth;Fayeth
Feanor;Féanor
Fear reaper;Faucheur de peur
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Esclave
Femi;Fémi
Fenkenstrain's Monster;Le monstre de Fenkenstrain
Feral Vampyre;Vampire sauvage
Ferd;Ferd
Fernahei;Fernaheï
Ferocious barbarian spirit;Esprit barbare féroce
Ferox;Ferox
Ferret;Furet
Ferryman Nathwood;Passeur Nathwood
Ferryman Sathwood;Passeur Sathwood
Fever spider;Araignée de fièvre
Ffoni;Ffoni
Fidelio;Fidélio
Fightslave;Esclave de combat
Filamina;Filamine
Filliman Tarlock;Filliman Tarlock
Financial Seer;Voyant financier
Financial Wizard;Assistant financier
Finarfin;Finarfin
Findis;Trouveris
Finduilas;Finduilas
Fingolfin;Fingolfin
Fingon;Fingon
Finn;Finlandais
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Guerrier du Feu de Lesarkus
Fire elemental;Élémentaire de feu
Fire giant;Géant du feu
Fire wizard;Assistant du feu
First Mate Deri;Premier lieutenant Deri
First Mate Peri;Premier lieutenant Peri
First mate 'Davey-boy';Premier lieutenant 'Davey-boy'
Fish;Poisson
Fish monger;Poissonnier
Fish shoal;Banc de poissons
Fishbowl;Bocal à poissons
Fisherman;Pêcheur
Fisherman Frodi;Pêcheur Frodi
Fishing spot;Lieu de pêche
Fishing tutor;Professeur de pêche
Fishmonger;Poissonnier
Fiyr Shade;Fiyr Ombre
Fiyr Shadow;Fiyr Ombre
Flambeed;Flambé
Flambeed (hard);Flambé (dur)
Flaming pyrelord;Seigneur du feu enflammé
Flawed Golem;Golem défectueux
Flax keeper;Gardien de lin
Flaygian Screwte;Viste Flaygian
Flesh Crawler;Rameur de chair
Flies;Mouches
Flight Kilisa;Vol Kilisa
Flippa;Flippa
Flockleader Geerin;Chef de troupeau Geerin
Floki;Floki
Florin;Florin
Flosi Dalksson;Flosi Dalksson
Flower;Fleur
Flower Girl;Fille de fleur
Fly trap;Piège à mouches
Flying Book;Livre volant
Flying Vespina;Vespine volante
Flying female vampire;Vampire femelle volante
Flynn;Flynn
Foreman;Contremaître
Forester;Forestier
Forester (hard);Forestier (dur)
Forgotten Soul;Âme oubliée
Former Vampyre;Ancien vampire
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Garde de forteresse
Fortunato;Fortuné
Fossegrimen;Fossegrimen
Fossil Collector;Collectionneur de fossiles
Fossil Rock;Roche fossile
Fox;Renard
Fragment of Seren;Fragment de Seren
Francis;François
Francois;François
Frank;Franc
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Forestier bizarre
Freald;Fréald
Fred the Farmer;Fred le fermier
Freidir;Fridir
Freja;Fréja
Fremennik Warrior;Guerrier Fremennik
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Réfrigérateur
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frincos
Fritz the Glassblower;Fritz le souffleur de verre
Frizzy Skernip;Skernip crépu
Frog;Grenouille
Frog prince;Prince grenouille
Frog princess;Princesse grenouille
Frogeel;Grenouille
Froono;Froono
Fuggy;Qui sent le renfermé
Fullangr;Fullangr
Fungi;Champignons
Fur trader;Marchand de fourrures
Furnace grate;Grille de four
Fycie;Ficie
Fyiona Fray (easy);Fhyona Fray (facile)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;Employé GPDT
Gabooty;Gabooty
Gabriela;Gabriela
Gadderanks;Gadderanks
Gadrin;Gadrin
Gaius;Gaïus
Galahad;Galahad
Galana;Galane
Galathil;Galathil
Galina;Galine
Gallow;Potence
Galvek;Galvék
Gamer;Joueur
Gamfred;Gamfred
Gang boss;Chef de gang
Gangster;Gangster
Garai;Garaï
Garbek quo Maten;Garbek quo Maten
Garden supplier;Fournisseur de jardin
Gardener;Jardinier
Gardener Ghost;Fantôme du jardinier
Gardener Gunnhild;Jardinier Gunnhild
Gardener Jay Jr.;Le jardinier Jay Jr.
Gargh;Gargh
Gargoyle;Gargouille
Garkor;Garkor
Garl;Ail
Garth;Garth
Garv;Garv
Gate of War;Porte de la guerre
Gatekeeper;Portier
Gauss;Gauss
Gee;Bon sang
Gelatinnoth Mother;Mère gélatinnoth
Gelatinnoth Mother (hard);Gelatinnoth Mère (dur)
Gelin;Gélin
Gelmir;Gelmir
Gem;Gemme
Gem merchant;Marchand de pierres précieuses
Gem trader;Négociant en pierres précieuses
Gene;Gène
General Babacus;Général Babacus
General Bentnoze;Général Bentnoze
General Graardor;Général Graardor
General Graardor Jr.;Général Graardor Jr.
General Hining;Hining général
General Khazard;Général Khazard
General Kilian;Général Kilian
General Salara;Général Salara
General Vir;Général Vir
General Wartface;Verrue générale
Generic Diplomat;Diplomate générique
Genie;Génie
George Laxmeister;Georges Laxmeister
Georgy;Gueorgui
Gerald;Gérald
Gerrant;Gerrant
Gertrude;Gertrude
Gertrude's cat;Le chat de Gertrude
Gethin;Gethin
Ghaslor the Elder;Ghaslor l'Ancien
Ghast;Horrible
Ghommal;Ghommal
Ghost;Fantôme
Ghost (?);Fantôme (?)
Ghost banker;Banquier fantôme
Ghost captain;Capitaine fantôme
Ghost disciple;Disciple fantôme
Ghost farmer;Fermier fantôme
Ghost guard;Garde fantôme
Ghost innkeeper;Aubergiste fantôme
Ghost sailor;Marin fantôme
Ghost shopkeeper;Commerçant fantôme
Ghost villager;Villageois fantôme
Ghoul;Goule
Ghoul Champion;Champion des goules
Gianne jnr.;Gianne jnr.
Giant;Géant
Giant Champion;Champion géant
Giant Lobster;Homard géant
Giant Mole;Taupe géante
Giant Roc;Roc Géant
Giant Roc (hard);Roc géant (dur)
Giant Rock Crab;Crabe géant
Giant Sea Snake;Serpent de mer géant
Giant Squirrel;Écureuil géant
Giant bat;Chauve-souris géante
Giant crypt rat;Rat géant des cryptes
Giant crypt spider;Araignée géante des cryptes
Giant frog;Grenouille géante
Giant lobster;Homard géant
Giant mosquito;Moustique géant
Giant rat;Rat géant
Giant rockslug;Limace géante
Giant scarab;Scarabée géant
Giant scarab (hard);Scarabée géant (dur)
Giant skeleton;Squelette géant
Giant snail;Escargot géant
Giant spider;Araignée géante
Gielinor Guide;Guide de Giélinor
Giles;Gilles
Gileth;Gileth
Gillie Groats;Gruaux Gillie
Giral bat;Chauve-souris Giral
Gita Prymes;Gita Prymes
Gladiator;Gladiateur
Glenda;Glenda
Glod;Gloire
Glod (hard);Glod (dur)
Glorfindel;Glorfindel
Glough;Glough
Glouphrie the Untrusted;Glouphrie la méfiante
Gnocci the Cook;Gnocci le cuisinier
Gnome;Gnome
Gnome Archer;Archer gnome
Gnome Coach;Entraîneur de gnomes
Gnome Driver;Pilote Gnome
Gnome Mage;Mage Gnome
Gnome Waiter;Serveur Gnome
Gnome ball referee;Arbitre de balle Gnome
Gnome baller;Balleur de Gnome
Gnome banker;Banquier gnome
Gnome child;Enfant gnome
Gnome companion;Compagnon Gnome
Gnome emissary;Émissaire gnome
Gnome guard;Garde des gnomes
Gnome shop keeper;Commerçant Gnome
Gnome soldier;Soldat gnome
Gnome trainer;Entraîneur de gnomes
Gnome traveller;Voyageur gnome
Gnome troop;Troupe de gnomes
Gnome winger;Ailier gnome
Gnome woman;Femme gnome
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Chèvre
Goat Poo;Caca de chèvre
Goblin;Lutin
Goblin Champion;Champion gobelin
Goblin Cook;Cuisinier gobelin
Goblin fish;Poisson gobelin
Goblin guard;Garde gobelin
Goblin scribe;Scribe gobelin
Godric;Godric
Gold ore;Minerai d'or
Golden sheep;Mouton d'or
Golden warbler;Paruline dorée
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorille
Gossip;Potins
Gourmet;Gourmet
Gourmet impling;Implantation gourmande
Grace;Grâce
Grail Maiden;Fille du Graal
Grand Exchange Clerk;Commis au Grand Bourse
Grandpa Jack;Grand-père Jack
Grave;Tombe
Grave digger;Fossoyeur
Grave scorpion;Scorpion funéraire
Graveyard Guardian;Gardien du cimetière
Gravingas;Gravingas
Greasycheeks;Joues grasses
Great Olm;Grand Olm
Great Olm (Left claw);Grand Olm (Griffe gauche)
Great Olm (Right claw);Grand Olm (Griffe droite)
Great blue heron;Grand héron bleu
Greater Nechryael;Grand Nechryaël
Greater Skeleton Hellhound;Grand chien de l'enfer squelette
Greater abyssal demon;Grand démon abyssal
Greater demon;Grand démon
Greater ghostly thrall;Un plus grand esclave fantomatique
Greater skeletal thrall;Un plus grand esclavage squelettique
Greater zombified thrall;Grand esclave zombifié
Green Gemstone Director;Directeur des pierres précieuses vertes
Green Gemstone Secretary;Secrétaire aux pierres précieuses vertes
Green Sheep;Mouton vert
Green dragon;Dragon vert
Green fireflies;Lucioles vertes
Greengrocer;Marchand de légumes
Greldo;Greldo
Grew;A grandi
Grey golem;Golem gris
Grigor Rasputin;Grigor Raspoutine
Grigore;Grigore
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Poignée
Grish;Grish
Grizzly bear;Grizzly
Grizzly bear cub;Ourson grizzli
Growler;Grogneur
Growthling;Croissance
Grubfoot;Pied de larve
Grubor;Grubor
Gruff McScruff;Gruff McScruff
Grug;Grug
Gruh;Gruh
Grum;Grum
Grundt;Grundt
Grunsh;Grincheux
Gruva Patrull;Gruva Patrull
Guanic bat;Chauve-souris guanique
Guard;Garde
Guard Bandit;Bandit de garde
Guard Captain;Capitaine de la garde
Guard Recruiter;Recruteur de gardes
Guard Vemmeldo;Garde Vemmeldo
Guard dog;Chien de garde
Guardian Drake;Drake gardien
Guardian mummy;Maman gardienne
Guardian of Armadyl;Gardien d'Armadyl
Guidor;Guidor
Guildmaster;Maître de guilde
Guildmaster Jane;Maître de guilde Jane
Guildmaster Lars;Maître de guilde Lars
Guilin;Guilin
Guinevere;Guenièvre
Gujuo;Gujuo
Gull;Mouette
Gulldamar;Gulldamar
Gulluck;Gulluck
Gundai;Gundaï
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdstrom
Gunnjorn;Gunnjörn
Gunslik;Gunslik
Gunthor the brave;Gunthor le courageux
Guthan the Infested;Guthan l'Infesté
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;gitan
Gypsy Aris;Gitan Aris
Gyr Falcon;Faucon Gyr
H.A.M. Archer;JAMBON. Archer
H.A.M. Deacon;JAMBON. Diacre
H.A.M. Guard;JAMBON. Garde
H.A.M. Mage;JAMBON. Mage
H.A.M. Member;JAMBON. Membre
HAM member;Membre du HAM
HRH Hrafn;SAR Hrafn
Habibah;Habiba
Hadley;Hadley
Haemas Lamescus;Hémas Lamescus
Haera;Haéra
Hafuba;Hafuba
Hairdresser;Coiffeur
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Demi-zombie
Half-soulless;À moitié sans âme
Halla;Halla
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hamal le chef
Hameln the Jester;Hameln le bouffon
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Barbe robuste à pique-marteau
Hanchen the Hound;Hanchen le chien
Hangman game;Jeu du pendu
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Harold
Harold Evans;Harold Evans
Harpert;Harper
Harpie Bug Swarm;Essaim d'insectes harpies
Harrallak Menarous;Harrallak Ménarous
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosaintus
Haze;Brume
Hazeel;Noisette
Hazeel Cultist;Adepte d'Hazeel
Hazelmere;Noisetier
Head;Tête
Head Guard;Garde-tête
Head Mourner;Chef en deuil
Head Thief;Voleur en chef
Head chef;Chef de cuisine
Headless Beast;Bête sans tête
Headless Beast (hard);Bête sans tête (difficile)
Healthorg and tortoise;Healthorg et tortue
Heckel Funch;Heckel Funch
Hegir;Hégir
Helemos;Hélemos
Helena;Hélène
Helga;Helga
Hell-Rat;Rat de l'enfer
Hell-Rat Behemoth;Béhémoth du rat de l'enfer
Hell-kitten;Chaton de l'enfer
Hellcat;Hellcat
Hellhound;Chien de l'enfer
Hellpuppy;Chiot de l'Enfer
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnilléen
Herbi;Herbi
Herbiboar;Herbibar
Herman Caranos;Herman Caranos
Hero;Héros
Heron;Héron
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Héspori
Het;Il
Hetty;Hetty
Hewey;Héwey
Hickton;Hickton
Hieve;Hieve
High Priest;Grand prêtre
High Priestess Zul-Harcinqa;Grande prêtresse Zul-Harcinqa
Highwayman;Voleur de grands chemins
Hild;Hild
Hill Giant;Géant des collines
Hirko;Hirko
Historian Duffy;L'historien Duffy
Historian Minas;L'historien Minas
Hiylik Myna;Hiylik Myna
Hobbes;Hobbes
Hobgoblin;Lutin
Hobgoblin Champion;Champion Hobgobelin
Hofuthand (weapons and armour);Hofuthand (armes et armures)
Hole in the wall;Trou dans le mur
Holgart;Holgart
Holoy;Holi
Holthion;Holthion
Homunculus;Homunculus
Honest Jimmy;Honnête Jimmy
Honour guard;Garde d'honneur
Hooded Figure;Figurine à capuche
Hooknosed Jack;Jack au nez crochu
Hoop Snake;Serpent cerceau
Hopeless beast;Bête désespérée
Hopeless creature;Créature désespérée
Hopleez;Hoplez
Hops;Houblon
Horace;Horace
Horacio;Horace
Horned graahk;Graahk à cornes
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Maison
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudon
Huge spider;Énorme araignée
Hugor;Hugor
Hunding;Chasse
Hunting expert;Expert en chasse
Hura;Hura
Husk;Décortiquer
Hydra;Hydre
Hygd;Hygiénique
Ian;Ian
Iban;Iban
Ice Queen;Reine des glaces
Ice Troll;Troll de glace
Ice Troll King;Roi des trolls de glace
Ice Troll King (hard);Roi des Trolls de Glace (difficile)
Ice block;Bloc de glace
Ice demon;Démon de glace
Ice giant;Géant de glace
Ice spider;Araignée de glace
Ice troll;Troll des glaces
Ice troll female;Femelle troll des glaces
Ice troll grunt;Grognement du troll des glaces
Ice troll male;Mâle troll des glaces
Ice troll runt;L'avorton du troll des glaces
Ice warrior;Guerrier de glace
Ice wolf;Loup de glace
Iceberg;Iceberg
Icefiend;Démon des glaces
Icelord;Seigneur des glaces
Icicle;Stalactite
Icthlarin;Icthlarine
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Ignace Vulcain
Ignisia;Ignisie
Ikkle Hydra;Hydra d'Ikkle
Ileana;Iléana
Ilfeen;Ilfeen
Ima;Je suis
Imerominia;Imérominie
Imiago;Imago
Imin;Imine
Iminye;Iminye
Immenizz;Imménizz
Imp;Lutin
Imp Champion;Champion diablotin
Imp defender;Défenseur diablotin
Imre;Imré
Incapacitated Pyromancer;Pyromancien incapable
Indis;Indiens
Infernal Mage;Mage infernal
Infernal pyrelord;Seigneur du feu infernal
Information clerk;Commis à l'information
Inga;Inga
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Gardien de l'auberge
Innocent-looking key;Clé d'apparence innocente
Insatiable Bloodveld;Veld de sang insatiable
Insatiable mutated Bloodveld;Bloodveld muté insatiable
Invrigar the Necromancer;Invrigar le Nécromancien
Iona;Iona
Iorwerth Archer;Archer d'Iorwerth
Iorwerth Warrior;Guerrier d'Iorwerth
Irena;Irène
Irene;Irène
Irina;Irina
Irksol;Irksol
Iron Man tutor;Professeur d'Iron Man
Iron dragon;Dragon de fer
Iron ore;Minerai de fer
Iron pickaxe;Pioche en fer
Irvig Senay;Irvig Sénay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ish le navigateur
Ishmael;Ismaël
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi le Navigateur
Ivan;Ivan
Ivan Strom;Ivan Strom
Iwan;Iwan
Iwazaru;Iwazaru
Jack;Jack
Jack Sails;Jack voiles
Jack Seagull;Jack Mouette
Jackal;Chacal
Jacky Jester;Jacky Jester
Jade;Jade
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Gardien de prison
Jailer;Geôlier
Jake;Jacques
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;Jacques
Jamila;Jamila
Jaraah;Jarah
Jardric;Jardric
Jari;Jari
Jarr;Jarre
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (moyenne)
Jeb;Jeb
Jeed;Jeed
Jeff;Jeff
Jelly;Gelée
Jennella;Jennelle
Jennifer;Jennifer
Jenny Blade;Jenny Lame
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jérico
Jess;Jesse
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Crabe orné de bijoux
Jewelled Crab (blue);Crabe bijou (bleu)
Jewelled Crab (green);Crabe bijou (vert)
Jewelled Crab (red);Crabe bijou (rouge)
Jex;Jex
Jig cart;Chariot à gabarit
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Jimmy le ciseau
Joe;Joe
Jofridr Mordstatter;Jofridr Mordstätter
Jogre;Jogre
Jogre Champion;Champion Jogre
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jonathan
Jonny the beard;Jonny la barbe
Jorra;Jorra
Jorral;Jorral
Jorzik;Jorzik
Joseph;Joseph
Joshua;Josué
Jossik;Josik
Jubbly bird;Oiseau jubilatoire
Jubster;Jubster
Judge of Yama;Juge de Yama
Jukat;Jukat
Julie;Julie
Juliet;Juliette
Jumaane;Joumane
Juna;Juna
Jungle Demon;Démon de la jungle
Jungle Demon (hard);Démon de la jungle (difficile)
Jungle Wolf;Loup de la jungle
Jungle eagle;Aigle de la jungle
Jungle forester;Forestier de la jungle
Jungle horror;Horreur de la jungle
Jungle savage;Sauvage de la jungle
Jungle spider;Araignée de la jungle
Junior Navigator;Navigateur junior
Jury;Jury
Justiciar Zachariah;Justicier Zacharie
Justin Servil;Justin Servil
Justine;Justine
Jyn;Jyn
K'klik;K'klik
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;Agent KGP
KGP Guard;Garde KGP
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht Balam
Kai;Kaï
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Gardien kalphite
Kalphite Larva;Larve de Kalphite
Kalphite Princess;Princesse Kalphite
Kalphite Queen;Reine Kalphite
Kalphite Soldier;Soldat kalphite
Kalphite Worker;Ouvrier kalphite
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfréna
Kamil;Kamil
Kamil (hard);Kamil (dur)
Kanel;Kanel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karadaï
Karam;Karam
Karamel;Caramel
Karamel (hard);Karamel (dur)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil le corrompu
Karim;Karim
Karl;Karl
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Catherine
Kaylee;Kaylee
Kazemde;Kazemdé
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;Keith
Kelvin;Kelvin
Kelyn;Kélyn
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket Zek
Key Master;Maître des clés
Kharid Scorpion;Scorpion Kharid
Khazard Guard;Garde Khazard
Khazard Ogre;Ogre Khazard
Khazard Scorpion;Scorpion Khazard
Khazard barman;Barman Khazard
Khazard commander;Commandant Khazard
Khazard trooper;Soldat Khazard
Khazard warlord;Seigneur de guerre Khazard
Khazard warlord (hard);Seigneur de guerre Khazard (difficile)
Khorvak, a dwarven engineer;Khorvak, un ingénieur nain
Kikazaru;Kikazaru
Killer;Tueur
Killerwatt;Watt tueur
Kilron;Kilron
Kineer;Kinéer
King Arthur;Le roi Arthur
King Artur Hosidius;Roi Arthur Hosidius
King Awowogei;Roi Awowogei
King Black Dragon;Roi Dragon Noir
King Bolren;Roi Bolren
King Gjuki Sorvott IV;Roi Gjuki Sorvott IV
King Healthorg;Roi Healthorg
King Kandur Hosidius;Roi Kandur Hosidius
King Lathas;Roi Lathas
King Narnode Shareen;Roi Narnode Shareen
King Percival;Roi Perceval
King Roald;Roi Roald
King Roald (hard);Roi Roald (dur)
King Sand Crab;Crabe royal des sables
King Scorpion;Roi Scorpion
King Thoros;Roi Thoros
King Vargas;Roi Vargas
King kurask;Roi Kourask
King rat;Rat royal
King's Messenger;Messager du roi
Kitten;Chaton
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Chevalier
Knight of Ardougne;Chevalier d'Ardougne
Knight of Saradomin;Chevalier de Saradomin
Knight of Varlamore;Chevalier de Varlamore
Knight of the Lion;Chevalier du Lion
Knight of the Owl;Chevalier du hibou
Knight of the Unicorn;Chevalier de la Licorne
Knight of the Wolf;Chevalier du loup
Koanee;Koanee
Kob;Kob
Koftik;Koftik
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Cortan
Koschei the Deathless;Koschei l'Immortel
Koschei the deathless;Koschei l'Immortel
Kragen;Krägen
Kraka;Kraka
Kraken;Kraken
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Kroy
