A Clam Shell;Une coquille de palourde
Dagger stall;Stalle de poignard
Dairy Cow;Vache laitière
Dairy churn;Baratte de produits laitiers
Dairy cow;Vache laitière
Daisies;Marguerites
Damaged Earth;Terre endommagée
Damaged Mast;Mât endommagé
Damaged Table;Tableau endommagé
Damaged Vent;Évent endommagé
Damaged armour;Armure endommagée
Damaged cart;Chariot endommagé
Damaged mast;Mât endommagé
Damaged totem pole;Totem endommagé
Damaged wall;Mur endommagé
Danger Sign;Signe de danger
Danger sign;Signe de danger
Dark Altar;Autel sombre
Dark Chest;Coffre sombre
Dark crystal;Cristal foncé
Dark hole;Trou noir
Dark tunnel;Tunnel sombre
Darklight;Lumière sombre
Dart trap;Piège à fléchettes
Dartboard;Cible de fléchettes
David's barrel;Le tonneau de David
Dawn;Aube
Dead Asgarnian Hops;Houblon asgarnien mort
Dead Attas plant;Usine d'Attas morte
Dead Barley;Orge morte
Dead Belladonna;Belladone morte
Dead Bittercap Mushrooms;Champignons morts à tête amère
Dead Body;Cadavre
Dead Calquat;Calquat mort
Dead Elf;Elfe mort
Dead Explorer;Explorateur mort
Dead Hammerstone Hops;Houblon Dead Hammerstone
Dead Iasor plant;Usine Iasor morte
Dead Jute;Jute mort
Dead Krandorian Hops;Houblon krandorien mort
Dead Kronos plant;Plante Kronos morte
Dead Magic Tree;Arbre magique mort
Dead Mahogany;Acajou mort
Dead Maple;Érable mort
Dead Oak;Chêne mort
Dead Poison Ivy bush;Buisson mort de l'herbe à puce
Dead Potato cactus;Cactus de pomme de terre mort
Dead Redwood tree;Séquoia mort
Dead Snape grass;Herbe de Rogue mort
Dead Spirit Tree;Arbre spirituel mort
Dead Teak;Teck mort
Dead Tree;Arbre mort
Dead White lily;Lys blanc mort
Dead Wildblood Hops;Houblon de sang sauvage mort
Dead Willow;Saule mort
Dead Yanillian Hops;Houblon Yanillian mort
Dead Yew;If mort
Dead Yommi;Yommi mort
Dead Yommi sapling;Jeune arbre Yommi mort
Dead apple tree;Pommier mort
Dead banana tree;Bananier mort
Dead bat;Chauve-souris morte
Dead cabbages;Choux morts
Dead cactus;Cactus mort
Dead cadavaberry bush;Buisson de baies de cadavérique mort
Dead calquat;Calquat mort
Dead celastrus tree;Arbre célastrus mort
Dead curry tree;Curry mort
Dead dragonfruit plant;Plante de fruit du dragon morte
Dead dwellberry bush;Buisson de baies mortes
Dead goutweed;Goutte morte
Dead hardy goutweed;Goutte d'eau morte et rustique
Dead herbs;Herbes mortes
Dead jangerberry bush;Buisson de jangerberry mort
Dead limpwurt plant;Usine de limpwurt morte
Dead marigold;Souci mort
Dead mushroom ring;Anneau de champignon mort
Dead nasturtium;Capucine morte
Dead onions;Oignons morts
Dead orange tree;Oranger mort
Dead palm tree;Palmier mort
Dead papaya tree;Papayer mort
Dead pineapple plant;Plante d'ananas morte
Dead potatoes;Pommes de terre mortes
Dead redberry bush;Buisson de redberry mort
Dead rosemary;Romarin mort
Dead seaweed;Algues mortes
Dead sourhog;Sourcil mort
Dead strawberry plant;Fraisier mort
Dead sweetcorn plant;Plant de maïs doux mort
Dead tomato plant;Plant de tomate mort
Dead tree;Arbre mort
Dead tree stump;Souche d'arbre mort
Dead vine;Vigne morte
Dead watermelons;Pastèques mortes
Dead whiteberry bush;Buisson de blanchâtre mort
Dead woad plant;Plante de pastel morte
Deadfall;Chute morte
Deadman Supply Chest;Coffre de ravitaillement de l'homme mort
Deadman chest;Coffre d'homme mort
Deadman display;Affichage homme mort
Death rift;Faille de la mort
Death's Coffer;Coffre de la mort
Death's Domain;Domaine de la mort
Death's domain;Le domaine de la mort
Debris;Débris
Decaying trunk;Tronc en décomposition
Deckchair;Transat
Decorated limestone fireplace;Cheminée en pierre calcaire décorée
Decorated marble fireplace;Cheminée en marbre décorée
Decorated wall;Mur décoré
Decoration;Décoration
Decoration space;Espace de décoration
Decorative window;Fenêtre décorative
Defender item machine;Machine à objets Defender
Delphinium patch;Patch Delphinium
Delphiniums;Delphiniums
Demon;Démon
Demonic Symbol;Symbole démoniaque
Dense Jungle;Jungle dense
Dense forest;Forêt dense
Dense runestone;Pierre runique dense
Depleted Rock;Roche épuisée
Depleted runestone;Pierre runique épuisée
Depleted vein;Veine épuisée
Deposit Box;Coffret de dépôt
Desecrated house;Maison profanée
Desert painting;Peinture du désert
Desk;Bureau
Destroyed bird hide;Peau d'oiseau détruite
Destroyed furniture;Meubles détruits
Device;Appareil
Dial;Cadran
Dice;Dés
Dig Site specimen rocks;Creusez des spécimens de roches sur le site
Digsite Pendant;Pendentif de chantier de fouilles
Dim crystal;Cristal tamisé
Dirt;Saleté
Diseased Asgarnian Hops;Houblon asgarnien malade
Diseased Barley;Orge malade
Diseased Belladonna;Belladone malade
Diseased Bittercap Mushrooms;Champignons amer malades
Diseased Calquat;Calquat malade
Diseased Grapevines;Vignes malades
Diseased Hammerstone Hops;Houblon Hammerstone malade
Diseased Jute;Jute malade
Diseased Krandorian Hops;Houblon krandorien malade
Diseased Magic Tree;Arbre magique malade
Diseased Mahogany;Acajou malade
Diseased Maple;Érable malade
Diseased Oak;Chêne malade
Diseased Poison Ivy bush;Buisson malade de l'herbe à puce
Diseased Potato cactus;Cactus de pomme de terre malade
Diseased Redwood tree;Séquoia malade
Diseased Snape grass;Herbe Snape malade
Diseased Spirit Tree;Arbre spirituel malade
Diseased Teak;Teck malade
Diseased White lily;Lys blanc malade
Diseased Wildblood Hops;Houblon sauvage malade
Diseased Willow;Saule malade
Diseased Yanillian Hops;Houblon Yanillian malade
Diseased Yew;If malade
Diseased apple tree;Pommier malade
Diseased banana tree;Bananier malade
Diseased cabbages;Choux malades
Diseased cactus;Cactus malade
Diseased cadavaberry bush;Buisson de cadavérique malade
Diseased calquat;Calquat malade
Diseased celastrus tree;Arbre célastrus malade
Diseased curry tree;Curry malade
Diseased dragonfruit plant;Plante de fruit du dragon malade
Diseased dwellberry bush;Buisson de baies malades
Diseased goutweed;Goutte malade
Diseased hardy goutweed;Goutte rustique malade
Diseased herbs;Herbes malades
Diseased jangerberry bush;Buisson de jangerberry malade
Diseased limpwurt plant;Plante de limpwurt malade
Diseased marigold;Souci malade
Diseased nasturtium;Capucine malade
Diseased onions;Oignons malades
Diseased orange tree;Oranger malade
Diseased palm tree;Palmier malade
Diseased papaya tree;Papayer malade
Diseased pineapple plant;Plante d'ananas malade
Diseased potatoes;Pommes de terre malades
Diseased redberry bush;Buisson de redberry malade
Diseased rosemary;Romarin malade
Diseased seaweed;Algues malades
Diseased strawberry plant;Fraisier malade
Diseased sweetcorn plant;Plant de maïs doux malade
Diseased tomato plant;Plant de tomate malade
Diseased watermelons;Pastèques malades
Diseased whiteberry bush;Buisson de blanc malade
Diseased woad plant;Plante de pastel malade
Dishes;Plats
Display Case;Vitrine
Display board;Tableau d'affichage
Display case;Vitrine
Display space;Espace d'affichage
Display table;Tableau d'affichage
Disturbed sand;Sable perturbé
Dock Leaf;Feuille de quai
Dock leaf plant;Plante à feuilles de quai
Dodgy ground;Terrain douteux
Dolls and balls;Poupées et balles
Dolmen;Dolmen
Dolphin;Dauphin
Domination marker;Marqueur de domination
Dominic's coffer;Le coffre de Dominique
Door;Porte
Door hotspot;Point d'accès de la porte
Door space;Espace de porte
Doors;Portes
Doors of Dinh;Portes de Dinh
Doorway;Porte
Doric's Whetstone;La pierre à aiguiser de Doric
Double bed;Grand lit
Dragon Bitter;Dragon amer
Dragon bitter;Dragon amer
Dragon corpse;Cadavre de dragon
Dragon egg;Oeuf de dragon
Dragon head;Tête de dragon
Dragon statue;Statue de dragon
Dragon trophy display;Présentation du trophée du dragon
Dragon's head;Tête de dragon
Dragonfire;Feu de dragon
Dragonfly;Libellule
Dragonfruit tree;Arbre fruit du dragon
Dragonfruit tree stump;Souche d'arbre fruit du dragon
Dragonhide Leather;Cuir de peau de dragon
Drain;Vidange
Drain Pipe;Tuyau de vidange
Drained Crystal;Cristal drainé
Dramen tree;Arbre dramatique
Drapes;Tentures
Drawer space;Espace tiroir
Drawers;Tiroirs
Draynor Manor Portal;Portail du Manoir Draynor
Dream List;Liste de rêves
Dream Tree stump;Souche d'arbre de rêve
Dream puff;Bouffée de rêve
Dream tree;Arbre de rêve
Dresser;Buffet
Dresser space;Espace commode
Drift net (full);Filet dérivant (plein)
Drift net anchors;Ancres pour filets dérivants
Driftwood;Bois flotté
Drill;Percer
Drilling machine;Perceuse
Drip;Goutte
Dripping tendrils;Vrilles dégoulinantes
Dripping vine;Vigne dégoulinante
Drips;Gouttes
Drive belt;Courroie d'entraînement
Druid's robes;Robes de druide
Drunken Dwarf;Nain ivre
Dry patch;Zone sèche
Dry stone wall;Mur en pierres sèches
Drying line;Ligne de séchage
Dug hole;Trou creusé
Dummy;Factice
Dung;Boussier
Dungeon door;Porte du donjon
Dungeon entrance;Entrée du donjon
Dusk;Crépuscule
Dwarf;Nain
Dwarf Flag;Drapeau nain
Dwarf MultiCannon;Canon multiple nain
Dwarf bath;Bain nain
Dwarf mirror;Miroir nain
Dwarf multicannon;Multicanon nain
Dwarf remains;Restes nains
Dwarf statue;Statue naine
Dwarven Consortium Table;Table du Consortium Nain
Dwarven Stout;Grosse naine
Dwarven machinery;Machinerie naine
Dwellberry bush;Buisson de baies
Dye Pots;Pots de teinture
Dyed fabric;Tissu teint
Dying tree;Arbre mourant
Dying tree Stump;Souche d'arbre mourant
Eagle lever;Levier d'aigle
Earth Mound;Monticule de terre
Earth rift;Faille terrestre
Easel;Chevalet
Ectofuntus;Ectofontus
Edge;Bord
Eerie statue;Statue étrange
Efh salt;Sel d'Efh
Egg;Œuf
Egg Sac;Sac d'oeufs
Egg hopper;Trémie à œufs
Egg launcher;Lanceur d'oeufs
Egg sac;Sac à œufs
Eggs;Œufs
Egniol Potions;Potions d'Egniol
Eight;Huit
Elaborate lockbox;Coffret sécurisé élaboré
Electrified harpoonfish cannon;Canon à poisson-harpon électrifié
Elemental balance;Équilibre élémentaire
Elemental balance space;Espace d'équilibre élémentaire
Elemental sphere;Sphère élémentaire
Elevator;Ascenseur
Elevator controls;Commandes d'ascenseur
Elf Flag;Drapeau Elfe
Elidinis Statuette;Statuette d'Élidinis
Elite clue scroll display;Affichage du parchemin d'indices d'élite
Elizabeth's barrel;Le tonneau d'Elizabeth
Elven Crystal Chest;Coffre de cristal elfique
Elven lamp;Lampe elfique
Embalming tube;Tube d'embaumement
Embers;Braise
Empty Sack;Sac vide
Empty Sarcophagus;Sarcophage vide
Empty Stall;Stalle vide
Empty ash pile;Tas de cendres vide
Empty barrel;Baril vide
Empty basket;Panier vide
Empty chest;Coffre vide
Empty clothes;Vêtements vides
Empty desk;Bureau vide
Empty lamp;Lampe vide
Empty pedestal;Piédestal vide
Empty pool;Piscine vide
Empty rack;Casier vide
Empty sac;Sac vide
Empty sack;Sac vide
Empty wall;Mur vide
Enchanters Teleport;Téléportation des enchanteurs
End of bridge;Fin du pont
Energy Barrier;Barrière énergétique
Energy Pylon;Pylône d'énergie
Energy Sphere;Sphère énergétique
Energy well;Puits énergétique
Engine Platform;Plateforme moteur
Entrance;Entrée
Equipment;Équipement
Equipment table;Tableau des équipements
Eric;Éric
Escape rope;Corde d'évacuation
Evergreen;À feuilles persistantes
Evil Dave;Le méchant Dave
Evil claw;Griffe maléfique
Evil eye decoration;Décoration mauvais œil
Excalibur;Excalibur
Exercise mat;Tapis d'exercice
Exhumed;Exhumé
Exit;Sortie
Exit Sign;Panneau de sortie
Exit Teleport;Quitter la téléportation
Exit cavern;Sortie de la caverne
Exit door;Porte de sortie
Exit path;Chemin de sortie
Exit portal;Quitter le portail
Experiment booth;Stand d'expérimentation
Experiment cabinet;Cabinet d'expérimentation
Experiment table;Tableau d'expérimentation
Experiment tube;Tube d'expérimentation
Explosion;Explosion
Explosive potion table;Table de potions explosives
Extra anchor;Ancre supplémentaire
Extra chain;Chaîne supplémentaire
Extractor gun;Pistolet extracteur
Extractor hat;Chapeau d'extraction
Extractor hat-top;Chapeau d'extracteur
Eye;Œil
Eyes;Yeux
Fabric;Tissu
Fabric rack;Support en tissu
Fairly dark crystal;Cristal assez foncé
Fairy Queen;Reine des fées
Fairy Queen throne;Trône de la reine des fées
Fairy bank;Banque de fées
Fairy fountain;Fontaine féerique
Fairy house;Maison de fée
Fairy market stall;Étal de marché aux fées
Fairy ring;Bague féerique
Fairy workbench;Établi de fée
Falador Portal;Portail Falador
Fallen Tree;Arbre tombé
Fallen Wall;Mur tombé
Fallen soldier;Soldat tombé
Fallen statue;Statue tombée
Fallen tree;Arbre tombé
Falling door;Porte qui tombe
Falling rock;Chute de pierre
Fan blade;Pale de ventilateur
Fancy Jewellery Box;Boîte à bijoux fantaisie
Fancy dress box;Coffret de déguisements
Fancy dress box space;Espace boîte à déguisements
Fancy pool of Rejuvenation;Piscine fantaisie de rajeunissement
Fancy range;Gamme fantaisie
Farm door;Porte de ferme
Farming patch;Terrain agricole
Feathers;Plumes
Felled Yommi tree;Arbre Yommi abattu
Fence;Clôture
Fence bits;Morceaux de clôture
Fence corner;Coin de clôture
Fence end;Fin de clôture
Fence mid;Clôture au milieu
Fence space;Espace de clôture
Fence t-piece;Pièce en T pour clôture
Fencing;Escrime
Fencing ring;Anneau d'escrime
Fenkenstrain's Castle Portal;Portail du château de Fenkenstrain
Fermenting Vat;Cuve de fermentation
Fern;Fougère
Ferry;Traversier
Fertile Soil;Sol fertile
Figurehead;Figure de proue
Filled Recess;Évidement rempli
Final Pillar;Pilier final
Fire;Feu
Fire Wall;Mur coupe-feu
Fire altar;Autel du feu
Fire of Dehumidification;Feu de déshumidification
Fire of Domination;Feu de domination
Fire of Eternal Light;Feu de Lumière Éternelle
Fire of Nourishment;Feu de nourriture
Fire of Unseasonal Warmth;Feu de chaleur inhabituelle
Fire pit;Foyer
Fire remains;Le feu reste
Fire rift;Faille de feu
Fire trap;Piège à feu
Firebox;Foyer
Firepit;Foyer
Firepit with hook;Foyer avec crochet
Firepit with pot;Foyer avec pot
Fireplace;Cheminée
Fireplace space;Espace cheminée
Fireplace surround;Contour de cheminée
Firm snow patch;Plaque de neige ferme
First aid box;Boîte de premiers secours
Fish;Poisson
Fish basket;Panier à poisson
Fish bits;Morceaux de poisson
Fish bowl;Bocal à poisson
Fish stall;Étal de poisson
Fishing Contest Banner;Bannière du concours de pêche
Fishing Crane;Grue de pêche
Fishing Guild Portal;Portail de la guilde de pêche
Fishing Spot;Lieu de pêche
Fishing Spot (Depleted);Lieu de pêche (épuisé)
Fishing net;Filet de pêche
Fishing rod;Canne à pêche
Fishing spot;Lieu de pêche
Fishing trophy space;Espace trophée de pêche
Fishing weights;Poids de pêche
Fissure;Fissure
Five;Cinq
Fixed bridge;Pont fixe
Flag;Drapeau
Flagpole;Mât de drapeau
Flames;Flammes
Flaming Fire altar;Autel de feu enflammé
Flashing landing light;Phare d'atterrissage clignotant
Flat ground;Terrain plat
Flat rock;Rocher plat
Flat stone;Pierre plate
Flax;Lin
Floating Book;Livre flottant
Floats;Flotteurs
Floor;Sol
Floor below;Étage ci-dessous
Floor decoration;Décoration de sol
Floor space;Surface au sol
Floor space corner;Coin de surface au sol
Floor space mid;Surface au sol au milieu
Floor space side;Côté surface au sol
Floor spikes;Pointes de sol
Floor tile;Carrelage de sol
Floorboards;Planches
Flour;Farine
Flour bin;Bac à farine
Flower;Fleur
Flower Patch;Patch de fleurs
Flowerbed;Parterre de fleurs
Flowering fern;Fougère en fleurs
Flowers;Fleurs
Flute;Flûte
Fly paper;Papier mouche
Fly trap;Piège à mouches
Fog marker;Marqueur de brouillard
Font;Fonte
Food Stall;Stand de nourriture
Food Trough;Auge à nourriture
Food chute;Chute à nourriture
Food cupboard;Armoire à nourriture
Food trough;Auge à nourriture
Foot lockers;Casiers à pieds
Footprints;Empreintes
Forest Mushrooms;Champignons forestiers
Forest floor;Sol forestier
Formidable passage;Passage redoutable
Fortified gate;Porte fortifiée
Fossil Island display case;Vitrine Île Fossile
Fossil Storage;Stockage de fossiles
Fossil cleaning bench;Banc de nettoyage des fossiles
Fossil fuel;Combustible fossile
Fountain;Fontaine
Fountain of Heroes;Fontaine des Héros
Fountain of Rune;Fontaine des Runes
Fountain of Uhld;Fontaine d'Uhld
Four;Quatre
Fox;Renard
Fractionalising still;Le fractionnement continue
Fragment of Seren;Fragment de Seren
Frame;Cadre
Frank's barrel;Le tonneau de Frank
Free-for-all portal;Portail gratuit pour tous
Fremennik Boat;Bateau Fremennik
Fremennik boat;Bateau Fremennik
Frog;Grenouille
Frog spit;Crachat de grenouille
Frozen Pool of Rejuvenation;Piscine gelée de rajeunissement
Frozen Pool of Restoration;Bassin gelé de restauration
Frozen Pool of Revitalisation;Piscine gelée de revitalisation
Frozen demon;Démon gelé
Frozen door;Porte gelée
Frozen fancy pool of Rejuvenation;Piscine fantaisie gelée de rajeunissement
Frozen orc;Orc gelé
Frozen ornate pool of Rejuvenation;Piscine ornée gelée de rajeunissement
Frozen table;Table gelée
Frozen warrior;Guerrier gelé
Fruit Stall;Étal de fruits
Fruit Tree Patch;Champ d'arbres fruitiers
Fruit cart;Chariot de fruits
Full fishing net;Filet de pêche complet
Funeral Pyre;Bûcher funéraire
Fungi;Champignons
Fungi on log;Champignons sur journal
Fungus;Champignon
Fungus covered Cavern wall;Mur de caverne couvert de champignons
Fungus doormat;Paillasson champignon
Fungus pattern;Modèle de champignon
Fungus seat;Siège de champignon
Fur stall;Étal de fourrure
Furnace;Four
Furnace Coolant;Liquide de refroidissement du four
Fuse;Fusible
G.A.G. banner;GAG. bannière
Gabion defence;Défense en gabions
Gallows;Potence
Game space;Espace de jeu
Gangplank;Passerelle de débarquement
Gap;Écart
Garden fence;Clôture de jardin
Gas bubble;Bulle de gaz
Gas cylinder;Bouteille de gaz
Gas hole;Trou de gaz
Gate;Grille
Gate of War;Porte de la guerre
Gates;Portes
Gauntlet Portal;Portail Gantelet
Gazebo;Belvédère
Gear box;Boîte de vitesses
Gem Rock;Pierre précieuse
Gem Stall;Étal de pierres précieuses
Gem stall;Étal de pierres précieuses
General Bentnoze;Général Bentnoze
General Graardor display;Affichage général Graardor
General Stall;Décrochage général
General Wartface;Verrue générale
Generator;Générateur
Geyser;Geyser
Ghorrock Portal;Portail Ghorrock
Giant Anvil;Enclume géante
Giant Boulder;Rocher géant
Giant Dwarf;Nain géant
Giant anvil;Enclume géante
Giant crystal;Cristal géant
Giant feathers;Plumes géantes
Giant vial;Fiole géante
Gibbet;Gibet
Gift of Peace;Don de paix
Gigantic penguin;Pingouin géant
Gilded Adventure Log;Journal d'aventure doré
Gilded bench;Banc doré
Gilded cape rack;Porte-cape doré
Gilded stand;Support doré
Gilded wardrobe;Armoire dorée
Glarial's Tomb;Tombe de Glarial
Glarial's Tombstone;Pierre tombale de Glarial
Glass door;Porte vitrée
Glass table;Table en verre
Globe;Globe
Globe of Gielinor;Globe de Giélinor
Globe space;Espace globe
Glouphrie statue;Statue de Glouphrie
Glove Rack;Porte-gants
Gloves and duster;Gants et plumeau
Glowing Carving;Sculpture lumineuse
Glowing Fungus;Champignon brillant
Glowing Orb;Orbe lumineux
Glowing carving;Sculpture lumineuse
Glowing crystal;Cristal brillant
Glowing fungus;Champignon brillant
Glyphs;Glyphes
Gnome Flag;Drapeau Gnome
Gnome Glider;Planeur Gnome
Gnome barrel;Baril de gnome
Gnome barrels;Barils de gnomes
Gnome bench;Banc de gnomes
Gnome cabinet;Armoire à nains
Gnome chair;Chaise Gnome
Gnome cooker;Cuisinière Gnome
Gnome crate;Caisse de gnomes
Gnome crates;Caisses de gnomes
Gnome crowd;Foule de gnomes
Gnome glider;Planeur gnome
Gnome goal;Objectif Gnome
Gnome landing light;Phare d'atterrissage Gnome
Gnome skeleton;Squelette de gnome
Gnome statue;Statue de GNOME
Gnome table;Tableau des gnomes
Goal;But
Goat;Chèvre
Goat poo;Caca de chèvre
Goblin crowd;Foule de gobelins
Goblin stove;Poêle gobelin
Gobln Merfsh;Gobln Merfsh
Godfather throne;Trône du parrain
Gold;Or
Gold Castlewars armour;Armure dorée Castlewars
Gold Chest;Coffre d'or
Gold Screen;Écran d'or
Gold cannonball;Boulet de canon en or
Golden Gnome;Gnome doré
Golden cage;Cage dorée
Golden lantern;Lanterne dorée
Golden pear bush;Poirier doré
Golden tree;Arbre doré
Golem arm;Bras de golem
Golem body;Corps de golem
Golem foot;Pied de golem
Golem head;Tête de golem
Golem rubble;Décombres de golems
Golf-cart;Voiturette de golf
Golovanova plant;Usine Golovanova
Golovanova seedling;Semis de Golovanova
Goo covered vine;Vigne couverte de Goo
Gorilla Statue;Statue de gorille
Gourd tree;Arbre à courge
Gout Tuber Plant;Plante de tubercule de goutte
Goutweed;Goutte d'eau
Goutweed Crate;Caisse de Gouttelette
Grain;Grain
Grain of Plenty;Grain d'Abondance
Grain sacks;Sacs de céréales
Gramophone;Gramophone
Granary roof;Toit de grenier
Granary wall;Mur de grenier
Grand Exchange Portal;Portail du Grand Échange
Grand Exchange booth;Stand du Grand Bourse
Grand Exchange display;Affichage du Grand Bourse
Grand Gold Chest;Grand coffre en or
Grand bookshelf;Grande bibliothèque
Grandfather Clock;Horloge de parquet
Grandfather clock;Horloge de parquet
Grandiose Doors;Portes grandioses
Grape arbor;Tonnelle à raisin
Grape vine;Vigne
Grapevine;Vigne
Grapevines;Vignes
Grass;Herbe
Grassland;Prairie
Grate;Grille
Grave;Tombe
Grave marker;Pierre tombale
Grave of Scorpius;Tombe de Scorpius
Gravestone;Pierre tombale
Graveyard Teleport;Téléportation du cimetière
Great Olm display;Superbe exposition Olm
Great Olmic Statue;Grande statue olmique
Greater magic circle;Grand cercle magique
Greater teleport focus;Plus grande concentration sur la téléportation
Green banner;Bannière verte
Green chemical;Produit chimique vert
Green door;Porte verte
Green tears;Larmes vertes
Greenman's ale;La bière Greenman
Greenmans Ale;Bière Greenman's
Grill;Gril
Grim lilly;Lilly sinistre
Grimgnash;Grimgnash
Grinder;Broyeur
Grotesque Guardians' display;Exposition grotesque des Gardiens
Grotto;Grotte
Grotto tree;Arbre grotte
Growing vine;Vigne en croissance
Growing wheat;Cultiver du blé
Grubby Chest;Coffre sale
Grubby Door;Porte sale
Grym Root;Racine de Grym
Grym Root (Depleted);Racine de Grym (épuisée)
Guard;Garde
Guard dog;Chien de garde
Guard space;Espace de garde
Guide rope;Corde de guidage
Guild Door;Porte de guilde
Guild door;Porte de guilde
Guild trophy space;Espace trophée de guilde
Guitar;Guitare
Gun Locker;Casier à armes à feu
Guthix Portal;Portail Guthix
Haar-Tok;Haar-Tok
Habitat space;Espace habitat
Half-built Loom;Métier à tisser à moitié construit
Hammer;Marteau
Hammers;Marteaux
Hammerstone Hops;Houblon Hammerstone
Hammock;Hamac
Hand holds;La main tient
Handholds;Poignées
Handle;Poignée
Handy portal;Portail pratique
Hanger;Cintre
Hanging;Suspendu
Hanging banner;Bannière suspendue
Hanging cape;Cape suspendue
Hanging dye;Teinture suspendue
Hanging flag;Drapeau suspendu
Hanging hand;Main suspendue
Hanging log;Bûche suspendue
Hanging meat;Viande suspendue
Hanging pirate;Pirate suspendu
Hanging tapestry;Tapisserie suspendue
Hanging wheel;Roue suspendue
Hangman game;Jeu du pendu
Hank (Well);Hank (Eh bien)
Hank (ghastly!);Hank (horrible !)
Hank (sick);Hank (malade)
Hank (very sick);Hank (très malade)
Hard rock;Roche dure
Hardcore Ironman;Ironman hardcore
Hardwood Grove Doors;Portes en bois dur
Hardy goutweed;Goutte rustique
Harmony Island Portal;Portail de l'île Harmony
Harp;Harpe
Harpoonfish cannon;Canon à poisson-harpon
Harpoons;Harpons
Harvested Celastrus tree;Arbre Celastrus récolté
Hat rack;Porte-chapeau
Hat stand;Porte-chapeau
Hatch;Trappe
Hay Bales;Balles de foin
Hay bale;Balle de foin
Hay bales;Balles de foin
Haystack;Meule de foin
Hazeel's coffin;Le cercueil de Hazeel
Hazelmere statue;Statue de Noisetier
Head trophy space;Espace trophée de tête
Headless statue;Statue sans tête
Healer item machine;Machine à objets de guérisseur
Healer spring;Printemps guérisseur
Healing certificate;Certificat de guérison
Healthorg statue;Statue de l'organisme de santé
Heap of bricks;Tas de briques
Hearth;Foyer
Heat;Chaleur
Heater;Chauffage
Heather;Bruyère
Heavy door;Porte lourde
Hedge;Haie
Hedging;Couverture
Hefin Banner;Bannière Héfin
Hellhound;Chien de l'enfer
Helmet pluming stand;Support de plumage pour casque
Henge;Henné
Heraldry space;Espace héraldique
Herb;Herbe
Herb Stall;Étal d'herbes aromatiques
Herb patch;Patch d'herbes
Herbs;Herbes
Herman's desk;Le bureau d'Herman
Heroic statue;Statue héroïque
Hespori;Héspori
Hespori patch;Patch Hespori
Hidden Statue;Statue cachée
Hidden trapdoor;Trappe cachée
High Stakes;Des enjeux élevés
Hill;Colline
Hillside entrance;Entrée à flanc de colline
History;Histoire
Hobgoblin;Lutin
Hoisted sail;Voile hissée
Holding area;Zone d'attente
Hole;Trou
Hole in the wall;Trou dans le mur
Hole in wall;Trou dans le mur
Hollow Log;Bûche creuse
Hollow log;Bûche creuse
Hollow tree;Arbre creux
Hollowed rock;Rocher creusé
Holy Barrier;Barrière sacrée
Holy barrier;Barrière sacrée
Hook briar;Bruyère à crochet
Hoop Snake;Serpent cerceau
Hope bridge;Pont de l'espoir
Hopper;Trémie
Hopper controls;Commandes de trémie
Hops Patch;Patch de houblon
Horn of Death;Corne de mort
Horn of glory;Corne de gloire
Hosidius statue;Statue d'Hosidius
Hospital shelves;Étagères d'hôpital
Hot Coals;Charbons ardents
Hot vent door;Porte d'aération chaude
House Advertisement;Annonce de maison
Howling Snow Storm;Tempête de neige hurlante
Huge Gate;Immense porte
Huge Mushroom;Champignon énorme
Huge Spider;Énorme araignée
Huge plant;Plante énorme
Huge vat;Immense cuve
Hull;Coque
Human Flag;Drapeau humain
Hurdle;Obstacle
Hurt fairy;Fée blessée
Hutch;Clapier
Iasor plant;Usine d'Iasor
Iban's Throne;Le trône d'Iban
Ice;Glace
Ice Column;Colonne de glace
Ice Light;Lumière de glace
Ice Throne;Trône de Glace
Ice Troll King;Roi des trolls de glace
Ice blockage;Blocage de glace
Ice bridge;Pont de glace
Ice chunks;Morceaux de glace
Ice covered boulder;Rocher couvert de glace
Ice crystal;Cristal de glace
Ice cube;Glaçon
Ice gate;Porte de glace
Ice ledge;Rebord de glace
Ice steps;Marches de glace
Ice storm;Tempête de verglas
Icicle;Stalactite
Icicles;Glaçons
Icon of Bob;Icône de Bob
Icon of Gnome Child;Icône de l'enfant Gnome
Icon of Guthix;Icône de Guthix
Icon of Saradomin;Icône de Saradomin
Icon of Zamorak;Icône de Zamorak
Icon space;Espace d'icône
Icosahedron Pile;Pile d'icosaèdre
Icthlarin's statue;La statue d'Icthlarin
Icy Cavern;Caverne glacée
Icy rock;Rocher glacé
Icy rocks;Rochers glacés
Icyene Statue;Statue de Glace
Igloo;Iglou
Illuminated Symbol;Symbole lumineux
Imposing Doors;Portes imposantes
Inactive Symbol;Symbole inactif
Inanimate Altar;Autel inanimé
Incense burner;Brûleur d'encens
Incinerator;Incinérateur
Incomplete map;Carte incomplète
Inconspicuous bush (beginner);Buisson discret (débutant)
Inconspicuous bush (easy);Buisson discret (facile)
Inconspicuous bush (elite);Buisson discret (élite)
Inconspicuous bush (hard);Buisson discret (dur)
Inconspicuous bush (master);Buisson discret (maître)
Inconspicuous bush (medium);Buisson discret (moyen)
Inconspicuous crate (easy);Caisse discrète (facile)
Inconspicuous crate (elite);Caisse discrète (élite)
Inconspicuous crate (hard);Caisse discrète (dure)
Inconspicuous crate (master);Caisse discrète (maître)
Inconspicuous crate (medium);Caisse discrète (moyenne)
Inconspicuous hole (easy);Trou discret (facile)
Inconspicuous hole (elite);Trou discret (élite)
