'perfect' gold bar;"perfekt" guldtacka
Bronze pick head;Plockhuvud i brons
Bronze pickaxe;Brons hacka
Bronze platebody (t);Bronsplatta (t)
Bronze platelegs (t);Bronsplattor (t)
Bronze plateskirt (g);Plattkjol i brons (g)
Bronze spear(p+);Bronsspjut(p+)
Bronze spear(p);Bronsspjut(p)
Bronze plateskirt (t);Plattkjol i brons (t)
Bronze set (lg);Bronsset (lg)
Bronze spear(kp);Bronsspjut (kp)
Bronze scimitar;Bronsbåge
Bronze spear;Bronsspjut
Bronze set (sk);Bronsset (sk)
Bronze spear(p++);Bronsspjut(p++)
Bronze warhammer;Brons krigshammare
Brooch;Brosch
Bronze sq shield;Brons kvm sköld
Bronze trimmed set (sk);Bronsklippt set (sk)
Broodoo shield (1);Broodoo sköld (1)
Bronze sword;Brons svärd
Broodoo shield;Broodoo sköld
Bronze wire;Bronstråd
Bronze thrownaxe;Kastax av brons
Bronze trimmed set (lg);Bronsklippt set (lg)
Broodoo shield (7);Broodoo sköld (7)
Broodoo shield (5);Broodoo sköld (5)
Broodoo shield (4);Broodoo sköld (4)
Broodoo shield (8);Broodoo sköld (8)
Broodoo shield (10);Broodoo sköld (10)
Broodoo shield (6);Broodoo sköld (6)
Broodoo shield (2);Broodoo sköld (2)
Broodoo shield (3);Broodoo sköld (3)
Broodoo shield (9);Broodoo sköld (9)
Brown apron;Brunt förkläde
Brown candy;Brunt godis
Brown navy slacks;Bruna marinbyxor
Brown spice (3);Brun krydda (3)
Brown headband;Brunt pannband
Brown toy horsey;Brun leksak hästig
Brown spice (1);Brun krydda (1)
Brown rug;Brun matta
Brown naval shirt;Brun marinskjorta
Brown spice (4);Brun krydda (4)
Brown spice (2);Brun krydda (2)
Bruma kindling;Bruma tändning
Bruise blue snelm;Blåmärke blå snelm
Bruma root;Bruma rot
Bruma torch;Bruma ficklampa
Brutal black dragon;Brutal svart drake
Bruma herb;Bruma ört
Brown tricorn hat;Brun tricornhatt
Brulee;Brulee
Brulee supreme;Brulee suveränt
Brush;Borsta
Bryophyta's essence;Bryophytas väsen
Buchu leaf;Buchu löv
Bucket helm (g);Skophjälm (g)
Bryophyta's staff;Bryophytas personal
Bucket of milk;En hink med mjölk
Bryophyta's staff (uncharged);Bryophytas personal (oladdad)
Bucket;Hink
Buchu seed;Buchu frö
Bucket of rubble;Hink med spillror
Bucket helm;Skop rodret
Builder's trousers;Byggarbyxor
Bucket of slime;Hink med slem
Bucket of water;En hink med vatten
Bucket of wester sand;Hink med western sand
Bucket of sand;Hink med sand
Bucket of wax;Hink med vax
Builder's shirt;Byggarskjorta
Bucket of sandworms;Hink med sandmaskar
Bucket of sap;En hink med sav
Builder's boots;Byggarstövlar
Bulging taxbag;Utbuktande skattepåse
Bunny feet;Kaninfötter
Bulging sack;Utbuktande säck
Bullet arrow;Kula pil
Bunny ears;Kaninöron
Bullseye lantern;Bullseye lykta
Bullseye lantern (unf);Bullseye lykta (unf)
Bunny legs;Kaninben
Bull roarer;Bull rytare
Bullseye lantern (empty);Bullseye-lykta (tom)
Bunnyman mask;Bunnyman mask
Burning amulet(4);Brinnande amulett(4)
Burning amulet(3);Brinnande amulett(3)
Burnt anglerfish;Bränd marulk
Bunny paws;Kanintassar
Buried alive;Begravd levande
Bunny top;Kanin topp
Burning amulet(1);Brinnande amulett(1)
Burning amulet(2);Brinnande amulett (2)
Burning amulet(5);Brinnande amulett(5)
Burnt cake;Bränd tårta
Burnt bonemeal;Bränt benmjöl
Burnt bird meat;Bränt fågelkött
Burnt cave eel;Bränd grottål
Burnt bread;Bränt bröd
Burnt batta;Bränd batta
Burnt bones;Brända ben
Burnt chicken;Bränd kyckling
Burnt bat;Bränt fladdermus
Burnt beast meat;Bränt djurkött
Burnt crunchies;Brända crunchies
Burnt egg;Bränt ägg
Burnt diary;Bränd dagbok
Burnt crab meat;Bränt krabbkött
Burnt eel;Bränd ål
Burnt chompy;Bränd chompy
Burnt curry;Bränd curry
Burnt fishcake;Bränd fiskkaka
Burnt fish;Bränd fisk
Burnt dark crab;Bränd mörk krabba
Burnt jubbly;Brände jubbigt
Burnt manta ray;Bränd manta ray
Burnt jogre bones;Brända jogreben
Burnt mushroom;Bränd svamp
Burnt gnomebowl;Bränd gnomebowl
Burnt karambwan;Bränd karambwan
Burnt jogre bonemeal;Bränt jogre benmjöl
Burnt meat;Bränt kött
Burnt lobster;Bränd hummer
Burnt monkfish;Bränd marulk
Burnt oomlie;Bränd oomlie
Burnt pie;Bränd paj
Burnt pitta bread;Bränt pitabröd
Burnt page;Bränd sida
Burnt rabbit;Bränd kanin
Burnt pizza;Bränd pizza
Burnt potato;Bränd potatis
Burnt onion;Bränd lök
Burnt oomlie wrap;Bränd oomlie wrap
Burnt rainbow fish;Bränd regnbågsfisk
Burnt spider;Bränd spindel
Burnt shrimp;Brända räkor
Burnt sweetcorn;Bränd sockermajs
Burnt sea turtle;Bränd havssköldpadda
Burnt shark;Bränd haj
Burnt stew;Bränd gryta
Burnt swordfish;Bränd svärdfisk
Bush;Buske
Butterfly;Fjäril
Burnt snail;Bränd snigel
Butterfly net;Fjärilsnät
Cabbage rune;Kålruna
Cabbage seed;Kålfrö
Cabbage cape;Kål cape
Cabbage;Kål
Butterfly jar;Fjärilsburk
Cabbage round shield;Kål rund sköld
Cabbages(1);Kål(1)
Buttons;Knappar
Byrne's coronation speech;Byrnes kröningstal
Cabbages(2);Kål(2)
Cabbages(5);Kål(5)
Cabbages(8);Kål(8)
Cabbages(6);Kål(6)
Cactus seed;Kaktusfrö
Cabbages(3);Kål(3)
Cabbages(9);Kål(9)
Cabbages(4);Kål(4)
Cabbages(10);Kål(10)
Cabbages(7);Kål(7)
Cadava berries;Cadava bär
Cadava potion;Kadavadryck
Cadarn lineage;Cadarn härstamning
Cake;Tårta
Cadavaberry seed;Cadavaberry frö
Cadantine seed;Kadantinfrö
Cactus spine;Kaktus ryggrad
Cadantine;Cadantine
Cadantine blood potion (unf);Kadantin bloddryck (unf)
Cadantine potion (unf);Kadantindryck (unf)
Cake tin;Tårtform
Calcite;Kalcit
Cake of guidance;Tårta av vägledning
Calquat seedling (w);Calquat planta (w)
Calquat seedling;Calquat planta
Callisto cub;Callisto unge
Calquat keg;Calquat fat
Calquat fruit;Calquat frukt
Calquat sapling;Calquat planta
Calquat tree seed;Calquat trädfrö
Camo bottoms;Camo botten
Candle;Ljus
Camo helmet;Camo hjälm
Camulet;Kamulett
Camel mould (p);Kamelform (p)
Camo top;Camo topp
Camorra bust;Camorra byst
Candle lantern;Ljuslykta
Camel mask;Kamel mask
Camelot teleport;Camelot teleporterar
Cannon base;Kanonbas
Cannon barrels;Kanonpipor
Cannon barrel;Kanonpipa
Canister;Kanister
Candy cane;Godisrör
Cannon balls;Kanonkulor
Cannon ball;Kanonkula
Candles;Ljus
Cannon stand;Kanonstativ
Cannon furnace;Kanonugn
Carnillean armour;Karnillesk rustning
Cape of legends;Legendernas udde
Carol's print;Carols tryck
Cap and goggles;Keps och glasögon
Capacitor;Kondensator
Cape of skulls;Kap av skallar
Cape hanger;Cape hängare
Carpenter's boots;Snickarstövlar
Cannonball;Kanonkula
Canopic jar;Canopic burk
Carpenter's helmet;Snickarhjälm
Carpenter's trousers;Snickarbyxor
Carrot;Morot
Carrot sword;Morotssvärd
Carpenter's shirt;Snickarskjorta
Carpet;Matta
Carved oak bench;Sniden ekbänk
Carved gem;Utskuren pärla
Carrallangar teleport;Carrallangar teleporterar
Carved oak magic wardrobe;Magisk garderob i snidad ek
Carved oak wardrobe;Garderob i snidad ek
Carved teak table;Snidat bord i teak
Casket (elite);Skrin (elit)
Carved teak bench;Ristade bänk i teak
Carved teak wardrobe;Garderob i snidat teak
Casket;Skrin
Casket (easy);kista (lätt)
Casket (hard);kista (hård)
Carved oak table;Snidat ekbord
Carved teak magic wardrobe;Magisk garderob i snidad teak
Casket (medium);Skrin (medium)
Castle sketch 1;Slottsskiss 1
Castle wars bracelet(3);Castle wars armband(3)
Castle wars ticket;Castle wars biljett
Castle wars bracelet(1);Castle wars armband(1)
Castle sketch 2;Slottsskiss 2
Castle sketch 3;Slottsskiss 3
Castle wars bracelet(2);Castle wars armband(2)
Castlewars brew(2);Castlewars brygg (2)
Castlewars brew(1);Castlewars brygg(1)
Castlewars hood;Castlewars huva
Castlewars manual;Castlewars manual
Cat mask;Kattmask
Cat antipoison;Katt antigift
Cat ears;Kattöron
Cat blanket;Kattfilt
Castlewars cloak;Castlewars mantel
Cat basket;Kattkorg
Castlewars brew(3);Castlewars brygg(3)
Castlewars brew(4);Castlewars brygg(4)
Cat training medal;Katt träningsmedalj
Cave eel;Grottål
Cavalier mask;Cavalier mask
Cave crawler;Grottkrypare
Catalytic rune pack;Katalytisk runförpackning
Catspeak amulet;Catspeak amulett
Catfish;Havskatt
Catherby teleport;Catherby teleporterar
Cattleprod;Cattleprod
Catspeak amulet(e);Catspeak amulett(e)
Cave goblin wire;Cave goblin wire
Cavefish;Grottfisk
Cavern key;Cavern nyckel
Cave horror;Grottskräck
Cave nightshade;Grottnattskugga
Cavern grubs;Cavern larver
Cave kraken;Cave kraken
Cave worms;Grottmaskar
Cave goblin;Grotttroll
Cave goblin skull;Cave goblin skalle
Celastrus seedling;Celastrus planta
Celestial ring (uncharged);Himmelsk ring (oladdad)
Celestial ring;Himmelsk ring
Caviar;Kaviar
Celestial signet;Himmelskt signet
Celastrus bark;Celastrus bark
Celastrus seed;Celastrus frö
Celestial globe;Himmelskt klot
Celastrus sapling;Celastrus planta
Celastrus seedling (w);Celastrus planta (w)
Cell key 2;Cellnyckel 2
Ceramic remains;Keramikrester
Certificate;Certifikat
Chain;Kedja
Cemetery teleport;Kyrkogård teleportera
Cerulean twitch;Cerulean ryckning
Challenge scroll (elite);Utmaningsrullning (elit)
Cell door key;Nyckel till celldörr
Cell key 1;Cellnyckel 1
Celestial signet (uncharged);Himmelskt signet (oladdad)
Challenge scroll (medium);Utmaningsrullning (medium)
Chaos rune;Kaos runa
Champion's lamp;Champions lampa
Champions token;Champions token
Chaos core;Kaos kärna
Challenge scroll (hard);Utmaningsrullning (hård)
Chaos elemental;Elementär kaos
Champion's cape;Champions cape
Chaos rune (nz);Kaosruna (nz)
Chaos gauntlets;Kaoshandskar
Chaotic handegg;Kaotiskt handegg
Chapel;Kapell
Chaos talisman;Kaos talisman
Charcoal;Kol
Charged onyx;Laddad onyx
Chart;Diagram
Cheese;Ost
Charge dragonstone jewellery scroll;Ladda dragonstone smyckesrulla
Chaos rune pack;Kaos runförpackning
Chaos tiara;Kaos tiara
Chef's delight(4);Kockens glädje(4)
Chef's delight(1);Kockens glädje (1)
Chef's delight(3);Kockens glädje (3)
Chef's delight(m3);Kockens glädje (m3)
Chef's delight(m2);Kockens glädje (m2)
Chef's delight(2);Kockens glädje (2)
Cheese+tom batta;Ost+tom batta
Chef's delight(m);Kockens glädje (m)
Chef's delight(m1);Kockens glädje (m1)
Chef's delight;Kockens glädje
Chicken feet;Kycklingfötter
Chef's hat;Kockmössa
Chicken;Kyckling
Chest;Bröst
Chef's delight(m4);Kockens glädje (m4)
Chemical compound;Kemisk förening
Chest key;Bröstnyckel
Chewed bones;Tuggade ben
Chicken cage;Kycklingbur
Chemical powder;Kemiskt pulver
Chicken head;Kycklinghuvud
Choc saturday;Choc lördag
Chisel;Mejsel
Chilli potato;Chili potatis
Chicken legs;Kycklingben
Chilli con carne;Chili con carne
Chinchompa;Chinchompa
Child's blanket;Barns filt
Chicken wings;Kycklingvingar
Choc-ice;Choc-is
Chocchip crunchies;Chocchip crunchies
Chocolate kebbit;Choklad kebbit
Chocolate bar;Chokladkaka
Chocolatey milk;Chokladmjölk
Chocolate bomb;Chokladbomb
Chocolate slice;Chokladskiva
Chocolate cake;Chokladkaka
Chocolate strawberry;Choklad jordgubbe
Chocolate chunks;Chokladbitar
Chocolate dust;Chokladdamm
Chopped tuna;Hackad tonfisk
Chopped onion;Hackad lök
Chompy bird hat;Chompy fågelhatt
Chopped tomato;Hackad tomat
Chopped ugthanki;Hackad ugthanki
Chompy chick;Chompy brud
Christmas cracker;Julsmäll
Chronicle;Krönika
Chores;Sysslor
Chopped garlic;Hackad vitlök
Cider(4);Cider (4)
Chunk of crystal;En bit av kristall
Cider(m2);Cider (m2)
Cider barrel;Cider fat
Cider;Cider
Cider(2);Cider(2)
Cicely;Cicely
Cider(3);Cider(3)
Cider(m1);Cider (m1)
Cider(1);Cider (1)
Citizen trousers;Citizen byxor
Citizen shoes;Citizen skor
Clay attack stone;Lera attack sten
Circular hide;Cirkulär gömma
Cider(m3);Cider (m3)
Clay;Lera
Cinnamon;Kanel
Citizen top;Citizen topp
Cider(m4);Cider (m4)
Clan wars cape;Clan wars udde
Climbing rope;Klätterrep
Clockwork;Urverk
Cleaning cloth;Rengöringsduk
Clear liquid;Klar vätska
Climbing boots (g);Klätterskor (g)
Clay fireplace;Lerkamin
Clean necklace;Rent halsband
Climbing boots;Klätterstövlar
Clay head;Lerhuvud
Cleaver;Köttyxa
Clown shoes;Clownskor
Clown trousers;Clownbyxor
Cloth-covered altar;Tygklädd altare
Clown bow tie;Clown fluga
Clown mask;Clown mask
Clue bottle (beginner);Ledtrådsflaska (nybörjare)
Clue bottle (easy);Ledtrådsflaska (lätt)
Clockwork suit;Urverksdräkt
Clockwork book;Urverk bok
Clown gown;Clownklänning
Clue bottle (medium);Ledtrådsflaska (medium)
Clue bottle (elite);Ledtrådsflaska (elit)
Clue bottle (hard);Ledtrådsflaska (hård)
Clue box;Ledtrådslåda
Clue geode (elite);Clue geode (elit)
Clue geode (hard);Clue geode (hård)
Clue geode (beginner);Clue geode (nybörjare)
Clue geode (medium);Ledtråd geod (medium)
Clue geode (easy);Clue geode (lätt)
Clue hunter boots;Clue hunter boots
Clue hunter cloak;Ledtråd jägare mantel
Clue hunter gloves;Clue hunter handskar
Clue nest (easy);Ledtrådsbo (lätt)
Clue nest (hard);Ledtrådsbo (hårt)
Clue hunter trousers;Clue hunter byxor
Clue nest (medium);Ledtrådsbo (medium)
Clue scroll;Ledtråd rulla
Clue nest (elite);Ledtrådsbo (elit)
Clue hunter garb;Ledtråd jägare klädsel
Clue nest (beginner);Clue nest (nybörjare)
Coal;Kol
Clue scroll (elite);Clue scroll (elit)
Clue scroll (hard);Clue scroll (hårt)
Clue scroll (master);Clue scroll (master)
Clue scroll (beginner);Clue scroll (nybörjare)
Coal bag;Kolpåse
Clueless scroll;Aningslös rullning
Clue scroll (easy);Clue scroll (lätt)
Clue scroll (medium);Clue scroll (medium)
Coal fragment;Kolfragment
Coconut milk;Kokosmjölk
Coconut shell;Kokosnötskal
Cocktail glass;Cocktailglas
Cocktail shaker;Cocktailshaker
Coated frogs' legs;Belagda grodlår
Cockatrice;Basilisk
Coconut;Kokos
Cocktail guide;Cocktailguide
Cockatrice head;Cockatrice huvud
Cod;Torsk
Cog;Kugge
Colour wheel;Färghjul
Coif;Huva
Collection bag;Samlingspåse
Collector icon;Samlare ikon
Collector horn;Samlarhorn
Collection log;Insamlingslogg
Coins;Mynt
Coffin;Kista
Coin pouch;Myntpåse
Combat bracelet(1);Stridsarmband (1)
Combat bracelet(3);Stridsarmband (3)
Combat bracelet(5);Stridsarmband (5)
Combat dummy;Stridsdocka
Combat bracelet(4);Stridsarmband (4)
Coloured ball;Färgad boll
Combat damaged key;Bekämpa skadad nyckel
Combat bracelet(6);Stridsarmband(6)
Combat bracelet(2);Stridsarmband (2)
Combat bracelet;Stridsarmband
Combat path starter kit;Combat path start kit
Combat potion(4);Stridsdryck (4)
Combat potion(3);Stridsdryck (3)
Combat path voucher;Kampvägskupong
Combat potion(2);Stridsdryck (2)
Combat potion(1);Stridsdryck (1)
Combat lamp;Stridslampa
Combat mix(1);Stridsmix(1)
Combat potion set;Combat potion set
Combat mix(2);Combat mix (2)
Combat scratched key;Bekämpa repad nyckel
Combat scarred key;Bekämpa ärrad nyckel
Common tench;Vanlig sutare
Combat ring;Stridsring
Comfy mattress;Bekväm madrass
Combat room;Stridsrum
Commorb;Commorb
Combination;Kombination
Common kebbit fur;Vanlig kebbitpäls
Commorb v2;Commorb v2
Compost potion(4);Kompostdryck(4)
Community pumpkin;Gemenskapspumpa
Compost bin;Kompostbehållare
Compost pack;Kompostpaket
Compost potion(3);Kompostdryck(3)
Compost potion(1);Kompostdryck(1)
Conch shell;Conch skal
Comp ogre bow;Comp ogre båge
Compost potion(2);Kompostdryck(2)
Compost;Kompost
Construct. hood;Konstruera. huva
Cooked chicken;Kokt kyckling
Consecrated house;Invigt hus
Construct. cape(t);Konstruera. cape(t)
Construct. cape;Konstruera. cape
Conductor mould;Ledarform
Conductor;Dirigent
Consecration seed;Vigningsfrö
Construction guide;Byggguide
Cooked chompy;Kokt chompy
Cooked fishcake;Kokt fiskkaka
Cooked karambwan;Kokt karambwan
Cooked jubbly;Kokt jubbig
Cooked slimy eel;Kokt slemmig ål
Cooked crab meat;Kokt krabbakött
Cooked sweetcorn;Kokt sockermajs
Cooked meat;Kokt kött
Cooked rabbit;Kokt kanin
Cooked mystery meat;Kokt mysterium kött
Cooked oomlie wrap;Kokt oomlie wrap
Cooking gauntlets;Matlagningshandskar
Cooking pot;Kokgryta
Cooking hood;Köksfläkt
Cooking cape;Matlagning cape
Copper longtail;Koppar longtail
Copper's crimson collar;Koppars röda krage
Cooking apple;Matlagning äpple
Cooking cape(t);Cooking cape(t)
Cormorant's glove;Skarvshandske
Copper ore;Kopparmalm
Corpse of woman;Lik av kvinna
Corrupted body (basic);Korrupt kropp (grundläggande)
Corrupted body (perfected);Korrupt kropp (perfekterad)
Cornflour mixture;Majsmjölsblandning
Cornflour;Majsmjöl
Corrupted axe;Korrupt yxa
Corrupted bow (basic);Korrupt båge (grundläggande)
Corrupted bow (attuned);Korrupt båge (inställd)
Corrupted bow (perfected);Korrupt båge (perfekterad)
Corrupted body (attuned);Korrupt kropp (inställd)
Corrupted helm (attuned);Skadat rodret (inställt)
Corrupted dust;Skadat damm
Corrupted helm (basic);Skadat rodret (grundläggande)
Corrupted halberd (attuned);Korrupt hellebard (inställd)
Corrupted bowstring;Skadad bågsträng
Corrupted halberd (perfected);Korrupt hellebard (perfekterad)
Corrupted harpoon;Korrupt harpun
Corrupted helm (perfected);Skadat rodret (perfekterat)
Corrupted halberd (basic);Korrupt hellebard (basic)
Corrupted helm;Skadat rodret
Corrupted legs (attuned);Skadade ben (inställda)
Corrupted orb;Korrupt orb
Corrupted kiteshield;Skadad kiteshield
Corrupted plateskirt;Skadad plåtkjol
Corrupted legs (perfected);Skadade ben (perfekterade)
Corrupted ore;Fördärvad malm
Corrupted legs (basic);Skadade ben (grundläggande)
Corrupted pickaxe;Korrupt hacka
Corrupted platebody;Skadad plåtkropp
Corrupted platelegs;Skadade tallriksben
Corrupted shards;Skadade skärvor
Cosmic rune;Kosmisk runa
Corrupted spike;Korrupt spik
Corrupted staff (attuned);Korrupt personal (inställd)
Cosmic talisman;Kosmisk talisman
Corrupted staff (perfected);Korrupt personal (perfekterad)
Corrupted sceptre;Korrupt spira
Corrupted staff (basic);Korrupt personal (grundläggande)
Corrupted youngllef;Korrupt youngllef
Corrupted teleport crystal;Skadad teleportkristall
Cow trousers;Kobyxor
Cowbells;Koklockor
Cowhide;Kohud
Cow gloves;Ko handskar
Cosmic tiara;Kosmisk tiara
Crab claw;Krabbklo
Costume room;Kostymrum
Cow mask;Ko mask
Cow shoes;Ko skor
Cow top;Ko topp
Crabclaw hook;Crabclaw krok
Crafting hood;Hantverkshuva
Crab helmet;Krabbhjälm
Crafting cape(t);Crafting cape(t)
Crafting manual;Hantverksmanual
Crackers;Smällare
Crab meat;Krabbkött
Crafting cape;Hantverkar cape
Crafting table 1;Hantverksbord 1
Cracked sample;Sprucket prov
Crandor map;Crandor karta
Crafting table 2;Hantverksbord 2
Crafting table 3;Hantverksbord 3
Cranial clamp;Kranial klämma
Crate with zanik;Kasse med zanik
Crafting table 4;Hantverksbord 4
Crane schematic;Kranschema
Crate part;Låddel
Crate;Spjällåda
Crane claw;Kranklo
Cream hat;Gräddhatt
Cream robe top;Krämfärgad mantel topp
Creature keeper's journal;Varelseskötares dagbok
Craw's bow;Craws båge
Crest part;Crest del
Cream boots;Grädde stövlar
Cream robe bottoms;Krämfärgade mantelbottnar
Crazed scribbles;Galna klottrar
Craw's bow (u);Craws båge (u)
Crawling hand;Krypande hand
Crier coat;Crier kappa
Crier hat;Crier hatt
Crone-made amulet;Crone-gjord amulett
Cruciferous codex;Korsblommiga codex
Crier bell;Roparklocka
Criminal's dagger;Kriminells dolk
Criminal's thread;Kriminell tråd
Crossbow string;Armborstsnöre
Crossbow;Armborst
Crimson swift;Crimson swift
Crumbling tome;Smulad tome
Crunchy chocolate mix;Crunchy chokladmix
Crumpled scroll;Skrynklig rulla
Crunchy easter egg;Knasigt påskägg
Crude wooden chair;Rå stol i trä
Crunchy tray;Knäckig bricka
Crushed gem;Krossad pärla
Cruder carving;Råare snideri
Crude carving;Rå snidning
Crude chair;Rå stol
Crystal acorn;Kristall ekollon
Crystal body;Kristallkropp
Crushed nest;Krossat bo
Crystal armour seed;Kristall pansarfrö
Crystal body (attuned);Kristallkropp (inställd)
Crystal;Kristall
Crushed superior dragon bones;Krossade överlägsna drakben
Crystal ball;Kristallkula
Crystal axe (inactive);Kristallyxa (inaktiv)
Crystal axe;Kristallyxa
Crystal body (inactive);Kristallkropp (inaktiv)
Crystal bow 1/10;Kristallbåge 1/10
Crystal bow;Kristallbåge
Crystal bow (basic);Kristallbåge (grundläggande)
Crystal body (perfected);Kristallkropp (perfekterad)
Crystal bow (perfected);Kristallbåge (perfekterad)
Crystal body (basic);Kristallkropp (grundläggande)
Crystal body (beta);Kristallkropp (beta)
Crystal bow (attuned);Kristallbåge (inställd)
Crystal bow (inactive);Kristallbåge (inaktiv)
Crystal bow 5/10 (i);Kristallbåge 5/10 (i)
Crystal bow 6/10;Kristallbåge 6/10
Crystal bow 3/10 (i);Kristallbåge 3/10 (i)
Crystal bow 2/10 (i);Kristallbåge 2/10 (i)
Crystal bow 4/10;Kristallbåge 4/10
Crystal bow 4/10 (i);Kristallbåge 4/10 (i)
Crystal bow 3/10;Kristallbåge 3/10
Crystal bow 2/10;Kristallbåge 2/10
Crystal bow 5/10;Kristallbåge 5/10
Crystal bow 1/10 (i);Kristallbåge 1/10 (i)
Crystal crown;Kristall krona
Crystal bow 8/10 (i);Kristallbåge 8/10 (i)
Crystal bow 8/10;Kristallbåge 8/10
Crystal bow 7/10 (i);Kristallbåge 7/10 (i)
Crystal bow 9/10 (i);Kristallbåge 9/10 (i)
Crystal bow full (i);Kristallbåge full (i)
Crystal bow 6/10 (i);Kristallbåge 6/10 (i)
Crystal bow 9/10;Kristallbåge 9/10
Crystal bow 7/10;Kristallbåge 7/10
Crystal bow full;Kristallbåge full
Crystal halberd (perfected);Kristall hellebard (perfekterad)
Crystal dust;Kristalldamm
Crystal grail;Kristallgral
Crystal halberd;Kristall hellebard
Crystal halberd (attuned);Kristall hellebard (inställd)
Crystal halberd (inactive);Kristall hellebard (inaktiv)
Crystal halberd (basic);Kristall hellebard (basic)
Crystal halberd 1/10;Kristall hellebard 1/10
Crystal halberd 1/10 (i);Kristall hellebard 1/10 (i)
Crystal halberd 2/10;Kristall hellebard 2/10
Crystal halberd 6/10;Kristall hellebard 6/10
Crystal halberd 3/10 (i);Kristall hellebard 3/10 (i)
Crystal halberd 6/10 (i);Kristall hellebard 6/10 (i)
Crystal halberd 7/10;Kristall hellebard 7/10
Crystal halberd 5/10;Kristall hellebard 5/10
Crystal halberd 5/10 (i);Kristall hellebard 5/10 (i)
Crystal halberd 3/10;Kristall hellebard 3/10
Crystal halberd 2/10 (i);Kristall hellebard 2/10 (i)
Crystal halberd 4/10;Kristall hellebard 4/10
Crystal halberd 4/10 (i);Kristall hellebard 4/10 (i)
Crystal halberd 7/10 (i);Kristall hellebard 7/10 (i)
Crystal halberd 9/10 (i);Kristall hellebard 9/10 (i)
Crystal halberd 8/10;Kristall hellebard 8/10
Crystal harpoon (inactive);Kristallharpun (inaktiv)
Crystal helm;Kristall rodret
Crystal halberd 8/10 (i);Kristall hellebard 8/10 (i)
Crystal halberd full;Kristall hellebard full
Crystal halberd 9/10;Kristall hellebard 9/10
Crystal harpoon;Kristallharpun
Crystal halberd full (i);Kristall hellebard full (i)
Crystal legs (attuned);Kristallben (inställda)
Crystal helm (perfected);Kristallhjälm (perfekt)
Crystal key;Kristall nyckel
Crystal legs;Kristallben
Crystal helm (basic);Kristallhjälm (grundläggande)
Crystal legs (basic);Kristallben (basic)
Crystal helm (beta);Kristallhjälm (beta)
Crystal helm (inactive);Kristallhjälm (inaktiv)
Crystal helm (attuned);Kristallhjälm (inställt)
Crystal impling jar;Kristall impling burk
Crystal of hefin;Kristall av hefin
Crystal of ithell;Kristall av det helvete
Crystal of cadarn;Kristall av kadarn
Crystal legs (beta);Kristallben (beta)
Crystal legs (perfected);Kristallben (perfekterade)
Crystal of iorwerth;Kristall av iorwerth
Crystal of meilyr;Kristall av meilyr
Crystal of amlodd;Kristall av amlodd
Crystal legs (inactive);Kristallben (inaktiva)
Crystal of crwys;Kristall av crwys
Crystal orb;Crystal orb
Crystal pendant;Kristallhänge
Crystal ore;Kristallmalm
Crystal pickaxe;Kristallhacka
Crystal sapling;Kristall planta
Crystal saw;Kristallsåg
Crystal of memories;Kristall av minnen
Crystal of power;Kristall av kraft
Crystal pickaxe (inactive);Kristallhacka (inaktiv)
Crystal of trahaearn;Kristall av trahaearn
Crystal shield;Kristallsköld
Crystal seedling;Kristall planta
Crystal sceptre;Kristallscepter
Crystal seed;Kristallfrö
Crystal shard;Kristallskärva
Crystal shield (inactive);Kristallsköld (inaktiv)
Crystal shards;Kristallskärvor
Crystal seedling (w);Kristallplanta (w)
Crystal shield 1/10;Kristallsköld 1/10
Crystal saw seed;Kristallsågfrö
Crystal shield 2/10;Kristallsköld 2/10
Crystal shield 4/10 (i);Kristallsköld 4/10 (i)
Crystal shield 5/10;Kristallsköld 5/10
Crystal shield 3/10;Kristallsköld 3/10
Crystal shield 3/10 (i);Kristallsköld 3/10 (i)
Crystal shield 4/10;Kristallsköld 4/10
Crystal shield 2/10 (i);Kristallsköld 2/10 (i)
Crystal shield 6/10;Kristallsköld 6/10
Crystal shield 1/10 (i);Kristallsköld 1/10 (i)
Crystal shield 5/10 (i);Kristallsköld 5/10 (i)
Crystal shield 7/10 (i);Kristallsköld 7/10 (i)
Crystal shield 8/10;Kristallsköld 8/10
Crystal shield full (i);Kristallsköld full (i)
Crystal shield 7/10;Kristallsköld 7/10
Crystal singing for beginners;Kristallsång för nybörjare
Crystal shield 8/10 (i);Kristallsköld 8/10 (i)
Crystal shield 9/10;Kristallsköld 9/10
Crystal shield 6/10 (i);Kristallsköld 6/10 (i)
Crystal shield full;Kristallsköld full
Crystal shield 9/10 (i);Kristallsköld 9/10 (i)
Crystal-mine key;Kristallgruva nyckel
Crystal weapon seed;Kristall vapen frö
Crystal teleport seed;Kristall teleportera frö
Crystal staff (basic);Crystal personal (grundläggande)
Crystal tool seed;Kristallverktygsfrö
Crystal trinket;Kristallprydnadssak
Crystal staff (perfected);Kristallpersonal (perfekt)
Crystal staff (attuned);Crystal personal (inställd)
Crystal spike;Kristallspets
Crystal throne;Kristall tron
Cup of tea;Kopp te
Crystalline bowstring;Kristallin bågsträng
Crystalline portal nexus;Kristallin portalnexus
Cup of hot water;Kopp varmt vatten
Cupric sulfate;Kopparsulfat
Cube;Kub
Cup of water;Kopp vatten
Cupric ore powder;Kopparmalmspulver
Crystallised harpoonfish;Kristalliserad harpunfisk
Curator's medallion;Kurators medaljong
Curry leaf;Curryblad
