 Sneaky undead fowl;Smygande odöda höns
Ed;Ed
Ed Wood;Ed Wood
Edmond;Edmond
Edrahil;Edrahil
Eduard;Eduard
Edward;Edward
Eebel;Eebel
Eek;Eek
Efa;Efa
Effigy;Avbildning
Egg;Ägg
Egg launcher;Äggkastare
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek'ans Chan
Ektheme;Ektema
Eldalote;Eldalote
Elder Chaos druid;Äldste Chaos druid
Elder Gnome child;Äldre Gnome barn
Elder Guard;Äldregardet
Elderly Elf;Äldre tomte
Eldgrim;Eldgrim
Elemental balance;Elementär balans
Elemental rock;Elementär sten
Elena;Elena
Elena Hosidius;Elena Hosidius
Elenwe;Elenwe
Elf Archer;Elf Archer
Elf Hermit;Elf Eremit
Elf Tracker;Elf Tracker
Elf Warrior;Elf Warrior
Elfinlocks;Elfinlocks
Elgan;Elgan
Elijah;Elia
Elisabeta;Elisabeta
Elise;Elise
Elissa;Elissa
Elite Void Knight;Elit Void Knight
Elizabeth;Elizabeth
Elkoy;Elkoy
Elladan;Elladan
Ellen;Ellen
Ellena;Ellena
Ellie;Ellie
Ellis;Ellis
Elly the Camel;Kamelen Elly
Elnock Inquisitor;Elnock inkvisitor
Elsie;Elsie
Elstan;Elstan
Eluned;Eluned
Elvarg;Elvarg
Elvarg (hard);Elvarg (hård)
Elven Scout;alvscout
Embalmer;Balsamerar
Emblem Trader;Emblem Trader
Emerald Benedict;Emerald Benedict
Emilia;Emilia
Emily;Emily
Enakhra;Enakhra
Enchanted Broom;Förtrollad kvast
Enchanted Bucket;Enchanted Bucket
Enchantment Guardian;Enchantment Guardian
Enclave guard;Enklavvakt
Enel;Enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Energifokus (blått)
Energy focus (green);Energifokus (grön)
Energy focus (red);Energifokus (röd)
Energy focus (white);Energifokus (vit)
Energy sprite;Energisprite
Engineer;Ingenjör
Engineering assistant;Ingenjörsassistent
Enilly;Enilly
Eniola;Eniola
Enoch;Enoch
Enormous Tentacle;Enorm tentakel
Enraged Tektiny;Upprörd Tektiny
Enraged barbarian spirit;Rasande barbaranda
Ent;Ent
Entomologist;Entomolog
Entrana firebird;Entrana eldfågel
Entrance Guardian;Entréväktare
Eodan;Eodan
Eohric;Eohric
Eoin;Eoin
Episcula Helsing;Episcula Helsing
Erdan;Erdan
Erestor;Erestor
Eric;Erik
Ermin;Ermin
Ernest;Ernest
Erodoeht;Erodoeht
Escaping slave;Flyende slav
Essence impling;Essens impling
Essyllt;Essyllt
Essyllt (hard);Essyllt (hårt)
Estate agent;Fastighetsmäklare
Esther;Esther
Ethereal Expert;Eterisk expert
Ethereal Fluke;Eterisk Fluke
Ethereal Guide;Eterisk guide
Ethereal Lady;Eterisk dam
Ethereal Man;Eterisk man
Ethereal Mimic;Eterisk mimik
Ethereal Numerator;Eterisk täljare
Ethereal Perceptive;Eterisk Perceptive
Eudav;Eudav
Eve;Eve
Evil Bob;Onda Bob
Evil Chicken;Ond kyckling
Evil Chicken (hard);Evil Chicken (hård)
Evil Dave;Onda Dave
Evil creature;Ond varelse
Evil spirit;Ond ande
Ewesey;Ewesey
Examiner;Examinator
Executioner;Bödel
Experiment;Experimentera
Experiment No.2;Experiment nr 2
Ezekial Lovecraft;Ezekial Lovecraft
Factory Manager;Fabrikschef
Factory Worker;Fabriksarbetare
Fadli;Fadli
Fairy;Fe
Fairy Aeryka;Fairy Aeryka
Fairy Fixit;Fairy Fixit
Fairy Godfather;Fairy Godfather
Fairy Nuff;Fairy Nuff
Fairy Queen;Fairy Queen
Fairy Very Wise;Fairy Mycket klok
Fairy chef;Feekock
Fairy shop assistant;Fairy butiksbiträde
Fairy shop keeper;Fairy shopkeeper
Fake Man;Falsk man
Fallen Man;Fallen man
Falo the Bard;Falo the Bard
Fancy Dan;Fina Dan
Fanellaman;Fanellaman
Fareed;Fareed
Fareed (hard);Fareed (hårt)
Farid Morrisane (ores and bars);Farid Morrisane (malmer och barer)
Farmer;Jordbrukare
Farmer Brumty;Bonde Brumty
Farmer Fromund;Bonde Fromund
Farmer Gricoller;Bonde Gricoller
Farmer Hayfield;Bonde Hayfield
Farmer's wife;Bondens hustru
Farolt;Farolt
Fat Rocco;Feta Rocco
Fat Tony;Fett Tony
Father Aereck;Fader Aereck
Father Badden;Fader Badden
Father Eysseric;Fader Eysseric
Father Jean;Fader Jean
Father Lawrence;Fader Lawrence
Father Reen;Pappa Reen
Father Urhney;Fader Urhney
Fayeth;Fayeth
Feanor;Feanor
Fear reaper;Skräckskördare
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Kvinnlig slav
Femi;Femi
Fenkenstrain's Monster;Fenkenstrains monster
Feral Vampyre;Vild vampyr
Ferd;Ferd
Fernahei;Fernahei
Ferocious barbarian spirit;Grym barbaranda
Ferox;Ferox
Ferret;Snoka
Ferryman Nathwood;Färjman Nathwood
Ferryman Sathwood;Färjeman Sathwood
Fever spider;Feberspindel
Ffoni;Ffoni
Fidelio;Fidelio
Fightslave;Fightslave
Filamina;Filamina
Filliman Tarlock;Filliman Tarlock
Financial Seer;Finansiell seer
Financial Wizard;Finansiell guide
Finarfin;Finarfin
Findis;Findis
Finduilas;Finduilas
Fingolfin;Fingolfin
Fingon;Fingon
Finn;Finn
Fionella;Fionella
Fior;Fior
Fire Warrior of Lesarkus;Eldkrigare från Lesarkus
Fire elemental;Eldelement
Fire giant;Eldjätte
Fire wizard;Brandguide
First Mate Deri;Förste styrman Deri
First Mate Peri;Förste styrman Peri
First mate 'Davey-boy';Förste styrman 'Davey-boy'
Fish;Fisk
Fish monger;Fiskhandlare
Fish shoal;Fiskstim
Fishbowl;Fiskskål
Fisherman;Fiskare
Fisherman Frodi;Fiskaren Frodi
Fishing spot;Fiskeplats
Fishing tutor;Fiskehandledare
Fishmonger;Fiskhandlare
Fiyr Shade;Fiyr Shade
Fiyr Shadow;Fiyr Shadow
Flambeed;Flambeed
Flambeed (hard);Flambeed (hård)
Flaming pyrelord;Flammande pyrelord
Flawed Golem;Felaktig Golem
Flax keeper;Linhållare
Flaygian Screwte;Flaigian Screwte
Flesh Crawler;Flesh Crawler
Flies;Flugor
Flight Kilisa;Flyg Kilisa
Flippa;Flippa
Flockleader Geerin;Flockledaren Geerin
Floki;Floki
Florin;Florin
Flosi Dalksson;Flosi Dalksson
Flower;Blomma
Flower Girl;Blomsterflicka
Fly trap;Flugfälla
Flying Book;Flygande bok
Flying Vespina;Flygande Vespina
Flying female vampire;Flygande kvinnlig vampyr
Flynn;Flynn
Foreman;Förman
Forester;Skogvaktare
Forester (hard);Forester (hård)
Forgotten Soul;Glömd själ
Former Vampyre;Tidigare vampyr
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Fästningsvakt
Fortunato;Fortunato
Fossegrimen;Fossegrimen
Fossil Collector;Fossilsamlare
Fossil Rock;Fossil sten
Fox;Räv
Fragment of Seren;Fragment av Seren
Francis;Francis
Francois;Francois
Frank;Frank
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Galna skogsmästare
Freald;Freald
Fred the Farmer;Bonden Fred
Freidir;Freidir
Freja;Freja
Fremennik Warrior;Fremennik Warrior
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Fridgeir
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frincos
Fritz the Glassblower;Glasblåsaren Fritz
Frizzy Skernip;Frizzy Skernip
Frog;Groda
Frog prince;Grodprins
Frog princess;Groda prinsessa
Frogeel;Frogeel
Froono;Froono
Fuggy;Fuggy
Fullangr;Fullangr
Fungi;Svampar
Fur trader;Pälshandlare
Furnace grate;Ugnsgaller
Fycie;Fycie
Fyiona Fray (easy);Fyiona Fray (lätt)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;GPDT-anställd
Gabooty;Gabooty
Gabriela;Gabriela
Gadderanks;Gadderanks
Gadrin;Gadrin
Gaius;Gaius
Galahad;Galahad
Galana;Galana
Galathil;Galathil
Galina;Galina
Gallow;Galge
Galvek;Galvek
Gamer;Spelare
Gamfred;Gamfred
Gang boss;Gängboss
Gangster;Gangster
Garai;Garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Trädgårdsleverantör
Gardener;Trädgårdsmästare
Gardener Ghost;Trädgårdsmästarspöke
Gardener Gunnhild;Trädgårdsmästare Gunnhild
Gardener Jay Jr.;Trädgårdsmästaren Jay Jr.
Gargh;Gargh
Gargoyle;Person med groteskt ansikte
Garkor;Garkor
Garl;Garl
Garth;Garth
Garv;Garv
Gate of War;Krigets port
Gatekeeper;Portvakt
Gauss;Gauss
Gee;Jösses
Gelatinnoth Mother;Gelatinnoth mamma
Gelatinnoth Mother (hard);Gelatinnoth Mother (hård)
Gelin;Gelin
Gelmir;Gelmir
Gem;Pärla
Gem merchant;Ädelstenshandlare
Gem trader;Ädelstenshandlare
Gene;Gen
General Babacus;General Babacus
General Bentnoze;General Bentnoze
General Graardor;General Graardor
General Graardor Jr.;General Graardor Jr.
General Hining;General Hining
General Khazard;General Khazard
General Kilian;General Kilian
General Salara;General Salara
General Vir;General Vir
General Wartface;General Wartface
Generic Diplomat;Generisk diplomat
Genie;Ande
George Laxmeister;George Laxmeister
Georgy;Georgy
Gerald;Gerald
Gerrant;Gerrant
Gertrude;Gertrud
Gertrude's cat;Gertruds katt
Gethin;Gethin
Ghaslor the Elder;Ghaslor den äldre
Ghast;Ghast
Ghommal;Ghommal
Ghost;Spöke
Ghost (?);Spöke (?)
Ghost banker;Spökbankir
Ghost captain;Spökkapten
Ghost disciple;Spöklärjunge
Ghost farmer;Spökbonde
Ghost guard;Spökvakt
Ghost innkeeper;Spökvärdshusvärd
Ghost sailor;Spökseglare
Ghost shopkeeper;Spökhandlare
Ghost villager;Spökbybo
Ghoul;Ond ande
Ghoul Champion;Ghoul Champion
Gianne jnr.;Gianne jnr.
Giant;Jätte
Giant Champion;Jättemästare
Giant Lobster;Jättehummer
Giant Mole;Jätte mullvad
Giant Roc;Jätte Roc
Giant Roc (hard);Giant Roc (hård)
Giant Rock Crab;Jätte stenkrabba
Giant Sea Snake;Jättehavsorm
Giant Squirrel;Jätte ekorre
Giant bat;Jättebat
Giant crypt rat;Jättekryptråtta
Giant crypt spider;Jättekryptspindel
Giant frog;Jättegroda
Giant lobster;Jätte hummer
Giant mosquito;Jättemygga
Giant rat;Jätte råtta
Giant rockslug;Jätte stensnigel
Giant scarab;Jätte skarabé
Giant scarab (hard);Jätte skarabé (hård)
Giant skeleton;Jätteskelett
Giant snail;Jättesnigel
Giant spider;Jätte spindel
Gielinor Guide;Gielinor Guide
Giles;Giles
Gileth;Gileth
Gillie Groats;Gillie Groats
Giral bat;Giral fladdermus
Gita Prymes;Gita Prymes
Gladiator;Gladiator
Glenda;Glenda
Glod;Glod
Glod (hard);Glod (hårt)
Glorfindel;Glorfindel
Glough;Glog
Glouphrie the Untrusted;Glouphrie den otillförlitliga
Gnocci the Cook;Kocken Gnocci
Gnome;Gnome
Gnome Archer;Gnome Archer
Gnome Coach;Gnome Coach
Gnome Driver;Gnome drivrutinen
Gnome Mage;Gnome Mage
Gnome Waiter;Gnome Servitör
Gnome ball referee;Gnome boll domare
Gnome baller;Gnome baller
Gnome banker;Gnome bankir
Gnome child;Gnome barn
Gnome companion;Gnome följeslagare
Gnome emissary;Gnome-sändare
Gnome guard;Gnome vakt
Gnome shop keeper;Gnome butiksinnehavare
Gnome soldier;Gnome soldat
Gnome trainer;Gnome tränare
Gnome traveller;Gnomresenär
Gnome troop;Gnome trupp
Gnome winger;Gnome winger
Gnome woman;Gnome kvinna
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosi
Goat;Get
Goat Poo;Get Bajs
Goblin;Troll
Goblin Champion;Goblin Champion
Goblin Cook;Goblin Cook
Goblin fish;Goblin fisk
Goblin guard;Goblin vakt
Goblin scribe;Goblin-skrivare
Godric;Godric
Gold ore;Guldmalm
Golden sheep;Gyllene får
Golden warbler;Gyllene sångare
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorilla
Gossip;Skvaller
Gourmet;Gourmet
Gourmet impling;Gourmet impling
Grace;Nåd
Grail Maiden;Graal Maiden
Grand Exchange Clerk;Stor bytestjänsteman
Grandpa Jack;Morfar Jack
Grave;Grav
Grave digger;Gravgrävare
Grave scorpion;Grav skorpion
Graveyard Guardian;Kyrkogårdsväktare
Gravingas;Gravingas
Greasycheeks;Greasycheeks
Great Olm;Stora Olm
Great Olm (Left claw);Great Olm (vänster klo)
Great Olm (Right claw);Great Olm (höger klo)
Great blue heron;Stor blåhäger
Greater Nechryael;Större Nechryael
Greater Skeleton Hellhound;Greater Skeleton Hellhound
Greater abyssal demon;Större avgrundsdemon
Greater demon;Större demon
Greater ghostly thrall;Större spöklik träl
Greater skeletal thrall;Större skelettträl
Greater zombified thrall;Större zombifierad träl
Green Gemstone Director;Green Gemstone Director
Green Gemstone Secretary;Grön ädelstenssekreterare
Green Sheep;Gröna får
Green dragon;Grön drake
Green fireflies;Gröna eldflugor
Greengrocer;Grönsakshandlare
Greldo;Greldo
Grew;Växte
Grey golem;Grå golem
Grigor Rasputin;Grigor Rasputin
Grigore;Grigore
Grimesquit;Grimesquit
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Grepp
Grish;Grish
Grizzly bear;Grizzlybjörn
Grizzly bear cub;Grizzlybjörnunge
Growler;Growler
Growthling;Växande
Grubfoot;Grubfoot
Grubor;Grubor
Gruff McScruff;Gruff McScruff
Grug;Grug
Gruh;Gruh
Grum;Grum
Grundt;Grundt
Grunsh;Grunsh
Gruva Patrull;Gruva Patrull
Guanic bat;Guanic fladdermus
Guard;Skydda
Guard Bandit;Vaktbandit
Guard Captain;Vaktkapten
Guard Recruiter;Vaktrekryterare
Guard Vemmeldo;Vakt Vemmeldo
Guard dog;Vakthund
Guardian Drake;Väktare Drake
Guardian mummy;Väktare mamma
Guardian of Armadyl;Armadyls väktare
Guidor;Guidor
Guildmaster;Guildmaster
Guildmaster Jane;Guildmaster Jane
Guildmaster Lars;Gildemästare Lars
Guilin;Guilin
Guinevere;Guinevere
Gujuo;Gujuo
Gull;Mås
Gulldamar;Gulldamar
Gulluck;Gulluck
Gundai;Gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdström
Gunnjorn;Gunnjorn
Gunslik;Gunslik
Gunthor the brave;Gunthor den modige
Guthan the Infested;Guthan den angripna
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;Zigenare
Gypsy Aris;Zigenare Aris
Gyr Falcon;Gyr Falcon
H.A.M. Archer;SKINKA. Archer
H.A.M. Deacon;SKINKA. Diakon
H.A.M. Guard;SKINKA. Skydda
H.A.M. Mage;SKINKA. Magiker
H.A.M. Member;SKINKA. Medlem
HAM member;HAM-medlem
HRH Hrafn;HRH Hrafn
Habibah;Habibah
Hadley;Hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Frisör
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Halvzombie
Half-soulless;Halvt själslös
Halla;Halla
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hövdingen Hamal
Hameln the Jester;Gycklaren Hameln
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Hammerspike Stoutbeard
Hanchen the Hound;Hunden Hanchen
Hangman game;Hangman spel
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Harold
Harold Evans;Harold Evans
Harpert;Harpert
Harpie Bug Swarm;Harpie Bug Swarm
Harrallak Menarous;Harrallak Menarous
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosaintus
Haze;Dis
Hazeel;Hazeel
Hazeel Cultist;Hazeel Cultist
Hazelmere;Hazelmere
Head;Huvud
Head Guard;Huvudvakt
Head Mourner;Huvudsörjande
Head Thief;Huvudtjuv
Head chef;Chefskock
Headless Beast;Huvudlösa odjur
Headless Beast (hard);Huvudlösa odjur (hårt)
Healthorg and tortoise;Healthorg och sköldpadda
Heckel Funch;Heckel Funch
Hegir;Hegir
Helemos;Helemos
Helena;Helena
Helga;Helga
Hell-Rat;Helvete-råtta
Hell-Rat Behemoth;Hell-Rat Behemoth
Hell-kitten;Helvete-kattunge
Hellcat;Hellcat
Hellhound;Helveteshund
Hellpuppy;Hellvalp
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;Herbi
Herbiboar;Herbiboar
Herman Caranos;Herman Caranos
Hero;Hjälte
Heron;Häger
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Hespori
Het;Het
Hetty;Hetty
Hewey;Hewey
Hickton;Hickton
Hieve;Hieve
High Priest;Överstepräst
High Priestess Zul-Harcinqa;Översteprästinnan Zul-Harcinqa
Highwayman;Motorvägsman
Hild;Hild
Hill Giant;Hill Giant
Hirko;Hirko
Historian Duffy;Historikern Duffy
Historian Minas;Historikern Minas
Hiylik Myna;Hiylik Myna
Hobbes;Hobbes
Hobgoblin;Troll
Hobgoblin Champion;Hobgoblin Champion
Hofuthand (weapons and armour);Hofuthand (vapen och rustningar)
Hole in the wall;Hål i väggen
Holgart;Holgart
Holoy;Holoy
Holthion;Holthion
Homunculus;Homunculus
Honest Jimmy;Ärliga Jimmy
Honour guard;Hedersvakt
Hooded Figure;Figur med huva
Hooknosed Jack;Hooknosed Jack
Hoop Snake;Hoop Snake
Hopeless beast;Hopplöst best
Hopeless creature;Hopplös varelse
Hopleez;Hopleez
Hops;Humle
Horace;Horace
Horacio;Horacio
Horned graahk;Behornad graahk
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Hus
Hring Hring;Hring Hring
Hudo;Hudo
Hudon;Hudon
Huge spider;Enorm spindel
Hugor;Hugor
Hunding;Hunding
Hunting expert;Jaktexpert
Hura;Hura
Husk;Skal
Hydra;Hydra
Hygd;Hygd
Ian;Ian
Iban;Iban
Ice Queen;Isdrottning
Ice Troll;Istroll
Ice Troll King;Ice Troll King
Ice Troll King (hard);Ice Troll King (hård)
Ice block;Isblock
Ice demon;Isdemon
Ice giant;Is jätte
Ice spider;Isspindel
Ice troll;Istroll
Ice troll female;Istrollhona
Ice troll grunt;Istroll grymtar
Ice troll male;Istrollhane
Ice troll runt;Istroll runt
Ice warrior;Iskrigare
Ice wolf;Isvarg
Iceberg;Isberg
Icefiend;Icefiend
Icelord;Iceord
Icicle;Istapp
Icthlarin;Icthlarin
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Ignatius Vulcan
Ignisia;Ignisia
Ikkle Hydra;Ikkle Hydra
Ileana;Ileana
Ilfeen;Ilfeen
Ima;Ima
Imerominia;Imerominia
Imiago;Imiago
Imin;Imin
Iminye;Iminye
Immenizz;Immenizz
Imp;Imp
Imp Champion;Imp Champion
Imp defender;Imp försvarare
Imre;Imre
Incapacitated Pyromancer;Incapacitated Pyromancer
Indis;Indis
Infernal Mage;Infernalisk mage
Infernal pyrelord;Infernalisk pyrelord
Information clerk;Informationsbiträde
Inga;Inga
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Värdshusvaktare
Innocent-looking key;Nyckel som ser oskyldig ut
Insatiable Bloodveld;Omättlig Bloodveld
Insatiable mutated Bloodveld;Omättlig muterad Bloodveld
Invrigar the Necromancer;Necromancer Invrigar
Iona;Iona
Iorwerth Archer;Iorwerth Archer
Iorwerth Warrior;Iorwerth Warrior
Irena;Irena
Irene;Irene
Irina;Irina
Irksol;Irksol
Iron Man tutor;Iron Man handledare
Iron dragon;Järn drake
Iron ore;Järnmalm
Iron pickaxe;Järnhacka
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ta bort Navigatorn
Ishmael;Ismael
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi Navigatören
Ivan;Ivan
Ivan Strom;Ivan Ström
Iwan;Iwan
Iwazaru;Iwazaru
Jack;Jack
Jack Sails;Jack Sails
Jack Seagull;Jack Seagull
Jackal;Schakal
Jacky Jester;Jacky Jester
Jade;Jade
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Fängelsevakt
Jailer;Fångvaktare
Jake;Jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal-Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;James
Jamila;Jamila
Jaraah;Jaraah
Jardric;Jardric
Jari;Jari
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (medium)
Jeb;Jeb
Jeed;Jeed
Jeff;Jeff
Jelly;Gelé
Jennella;Jennella
Jennifer;Jennifer
Jenny Blade;Jenny Blade
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jerico
Jess;Jess
Jessie;Jessie
Jethick;Jethick
Jewelled Crab;Jeweled krabba
Jewelled Crab (blue);Jeweled Crab (blå)
Jewelled Crab (green);Jeweled Crab (grön)
Jewelled Crab (red);Jeweled Crab (röd)
Jex;Jex
Jig cart;Jigvagn
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Mejseln Jimmy
Joe;Joe
Jofridr Mordstatter;Jofridr Mordstatter
Jogre;Jogre
Jogre Champion;Jogre Champion
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jonathan
Jonny the beard;Skägget Jonny
Jorra;Jorra
Jorral;Jorral
Jorzik;Jorzik
Joseph;Josef
Joshua;Joshua
Jossik;Jossik
Jubbly bird;Jubbly fågel
Jubster;Jubster
Judge of Yama;Domare i Yama
Jukat;Jukat
Julie;Julie
Juliet;Juliet
Jumaane;Jumaane
Juna;Juna
Jungle Demon;Djungeldemon
Jungle Demon (hard);Jungle Demon (hård)
Jungle Wolf;Djungelvarg
Jungle eagle;Djungelörn
Jungle forester;Djungelskogsmästare
Jungle horror;Djungelskräck
Jungle savage;Djungelvild
Jungle spider;Djungelspindel
Junior Navigator;Junior Navigator
Jury;Jury
Justiciar Zachariah;Justitieråd Zachariah
Justin Servil;Justin Servil
Justine;Justine
Jyn;Jyn
K'klik;Klicka
K'ril Tsutsaroth;K'ril Tsutsaroth
K'ril Tsutsaroth Jr.;K'ril Tsutsaroth Jr.
KGP Agent;KGP Agent
KGP Guard;KGP-vakt
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Kalphite Guardian
Kalphite Larva;Kalfitlarv
Kalphite Princess;Kalfitprinsessan
Kalphite Queen;Kalphite Queen
Kalphite Soldier;Kalfitisk soldat
Kalphite Worker;Kalphite arbetare
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfreena
Kamil;Kamil
Kamil (hard);Kamil (hård)
Kanel;Kanel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;Karamell
Karamel (hard);Karamell (hård)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil den befläckade
Karim;Karim
Karl;Karl
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Katrine
Kaylee;Kaylee
Kazemde;Kazemde
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;Keith
Kelvin;Kelvin
Kelyn;Kelly
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket-Zek
Key Master;Nyckelmästare
Kharid Scorpion;Kharid skorpion
Khazard Guard;Khazard-vakten
Khazard Ogre;Khazard Ogre
Khazard Scorpion;Khazard skorpion
Khazard barman;Khazard barman
Khazard commander;Khazard befälhavare
Khazard trooper;Khazard soldat
Khazard warlord;Khazard krigsherre
Khazard warlord (hard);Khazard krigsherre (hård)
Khorvak, a dwarven engineer;Khorvak, en dvärg ingenjör
Kikazaru;Kikazaru
Killer;Mördare
Killerwatt;Killerwatt
Kilron;Kilron
Kineer;Kineer
King Arthur;Kung Arthur
King Artur Hosidius;Kung Artur Hosidius
King Awowogei;Kung Awowogei
King Black Dragon;King Black Dragon
King Bolren;Kung Bolren
King Gjuki Sorvott IV;Kung Gjuki Sorvott IV
King Healthorg;King Healthorg
King Kandur Hosidius;Kung Kandur Hosidius
King Lathas;Kung Lathas
King Narnode Shareen;Kung Narnode Shareen
King Percival;Kung Percival
King Roald;kung Roald
King Roald (hard);Kung Roald (hård)
King Sand Crab;King Sand Crab
King Scorpion;King Scorpion
King Thoros;Kung Thoros
King Vargas;Kung Vargas
King kurask;Kung kurask
King rat;Kung råtta
King's Messenger;King's Messenger
Kitten;Kattunge
Kjedelig Uppsen;Kjedelig Uppsen
Kjut;Kjut
Klank;Klank
Klarense;Klarense
Klenter;Klenter
Knight;Riddare
Knight of Ardougne;Riddare av Ardougne
Knight of Saradomin;Riddare av Saradomin
Knight of Varlamore;Riddare av Varlamore
Knight of the Lion;Lejonets riddare
Knight of the Owl;Riddare av ugglan
Knight of the Unicorn;Enhörningens riddare
Knight of the Wolf;Vargens riddare
Koanee;Koanee
Kob;Kob
Koftik;Koftik
Kolodion;Kolodion
Konar quo Maten;Konar quo Maten
Konoo;Konoo
Kormar quo Maten;Kormar quo Maten
Kortan;Kortan
Koschei the Deathless;Koschei den dödslösa
Koschei the deathless;Koschei den dödslösa
Kragen;Kragen
Kraka;Kraka
Kraken;Kraken
Krato;Krato
Kree'arra;Kree'arra
Kree'arra Jr.;Kree'arra Jr.
Kroy;Kroy
Kruk;Kruk
Kryket bat;Kryket bat
Krystilia;Krystilia
Ksenia;Ksenia
Kualti;Kualti
Kubec Unkar;Kubec Unkar
Kurask;Kurask
Kurt;Kurt
Kylie Minnow;Kylie Minnow
Lacey;Lacey
Lady Carys Hefin;Lady Carys Hefin
Lady Crombwick;Lady Crombwick
Lady Ffion Meilyr;Lady Ffion Meilyr
Lady Keli;Lady Keli
Lady Kelyn Ithell;Lady Kelly Ithell
Lady Nadezhda Shadum;Lady Nadezhda Shadum
Lady Servil;Lady Servil
Lady Shauna Piscarilius;Lady Shauna Piscarilius
Lady Table;Lady bord
Lady Tangwen Trahaearn;Lady Tangwen Trahaearn
Lady Vulcana Lovakengj;Lady Vulcana Lovakengj
Lahsram;Lahsram
Lalli;Lalli
Lamb;Lamm
Lammy Langle;Lammy Langle
Lan the Butcher;Lan slaktaren
Lanthus;Lanthus
Lanzig;Lanzig
Large mosquito;Stor mygga
Large zombie monkey;Stor zombieapa
Larran;Larran
Larrissa;Larrissa
Larry;Larry
Larxus;Larxus
