 Sneaky undead fowl;Galinha morta-viva sorrateira
Duckling;Patinho
Ducklings;Patinhos
Dugopul;Dugopul
Duke;Duque
Duke Horacio;Duque Horácio
Dummy;Fictício
Dumpy;Atarracado
Dunce;burro
Dung;Estrume
Dungeon rat;Rato da masmorra
Dunstan;Dunstan
Duradel;Duradel
Durgok;Durgok
Dusk;Crepúsculo
Dust devil;Diabo de poeira
Dusty Aliv;Dusty Aliv
Dusuri;Dusuri
Dwarf;Anão
Dwarf gang member;Membro de gangue anã
Dwarven Boatman;Anão Barqueiro
Dwarven Engineer;Engenheiro Anão
Dwarven Ferryman;Barqueiro Anão
Dwarven Miner;Mineiro Anão
Eadburg;Eadburg
Eadgar;Eadgar
Eagle;Águia
Earth Warrior Champion;Campeão Guerreiro da Terra
Earth elemental;Elemental da Terra
Earth impling;Impling terrestre
Earth warrior;Guerreiro da Terra
Earth wizard;Mago da Terra
Earwen;Earwen
Eblis;Éblis
Echned Zekin;Echned Zekin
Eclectic impling;Impling eclético
Ed;Ed.
Ed Wood;Ed Madeira
Edmond;Edmond
Edrahil;Edrahil
Eduard;Eduardo
Edward;Eduardo
Eebel;Eebel
Eek;Eek
Efa;Efa
Effigy;Efígie
Egg;Ovo
Egg launcher;Lançador de ovos
Einar;Einar
Eira;Eira
Ek'ans Chan;Ek’ans Chan
Ektheme;Ektheme
Eldalote;Eldalote
Elder Chaos druid;Druida Ancião do Caos
Elder Gnome child;Filho do Gnomo Ancião
Elder Guard;Guarda Ancião
Elderly Elf;Elfo Idoso
Eldgrim;Eldgrim
Elemental balance;Equilíbrio elementar
Elemental rock;Rocha elementar
Elena;Elena
Elena Hosidius;Elena Hosídio
Elenwe;Elenwe
Elf Archer;Elfo Arqueiro
Elf Hermit;Elfo Eremita
Elf Tracker;Elfo Rastreador
Elf Warrior;Elfo Guerreiro
Elfinlocks;Elfinlocks
Elgan;Elgan
Elijah;Elias
Elisabeta;Elisabeta
Elise;Eliseu
Elissa;Elissa
Elite Void Knight;Cavaleiro do Vazio de Elite
Elizabeth;Elisabete
Elkoy;Elkoy
Elladan;Elladan
Ellen;Ellen
Ellena;Ellena
Ellie;Ellie
Ellis;Elis
Elly the Camel;Elly, o Camelo
Elnock Inquisitor;Inquisidor Elnock
Elsie;Elsie
Elstan;Elstan
Eluned;Eluned
Elvarg;Elvarg
Elvarg (hard);Elvarg (difícil)
Elven Scout;Escoteiro Élfico
Embalmer;Embalsamador
Emblem Trader;Comerciante de Emblemas
Emerald Benedict;Esmeralda Benedict
Emilia;Emília
Emily;Emilly
Enakhra;Enakhra
Enchanted Broom;Vassoura Encantada
Enchanted Bucket;Balde Encantado
Enchantment Guardian;Guardião do Encantamento
Enclave guard;Guarda do Enclave
Enel;Enel
Enelye;Enelye
Enerdhil;Enerdhil
Energy focus (blue);Foco energético (azul)
Energy focus (green);Foco energético (verde)
Energy focus (red);Foco energético (vermelho)
Energy focus (white);Foco energético (branco)
Energy sprite;Espírito de energia
Engineer;Engenheiro
Engineering assistant;Assistente de engenharia
Enilly;Enilly
Eniola;Eniola
Enoch;Enoch
Enormous Tentacle;Enorme Tentáculo
Enraged Tektiny;Tektiny Enfurecido
Enraged barbarian spirit;Espírito bárbaro enfurecido
Ent;Ent
Entomologist;Entomologista
Entrana firebird;Pássaro de Fogo Entrana
Entrance Guardian;Guardião da Entrada
Eodan;Eodan
Eohric;Eohrico
Eoin;Eoin
Episcula Helsing;Epíscula Helsing
Erdan;Erdan
Erestor;Erestor
Eric;Érico
Ermin;Ermin
Ernest;Ernesto
Erodoeht;Erodoeht
Escaping slave;Escravo fugitivo
Essence impling;Implicação de essência
Essyllt;Essyllt
Essyllt (hard);Essyllt (difícil)
Estate agent;Agente imobiliário
Esther;Ester
Ethereal Expert;Especialista Etéreo
Ethereal Fluke;Fluke Etéreo
Ethereal Guide;Guia Etéreo
Ethereal Lady;Senhora Etérea
Ethereal Man;Homem Etéreo
Ethereal Mimic;Mímico Etéreo
Ethereal Numerator;Numerador Etéreo
Ethereal Perceptive;Perceptivo Etéreo
Eudav;Eudav
Eve;Véspera
Evil Bob;Malvado Bob
Evil Chicken;Frango Maligno
Evil Chicken (hard);Frango Maligno (difícil)
Evil Dave;Dave malvado
Evil creature;Criatura maligna
Evil spirit;Espírito maligno
Ewesey;Ewesey
Examiner;Examinador
Executioner;Carrasco
Experiment;Experimentar
Experiment No.2;Experimento nº 2
Ezekial Lovecraft;Ezequial Lovecraft
Factory Manager;Gerente de Fábrica
Factory Worker;Operário de fábrica
Fadli;Fadli
Fairy;Fada
Fairy Aeryka;Fada Aeryka
Fairy Fixit;Fada Fixit
Fairy Godfather;Fada Padrinho
Fairy Nuff;Fada Nuff
Fairy Queen;Rainha Fada
Fairy Very Wise;Fada muito sábia
Fairy chef;Chef fada
Fairy shop assistant;Assistente de loja de fadas
Fairy shop keeper;lojista de fadas
Fake Man;Homem Falso
Fallen Man;Homem Caído
Falo the Bard;Falo, o Bardo
Fancy Dan;Dan chique
Fanellaman;Fanellaman
Fareed;Tarifado
Fareed (hard);Tarifado (difícil)
Farid Morrisane (ores and bars);Farid Morrisane (minérios e barras)
Farmer;Agricultor
Farmer Brumty;Fazendeiro Brumty
Farmer Fromund;Agricultor Fromund
Farmer Gricoller;Fazendeiro Gricoller
Farmer Hayfield;Fazendeiro Hayfield
Farmer's wife;Esposa do fazendeiro
Farolt;Farol
Fat Rocco;Rocco gordo
Fat Tony;Tony gordo
Father Aereck;Padre Aereck
Father Badden;Padre Badden
Father Eysseric;Padre Eysserico
Father Jean;Padre Jean
Father Lawrence;Padre Lourenço
Father Reen;Padre Reen
Father Urhney;Padre Urhney
Fayeth;Fayeth
Feanor;Fëanor
Fear reaper;Ceifador de medo
Felfiz Yaryus;Felfiz Yaryus
Felkrash;Felkrash
Female slave;Escrava
Femi;Mulher
Fenkenstrain's Monster;Monstro de Fenkenstrain
Feral Vampyre;Vampiro Feral
Ferd;Fernando
Fernahei;Fernahei
Ferocious barbarian spirit;Espírito bárbaro feroz
Ferox;Ferox
Ferret;Furão
Ferryman Nathwood;Barqueiro Nathwood
Ferryman Sathwood;Barqueiro Sathwood
Fever spider;Aranha da febre
Ffoni;Ffoni
Fidelio;Fidélio
Fightslave;Escravo de Luta
Filamina;Filamina
Filliman Tarlock;Filliman Tarlock
Financial Seer;Vidente Financeiro
Financial Wizard;Assistente Financeiro
Finarfin;Finarfin
Findis;Findis
Finduilas;Finduilas
Fingolfin;Fingolfin
Fingon;Fingon
Finn;finlandês
Fionella;Fionela
Fior;Fior
Fire Warrior of Lesarkus;Guerreiro do Fogo de Lesarkus
Fire elemental;Elemental do fogo
Fire giant;Gigante de fogo
Fire wizard;Mago de fogo
First Mate Deri;Primeiro imediato Deri
First Mate Peri;Primeiro Imediato Peri
First mate 'Davey-boy';Primeiro imediato 'Davey-boy'
Fish;Peixe
Fish monger;Peixeiro
Fish shoal;Cardume de peixes
Fishbowl;Aquário
Fisherman;Pescador
Fisherman Frodi;Pescador Frodi
Fishing spot;Local de pesca
Fishing tutor;Tutor de pesca
Fishmonger;Peixeiro
Fiyr Shade;Sombra Fiyr
Fiyr Shadow;Sombra Fiyr
Flambeed;Flambado
Flambeed (hard);Flambado (duro)
Flaming pyrelord;Pirelorde Flamejante
Flawed Golem;Golem Defeituoso
Flax keeper;Guardião do linho
Flaygian Screwte;Parafuso Flaygiano
Flesh Crawler;Rastreador de Carne
Flies;Moscas
Flight Kilisa;Voo Kilisa
Flippa;Flippa
Flockleader Geerin;Líder do rebanho Geerin
Floki;Floki
Florin;Florim
Flosi Dalksson;Flosi Dalksson
Flower;Flor
Flower Girl;Florista
Fly trap;Armadilha para mosca
Flying Book;Livro voador
Flying Vespina;Vespina voadora
Flying female vampire;Vampiro feminino voador
Flynn;Flynn
Foreman;Capataz
Forester;Silvicultor
Forester (hard);Florestal (difícil)
Forgotten Soul;Alma Esquecida
Former Vampyre;Ex-Vampiro
Fornek quo Maten;Fornek quo Maten
Fortress Guard;Guarda da Fortaleza
Fortunato;Fortunato
Fossegrimen;Fossegrimen
Fossil Collector;Colecionador de Fósseis
Fossil Rock;Rocha Fóssil
Fox;Raposa
Fragment of Seren;Fragmento de Seren
Francis;Francisco
Francois;François
Frank;Frank
Frankie;Frankie
Franklin Caranos;Franklin Caranos
Freaky Forester;Silvicultor esquisito
Freald;Frederico
Fred the Farmer;Fred, o Fazendeiro
Freidir;Freidir
Freja;Freja
Fremennik Warrior;Guerreiro Fremennik
Frenita;Frenita
Freygerd;Freygerd
Fridgeir;Geladeira
Fridleif Shieldson;Fridleif Shieldson
Frincos;Frincos
Fritz the Glassblower;Fritz, o soprador de vidro
Frizzy Skernip;Skernip crespo
Frog;Sapo
Frog prince;Príncipe Sapo
Frog princess;Princesa sapo
Frogeel;Frogeel
Froono;Froono
Fuggy;Fuggy
Fullangr;Fullangr
Fungi;Fungos
Fur trader;Comerciante de peles
Furnace grate;Grelha do forno
Fycie;Ficie
Fyiona Fray (easy);Fyiona Fray (fácil)
G.L.O. Caranock;G.L.O. Caranock
GPDT employee;Funcionário do GPDT
Gabooty;Gaboty
Gabriela;Gabriela
Gadderanks;Gaderanks
Gadrin;Gadrin
Gaius;Caio
Galahad;Galahad
Galana;Galana
Galathil;Galatil
Galina;Galina
Gallow;Forca
Galvek;Galvek
Gamer;Jogador
Gamfred;Gamfred
Gang boss;Chefe de gangue
Gangster;Gângster
Garai;Garai
Garbek quo Maten;Garbek quo Maten
Garden supplier;Fornecedor de jardim
Gardener;Jardineiro
Gardener Ghost;Jardineiro Fantasma
Gardener Gunnhild;Jardineiro Gunnhild
Gardener Jay Jr.;Jardineiro Jay Jr.
Gargh;Gargh
Gargoyle;Gárgula
Garkor;Garkor
Garl;Garl
Garth;Garth
Garv;Garv
Gate of War;Portão da Guerra
Gatekeeper;Porteiro
Gauss;Gauss
Gee;Nossa
Gelatinnoth Mother;Mãe Gelatina
Gelatinnoth Mother (hard);Mãe gelatinosa (difícil)
Gelin;Gelin
Gelmir;Gelmir
Gem;Jóia
Gem merchant;Comerciante de joias
Gem trader;Comerciante de joias
Gene;Gene
General Babacus;General Babacus
General Bentnoze;General Bentnoze
General Graardor;General Graardor
General Graardor Jr.;General Graardor Jr.
General Hining;Hining Geral
General Khazard;Geral Khazard
General Kilian;General Kilian
General Salara;General Salara
General Vir;Geral Vir
General Wartface;Verruga Geral
Generic Diplomat;Diplomata genérico
Genie;Gênio
George Laxmeister;George Laxmeister
Georgy;Jorge
Gerald;Geraldo
Gerrant;Gerrante
Gertrude;Gertrudes
Gertrude's cat;O gato de Gertrudes
Gethin;Chegando
Ghaslor the Elder;Ghaslor, o Velho
Ghast;Fantástico
Ghommal;Fantasmagórico
Ghost;Fantasma
Ghost (?);Fantasma (?)
Ghost banker;Banqueiro fantasma
Ghost captain;Capitão fantasma
Ghost disciple;Discípulo fantasma
Ghost farmer;Fazendeiro fantasma
Ghost guard;Guarda fantasma
Ghost innkeeper;Estalajadeiro fantasma
Ghost sailor;Marinheiro fantasma
Ghost shopkeeper;Lojista fantasma
Ghost villager;Aldeão fantasma
Ghoul;Carniçal
Ghoul Champion;Campeão Carniçal
Gianne jnr.;Gianne Jr.
Giant;Gigante
Giant Champion;Campeão Gigante
Giant Lobster;Lagosta Gigante
Giant Mole;Toupeira gigante
Giant Roc;Roca Gigante
Giant Roc (hard);Roc Gigante (difícil)
Giant Rock Crab;Caranguejo Gigante
Giant Sea Snake;Cobra Marinha Gigante
Giant Squirrel;Esquilo Gigante
Giant bat;Morcego gigante
Giant crypt rat;Rato gigante da cripta
Giant crypt spider;Aranha gigante da cripta
Giant frog;Sapo gigante
Giant lobster;Lagosta gigante
Giant mosquito;Mosquito gigante
Giant rat;Rato gigante
Giant rockslug;Lesma gigante
Giant scarab;Escaravelho gigante
Giant scarab (hard);Escaravelho gigante (difícil)
Giant skeleton;Esqueleto gigante
Giant snail;Caracol gigante
Giant spider;Aranha gigante
Gielinor Guide;Guia Guilenor
Giles;Giles
Gileth;Gileth
Gillie Groats;Gillie Grumos
Giral bat;Morcego giral
Gita Prymes;Gita Prymes
Gladiator;Gladiador
Glenda;Glenda
Glod;Deus
Glod (hard);Deus (difícil)
Glorfindel;Glorfindel
Glough;Glow
Glouphrie the Untrusted;Glouphrie, a Não Confiável
Gnocci the Cook;Gnocci, o cozinheiro
Gnome;Gnomo
Gnome Archer;Arqueiro Gnomo
Gnome Coach;Treinador Gnomo
Gnome Driver;Motorista Gnomo
Gnome Mage;Mago Gnomo
Gnome Waiter;Garçom Gnomo
Gnome ball referee;Árbitro de bola gnomo
Gnome baller;Jogador gnomo
Gnome banker;Banqueiro gnomo
Gnome child;Criança gnomo
Gnome companion;Companheiro gnomo
Gnome emissary;Emissário gnomo
Gnome guard;Guarda Gnomo
Gnome shop keeper;Lojista Gnomo
Gnome soldier;Soldado gnomo
Gnome trainer;Treinador gnomo
Gnome traveller;Viajante gnomo
Gnome troop;Tropa de gnomos
Gnome winger;Ala gnomo
Gnome woman;Mulher gnomo
Gnormadium Avlafrim;Gnormadium Avlafrim
Gnosi;Gnosis
Goat;Cabra
Goat Poo;Cocô de cabra
Goblin;Duende
Goblin Champion;Campeão Goblin
Goblin Cook;Cozinheiro Goblin
Goblin fish;Peixe duende
Goblin guard;Guarda Goblin
Goblin scribe;Escriba duende
Godric;Godrico
Gold ore;Minério de ouro
Golden sheep;ovelha dourada
Golden warbler;Toutinegra dourada
Golem;Golem
Golova;Golova
Golrie;Golrie
Gorad;Gorad
Gorak;Gorak
Gordon;Gordon
Goreu;Goreu
Gorhak quo Narga;Gorhak quo Narga
Gorilla;Gorila
Gossip;Fofoca
Gourmet;Gourmet
Gourmet impling;Impling gourmet
Grace;Graça
Grail Maiden;Donzela do Graal
Grand Exchange Clerk;Escriturário do Mercado Geral
Grandpa Jack;Vovô Jack
Grave;Cova
Grave digger;Coveiro
Grave scorpion;Escorpião grave
Graveyard Guardian;Guardião do Cemitério
Gravingas;Gravações
Greasycheeks;Bochechas gordurosas
Great Olm;Grande Olmo
Great Olm (Left claw);Grande Olm (garra esquerda)
Great Olm (Right claw);Grande Olm (garra direita)
Great blue heron;Garça-real-azul
Greater Nechryael;Grande Nechryael
Greater Skeleton Hellhound;Cão Infernal Esqueleto Maior
Greater abyssal demon;Demônio Abissal Maior
Greater demon;Demônio maior
Greater ghostly thrall;Maior escravo fantasmagórico
Greater skeletal thrall;Escravo esquelético maior
Greater zombified thrall;Maior escravo zumbificado
Green Gemstone Director;Diretor de Pedras Preciosas Verdes
Green Gemstone Secretary;Secretário de Pedras Preciosas Verdes
Green Sheep;Ovelha Verde
Green dragon;Dragão verde
Green fireflies;Vaga-lumes verdes
Greengrocer;Verdureiro
Greldo;Greldo
Grew;Cresceu
Grey golem;Golem cinza
Grigor Rasputin;Grigor Rasputin
Grigore;Gregório
Grimesquit;Grimesquito
Grimgnash;Grimgnash
Grinka Krast;Grinka Krast
Grip;Pegada
Grish;Grish
Grizzly bear;Urso pardo
Grizzly bear cub;Filhote de urso pardo
Growler;Rosnador
Growthling;Crescendo
Grubfoot;Pé Grub
Grubor;Grubor
Gruff McScruff;McScruff rude
Grug;Grugue
Gruh;Gruh
Grum;Grum
Grundt;Grundt
Grunsh;Grunhido
Gruva Patrull;Gruva Patrull
Guanic bat;Morcego Guânico
Guard;Guarda
Guard Bandit;Bandido da Guarda
Guard Captain;Capitão da Guarda
Guard Recruiter;Recrutador de Guarda
Guard Vemmeldo;Guarda Vemmeldo
Guard dog;Cão de guarda
Guardian Drake;Dragão Guardião
Guardian mummy;Múmia guardiã
Guardian of Armadyl;Guardião de Armadyl
Guidor;Guidor
Guildmaster;Mestre da Guilda
Guildmaster Jane;Mestre da Guilda Jane
Guildmaster Lars;Mestre da Guilda Lars
Guilin;Guilin
Guinevere;Guinevere
Gujuo;Gujuo
Gull;Gaivota
Gulldamar;Gulldamar
Gulluck;Gulluck
Gundai;Gundai
Gundik;Gundik
Gunnar Holdstrom;Gunnar Holdstrom
Gunnjorn;Gunjorn
Gunslik;Gunslik
Gunthor the brave;Gunthor, o corajoso
Guthan the Infested;Guthan, o Infestado
Gwallter;Gwallter
Gwerin Hapus;Gwerin Hapus
Gwindor;Gwindor
Gwyl;Gwyl
Gwyn;Gwyn
Gypsy;cigano
Gypsy Aris;Cigano Aris
Gyr Falcon;Falcão Gir
H.A.M. Archer;PRESUNTO. Arqueiro
H.A.M. Deacon;PRESUNTO. Diácono
H.A.M. Guard;PRESUNTO. Guarda
H.A.M. Mage;PRESUNTO. Mago
H.A.M. Member;PRESUNTO. Membro
HAM member;Membro do HAM
HRH Hrafn;Sua Alteza Real Hrafn
Habibah;Habibah
Hadley;Hadley
Haemas Lamescus;Haemas Lamescus
Haera;Haera
Hafuba;Hafuba
Hairdresser;Cabeleireiro
Hajedy;Hajedy
Haldor quo Keran;Haldor quo Keran
Half-Zombie;Meio Zumbi
Half-soulless;Meio sem alma
Halla;Halla
Hallak;Hallak
Hamab;Hamab
Hamal the Chieftain;Hamal, o Chefe
Hameln the Jester;Hameln, o Bobo da Corte
Hamid;Hamid
Haming;Haming
Hammerspike Stoutbeard;Barba Robusta de Espigão de Martelo
Hanchen the Hound;Hanchen, o Cão de Caça
Hangman game;Jogo da Forca
Hans;Hans
Hari;Hari
Haris;Haris
Harold;Haroldo
Harold Evans;Haroldo Evans
Harpert;Harpert
Harpie Bug Swarm;Enxame de Insetos Harpia
Harrallak Menarous;Harrallak Menaroso
Harry;Harry
Haskell;Haskell
Hassan;Hassan
Hatius Cosaintus;Hatius Cosaintus
Haze;Confusão
Hazeel;Avelã
Hazeel Cultist;Cultista Hazeel
Hazelmere;Hazelmere
Head;Cabeça
Head Guard;Guarda Chefe
Head Mourner;Enlutado Chefe
Head Thief;Ladrão de cabeça
Head chef;Chefe de cozinha
Headless Beast;Besta Sem Cabeça
Headless Beast (hard);Besta Sem Cabeça (difícil)
Healthorg and tortoise;Healthorg e tartaruga
Heckel Funch;Heckel Funch
Hegir;Hégir
Helemos;Helemos
Helena;Helena
Helga;Helga
Hell-Rat;Rato do Inferno
Hell-Rat Behemoth;Behemoth Rato Infernal
Hell-kitten;Gatinho do inferno
Hellcat;Gato infernal
Hellhound;Cão infernal
Hellpuppy;Filhote de cachorro infernal
Hendor;Hendor
Hengel;Hengel
Hengrad;Hengrad
Henja;Henja
Henryeta Carnillean;Henryeta Carnillean
Herbi;Herbi
Herbiboar;Javali herbívoro
Herman Caranos;Herman Caranos
Hero;Herói
Heron;Garça
Herquin;Herquin
Hervi;Hervi
Heskel;Heskel
Hespori;Héspori
Het;Ele
Hetty;Hetty
Hewey;Hewey
Hickton;Hickton
Hieve;Colmeia
High Priest;Sumo Sacerdote
High Priestess Zul-Harcinqa;Alta Sacerdotisa Zul-Harcinqa
Highwayman;Highwayman
Hild;Hilda
Hill Giant;Gigante da Colina
Hirko;Hirko
Historian Duffy;Historiador Duffy
Historian Minas;Historiador Minas
Hiylik Myna;Hiylik Myna
Hobbes;Hobbes
Hobgoblin;Duende Macabro
Hobgoblin Champion;Campeão Hobgoblin
Hofuthand (weapons and armour);Hofuthand (armas e armaduras)
Hole in the wall;Buraco na parede
Holgart;Holgart
Holoy;Holoy
Holthion;Holtião
Homunculus;Homúnculo
Honest Jimmy;Jimmy honesto
Honour guard;Guarda de honra
Hooded Figure;Figura encapuzada
Hooknosed Jack;Jack de nariz adunco
Hoop Snake;Cobra de Argola
Hopeless beast;Besta sem esperança
Hopeless creature;Criatura sem esperança
Hopleez;Hopleez
Hops;Lúpulo
Horace;Horácio
Horacio;Horácio
Horned graahk;Graahk com chifres
Horphis;Horphis
Horvik;Horvik
Hosa;Hosa
House;Casa
Hring Hring;Hora Hora
Hudo;Hudo
Hudon;Hudon
Huge spider;Aranha enorme
Hugor;Hugor
Hunding;Caçando
Hunting expert;Especialista em caça
Hura;Hura
Husk;Casca
Hydra;Hidra
Hygd;Higd
Ian;Ian
Iban;Iban
Ice Queen;Rainha do Gelo
Ice Troll;Troll de gelo
Ice Troll King;Rei Troll de Gelo
Ice Troll King (hard);Rei Troll de Gelo (difícil)
Ice block;Bloco de gelo
Ice demon;Demônio de gelo
Ice giant;Gigante de gelo
Ice spider;Aranha de gelo
Ice troll;Troll de gelo
Ice troll female;Mulher troll de gelo
Ice troll grunt;Grunhido de troll de gelo
Ice troll male;Troll de gelo masculino
Ice troll runt;Troll de gelo nanico
Ice warrior;Guerreiro do gelo
Ice wolf;Lobo de gelo
Iceberg;Iceberg
Icefiend;Demônio do Gelo
Icelord;Senhor do gelo
Icicle;Sincelo
Icthlarin;Icthlarin
Idril;Idril
Idris;Idris
Iestin;Iestin
Ifaba;Ifaba
Iffie;Iffie
Ignatius Vulcan;Inácio Vulcano
Ignisia;Ignisia
Ikkle Hydra;Ikkle Hidra
Ileana;Ileana
Ilfeen;Ilfeen
Ima;eu
Imerominia;Imeromínia
Imiago;Imiago
Imin;Imin
Iminye;Iminye
Immenizz;Imenizz
Imp;Diabrete
Imp Champion;Campeão Diabrete
Imp defender;Defensor diabrete
Imre;Eu estou
Incapacitated Pyromancer;Piromante Incapacitado
Indis;Índia
Infernal Mage;Mago Infernal
Infernal pyrelord;Pirelorde infernal
Information clerk;Balconista de informações
Inga;Ingá
Ingrid;Ingrid
Ingrid Hradson;Ingrid Hradson
Ingwe;Ingwe
Ingwion;Ingwion
Inn Keeper;Estalajadeiro
Innocent-looking key;Chave de aparência inocente
Insatiable Bloodveld;Bloodveld insaciável
Insatiable mutated Bloodveld;Bloodveld mutante insaciável
Invrigar the Necromancer;Invrigar, o Necromante
Iona;Iona
Iorwerth Archer;Arqueiro Iorwerth
Iorwerth Warrior;Guerreiro Iorwerth
Irena;Irena
Irene;Irene
Irina;Irina
Irksol;Irksol
Iron Man tutor;Tutor do Homem de Ferro
Iron dragon;Dragão de ferro
Iron ore;Minério de ferro
Iron pickaxe;Picareta de ferro
Irvig Senay;Irvig Senay
Irwin Feaselbaum;Irwin Feaselbaum
Ish the Navigator;Ish, o Navegador
Ishmael;Ismael
Islwyn;Islwyn
Istoria;Istoria
Ithoi the Navigator;Ithoi, o Navegador
Ivan;Ivan
Ivan Strom;Ivan Strom
Iwan;Iwan
Iwazaru;Iwazaru
Jack;Jack
Jack Sails;Jack Velas
Jack Seagull;Jack Gaivota
Jackal;Chacal
Jacky Jester;Jacky Bobo da Corte
Jade;Jade
Jadid;Jadid
Jagbakoba;Jagbakoba
Jail guard;Guarda penitenciário
Jailer;Carcereiro
Jake;Jake
Jal-Ak;Jal-Ak
Jal-AkRek-Ket;Jal-AkRek-Ket
Jal-AkRek-Mej;Jal-AkRek-Mej
Jal-AkRek-Xil;Jal-AkRek-Xil
Jal-ImKot;Jal-ImKot
Jal-MejJak;Jal-MejJak
Jal-MejRah;Jal-MejRah
Jal-Nib;Jal Nib
Jal-Nib-Rek;Jal-Nib-Rek
Jal-Xil;Jal-Xil
Jal-Zek;Jal-Zek
JalRek-Jad;JalRek-Jad
JalTok-Jad;JalTok-Jad
James;James
Jamila;Jamila
Jaraah;Jaraah
Jardric;Jardric
Jari;Jari
Jarr;Jarr
Jarvald;Jarvald
Jatix;Jatix
Jayene Kliyn (medium);Jayene Kliyn (média)
Jeb;Jeb
Jeed;Jeed
Jeff;Jeff
Jelly;Geléia
Jennella;Jenella
Jennifer;Jennifer
Jenny Blade;Lâmina Jenny
Jeremy Clerksin;Jeremy Clerksin
Jerico;Jericó
Jess;Jess
Jessie;Jessie
Jethick;Jetick
Jewelled Crab;Caranguejo de joias
Jewelled Crab (blue);Caranguejo Joiado (azul)
Jewelled Crab (green);Caranguejo Joiado (verde)
Jewelled Crab (red);Caranguejo Joiado (vermelho)
Jex;Jex
Jig cart;Carrinho de gabarito
Jill;Jill
Jiminua;Jiminua
Jimmy;Jimmy
Jimmy Dazzler;Jimmy Dazzler
Jimmy the Chisel;Jimmy, o cinzel
Joe;Joe
Jofridr Mordstatter;Jofrid Mordstatter
Jogre;Jogar
Jogre Champion;Jogre Campeão
Johanhus Ulsbrecht;Johanhus Ulsbrecht
John;John
Johnathon;Johnathon
Jokul;Jokul
Jon;Jon
Jonathan;Jônatas
Jonny the beard;Jonny o barbudo
Jorra;Jorra
Jorral;Jorral
Jorzik;Jorzik
Joseph;José
Joshua;Josué
Jossik;Jossik
Jubbly bird;Pássaro jubiloso
Jubster;Jubster
Judge of Yama;Juiz de Yama
Jukat;Jukat
Julie;Júlia
Juliet;Julieta
Jumaane;Jumaane
Juna;Juna
Jungle Demon;Demônio da Selva
Jungle Demon (hard);Demônio da Selva (difícil)
Jungle Wolf;Lobo da selva
Jungle eagle;Águia da selva
Jungle forester;Silvicultor da selva
Jungle horror;Terror na selva
Jungle savage;Selvagem da selva
Jungle spider;Aranha da selva
Junior Navigator;Navegador Júnior
Jury;Júri
Justiciar Zachariah;Juiz Zacarias
Justin Servil;Justin Servil
Justine;Justine
Jyn;Jyn
K'klik;K'klik
K'ril Tsutsaroth;K’ril Tsutsaroth
K'ril Tsutsaroth Jr.;K’ril Tsutsaroth Jr.
KGP Agent;Agente KGP
KGP Guard;Guarda KGP
Kaal-Ket-Jor;Kaal-Ket-Jor
Kaal-Mej-San;Kaal-Mej-San
Kaal-Xil-Dar;Kaal-Xil-Dar
Kael Forshaw;Kael Forshaw
Kaht B'alam;Kaht B'alam
Kai;Kai
Kaleb Paramaya;Kaleb Paramaya
Kalphite Guardian;Guardião Kalphita
Kalphite Larva;Larva Kalphita
Kalphite Princess;Princesa Kalphita
Kalphite Queen;Rainha Kalphita
Kalphite Soldier;Soldado Kalphita
Kalphite Worker;Trabalhador Kalphita
Kalrag;Kalrag
Kalron;Kalron
Kamen;Kamen
Kamfreena;Kamfreena
Kamil;Kamil
Kamil (hard);Kamil (difícil)
Kanel;Kanel
Kangai Mau;Kangai Mau
Kaqemeex;Kaqemeex
Karaday;Karaday
Karam;Karam
Karamel;Caramelo
Karamel (hard);Karamel (difícil)
Karamthulhu;Karamthulhu
Kardia;Kardia
Karil the Tainted;Karil, o Maculado
Karim;Karim
Karl;Carlos
Kaston;Kaston
Kathy Corkat;Kathy Corkat
Katrine;Katrina
Kaylee;Kaylee
Kazemde;Kazemde
Kazgar;Kazgar
Kebbit;Kebbit
Keef;Keef
Keepa Kettilon;Keepa Kettilon
Keith;Keith
Kelvin;Kelvin
Kelyn;Kelyn
Kendall;Kendall
Kenelme;Kenelme
Kennith;Kennith
Kent;Kent
Ket'sal K'uk;Ket'sal K'uk
Ket-Zek;Ket-Zek
Key Master;Chave Mestre
Kharid Scorpion;Escorpião Kharid
Khazard Guard;Guarda Khazard
Khazard Ogre;Ogro Khazard
Khazard Scorpion;Escorpião Khazard
Khazard barman;Barman Khazard
Khazard commander;Comandante Khazard
Khazard trooper;Soldado Khazard
Khazard warlord;Senhor da guerra Khazard
Khazard warlord (hard);Senhor da guerra Khazard (difícil)
Khorvak, a dwarven engineer;Khorvak, um engenheiro anão
Kikazaru;Kikazaru
Killer;Assassino
Killerwatt;Killerwatt
Kilron;Kilron
Kineer;Kineer
King Arthur;Rei Artur
King Artur Hosidius;Rei Artur Hosídio
King Awowogei;Rei Awowogei
King Black Dragon;Rei Dragão Negro
King Bolren;Rei Bolren
King Gjuki Sorvott IV;Rei Gjuki Sorvott IV
King Healthorg;King Healthorg
King Kandur Hosidius;Rei Kandur Hosídio
King Lathas;Rei Lathas
King Narnode Shareen;Rei Narnode Shareen
King Percival;Rei Percival
King Roald;Rei Roald
King Roald (hard);Rei Roald (difícil)
King Sand Crab;Caranguejo Rei da Areia
King Scorpion;Rei Escorpião
King Thoros;Rei Thoros
King Vargas;Rei Vargas
King kurask;Rei Kurask
King rat;Rato rei
